"EG11_011 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_011.tcf]","Time(h)","F FC01.1_R [EG11_011]","F FC04.1_C [EG11_011]","F SP_001 [EG11_011]"
       1,          0.000000,,,
       2,          0.016667,G,G,E
       3,          0.033333,G,G,E
       4,          0.050000,G,G,E
       5,          0.066667,G,G,E
       6,          0.083333,G,G,E
       7,          0.100000,G,G,E
       8,          0.116667,G,G,E
       9,          0.133333,G,G,E
      10,          0.150000,G,G,E
      11,          0.166667,G,G,E
      12,          0.183333,G,G,E
      13,          0.200000,G,G,E
      14,          0.216667,A,G,E
      15,          0.233333,A,G,E
      16,          0.250000,A,G,E
      17,          0.266667,A,G,E
      18,          0.283333,A,G,E
      19,          0.300000,A,G,E
      20,          0.316667,A,G,E
      21,          0.333333,A,G,E
      22,          0.350000,A,G,E
      23,          0.366667,A,G,E
      24,          0.383333,A,G,E
      25,          0.400000,A,G,E
      26,          0.416667,A,G,E
      27,          0.433333,A,G,E
      28,          0.450000,A,G,E
      29,          0.466667,A,G,E
      30,          0.483333,A,G,E
      31,          0.500000,A,G,E
      32,          0.516667,A,G,E
      33,          0.533333,A,G,E
      34,          0.550000,A,G,E
      35,          0.566667,A,G,E
      36,          0.583333,B,G,E
      37,          0.600000,L,G,E
      38,          0.616667,L,G,E
      39,          0.633333,L,G,E
      40,          0.650000,L,G,E
      41,          0.666667,L,G,E
      42,          0.683333,L,G,E
      43,          0.700000,L,G,E
      44,          0.716667,L,G,E
      45,          0.733333,L,G,E
      46,          0.750000,L,G,E
      47,          0.766667,L,G,E
      48,          0.783333,L,G,E
      49,          0.800000,L,G,
      50,          0.816667,L,G,
      51,          0.833333,L,G,
      52,          0.850000,L,G,
      53,          0.866667,L,G,
      54,          0.883333,L,G,
      55,          0.900000,L,G,
      56,          0.916667,L,G,
      57,          0.933333,L,G,
      58,          0.950000,L,G,
      59,          0.966667,L,G,
      60,          0.983333,L,G,
      61,          1.000000,L,G,
      62,          1.016667,L,G,
      63,          1.033333,L,G,
      64,          1.050000,L,G,
      65,          1.066667,L,G,
      66,          1.083333,L,G,
      67,          1.100000,L,J,
      68,          1.116667,L,J,
      69,          1.133333,L,J,
      70,          1.150000,L,J,
      71,          1.166667,L,J,
      72,          1.183333,L,J,
      73,          1.200000,L,J,
      74,          1.216667,L,J,
      75,          1.233333,L,J,
      76,          1.250000,L,J,
      77,          1.266667,L,J,
      78,          1.283333,L,J,
      79,          1.300000,L,J,
      80,          1.316667,L,J,
      81,          1.333333,L,J,
      82,          1.350000,L,J,
      83,          1.366667,L,J,
      84,          1.383333,L,J,
      85,          1.400000,L,J,
      86,          1.416667,L,J,
      87,          1.433333,L,J,
      88,          1.450000,L,J,
      89,          1.466667,L,J,
      90,          1.483333,L,J,
      91,          1.500000,L,A,
      92,          1.516667,L,A,
      93,          1.533333,L,A,
      94,          1.550000,L,A,
      95,          1.566667,L,A,
      96,          1.583333,L,A,
      97,          1.600000,L,A,
      98,          1.616667,L,A,
      99,          1.633333,L,A,
     100,          1.650000,L,A,
     101,          1.666667,L,A,
     102,          1.683333,L,A,
     103,          1.700000,L,A,
     104,          1.716667,L,A,
     105,          1.733333,L,A,
     106,          1.750000,L,A,
     107,          1.766667,L,A,
     108,          1.783333,L,A,
     109,          1.800000,L,A,
     110,          1.816667,L,A,
     111,          1.833333,L,A,
     112,          1.850000,L,A,
     113,          1.866667,L,A,
     114,          1.883333,A,A,
     115,          1.900000,A,A,
     116,          1.916667,A,A,
     117,          1.933333,A,A,
     118,          1.950000,A,A,
     119,          1.966667,A,A,
     120,          1.983333,A,A,
     121,          2.000000,A,A,
     122,          2.016667,A,A,
     123,          2.033334,A,A,
     124,          2.050000,A,A,
     125,          2.066667,A,A,
     126,          2.083333,A,A,
     127,          2.100000,A,A,
     128,          2.116667,A,A,
     129,          2.133333,A,A,
     130,          2.150000,A,A,
     131,          2.166667,A,A,
     132,          2.183333,A,A,
     133,          2.200000,A,A,
     134,          2.216667,A,A,
     135,          2.233333,A,A,
     136,          2.250000,A,A,
     137,          2.266667,A,A,
     138,          2.283334,A,A,
     139,          2.300000,A,A,
     140,          2.316667,A,A,
     141,          2.333333,A,A,
     142,          2.350000,A,A,
     143,          2.366667,A,A,
     144,          2.383333,A,A,
     145,          2.400000,A,A,
     146,          2.416667,A,A,
     147,          2.433333,A,A,
     148,          2.450000,A,A,
     149,          2.466667,A,A,
     150,          2.483333,A,A,
     151,          2.500000,A,A,
     152,          2.516667,A,A,
     153,          2.533334,A,A,
     154,          2.550000,A,A,
     155,          2.566667,A,A,
     156,          2.583333,A,A,
     157,          2.600000,A,A,
     158,          2.616667,A,A,
     159,          2.633333,A,A,
     160,          2.650000,A,A,
     161,          2.666667,A,A,
     162,          2.683333,A,A,
     163,          2.700000,A,A,
     164,          2.716667,A,A,
     165,          2.733334,A,A,
     166,          2.750000,A,A,
     167,          2.766667,A,A,
     168,          2.783334,A,A,
     169,          2.800000,A,A,
     170,          2.816667,A,A,
     171,          2.833333,A,A,
     172,          2.850000,A,A,
     173,          2.866667,A,A,
     174,          2.883333,A,A,
     175,          2.900000,A,A,
     176,          2.916667,A,A,
     177,          2.933333,A,A,
     178,          2.950000,A,A,
     179,          2.966667,A,A,
     180,          2.983334,A,A,
     181,          3.000000,A,A,
