"EG11_011 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_011.tcf]","Time (h)","SQ FC04.1_C [EG11_011]","SQ SP_001 [EG11_011]","SQ FC01.1_R [EG11_011]"
       1,          0.000000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0000,      0.0000,      0.0000
       7,          0.100000,      0.0000,      0.0000,      0.0000
       8,          0.116667,      0.0000,      0.0000,      0.0000
       9,          0.133333,      0.0000,      0.0000,      0.0000
      10,          0.150000,      0.0000,      0.0000,      0.0000
      11,          0.166667,      0.0000,      0.0000,      0.0000
      12,          0.183333,      0.0000,      0.0000,      0.0000
      13,          0.200000,      0.0000,      0.0000,      0.0000
      14,          0.216667,      0.0000,      0.0000,      0.8724
      15,          0.233333,      0.0000,      0.0000,      1.8008
      16,          0.250000,      0.0000,      0.0000,      2.4688
      17,          0.266667,      0.0000,      0.0000,      2.9900
      18,          0.283333,      0.0000,      0.0000,      3.4291
      19,          0.300000,      0.0000,      0.0000,      3.7830
      20,          0.316667,      0.0000,      0.0000,      4.2773
      21,          0.333333,      0.0000,      0.0000,      4.7758
      22,          0.350000,      0.0000,      0.0000,      5.2782
      23,          0.366667,      0.0000,      0.0000,      5.8236
      24,          0.383333,      0.0000,      0.0000,      6.5092
      25,          0.400000,      0.0000,      0.0000,      7.2117
      26,          0.416667,      0.0000,      0.0000,      8.0269
      27,          0.433333,      0.0000,      0.0000,      8.9891
      28,          0.450000,      0.0000,      0.0000,     10.1407
      29,          0.466667,      0.0000,      0.0000,     11.3503
      30,          0.483333,      0.0000,      0.0000,     13.1022
      31,          0.500000,      0.0000,      0.0000,     14.9184
      32,          0.516667,      0.0000,      0.0000,     16.8542
      33,          0.533333,      0.0000,      0.0000,     19.5766
      34,          0.550000,      0.0000,      0.0000,     23.3379
      35,          0.566667,      0.0000,      0.0000,     27.8980
      36,          0.583333,      0.0000,      0.0000,     30.9843
      37,          0.600000,      0.0000,      0.0000,     33.8573
      38,          0.616667,      0.0000,      0.0000,     36.3338
      39,          0.633333,      0.0000,      0.0000,     38.4640
      40,          0.650000,      0.0000,      0.0000,     40.3588
      41,          0.666667,      0.0000,      0.0000,     42.1247
      42,          0.683333,      0.0000,      0.0000,     43.7717
      43,          0.700000,      0.0000,      0.0000,     45.0709
      44,          0.716667,      0.0000,      0.0000,     45.9541
      45,          0.733333,      0.0000,      0.0000,     46.5134
      46,          0.750000,      0.0000,      0.0000,     46.8586
      47,          0.766667,      0.0000,      0.0000,     47.0763
      48,          0.783333,      0.0000,      0.0000,     47.1993
      49,          0.800000,      0.0000,      0.0945,     47.2742
      50,          0.816667,      0.0000,      2.0988,     47.3269
      51,          0.833333,      0.0000,      5.1492,     47.3668
      52,          0.850000,      0.0000,      8.5672,     47.3965
      53,          0.866667,      0.0000,     12.0590,     47.4152
      54,          0.883333,      0.0000,     15.4370,     47.4281
      55,          0.900000,      0.0000,     18.6575,     47.4391
      56,          0.916667,      0.0000,     21.6823,     47.4481
      57,          0.933333,      0.0000,     24.4944,     47.4562
      58,          0.950000,      0.0000,     27.1396,     47.4582
      59,          0.966667,      0.0000,     29.6135,     47.4576
      60,          0.983333,      0.0000,     31.9007,     47.4556
      61,          1.000000,      0.0000,     34.2805,     47.4529
      62,          1.016667,      0.0000,     36.7560,     47.4488
      63,          1.033333,      0.0000,     38.9867,     47.4373
      64,          1.050000,      0.0000,     41.1099,     47.4225
      65,          1.066667,      0.0000,     43.0788,     47.4060
      66,          1.083333,      0.0000,     45.0107,     47.3885
      67,          1.100000,     -0.0000,     46.7727,     47.3677
      68,          1.116667,     -0.0001,     48.5128,     47.3297
      69,          1.133333,     -0.0002,     50.0844,     47.2847
      70,          1.150000,     -0.0143,     51.6172,     47.2316
      71,          1.166667,     -0.0356,     53.0050,     47.1764
      72,          1.183333,     -0.0588,     54.3082,     47.1184
      73,          1.200000,     -0.0847,     55.4997,     47.0545
      74,          1.216667,     -0.1108,     56.5879,     46.9880
      75,          1.233333,     -0.1386,     57.5720,     46.9189
      76,          1.250000,     -0.1649,     58.4653,     46.8477
      77,          1.266667,     -0.1904,     59.2564,     46.7727
      78,          1.283333,     -0.2146,     59.9633,     46.6840
      79,          1.300000,     -0.2364,     60.5782,     46.5867
      80,          1.316667,     -0.2560,     61.1056,     46.4819
      81,          1.333333,     -0.2724,     61.5451,     46.3722
      82,          1.350000,     -0.2854,     61.8915,     46.2573
      83,          1.366667,     -0.2938,     62.1502,     46.1361
      84,          1.383333,     -0.3001,     62.3209,     46.0078
      85,          1.400000,     -0.3022,     62.4108,     45.8722
      86,          1.416667,     -0.3848,     62.4193,     45.7280
      87,          1.433333,     -0.3755,     62.3559,     45.5735
      88,          1.450000,     -0.3350,     62.2133,     45.4137
      89,          1.466667,     -0.2575,     62.0039,     45.2440
