"EG11_012 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_012.tcf]","Time(h)","F arch_bridge [EG11_012]","F FC01.1_R [EG11_012]","F FC04.1_C [EG11_012]"
       1,          0.000000,,,
       2,          0.016667,E,G,G
       3,          0.033333,E,G,G
       4,          0.050000,E,G,G
       5,          0.066667,E,G,G
       6,          0.083333,E,G,G
       7,          0.100000,E,G,G
       8,          0.116667,E,G,G
       9,          0.133333,E,G,G
      10,          0.150000,E,G,G
      11,          0.166667,E,G,G
      12,          0.183333,E,G,G
      13,          0.200000,E,G,G
      14,          0.216667,E,A,G
      15,          0.233333,E,A,G
      16,          0.250000,E,A,G
      17,          0.266667,E,A,G
      18,          0.283333,E,A,G
      19,          0.300000,E,A,G
      20,          0.316667,E,A,G
      21,          0.333333,E,A,G
      22,          0.350000,E,A,G
      23,          0.366667,E,A,G
      24,          0.383333,E,A,G
      25,          0.400000,E,A,G
      26,          0.416667,E,A,G
      27,          0.433333,E,A,G
      28,          0.450000,E,A,G
      29,          0.466667,E,A,G
      30,          0.483333,E,A,G
      31,          0.500000,E,A,G
      32,          0.516667,E,A,G
      33,          0.533333,F,A,G
      34,          0.550000,F,A,G
      35,          0.566667,F,A,G
      36,          0.583333,F,B,G
      37,          0.600000,H,L,G
      38,          0.616667,H,L,G
      39,          0.633333,H,L,G
      40,          0.650000,H,L,G
      41,          0.666667,H,L,G
      42,          0.683333,H,L,G
      43,          0.700000,,L,G
      44,          0.716667,,L,G
      45,          0.733333,,L,G
      46,          0.750000,,L,G
      47,          0.766667,,L,G
      48,          0.783333,,L,G
      49,          0.800000,,L,G
      50,          0.816667,,L,G
      51,          0.833333,,L,G
      52,          0.850000,,L,G
      53,          0.866667,,L,G
      54,          0.883333,,L,G
      55,          0.900000,,L,G
      56,          0.916667,,L,G
      57,          0.933333,,L,G
      58,          0.950000,,L,G
      59,          0.966667,,L,G
      60,          0.983333,,L,G
      61,          1.000000,,L,G
      62,          1.016667,,L,G
      63,          1.033333,,L,G
      64,          1.050000,,L,G
      65,          1.066667,,L,G
      66,          1.083333,,L,G
      67,          1.100000,,L,G
      68,          1.116667,,L,G
      69,          1.133333,,L,G
      70,          1.150000,,L,G
      71,          1.166667,,L,G
      72,          1.183333,,L,G
      73,          1.200000,,L,G
      74,          1.216667,,L,G
      75,          1.233333,,L,G
      76,          1.250000,,L,G
      77,          1.266667,,L,G
      78,          1.283333,,L,G
      79,          1.300000,,L,G
      80,          1.316667,,L,G
      81,          1.333333,,L,G
      82,          1.350000,,L,G
      83,          1.366667,,L,G
      84,          1.383333,,L,G
      85,          1.400000,,L,G
      86,          1.416667,,L,G
      87,          1.433333,,L,G
      88,          1.450000,,L,G
      89,          1.466667,,L,G
      90,          1.483333,,L,G
      91,          1.500000,,L,G
      92,          1.516667,,L,G
      93,          1.533333,,L,G
      94,          1.550000,,L,G
      95,          1.566667,,L,G
      96,          1.583333,,L,G
      97,          1.600000,,L,G
      98,          1.616667,,L,G
      99,          1.633333,,L,G
     100,          1.650000,,L,G
     101,          1.666667,,L,G
     102,          1.683333,,L,G
     103,          1.700000,,L,G
     104,          1.716667,,L,G
     105,          1.733333,,L,G
     106,          1.750000,,L,G
     107,          1.766667,,L,G
     108,          1.783333,,L,G
     109,          1.800000,,L,G
     110,          1.816667,,L,G
     111,          1.833333,,L,G
     112,          1.850000,,L,G
     113,          1.866667,,L,G
     114,          1.883333,,A,G
     115,          1.900000,,A,G
     116,          1.916667,,A,G
     117,          1.933333,,A,G
     118,          1.950000,,A,G
     119,          1.966667,,A,G
     120,          1.983333,,A,G
     121,          2.000000,,A,G
     122,          2.016667,,A,G
     123,          2.033334,,A,G
     124,          2.050000,,A,G
     125,          2.066667,,A,G
     126,          2.083333,,A,G
     127,          2.100000,,A,G
     128,          2.116667,,A,G
     129,          2.133333,,A,G
     130,          2.150000,,A,G
     131,          2.166667,,A,G
     132,          2.183333,,A,G
     133,          2.200000,,A,G
     134,          2.216667,,A,G
     135,          2.233333,,A,G
     136,          2.250000,,A,G
     137,          2.266667,,A,G
     138,          2.283334,,A,G
     139,          2.300000,,A,G
     140,          2.316667,,A,G
     141,          2.333333,,A,G
     142,          2.350000,,A,G
     143,          2.366667,,A,G
     144,          2.383333,,A,G
     145,          2.400000,,A,G
     146,          2.416667,,A,G
     147,          2.433333,,A,G
     148,          2.450000,,A,G
     149,          2.466667,,A,G
     150,          2.483333,,A,G
     151,          2.500000,,A,G
     152,          2.516667,,A,G
     153,          2.533334,,A,G
     154,          2.550000,,A,G
     155,          2.566667,,A,G
     156,          2.583333,,A,G
     157,          2.600000,,A,G
     158,          2.616667,,A,G
     159,          2.633333,,A,G
     160,          2.650000,,A,G
     161,          2.666667,,A,G
     162,          2.683333,,A,G
     163,          2.700000,,A,G
     164,          2.716667,,A,G
     165,          2.733334,,A,G
     166,          2.750000,,A,G
     167,          2.766667,,A,G
     168,          2.783334,,A,G
     169,          2.800000,,A,G
     170,          2.816667,,A,G
     171,          2.833333,,A,G
     172,          2.850000,,A,G
     173,          2.866667,,A,G
     174,          2.883333,,A,G
     175,          2.900000,,A,G
     176,          2.916667,,A,G
     177,          2.933333,,A,G
     178,          2.950000,,A,G
     179,          2.966667,,A,G
     180,          2.983334,,A,G
     181,          3.000000,,A,G
