"EG11_012 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_012.tcf]","Time (h)","H arch_bridge.1 [EG11_012]","H arch_bridge.2 [EG11_012]","H FC01.1_R.1 [EG11_012]","H FC01.1_R.2 [EG11_012]","H FC04.1_C.1 [EG11_012]","H FC04.1_C.2 [EG11_012]"
       1,          0.000000,     37.7130,     37.7130,     45.3990,     44.4990,     43.3490,     42.7490
       2,          0.016667,     37.7130,     37.7130,     45.3990,     44.4990,     43.3490,     42.7490
       3,          0.033333,     37.7130,     37.7130,     45.3990,     44.4990,     43.3490,     42.7490
       4,          0.050000,     37.7130,     37.7130,     45.3990,     44.4990,     43.3490,     42.7490
       5,          0.066667,     37.7130,     37.7130,     45.3990,     44.4990,     43.3490,     42.7490
       6,          0.083333,     37.7130,     37.7130,     45.3990,     44.4990,     43.3490,     42.7490
       7,          0.100000,     37.7130,     37.7130,     45.3990,     44.4990,     43.3490,     42.7490
       8,          0.116667,     37.7130,     37.7130,     45.3990,     44.4990,     43.3490,     42.7490
       9,          0.133333,     37.7130,     37.7130,     45.3990,     44.4990,     43.3490,     42.7490
      10,          0.150000,     37.7130,     37.7130,     45.3990,     44.4990,     43.3490,     42.7490
      11,          0.166667,     37.7130,     37.7130,     45.3990,     44.4990,     43.3490,     42.7490
      12,          0.183333,     37.7130,     37.7130,     45.3990,     44.4990,     43.3490,     42.7490
      13,          0.200000,     37.7130,     37.7130,     45.3990,     44.4990,     43.3490,     42.7490
      14,          0.216667,     37.7130,     37.7130,     45.6237,     44.4990,     43.3490,     42.7490
      15,          0.233333,     37.7130,     37.7130,     45.7619,     44.4990,     43.3490,     42.7490
      16,          0.250000,     37.7130,     37.7130,     45.8464,     44.5575,     43.3490,     42.7490
      17,          0.266667,     37.7130,     37.7130,     45.9071,     44.6491,     43.3490,     42.7490
      18,          0.283333,     37.7130,     37.7130,     45.9555,     44.7121,     43.3490,     42.7490
      19,          0.300000,     37.7130,     37.7130,     45.9931,     44.7739,     43.3490,     42.7490
      20,          0.316667,     37.7130,     37.7130,     46.0437,     44.8294,     43.3490,     42.7490
      21,          0.333333,     37.7130,     37.7130,     46.0928,     44.8838,     43.3490,     42.7490
      22,          0.350000,     37.7130,     37.7130,     46.1405,     44.9362,     43.3490,     42.7490
      23,          0.366667,     37.7130,     37.7130,     46.1908,     44.9906,     43.3490,     42.7490
      24,          0.383333,     37.7130,     37.7130,     46.2516,     45.0556,     43.3490,     42.7490
      25,          0.400000,     37.7130,     37.7130,     46.3118,     45.1270,     43.3490,     42.7490
      26,          0.416667,     37.7130,     37.7130,     46.3793,     45.1949,     43.3490,     42.7490
      27,          0.433333,     37.7130,     37.7130,     46.4561,     45.2654,     43.3490,     42.7490
      28,          0.450000,     37.7130,     37.7130,     46.5446,     45.3376,     43.3490,     42.7490
      29,          0.466667,     37.7130,     37.7130,     46.6340,     45.4233,     43.3490,     42.7490
      30,          0.483333,     37.7130,     37.7130,     46.7579,     45.5129,     43.3490,     42.7490
      31,          0.500000,     37.7130,     37.7130,     46.8806,     45.6049,     43.3490,     42.7490
      32,          0.516667,     37.7130,     37.7130,     47.0061,     45.6978,     43.3490,     42.7490
      33,          0.533333,     37.7130,     38.7849,     47.1745,     45.8127,     43.3490,     42.7490
      34,          0.550000,     37.7130,     37.7389,     47.3953,     45.9615,     43.3490,     42.7490
      35,          0.566667,     38.3687,     38.1115,     47.6471,     46.1223,     43.3490,     42.7490
      36,          0.583333,     38.5364,     38.2092,     47.9192,     46.2529,     43.3490,     42.7490
      37,          0.600000,     38.7262,     38.3168,     48.1982,     46.3623,     43.3490,     42.7490
      38,          0.616667,     38.8915,     38.4229,     48.4587,     46.4562,     43.3490,     42.7490
      39,          0.633333,     39.1117,     38.5464,     48.6974,     46.5295,     43.3490,     42.7490
      40,          0.650000,     39.3058,     38.7013,     48.9212,     46.5913,     43.3490,     42.7490
      41,          0.666667,     39.5684,     38.8078,     49.1395,     46.6500,     43.3490,     42.7490
