"EG11_012 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_012.tcf]","Time (h)","Q arch_bridge [EG11_012]","Q FC01.1_R [EG11_012]","Q FC04.1_C [EG11_012]"
       1,          0.000000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000
       5,          0.066667,           0.000,           0.000,           0.000
       6,          0.083333,           0.000,           0.000,           0.000
       7,          0.100000,           0.000,           0.000,           0.000
       8,          0.116667,           0.000,           0.000,           0.000
       9,          0.133333,           0.000,           0.000,           0.000
      10,          0.150000,           0.000,           0.000,           0.000
      11,          0.166667,           0.000,           0.000,           0.000
      12,          0.183333,           0.000,           0.000,           0.000
      13,          0.200000,           0.000,           0.000,           0.000
      14,          0.216667,           0.000,           0.872,           0.000
      15,          0.233333,           0.000,           1.801,           0.000
      16,          0.250000,           0.000,           2.469,           0.000
      17,          0.266667,           0.000,           2.990,           0.000
      18,          0.283333,           0.000,           3.429,           0.000
      19,          0.300000,           0.000,           3.783,           0.000
      20,          0.316667,           0.000,           4.277,           0.000
      21,          0.333333,           0.000,           4.776,           0.000
      22,          0.350000,           0.000,           5.278,           0.000
      23,          0.366667,           0.000,           5.824,           0.000
      24,          0.383333,           0.000,           6.509,           0.000
      25,          0.400000,           0.000,           7.212,           0.000
      26,          0.416667,           0.000,           8.027,           0.000
      27,          0.433333,           0.000,           8.989,           0.000
      28,          0.450000,           0.000,          10.141,           0.000
      29,          0.466667,           0.000,          11.350,           0.000
      30,          0.483333,           0.000,          13.102,           0.000
      31,          0.500000,           0.000,          14.918,           0.000
      32,          0.516667,           0.000,          16.854,           0.000
      33,          0.533333,          -1.181,          19.573,           0.000
      34,          0.550000,          -0.010,          23.338,           0.000
      35,          0.566667,           5.123,          27.893,           0.000
      36,          0.583333,           5.350,          30.983,           0.000
      37,          0.600000,           6.454,          33.855,           0.000
      38,          0.616667,           7.805,          36.332,           0.000
      39,          0.633333,           9.546,          38.462,           0.000
      40,          0.650000,           9.989,          40.358,           0.000
      41,          0.666667,          14.426,          42.124,           0.000
      42,          0.683333,          16.218,          43.771,           0.000
      43,          0.700000,          16.454,          45.070,           0.000
      44,          0.716667,          24.504,          45.954,           0.000
      45,          0.733333,          27.138,          46.513,           0.000
      46,          0.750000,          29.743,          46.859,           0.000
      47,          0.766667,          32.632,          47.076,           0.000
      48,          0.783333,          36.014,          47.199,           0.000
      49,          0.800000,          40.273,          47.274,           0.000
      50,          0.816667,          45.370,          47.327,           0.000
      51,          0.833333,          50.943,          47.367,           0.000
      52,          0.850000,          56.458,          47.396,           0.000
      53,          0.866667,          61.888,          47.415,           0.000
      54,          0.883333,          66.745,          47.428,           0.000
      55,          0.900000,          70.827,          47.439,           0.000
      56,          0.916667,          74.132,          47.448,           0.000
      57,          0.933333,          76.804,          47.456,           0.000
      58,          0.950000,          78.953,          47.458,           0.000
      59,          0.966667,          80.678,          47.458,           0.000
      60,          0.983333,          82.072,          47.456,           0.000
      61,          1.000000,          83.234,          47.453,           0.000
      62,          1.016667,          84.203,          47.449,           0.000
      63,          1.033333,          85.001,          47.437,           0.000
      64,          1.050000,          85.668,          47.423,           0.000
      65,          1.066667,          86.274,          47.406,           0.000
      66,          1.083333,          86.915,          47.388,           0.000
      67,          1.100000,          87.530,          47.368,           0.000
      68,          1.116667,          88.046,          47.330,           0.000
      69,          1.133333,          88.451,          47.285,           0.000
      70,          1.150000,          88.751,          47.232,           0.000
      71,          1.166667,          88.925,          47.176,           0.000
      72,          1.183333,          88.968,          47.118,           0.000
      73,          1.200000,          88.873,          47.055,           0.000
      74,          1.216667,          88.635,          46.988,           0.000
      75,          1.233333,          88.260,          46.919,           0.000
      76,          1.250000,          87.752,          46.848,           0.000
      77,          1.266667,          87.113,          46.773,           0.000
      78,          1.283333,          86.354,          46.684,           0.000
      79,          1.300000,          85.479,          46.587,           0.000
      80,          1.316667,          84.497,          46.482,           0.000
      81,          1.333333,          83.410,          46.372,           0.000
      82,          1.350000,          82.213,          46.257,           0.000
      83,          1.366667,          80.891,          46.136,           0.000
      84,          1.383333,          79.451,          46.008,           0.000
      85,          1.400000,          77.892,          45.872,           0.000
      86,          1.416667,          76.226,          45.728,           0.000
      87,          1.433333,          74.461,          45.574,           0.000
      88,          1.450000,          72.620,          45.414,           0.000
      89,          1.466667,          70.693,          45.244,           0.000
      90,          1.483333,          68.700,          45.060,           0.000
      91,          1.500000,          66.541,          44.861,           0.000
      92,          1.516667,          64.305,          44.643,           0.000
      93,          1.533333,          62.123,          44.404,           0.000
      94,          1.550000,          60.006,          44.131,           0.000
      95,          1.566667,          57.972,          43.805,           0.000
      96,          1.583333,          56.062,          43.414,           0.000
      97,          1.600000,          54.258,          42.963,           0.000
      98,          1.616667,          52.569,          42.482,           0.000
      99,          1.633333,          51.023,          41.962,           0.000
     100,          1.650000,          49.634,          41.403,           0.000
     101,          1.666667,          48.423,          40.795,           0.000
     102,          1.683333,          47.374,          40.138,           0.000
     103,          1.700000,          46.398,          39.419,           0.000
     104,          1.716667,          45.510,          38.629,           0.000
     105,          1.733333,          44.735,          37.769,           0.000
     106,          1.750000,          44.020,          36.829,           0.000
     107,          1.766667,          43.330,          35.804,           0.000
     108,          1.783333,          42.631,          34.728,           0.000
     109,          1.800000,          41.923,          33.602,           0.000
     110,          1.816667,          41.193,          32.404,           0.000
     111,          1.833333,          40.431,          31.142,           0.000
     112,          1.850000,          39.641,          29.815,           0.000
     113,          1.866667,          38.809,          28.439,           0.000
     114,          1.883333,          37.930,          26.692,           0.000
     115,          1.900000,          37.000,          25.039,           0.000
     116,          1.916667,          36.025,          23.646,           0.000
     117,          1.933333,          35.014,          22.484,           0.000
     118,          1.950000,          33.942,          21.512,           0.000
     119,          1.966667,          32.816,          20.726,           0.000
     120,          1.983333,          31.655,          20.074,           0.000
     121,          2.000000,          30.468,          19.527,           0.000
     122,          2.016667,          29.255,          19.069,           0.000
     123,          2.033334,          28.036,          18.628,           0.000
     124,          2.050000,          26.849,          18.203,           0.000
     125,          2.066667,          25.693,          17.775,           0.000
     126,          2.083333,          24.604,          17.339,           0.000
     127,          2.100000,          23.592,          16.900,           0.000
     128,          2.116667,          22.668,          16.451,           0.000
     129,          2.133333,          21.864,          15.974,           0.000
     130,          2.150000,          21.113,          15.475,           0.000
     131,          2.166667,          20.421,          14.960,           0.000
     132,          2.183333,          19.810,          14.465,           0.000
     133,          2.200000,          19.247,          13.955,           0.000
     134,          2.216667,          18.721,          13.539,           0.000
     135,          2.233333,          18.223,          13.200,           0.000
     136,          2.250000,          17.751,          12.908,           0.000
     137,          2.266667,          17.294,          12.657,           0.000
     138,          2.283334,          16.832,          12.434,           0.000
     139,          2.300000,          16.383,          12.202,           0.000
     140,          2.316667,          15.959,          11.978,           0.000
     141,          2.333333,          15.536,          11.733,           0.000
     142,          2.350000,          15.139,          11.478,           0.000
     143,          2.366667,          14.765,          11.269,           0.000
     144,          2.383333,          14.454,          11.025,           0.000
     145,          2.400000,          14.139,          10.810,           0.000
     146,          2.416667,          13.807,          10.605,           0.000
     147,          2.433333,          13.504,          10.418,           0.000
     148,          2.450000,          13.205,          10.260,           0.000
     149,          2.466667,          12.925,          10.096,           0.000
     150,          2.483333,          12.668,           9.888,           0.000
     151,          2.500000,          12.419,           9.663,           0.000
     152,          2.516667,          12.186,           9.433,           0.000
     153,          2.533334,          11.956,           9.199,           0.000
     154,          2.550000,          11.754,           8.987,           0.000
     155,          2.566667,          11.549,           8.767,           0.000
     156,          2.583333,          11.322,           8.527,           0.000
     157,          2.600000,          11.106,           8.269,           0.000
     158,          2.616667,          10.889,           8.030,           0.000
     159,          2.633333,          10.674,           7.818,           0.000
     160,          2.650000,          10.443,           7.643,           0.000
     161,          2.666667,          10.228,           7.444,           0.000
     162,          2.683333,          10.016,           7.253,           0.000
     163,          2.700000,           9.783,           7.071,           0.000
     164,          2.716667,           9.552,           6.877,           0.000
     165,          2.733334,           9.340,           6.671,           0.000
     166,          2.750000,           9.125,           6.464,           0.000
     167,          2.766667,           8.932,           6.247,           0.000
     168,          2.783334,           8.775,           6.076,           0.000
     169,          2.800000,           8.543,           5.835,           0.000
     170,          2.816667,           8.304,           5.583,           0.000
     171,          2.833333,           8.076,           5.334,           0.000
     172,          2.850000,           7.877,           5.083,           0.000
     173,          2.866667,           7.710,           4.830,           0.000
     174,          2.883333,           7.529,           4.585,           0.000
     175,          2.900000,           7.328,           4.337,           0.000
     176,          2.916667,           7.124,           4.096,           0.000
     177,          2.933333,           6.915,           3.852,           0.000
     178,          2.950000,           6.722,           3.632,           0.000
     179,          2.966667,           6.546,           3.436,           0.000
     180,          2.983334,           6.313,           3.251,           0.000
     181,          3.000000,           6.168,           3.065,           0.000
