"EG11_012 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_012.tcf]","Time(h)","V arch_bridge [EG11_012]","V FC01.1_R [EG11_012]","V FC04.1_C [EG11_012]"
       1,          0.000000,    0.000,    0.000,    0.000
       2,          0.016667,    0.000,    0.000,    0.000
       3,          0.033333,    0.000,    0.000,    0.000
       4,          0.050000,    0.000,    0.000,    0.000
       5,          0.066667,    0.000,    0.000,    0.000
       6,          0.083333,    0.000,    0.000,    0.000
       7,          0.100000,    0.000,    0.000,    0.000
       8,          0.116667,    0.000,    0.000,    0.000
       9,          0.133333,    0.000,    0.000,    0.000
      10,          0.150000,    0.000,    0.000,    0.000
      11,          0.166667,    0.000,    0.000,    0.000
      12,          0.183333,    0.000,    0.000,    0.000
      13,          0.200000,    0.000,    0.000,    0.000
      14,          0.216667,    0.000,    1.208,    0.000
      15,          0.233333,    0.000,    1.538,    0.000
      16,          0.250000,    0.000,    1.708,    0.000
      17,          0.266667,    0.000,    1.821,    0.000
      18,          0.283333,    0.000,    1.906,    0.000
      19,          0.300000,    0.000,    1.969,    0.000
      20,          0.316667,    0.000,    2.052,    0.000
      21,          0.333333,    0.000,    2.128,    0.000
      22,          0.350000,    0.000,    2.201,    0.000
      23,          0.366667,    0.000,    2.274,    0.000
      24,          0.383333,    0.000,    2.360,    0.000
      25,          0.400000,    0.000,    2.442,    0.000
      26,          0.416667,    0.000,    2.531,    0.000
      27,          0.433333,    0.000,    2.628,    0.000
      28,          0.450000,    0.000,    2.736,    0.000
      29,          0.466667,    0.000,    2.840,    0.000
      30,          0.483333,    0.000,    2.979,    0.000
      31,          0.500000,    0.000,    3.111,    0.000
      32,          0.516667,    0.000,    3.240,    0.000
      33,          0.533333, -872.587,    3.406,    0.000
      34,          0.550000,   -7.347,    3.612,    0.000
      35,          0.566667,    6.836,    4.071,    0.000
      36,          0.583333,    4.316,    5.313,    0.000
      37,          0.600000,    3.629,    5.805,    0.000
      38,          0.616667,    3.380,    6.230,    0.000
      39,          0.633333,    3.091,    6.595,    0.000
      40,          0.650000,    2.246,    6.920,    0.000
      41,          0.666667,    2.675,    7.223,    0.000
      42,          0.683333,    2.216,    7.505,    0.000
      43,          0.700000,    1.577,    7.728,    0.000
      44,          0.716667,    2.084,    7.880,    0.000
      45,          0.733333,    2.076,    7.975,    0.000
      46,          0.750000,    2.095,    8.035,    0.000
      47,          0.766667,    2.143,    8.072,    0.000
      48,          0.783333,    2.215,    8.093,    0.000
      49,          0.800000,    2.322,    8.106,    0.000
      50,          0.816667,    2.449,    8.115,    0.000
      51,          0.833333,    2.579,    8.122,    0.000
      52,          0.850000,    2.700,    8.127,    0.000
      53,          0.866667,    2.818,    8.130,    0.000
      54,          0.883333,    2.921,    8.132,    0.000
      55,          0.900000,    3.005,    8.134,    0.000
      56,          0.916667,    3.074,    8.136,    0.000
      57,          0.933333,    3.130,    8.137,    0.000
      58,          0.950000,    3.177,    8.138,    0.000
      59,          0.966667,    3.215,    8.137,    0.000
      60,          0.983333,    3.247,    8.137,    0.000
      61,          1.000000,    3.273,    8.137,    0.000
      62,          1.016667,    3.296,    8.136,    0.000
      63,          1.033333,    3.314,    8.134,    0.000
      64,          1.050000,    3.330,    8.131,    0.000
      65,          1.066667,    3.345,    8.129,    0.000
      66,          1.083333,    3.361,    8.126,    0.000
      67,          1.100000,    3.376,    8.122,    0.000
      68,          1.116667,    3.388,    8.116,    0.000
      69,          1.133333,    3.398,    8.108,    0.000
      70,          1.150000,    3.405,    8.099,    0.000
      71,          1.166667,    3.409,    8.089,    0.000
      72,          1.183333,    3.409,    8.079,    0.000
      73,          1.200000,    3.406,    8.068,    0.000
      74,          1.216667,    3.399,    8.057,    0.000
      75,          1.233333,    3.389,    8.045,    0.000
      76,          1.250000,    3.375,    8.033,    0.000
      77,          1.266667,    3.358,    8.020,    0.000
      78,          1.283333,    3.338,    8.005,    0.000
      79,          1.300000,    3.315,    7.988,    0.000
      80,          1.316667,    3.290,    7.970,    0.000
      81,          1.333333,    3.261,    7.951,    0.000
      82,          1.350000,    3.229,    7.932,    0.000
      83,          1.366667,    3.194,    7.911,    0.000
      84,          1.383333,    3.156,    7.889,    0.000
      85,          1.400000,    3.114,    7.866,    0.000
      86,          1.416667,    3.068,    7.841,    0.000
      87,          1.433333,    3.020,    7.814,    0.000
      88,          1.450000,    2.970,    7.787,    0.000
      89,          1.466667,    2.916,    7.758,    0.000
      90,          1.483333,    2.861,    7.726,    0.000
      91,          1.500000,    2.799,    7.692,    0.000
      92,          1.516667,    2.735,    7.655,    0.000
      93,          1.533333,    2.673,    7.614,    0.000
      94,          1.550000,    2.613,    7.567,    0.000
      95,          1.566667,    2.554,    7.511,    0.000
      96,          1.583333,    2.500,    7.444,    0.000
      97,          1.600000,    2.448,    7.367,    0.000
      98,          1.616667,    2.400,    7.284,    0.000
      99,          1.633333,    2.357,    7.195,    0.000
     100,          1.650000,    2.319,    7.099,    0.000
     101,          1.666667,    2.287,    6.995,    0.000
     102,          1.683333,    2.261,    6.882,    0.000
     103,          1.700000,    2.236,    6.759,    0.000
     104,          1.716667,    2.214,    6.624,    0.000
     105,          1.733333,    2.196,    6.476,    0.000
     106,          1.750000,    2.180,    6.315,    0.000
     107,          1.766667,    2.164,    6.139,    0.000
     108,          1.783333,    2.146,    5.955,    0.000
     109,          1.800000,    2.129,    5.762,    0.000
     110,          1.816667,    2.110,    5.556,    0.000
     111,          1.833333,    2.089,    5.340,    0.000
     112,          1.850000,    2.068,    5.112,    0.000
     113,          1.866667,    2.046,    4.876,    0.000
     114,          1.883333,    2.022,    3.777,    0.000
     115,          1.900000,    1.997,    3.697,    0.000
     116,          1.916667,    1.971,    3.628,    0.000
     117,          1.933333,    1.944,    3.567,    0.000
     118,          1.950000,    1.916,    3.515,    0.000
     119,          1.966667,    1.887,    3.472,    0.000
     120,          1.983333,    1.857,    3.435,    0.000
     121,          2.000000,    1.826,    3.403,    0.000
     122,          2.016667,    1.794,    3.376,    0.000
     123,          2.033334,    1.763,    3.350,    0.000
     124,          2.050000,    1.733,    3.325,    0.000
     125,          2.066667,    1.706,    3.298,    0.000
     126,          2.083333,    1.682,    3.271,    0.000
     127,          2.100000,    1.661,    3.243,    0.000
     128,          2.116667,    1.643,    3.214,    0.000
     129,          2.133333,    1.630,    3.183,    0.000
     130,          2.150000,    1.619,    3.149,    0.000
     131,          2.166667,    1.609,    3.114,    0.000
     132,          2.183333,    1.602,    3.079,    0.000
     133,          2.200000,    1.594,    3.043,    0.000
     134,          2.216667,    1.587,    3.012,    0.000
     135,          2.233333,    1.581,    2.987,    0.000
     136,          2.250000,    1.575,    2.965,    0.000
     137,          2.266667,    1.569,    2.945,    0.000
     138,          2.283334,    1.562,    2.928,    0.000
     139,          2.300000,    1.556,    2.910,    0.000
     140,          2.316667,    1.551,    2.892,    0.000
     141,          2.333333,    1.545,    2.872,    0.000
     142,          2.350000,    1.542,    2.851,    0.000
     143,          2.366667,    1.540,    2.833,    0.000
     144,          2.383333,    1.542,    2.813,    0.000
     145,          2.400000,    1.541,    2.795,    0.000
     146,          2.416667,    1.539,    2.777,    0.000
     147,          2.433333,    1.539,    2.760,    0.000
     148,          2.450000,    1.539,    2.746,    0.000
     149,          2.466667,    1.540,    2.732,    0.000
     150,          2.483333,    1.545,    2.713,    0.000
     151,          2.500000,    1.548,    2.692,    0.000
     152,          2.516667,    1.551,    2.670,    0.000
     153,          2.533334,    1.555,    2.648,    0.000
     154,          2.550000,    1.560,    2.628,    0.000
     155,          2.566667,    1.565,    2.606,    0.000
     156,          2.583333,    1.570,    2.582,    0.000
     157,          2.600000,    1.576,    2.556,    0.000
     158,          2.616667,    1.592,    2.531,    0.000
     159,          2.633333,    1.600,    2.508,    0.000
     160,          2.650000,    1.607,    2.490,    0.000
     161,          2.666667,    1.616,    2.468,    0.000
     162,          2.683333,    1.625,    2.446,    0.000
     163,          2.700000,    1.636,    2.426,    0.000
     164,          2.716667,    1.648,    2.403,    0.000
     165,          2.733334,    1.664,    2.379,    0.000
     166,          2.750000,    1.676,    2.354,    0.000
     167,          2.766667,    1.688,    2.328,    0.000
     168,          2.783334,    1.711,    2.306,    0.000
     169,          2.800000,    1.721,    2.275,    0.000
     170,          2.816667,    1.749,    2.242,    0.000
     171,          2.833333,    1.773,    2.208,    0.000
     172,          2.850000,    1.803,    2.173,    0.000
     173,          2.866667,    1.837,    2.136,    0.000
     174,          2.883333,    1.869,    2.100,    0.000
     175,          2.900000,    1.905,    2.061,    0.000
     176,          2.916667,    1.945,    2.022,    0.000
     177,          2.933333,    1.991,    1.981,    0.000
     178,          2.950000,    2.051,    1.943,    0.000
     179,          2.966667,    2.115,    1.907,    0.000
     180,          2.983334,    2.188,    1.872,    0.000
     181,          3.000000,    2.277,    1.836,    0.000
