"EG11_012 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_012.tcf]","Time (h)","SQ FC04.1_C [EG11_012]","SQ arch_bridge [EG11_012]","SQ FC01.1_R [EG11_012]"
       1,          0.000000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0000,      0.0000,      0.0000
       7,          0.100000,      0.0000,      0.0000,      0.0000
       8,          0.116667,      0.0000,      0.0000,      0.0000
       9,          0.133333,      0.0000,      0.0000,      0.0000
      10,          0.150000,      0.0000,      0.0000,      0.0000
      11,          0.166667,      0.0000,      0.0000,      0.0000
      12,          0.183333,      0.0000,      0.0000,      0.0000
      13,          0.200000,      0.0000,      0.0000,      0.0000
      14,          0.216667,      0.0000,      0.0000,      0.8724
      15,          0.233333,      0.0000,      0.0000,      1.8008
      16,          0.250000,      0.0000,      0.0000,      2.4688
      17,          0.266667,      0.0000,      0.0000,      2.9900
      18,          0.283333,      0.0000,      0.0000,      3.4291
      19,          0.300000,      0.0000,      0.0000,      3.7830
      20,          0.316667,      0.0000,      0.0000,      4.2773
      21,          0.333333,      0.0000,      0.0000,      4.7758
      22,          0.350000,      0.0000,      0.0000,      5.2782
      23,          0.366667,      0.0000,      0.0000,      5.8236
      24,          0.383333,      0.0000,      0.0000,      6.5092
      25,          0.400000,      0.0000,      0.0000,      7.2117
      26,          0.416667,      0.0000,      0.0000,      8.0269
      27,          0.433333,      0.0000,      0.0000,      8.9891
      28,          0.450000,      0.0000,      0.0000,     10.1407
      29,          0.466667,      0.0000,      0.0000,     11.3503
      30,          0.483333,      0.0000,      0.0000,     13.1022
      31,          0.500000,      0.0000,      0.0000,     14.9184
      32,          0.516667,      0.0000,      0.0000,     16.8542
      33,          0.533333,      0.0000,     -1.1808,     19.5725
      34,          0.550000,      0.0000,     -0.0099,     23.3377
      35,          0.566667,      0.0000,      5.1226,     27.8932
      36,          0.583333,      0.0000,      5.3500,     30.9832
      37,          0.600000,      0.0000,      6.4543,     33.8548
      38,          0.616667,      0.0000,      7.8054,     36.3320
      39,          0.633333,      0.0000,      9.5465,     38.4623
      40,          0.650000,      0.0000,      9.9892,     40.3578
      41,          0.666667,      0.0000,     14.4259,     42.1236
      42,          0.683333,      0.0000,     16.2185,     43.7706
      43,          0.700000,      0.0000,     16.4537,     45.0702
      44,          0.716667,      0.0000,     24.5039,     45.9535
      45,          0.733333,      0.0000,     27.1379,     46.5131
      46,          0.750000,      0.0000,     29.7428,     46.8588
      47,          0.766667,      0.0000,     32.6315,     47.0761
      48,          0.783333,      0.0000,     36.0143,     47.1993
      49,          0.800000,      0.0000,     40.2732,     47.2741
      50,          0.816667,      0.0000,     45.3695,     47.3268
      51,          0.833333,      0.0000,     50.9431,     47.3667
      52,          0.850000,      0.0000,     56.4584,     47.3965
      53,          0.866667,      0.0000,     61.8876,     47.4153
      54,          0.883333,      0.0000,     66.7448,     47.4282
      55,          0.900000,      0.0000,     70.8268,     47.4390
      56,          0.916667,      0.0000,     74.1322,     47.4481
      57,          0.933333,      0.0000,     76.8035,     47.4562
      58,          0.950000,      0.0000,     78.9530,     47.4582
      59,          0.966667,      0.0000,     80.6783,     47.4576
      60,          0.983333,      0.0000,     82.0721,     47.4557
      61,          1.000000,      0.0000,     83.2339,     47.4530
      62,          1.016667,      0.0000,     84.2034,     47.4489
      63,          1.033333,      0.0000,     85.0009,     47.4372
      64,          1.050000,      0.0000,     85.6683,     47.4226
      65,          1.066667,      0.0000,     86.2737,     47.4060
      66,          1.083333,      0.0000,     86.9151,     47.3885
      67,          1.100000,      0.0000,     87.5304,     47.3677
      68,          1.116667,      0.0000,     88.0463,     47.3297
      69,          1.133333,      0.0000,     88.4506,     47.2848
      70,          1.150000,      0.0000,     88.7509,     47.2316
      71,          1.166667,      0.0000,     88.9252,     47.1764
      72,          1.183333,      0.0000,     88.9684,     47.1185
      73,          1.200000,      0.0000,     88.8732,     47.0545
      74,          1.216667,      0.0000,     88.6348,     46.9880
      75,          1.233333,      0.0000,     88.2596,     46.9189
      76,          1.250000,      0.0000,     87.7524,     46.8477
      77,          1.266667,      0.0000,     87.1127,     46.7726
      78,          1.283333,      0.0000,     86.3539,     46.6840
      79,          1.300000,      0.0000,     85.4788,     46.5867
      80,          1.316667,      0.0000,     84.4967,     46.4820
      81,          1.333333,      0.0000,     83.4098,     46.3722
      82,          1.350000,      0.0000,     82.2127,     46.2573
      83,          1.366667,      0.0000,     80.8906,     46.1361
      84,          1.383333,      0.0000,     79.4505,     46.0077
      85,          1.400000,      0.0000,     77.8919,     45.8721
      86,          1.416667,      0.0000,     76.2256,     45.7280
      87,          1.433333,      0.0000,     74.4607,     45.5735
      88,          1.450000,      0.0000,     72.6203,     45.4137
      89,          1.466667,      0.0000,     70.6933,     45.2440
      90,          1.483333,      0.0000,     68.7002,     45.0597
