"EG11_Q100_2hr_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_~e1~_~e2~_004.tcf]","Time(h)","F FC01.1_R [EG11_Q100_2hr_004]","F FC01.2_R [EG11_Q100_2hr_004]","F FC04.1_C [EG11_Q100_2hr_004]"
       1,          0.000000,,,
       2,          0.016667,G,G,G
       3,          0.033333,G,G,G
       4,          0.050000,G,G,G
       5,          0.066667,G,G,G
       6,          0.083333,G,G,G
       7,          0.100000,G,G,G
       8,          0.116667,G,G,G
       9,          0.133333,G,G,G
      10,          0.150000,G,G,G
      11,          0.166667,G,G,G
      12,          0.183333,A,G,G
      13,          0.200000,A,G,G
      14,          0.216667,A,G,G
      15,          0.233333,A,G,G
      16,          0.250000,A,G,G
      17,          0.266667,A,G,G
      18,          0.283333,A,G,G
      19,          0.300000,A,G,G
      20,          0.316667,A,G,G
      21,          0.333333,A,G,G
      22,          0.350000,A,G,G
      23,          0.366667,A,G,G
      24,          0.383333,A,G,G
      25,          0.400000,C,G,G
      26,          0.416667,C,G,G
      27,          0.433333,C,G,G
      28,          0.450000,C,G,G
      29,          0.466667,C,G,G
      30,          0.483333,C,G,G
      31,          0.500000,E,C,G
      32,          0.516667,E,D,G
      33,          0.533333,B,D,G
      34,          0.550000,B,D,G
      35,          0.566667,B,D,G
      36,          0.583333,B,D,G
      37,          0.600000,B,D,G
      38,          0.616667,B,D,G
      39,          0.633333,L,D,G
      40,          0.650000,L,E,G
      41,          0.666667,L,F,G
      42,          0.683333,L,F,G
      43,          0.700000,L,F,G
      44,          0.716667,L,F,G
      45,          0.733333,L,F,G
      46,          0.750000,L,F,G
      47,          0.766667,L,F,G
      48,          0.783333,L,F,G
      49,          0.800000,L,L,G
      50,          0.816667,L,L,G
      51,          0.833333,L,L,G
      52,          0.850000,L,L,G
      53,          0.866667,L,L,G
      54,          0.883333,L,L,G
      55,          0.900000,L,L,G
      56,          0.916667,L,L,G
      57,          0.933333,L,L,G
      58,          0.950000,L,L,G
      59,          0.966667,L,L,G
      60,          0.983333,L,L,G
      61,          1.000000,L,L,G
      62,          1.016667,L,F,G
      63,          1.033333,L,F,G
      64,          1.050000,L,F,G
      65,          1.066667,L,F,G
      66,          1.083333,L,F,G
      67,          1.100000,L,F,G
      68,          1.116667,L,F,G
      69,          1.133333,L,F,G
      70,          1.150000,L,F,G
      71,          1.166667,L,F,G
      72,          1.183333,L,F,G
      73,          1.200000,L,F,G
      74,          1.216667,L,F,G
      75,          1.233333,L,F,G
      76,          1.250000,L,F,G
      77,          1.266667,L,F,G
      78,          1.283333,L,F,G
      79,          1.300000,L,F,G
      80,          1.316667,L,F,G
      81,          1.333333,L,F,G
      82,          1.350000,L,F,G
      83,          1.366667,L,F,G
      84,          1.383333,L,F,G
      85,          1.400000,L,F,G
      86,          1.416667,L,F,G
      87,          1.433333,L,F,G
      88,          1.450000,L,F,G
      89,          1.466667,L,F,G
      90,          1.483333,L,F,G
      91,          1.500000,L,F,G
      92,          1.516667,L,F,G
      93,          1.533333,L,F,G
      94,          1.550000,L,F,G
      95,          1.566667,L,F,G
      96,          1.583333,L,F,G
      97,          1.600000,L,F,G
      98,          1.616667,L,F,G
      99,          1.633333,L,F,G
     100,          1.650000,L,F,G
     101,          1.666667,L,F,G
     102,          1.683333,L,F,G
     103,          1.700000,L,F,G
     104,          1.716667,L,F,G
     105,          1.733333,L,F,G
     106,          1.750000,L,F,G
     107,          1.766667,L,F,G
     108,          1.783333,B,F,G
     109,          1.800000,B,F,G
     110,          1.816667,B,F,G
     111,          1.833333,B,F,G
     112,          1.850000,B,F,G
     113,          1.866667,B,F,G
     114,          1.883333,B,F,G
     115,          1.900000,B,F,G
     116,          1.916667,B,F,G
     117,          1.933333,B,F,G
     118,          1.950000,B,F,G
     119,          1.966667,B,F,G
     120,          1.983333,B,F,G
     121,          2.000000,B,F,G
     122,          2.016667,B,F,G
     123,          2.033334,B,F,G
     124,          2.050000,B,F,G
     125,          2.066667,B,L,G
     126,          2.083333,B,L,G
     127,          2.100000,B,L,G
     128,          2.116667,B,L,G
     129,          2.133333,B,L,G
     130,          2.150000,B,L,G
     131,          2.166667,B,L,G
     132,          2.183333,B,L,G
     133,          2.200000,B,L,G
     134,          2.216667,B,L,G
     135,          2.233333,E,L,G
     136,          2.250000,E,L,G
     137,          2.266667,E,L,G
     138,          2.283334,E,L,G
     139,          2.300000,E,L,G
     140,          2.316667,E,L,G
     141,          2.333333,E,L,G
     142,          2.350000,E,L,G
     143,          2.366667,E,L,G
     144,          2.383333,E,L,G
     145,          2.400000,C,L,G
     146,          2.416667,C,L,G
     147,          2.433333,C,L,G
     148,          2.450000,C,L,G
     149,          2.466667,C,L,G
     150,          2.483333,C,L,G
     151,          2.500000,C,L,G
     152,          2.516667,C,L,G
     153,          2.533334,C,L,G
     154,          2.550000,C,L,G
     155,          2.566667,C,L,G
     156,          2.583333,C,L,G
     157,          2.600000,C,L,G
     158,          2.616667,C,L,G
     159,          2.633333,C,L,G
     160,          2.650000,C,L,G
     161,          2.666667,C,L,G
     162,          2.683333,C,L,G
     163,          2.700000,C,L,G
     164,          2.716667,C,L,G
     165,          2.733334,C,L,G
     166,          2.750000,C,L,G
     167,          2.766667,C,L,G
     168,          2.783334,C,L,G
     169,          2.800000,C,L,G
     170,          2.816667,C,L,G
     171,          2.833333,C,L,G
     172,          2.850000,C,L,G
     173,          2.866667,C,L,G
     174,          2.883333,C,L,G
     175,          2.900000,C,L,G
     176,          2.916667,C,L,G
     177,          2.933333,C,L,G
     178,          2.950000,C,L,G
     179,          2.966667,A,L,G
     180,          2.983334,A,F,G
     181,          3.000000,A,F,G
