"EG11_Q100_2hr_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_~e1~_~e2~_004.tcf]","Time (h)","H FC01.1_R.1 [EG11_Q100_2hr_004]","H FC01.1_R.2 [EG11_Q100_2hr_004]","H FC01.2_R.1 [EG11_Q100_2hr_004]","H FC01.2_R.2 [EG11_Q100_2hr_004]","H FC04.1_C.1 [EG11_Q100_2hr_004]","H FC04.1_C.2 [EG11_Q100_2hr_004]"
       1,          0.000000,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       2,          0.016667,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       3,          0.033333,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       4,          0.050000,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       5,          0.066667,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       6,          0.083333,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       7,          0.100000,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       8,          0.116667,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       9,          0.133333,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      10,          0.150000,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      11,          0.166667,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      12,          0.183333,     44.8598,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      13,          0.200000,     45.0909,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      14,          0.216667,     45.2226,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      15,          0.233333,     45.3198,     44.5865,     37.5990,     37.4990,     43.3490,     42.7490
      16,          0.250000,     45.3979,     44.6528,     37.5990,     37.4990,     43.3490,     42.7490
      17,          0.266667,     45.4634,     44.7046,     37.5990,     37.4990,     43.3490,     42.7490
      18,          0.283333,     45.5162,     44.7554,     37.5990,     37.4990,     43.3490,     42.7490
      19,          0.300000,     45.5752,     44.8016,     37.5990,     37.4990,     43.3490,     42.7490
      20,          0.316667,     45.6356,     44.8488,     37.5990,     37.4990,     43.3490,     42.7490
      21,          0.333333,     45.6955,     44.8889,     37.5990,     37.4990,     43.3490,     42.7490
      22,          0.350000,     45.7731,     44.9387,     37.5990,     37.4990,     43.3490,     42.7490
      23,          0.366667,     45.8543,     44.9934,     37.5990,     37.4990,     43.3490,     42.7490
      24,          0.383333,     45.9514,     45.0537,     37.5990,     37.4990,     43.3490,     42.7490
      25,          0.400000,     46.0638,     45.1144,     37.5990,     37.4990,     43.3490,     42.7490
      26,          0.416667,     46.1844,     45.1817,     37.5990,     37.4990,     43.3490,     42.7490
      27,          0.433333,     46.2850,     45.2400,     37.5990,     37.4990,     43.3490,     42.7490
      28,          0.450000,     46.4021,     45.3002,     37.5990,     37.4990,     43.3490,     42.7490
      29,          0.466667,     46.5449,     45.3829,     37.5990,     37.4990,     43.3490,     42.7490
      30,          0.483333,     46.7104,     45.4570,     37.5990,     37.4990,     43.3490,     42.7490
      31,          0.500000,     46.9206,     45.5286,     37.7084,     37.4990,     43.3490,     42.7490
      32,          0.516667,     47.0994,     45.6178,     38.1613,     37.8764,     43.3490,     42.7490
      33,          0.533333,     47.3375,     45.7044,     38.2992,     37.9854,     43.3490,     42.7490
      34,          0.550000,     47.6384,     45.7897,     38.4107,     38.0704,     43.3490,     42.7490
      35,          0.566667,     47.9546,     45.8930,     38.5284,     38.1540,     43.3490,     42.7490
      36,          0.583333,     48.2661,     46.0019,     38.6097,     38.2259,     43.3490,     42.7490
      37,          0.600000,     48.5522,     46.1253,     38.7406,     38.3057,     43.3490,     42.7490
      38,          0.616667,     48.7932,     46.2586,     38.8460,     38.3861,     43.3490,     42.7490
      39,          0.633333,     48.9940,     46.4019,     38.9980,     38.4915,     43.3490,     42.7490
      40,          0.650000,     49.1611,     46.5456,     39.1995,     38.6006,     43.3490,     42.7490
      41,          0.666667,     49.2981,     46.6916,     39.3521,     38.7146,     43.3490,     42.7490
      42,          0.683333,     49.4125,     46.8121,     39.5688,     38.8031,     43.3490,     42.7490
      43,          0.700000,     49.4965,     46.9239,     39.8178,     38.8980,     43.3490,     42.7490
      44,          0.716667,     49.5530,     47.0080,     40.0660,     38.9875,     43.3490,     42.7490
      45,          0.733333,     49.5902,     47.0840,     40.3325,     39.0824,     43.3490,     42.7490
      46,          0.750000,     49.6149,     47.1304,     40.6066,     39.1722,     43.3490,     42.7490
      47,          0.766667,     49.6324,     47.1657,     40.8808,     39.2508,     43.3490,     42.7490
      48,          0.783333,     49.6429,     47.1885,     41.1567,     39.3185,     43.3490,     42.7490
      49,          0.800000,     49.6499,     47.2029,     41.4122,     39.3793,     43.3490,     42.7490
      50,          0.816667,     49.6554,     47.2132,     41.6453,     39.4281,     43.3490,     42.7490
      51,          0.833333,     49.6601,     47.2206,     41.8480,     39.4677,     43.3490,     42.7490
      52,          0.850000,     49.6640,     47.2268,     42.0199,     39.5004,     43.3490,     42.7490
      53,          0.866667,     49.6663,     47.2311,     42.1652,     39.5275,     43.3490,     42.7490
      54,          0.883333,     49.6681,     47.2341,     42.2884,     39.5492,     43.3490,     42.7490
      55,          0.900000,     49.6694,     47.2362,     42.3947,     39.5674,     43.3490,     42.7490
      56,          0.916667,     49.6708,     47.2379,     42.4898,     39.5826,     43.3490,     42.7490
      57,          0.933333,     49.6719,     47.2396,     42.5758,     39.5955,     43.3490,     42.7739
      58,          0.950000,     49.6723,     47.2406,     42.6540,     39.6098,     43.3490,     42.8185
      59,          0.966667,     49.6722,     47.2408,     42.7230,     39.6554,     43.3490,     42.8673
      60,          0.983333,     49.6718,     47.2406,     42.7837,     39.7316,     43.3490,     42.9075
      61,          1.000000,     49.6713,     47.2400,     42.8352,     39.8339,     43.3490,     42.9499
      62,          1.016667,     49.6707,     47.2393,     42.8794,     39.9441,     43.3490,     43.0361
      63,          1.033333,     49.6688,     47.2377,     42.9217,     40.0521,     43.3490,     43.0746
      64,          1.050000,     49.6664,     47.2350,     42.9592,     40.1572,     43.3490,     43.1055
      65,          1.066667,     49.6637,     47.2315,     42.9900,     40.2510,     43.3490,     43.1282
      66,          1.083333,     49.6609,     47.2277,     43.0155,     40.3304,     43.3490,     43.1522
      67,          1.100000,     49.6574,     47.2234,     43.0365,     40.3941,     43.3490,     43.1739
      68,          1.116667,     49.6514,     47.2167,     43.0542,     40.4459,     43.3490,     43.1897
      69,          1.133333,     49.6445,     47.2081,     43.0684,     40.4859,     43.3490,     43.2033
      70,          1.150000,     49.6369,     47.1964,     43.0803,     40.5170,     43.3490,     43.2128
