"EG11_Q100_2hr_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_~e1~_~e2~_004.tcf]","Time (h)","Q FC01.1_R [EG11_Q100_2hr_004]","Q FC01.2_R [EG11_Q100_2hr_004]","Q FC04.1_C [EG11_Q100_2hr_004]"
       1,          0.000000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000
       5,          0.066667,           0.000,           0.000,           0.000
       6,          0.083333,           0.000,           0.000,           0.000
       7,          0.100000,           0.000,           0.000,           0.000
       8,          0.116667,           0.000,           0.000,           0.000
       9,          0.133333,           0.000,           0.000,           0.000
      10,          0.150000,           0.000,           0.000,           0.000
      11,          0.166667,           0.000,           0.000,           0.000
      12,          0.183333,           0.545,           0.000,           0.000
      13,          0.200000,           1.423,           0.000,           0.000
      14,          0.216667,           2.033,           0.000,           0.000
      15,          0.233333,           2.528,           0.000,           0.000
      16,          0.250000,           2.951,           0.000,           0.000
      17,          0.266667,           3.322,           0.000,           0.000
      18,          0.283333,           3.632,           0.000,           0.000
      19,          0.300000,           3.988,           0.000,           0.000
      20,          0.316667,           4.364,           0.000,           0.000
      21,          0.333333,           4.748,           0.000,           0.000
      22,          0.350000,           5.262,           0.000,           0.000
      23,          0.366667,           5.817,           0.000,           0.000
      24,          0.383333,           6.515,           0.000,           0.000
      25,          0.400000,           6.958,           0.000,           0.000
      26,          0.416667,           7.809,           0.000,           0.000
      27,          0.433333,           8.544,           0.000,           0.000
      28,          0.450000,           9.425,           0.000,           0.000
      29,          0.466667,          10.537,           0.000,           0.000
      30,          0.483333,          11.876,           0.000,           0.000
      31,          0.500000,          13.181,           0.148,           0.000
      32,          0.516667,          14.960,           2.306,           0.000
      33,          0.533333,          16.623,           3.175,           0.000
      34,          0.550000,          18.070,           3.919,           0.000
      35,          0.566667,          19.476,           4.741,           0.000
      36,          0.583333,          20.768,           5.351,           0.000
      37,          0.600000,          21.887,           6.345,           0.000
      38,          0.616667,          22.788,           7.196,           0.000
      39,          0.633333,          23.512,           8.477,           0.000
      40,          0.650000,          24.097,          10.014,           0.000
      41,          0.666667,          24.567,          11.316,           0.000
      42,          0.683333,          24.953,          12.400,           0.000
      43,          0.700000,          25.232,          13.591,           0.000
      44,          0.716667,          25.419,          14.718,           0.000
      45,          0.733333,          25.541,          15.845,           0.000
      46,          0.750000,          25.621,          16.974,           0.000
      47,          0.766667,          25.678,          18.094,           0.000
      48,          0.783333,          25.712,          19.215,           0.000
      49,          0.800000,          25.735,          20.187,           0.000
      50,          0.816667,          25.753,          20.935,           0.000
      51,          0.833333,          25.768,          21.564,           0.000
      52,          0.850000,          25.781,          22.083,           0.000
      53,          0.866667,          25.788,          22.513,           0.000
      54,          0.883333,          25.794,          22.871,           0.000
      55,          0.900000,          25.798,          23.175,           0.000
      56,          0.916667,          25.803,          23.444,           0.000
      57,          0.933333,          25.806,          23.685,           0.000
      58,          0.950000,          25.808,          23.901,           0.000
      59,          0.966667,          25.807,          24.091,           0.000
      60,          0.983333,          25.806,          24.257,           0.000
      61,          1.000000,          25.804,          24.396,           0.000
      62,          1.016667,          25.802,          24.286,           0.000
      63,          1.033333,          25.796,          24.012,           0.000
      64,          1.050000,          25.788,          23.728,           0.000
      65,          1.066667,          25.780,          23.459,           0.000
      66,          1.083333,          25.771,          23.227,           0.000
      67,          1.100000,          25.759,          23.041,           0.000
      68,          1.116667,          25.740,          22.893,           0.000
      69,          1.133333,          25.718,          22.779,           0.000
      70,          1.150000,          25.693,          22.694,           0.000
      71,          1.166667,          25.668,          22.629,           0.000
      72,          1.183333,          25.642,          22.580,           0.000
      73,          1.200000,          25.613,          22.543,           0.000
      74,          1.216667,          25.581,          22.515,           0.000
      75,          1.233333,          25.547,          22.495,           0.000
      76,          1.250000,          25.511,          22.481,           0.000
      77,          1.266667,          25.474,          22.472,           0.000
      78,          1.283333,          25.428,          22.468,           0.000
      79,          1.300000,          25.378,          22.468,           0.000
      80,          1.316667,          25.324,          22.471,           0.000
      81,          1.333333,          25.266,          22.476,           0.000
      82,          1.350000,          25.205,          22.484,           0.000
      83,          1.366667,          25.143,          22.494,           0.000
      84,          1.383333,          25.079,          22.507,           0.000
      85,          1.400000,          25.012,          22.522,           0.000
      86,          1.416667,          24.943,          22.539,           0.000
      87,          1.433333,          24.868,          22.558,           0.000
      88,          1.450000,          24.791,          22.579,           0.000
      89,          1.466667,          24.708,          22.601,           0.000
      90,          1.483333,          24.617,          22.627,           0.000
      91,          1.500000,          24.476,          22.655,           0.000
      92,          1.516667,          24.337,          22.685,           0.000
      93,          1.533333,          24.196,          22.718,           0.000
      94,          1.550000,          24.055,          22.753,           0.000
      95,          1.566667,          23.913,          22.787,           0.000
      96,          1.583333,          23.767,          22.820,           0.000
      97,          1.600000,          23.616,          22.855,           0.000
      98,          1.616667,          23.444,          22.891,           0.000
      99,          1.633333,          23.295,          22.930,           0.000
     100,          1.650000,          23.154,          22.972,           0.000
     101,          1.666667,          23.017,          23.015,           0.000
     102,          1.683333,          22.880,          23.062,           0.000
     103,          1.700000,          22.741,          23.109,           0.000
     104,          1.716667,          22.582,          23.159,           0.000
     105,          1.733333,          22.420,          23.212,           0.000
     106,          1.750000,          22.257,          23.264,           0.000
     107,          1.766667,          22.078,          23.319,           0.000
     108,          1.783333,          21.900,          23.374,           0.000
     109,          1.800000,          21.733,          23.429,           0.000
     110,          1.816667,          21.571,          23.482,           0.000
     111,          1.833333,          21.411,          23.536,           0.000
     112,          1.850000,          21.255,          23.590,           0.000
     113,          1.866667,          21.103,          23.642,           0.000
     114,          1.883333,          20.951,          23.693,           0.000
     115,          1.900000,          20.800,          23.741,           0.000
     116,          1.916667,          20.633,          23.789,           0.000
     117,          1.933333,          20.472,          23.835,           0.000
     118,          1.950000,          20.308,          23.880,           0.000
     119,          1.966667,          20.145,          23.924,           0.000
     120,          1.983333,          19.978,          23.966,           0.000
     121,          2.000000,          19.810,          24.006,           0.000
     122,          2.016667,          19.640,          24.044,           0.000
     123,          2.033334,          19.461,          24.080,           0.000
     124,          2.050000,          19.269,          24.113,           0.000
     125,          2.066667,          19.065,          24.117,           0.000
     126,          2.083333,          18.848,          24.099,           0.000
     127,          2.100000,          18.610,          24.080,           0.000
     128,          2.116667,          18.347,          24.061,           0.000
     129,          2.133333,          18.059,          24.043,           0.000
     130,          2.150000,          17.743,          24.024,           0.000
     131,          2.166667,          17.402,          24.006,           0.000
     132,          2.183333,          17.025,          23.987,           0.000
     133,          2.200000,          16.637,          23.968,           0.000
     134,          2.216667,          16.247,          23.949,           0.000
     135,          2.233333,          15.754,          23.929,           0.000
     136,          2.250000,          15.134,          23.908,           0.000
     137,          2.266667,          14.543,          23.887,           0.000
     138,          2.283334,          13.989,          23.865,           0.000
     139,          2.300000,          13.474,          23.841,           0.000
     140,          2.316667,          13.019,          23.817,           0.000
     141,          2.333333,          12.565,          23.791,           0.000
     142,          2.350000,          12.140,          23.764,           0.000
     143,          2.366667,          11.768,          23.735,           0.000
     144,          2.383333,          11.431,          23.705,           0.000
     145,          2.400000,          11.773,          23.673,           0.000
     146,          2.416667,          11.396,          23.640,           0.000
     147,          2.433333,          11.080,          23.606,           0.000
     148,          2.450000,          10.772,          23.570,           0.000
     149,          2.466667,          10.516,          23.533,           0.000
     150,          2.483333,          10.300,          23.496,           0.000
     151,          2.500000,          10.042,          23.457,           0.000
     152,          2.516667,           9.782,          23.417,           0.000
     153,          2.533334,           9.538,          23.375,           0.000
     154,          2.550000,           9.290,          23.332,           0.000
     155,          2.566667,           9.016,          23.288,           0.000
     156,          2.583333,           8.793,          23.243,           0.000
     157,          2.600000,           8.530,          23.198,           0.000
     158,          2.616667,           8.276,          23.150,           0.000
     159,          2.633333,           8.039,          23.100,           0.000
     160,          2.650000,           7.821,          23.049,           0.000
     161,          2.666667,           7.683,          22.997,           0.000
     162,          2.683333,           7.479,          22.943,           0.000
     163,          2.700000,           7.283,          22.887,           0.000
     164,          2.716667,           7.083,          22.830,           0.000
     165,          2.733334,           6.872,          22.771,           0.000
     166,          2.750000,           6.652,          22.710,           0.000
     167,          2.766667,           6.423,          22.647,           0.000
     168,          2.783334,           6.191,          22.582,           0.000
     169,          2.800000,           5.950,          22.516,           0.000
     170,          2.816667,           5.707,          22.446,           0.000
     171,          2.833333,           5.453,          22.375,           0.000
     172,          2.850000,           5.194,          22.301,           0.000
     173,          2.866667,           4.923,          22.224,           0.000
     174,          2.883333,           4.649,          22.144,           0.000
     175,          2.900000,           4.391,          22.061,           0.000
     176,          2.916667,           4.169,          21.975,           0.000
     177,          2.933333,           3.952,          21.885,           0.000
     178,          2.950000,           3.738,          21.791,           0.000
     179,          2.966667,           3.581,          21.692,           0.000
     180,          2.983334,           3.371,          21.587,           0.000
     181,          3.000000,           3.184,          21.446,           0.000
