"EG11_Q100_2hr_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_~e1~_~e2~_004.tcf]","Time(h)","V FC01.1_R [EG11_Q100_2hr_004]","V FC01.2_R [EG11_Q100_2hr_004]","V FC04.1_C [EG11_Q100_2hr_004]"
       1,          0.000000,    0.000,    0.000,    0.000
       2,          0.016667,    0.000,    0.000,    0.000
       3,          0.033333,    0.000,    0.000,    0.000
       4,          0.050000,    0.000,    0.000,    0.000
       5,          0.066667,    0.000,    0.000,    0.000
       6,          0.083333,    0.000,    0.000,    0.000
       7,          0.100000,    0.000,    0.000,    0.000
       8,          0.116667,    0.000,    0.000,    0.000
       9,          0.133333,    0.000,    0.000,    0.000
      10,          0.150000,    0.000,    0.000,    0.000
      11,          0.166667,    0.000,    0.000,    0.000
      12,          0.183333,    1.300,    0.000,    0.000
      13,          0.200000,    1.791,    0.000,    0.000
      14,          0.216667,    2.017,    0.000,    0.000
      15,          0.233333,    2.169,    0.000,    0.000
      16,          0.250000,    2.284,    0.000,    0.000
      17,          0.266667,    2.376,    0.000,    0.000
      18,          0.283333,    2.448,    0.000,    0.000
      19,          0.300000,    2.525,    0.000,    0.000
      20,          0.316667,    2.602,    0.000,    0.000
      21,          0.333333,    2.676,    0.000,    0.000
      22,          0.350000,    2.770,    0.000,    0.000
      23,          0.366667,    2.864,    0.000,    0.000
      24,          0.383333,    2.974,    0.000,    0.000
      25,          0.400000,    2.862,    0.000,    0.000
      26,          0.416667,    2.965,    0.000,    0.000
      27,          0.433333,    3.048,    0.000,    0.000
      28,          0.450000,    3.141,    0.000,    0.000
      29,          0.466667,    3.251,    0.000,    0.000
      30,          0.483333,    3.373,    0.000,    0.000
      31,          0.500000,    2.712,    0.720,    0.000
      32,          0.516667,    3.078,    1.704,    0.000
      33,          0.533333,    5.701,    1.818,    0.000
      34,          0.550000,    6.197,    1.909,    0.000
      35,          0.566667,    6.679,    2.014,    0.000
      36,          0.583333,    7.122,    2.047,    0.000
      37,          0.600000,    7.506,    2.188,    0.000
      38,          0.616667,    7.815,    2.258,    0.000
      39,          0.633333,    8.063,    2.376,    0.000
      40,          0.650000,    8.264,    2.318,    0.000
      41,          0.666667,    8.425,    2.619,    0.000
      42,          0.683333,    8.557,    2.870,    0.000
      43,          0.700000,    8.653,    3.146,    0.000
      44,          0.716667,    8.717,    3.407,    0.000
      45,          0.733333,    8.759,    3.668,    0.000
      46,          0.750000,    8.786,    3.929,    0.000
      47,          0.766667,    8.806,    4.188,    0.000
      48,          0.783333,    8.818,    4.448,    0.000
      49,          0.800000,    8.826,    7.788,    0.000
      50,          0.816667,    8.832,    8.077,    0.000
      51,          0.833333,    8.837,    8.319,    0.000
      52,          0.850000,    8.841,    8.520,    0.000
      53,          0.866667,    8.844,    8.685,    0.000
      54,          0.883333,    8.846,    8.824,    0.000
      55,          0.900000,    8.847,    8.941,    0.000
      56,          0.916667,    8.849,    9.045,    0.000
      57,          0.933333,    8.850,    9.138,    0.000
      58,          0.950000,    8.850,    9.221,    0.000
      59,          0.966667,    8.850,    9.294,    0.000
      60,          0.983333,    8.850,    9.358,    0.000
      61,          1.000000,    8.849,    9.412,    0.000
      62,          1.016667,    8.849,    5.622,    0.000
      63,          1.033333,    8.846,    5.558,    0.000
      64,          1.050000,    8.844,    5.493,    0.000
      65,          1.066667,    8.841,    5.430,    0.000
      66,          1.083333,    8.838,    5.377,    0.000
      67,          1.100000,    8.834,    5.334,    0.000
      68,          1.116667,    8.827,    5.299,    0.000
      69,          1.133333,    8.819,    5.273,    0.000
      70,          1.150000,    8.811,    5.253,    0.000
      71,          1.166667,    8.803,    5.238,    0.000
      72,          1.183333,    8.794,    5.227,    0.000
      73,          1.200000,    8.783,    5.218,    0.000
      74,          1.216667,    8.772,    5.212,    0.000
      75,          1.233333,    8.761,    5.207,    0.000
      76,          1.250000,    8.749,    5.204,    0.000
      77,          1.266667,    8.736,    5.202,    0.000
      78,          1.283333,    8.720,    5.201,    0.000
      79,          1.300000,    8.703,    5.201,    0.000
      80,          1.316667,    8.684,    5.202,    0.000
      81,          1.333333,    8.665,    5.203,    0.000
      82,          1.350000,    8.644,    5.205,    0.000
      83,          1.366667,    8.622,    5.207,    0.000
      84,          1.383333,    8.600,    5.210,    0.000
      85,          1.400000,    8.578,    5.214,    0.000
      86,          1.416667,    8.554,    5.217,    0.000
      87,          1.433333,    8.528,    5.222,    0.000
      88,          1.450000,    8.502,    5.227,    0.000
      89,          1.466667,    8.473,    5.232,    0.000
      90,          1.483333,    8.442,    5.238,    0.000
      91,          1.500000,    8.394,    5.244,    0.000
      92,          1.516667,    8.346,    5.251,    0.000
      93,          1.533333,    8.298,    5.259,    0.000
      94,          1.550000,    8.249,    5.267,    0.000
      95,          1.566667,    8.201,    5.275,    0.000
      96,          1.583333,    8.150,    5.282,    0.000
      97,          1.600000,    8.099,    5.291,    0.000
      98,          1.616667,    8.040,    5.299,    0.000
      99,          1.633333,    7.989,    5.308,    0.000
     100,          1.650000,    7.940,    5.318,    0.000
     101,          1.666667,    7.893,    5.328,    0.000
     102,          1.683333,    7.846,    5.338,    0.000
     103,          1.700000,    7.799,    5.349,    0.000
     104,          1.716667,    7.744,    5.361,    0.000
     105,          1.733333,    7.689,    5.373,    0.000
     106,          1.750000,    7.633,    5.385,    0.000
     107,          1.766667,    7.571,    5.398,    0.000
     108,          1.783333,    7.510,    5.411,    0.000
     109,          1.800000,    7.453,    5.423,    0.000
     110,          1.816667,    7.397,    5.436,    0.000
     111,          1.833333,    7.343,    5.448,    0.000
     112,          1.850000,    7.289,    5.461,    0.000
     113,          1.866667,    7.237,    5.473,    0.000
     114,          1.883333,    7.185,    5.484,    0.000
     115,          1.900000,    7.133,    5.496,    0.000
     116,          1.916667,    7.076,    5.507,    0.000
     117,          1.933333,    7.020,    5.517,    0.000
     118,          1.950000,    6.964,    5.528,    0.000
     119,          1.966667,    6.908,    5.538,    0.000
     120,          1.983333,    6.851,    5.548,    0.000
     121,          2.000000,    6.794,    5.557,    0.000
     122,          2.016667,    6.735,    5.566,    0.000
     123,          2.033334,    6.674,    5.574,    0.000
     124,          2.050000,    6.608,    5.582,    0.000
     125,          2.066667,    6.538,    9.304,    0.000
     126,          2.083333,    6.464,    9.297,    0.000
     127,          2.100000,    6.382,    9.290,    0.000
     128,          2.116667,    6.292,    9.283,    0.000
     129,          2.133333,    6.193,    9.276,    0.000
     130,          2.150000,    6.085,    9.269,    0.000
     131,          2.166667,    5.968,    9.262,    0.000
     132,          2.183333,    5.838,    9.254,    0.000
     133,          2.200000,    5.705,    9.247,    0.000
     134,          2.216667,    5.572,    9.240,    0.000
     135,          2.233333,    3.242,    9.232,    0.000
     136,          2.250000,    3.114,    9.224,    0.000
     137,          2.266667,    2.992,    9.216,    0.000
     138,          2.283334,    2.878,    9.207,    0.000
     139,          2.300000,    2.772,    9.198,    0.000
     140,          2.316667,    2.679,    9.189,    0.000
     141,          2.333333,    2.585,    9.179,    0.000
     142,          2.350000,    2.498,    9.168,    0.000
     143,          2.366667,    2.421,    9.157,    0.000
     144,          2.383333,    2.352,    9.145,    0.000
     145,          2.400000,    3.366,    9.133,    0.000
     146,          2.416667,    3.333,    9.120,    0.000
     147,          2.433333,    3.304,    9.107,    0.000
     148,          2.450000,    3.275,    9.094,    0.000
     149,          2.466667,    3.251,    9.079,    0.000
     150,          2.483333,    3.230,    9.065,    0.000
     151,          2.500000,    3.205,    9.050,    0.000
     152,          2.516667,    3.179,    9.034,    0.000
     153,          2.533334,    3.155,    9.018,    0.000
     154,          2.550000,    3.129,    9.002,    0.000
     155,          2.566667,    3.101,    8.985,    0.000
     156,          2.583333,    3.077,    8.967,    0.000
     157,          2.600000,    3.048,    8.950,    0.000
     158,          2.616667,    3.020,    8.931,    0.000
     159,          2.633333,    2.994,    8.912,    0.000
     160,          2.650000,    2.969,    8.892,    0.000
     161,          2.666667,    2.953,    8.872,    0.000
     162,          2.683333,    2.928,    8.851,    0.000
     163,          2.700000,    2.905,    8.830,    0.000
     164,          2.716667,    2.880,    8.808,    0.000
     165,          2.733334,    2.854,    8.785,    0.000
     166,          2.750000,    2.826,    8.762,    0.000
     167,          2.766667,    2.797,    8.737,    0.000
     168,          2.783334,    2.766,    8.712,    0.000
     169,          2.800000,    2.733,    8.687,    0.000
     170,          2.816667,    2.699,    8.660,    0.000
     171,          2.833333,    2.662,    8.632,    0.000
     172,          2.850000,    2.624,    8.604,    0.000
     173,          2.866667,    2.582,    8.574,    0.000
     174,          2.883333,    2.537,    8.543,    0.000
     175,          2.900000,    2.498,    8.511,    0.000
     176,          2.916667,    2.459,    8.478,    0.000
     177,          2.933333,    2.419,    8.443,    0.000
     178,          2.950000,    2.378,    8.407,    0.000
     179,          2.966667,    2.436,    8.369,    0.000
     180,          2.983334,    2.388,    4.997,    0.000
     181,          3.000000,    2.343,    4.964,    0.000
