"EG11_Q100_2hr_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_~e1~_~e2~_004.tcf]","Time (h)","SQ FC04.1_C [EG11_Q100_2hr_004]","SQ FC01.1_R [EG11_Q100_2hr_004]","SQ FC01.2_R [EG11_Q100_2hr_004]"
       1,          0.000000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0000,      0.0000,      0.0000
       7,          0.100000,      0.0000,      0.0000,      0.0000
       8,          0.116667,      0.0000,      0.0000,      0.0000
       9,          0.133333,      0.0000,      0.0000,      0.0000
      10,          0.150000,      0.0000,      0.0000,      0.0000
      11,          0.166667,      0.0000,      0.0000,      0.0000
      12,          0.183333,      0.0000,      0.5447,      0.0000
      13,          0.200000,      0.0000,      1.4228,      0.0000
      14,          0.216667,      0.0000,      2.0327,      0.0000
      15,          0.233333,      0.0000,      2.5281,      0.0000
      16,          0.250000,      0.0000,      2.9511,      0.0000
      17,          0.266667,      0.0000,      3.3218,      0.0000
      18,          0.283333,      0.0000,      3.6320,      0.0000
      19,          0.300000,      0.0000,      3.9880,      0.0000
      20,          0.316667,      0.0000,      4.3642,      0.0000
      21,          0.333333,      0.0000,      4.7482,      0.0000
      22,          0.350000,      0.0000,      5.2618,      0.0000
      23,          0.366667,      0.0000,      5.8174,      0.0000
      24,          0.383333,      0.0000,      6.5151,      0.0000
      25,          0.400000,      0.0000,      6.9580,      0.0000
      26,          0.416667,      0.0000,      7.8094,      0.0000
      27,          0.433333,      0.0000,      8.5442,      0.0000
      28,          0.450000,      0.0000,      9.4255,      0.0000
      29,          0.466667,      0.0000,     10.5367,      0.0000
      30,          0.483333,      0.0000,     11.8756,      0.0000
      31,          0.500000,      0.0000,     13.1809,      0.1481
      32,          0.516667,      0.0000,     14.9600,      2.3065
      33,          0.533333,      0.0000,     16.6235,      3.1753
      34,          0.550000,      0.0000,     18.0701,      3.9188
      35,          0.566667,      0.0000,     19.4757,      4.7414
      36,          0.583333,      0.0000,     20.7679,      5.3506
      37,          0.600000,      0.0000,     21.8870,      6.3448
      38,          0.616667,      0.0000,     22.7875,      7.1963
      39,          0.633333,      0.0000,     23.5115,      8.4774
      40,          0.650000,      0.0000,     24.0974,     10.0139
      41,          0.666667,      0.0000,     24.5671,     11.3161
      42,          0.683333,      0.0000,     24.9526,     12.4004
      43,          0.700000,      0.0000,     25.2324,     13.5913
      44,          0.716667,      0.0000,     25.4188,     14.7179
      45,          0.733333,      0.0000,     25.5408,     15.8454
      46,          0.750000,      0.0000,     25.6213,     16.9737
      47,          0.766667,      0.0000,     25.6783,     18.0941
      48,          0.783333,      0.0000,     25.7124,     19.2153
      49,          0.800000,      0.0000,     25.7352,     20.1873
      50,          0.816667,      0.0000,     25.7530,     20.9346
      51,          0.833333,      0.0000,     25.7681,     21.5635
      52,          0.850000,      0.0000,     25.7807,     22.0831
      53,          0.866667,      0.0000,     25.7882,     22.5126
      54,          0.883333,      0.0000,     25.7940,     22.8708
      55,          0.900000,      0.0000,     25.7984,     23.1752
      56,          0.916667,      0.0000,     25.8026,     23.4439
      57,          0.933333,      0.0000,     25.8063,     23.6846
      58,          0.950000,      0.0000,     25.8075,     23.9014
      59,          0.966667,      0.0000,     25.8073,     24.0908
      60,          0.983333,      0.0000,     25.8061,     24.2565
      61,          1.000000,      0.0000,     25.8044,     24.3960
      62,          1.016667,      0.0000,     25.8023,     24.2858
      63,          1.033333,      0.0000,     25.7962,     24.0121
      64,          1.050000,      0.0000,     25.7885,     23.7278
      65,          1.066667,      0.0000,     25.7798,     23.4593
      66,          1.083333,      0.0000,     25.7708,     23.2273
      67,          1.100000,      0.0000,     25.7595,     23.0414
      68,          1.116667,      0.0000,     25.7400,     22.8927
      69,          1.133333,      0.0000,     25.7175,     22.7789
      70,          1.150000,      0.0000,     25.6932,     22.6939
      71,          1.166667,      0.0000,     25.6682,     22.6287
      72,          1.183333,      0.0000,     25.6424,     22.5799
      73,          1.200000,      0.0000,     25.6127,     22.5426
      74,          1.216667,      0.0000,     25.5805,     22.5154
      75,          1.233333,      0.0000,     25.5467,     22.4952
      76,          1.250000,      0.0000,     25.5115,     22.4812
      77,          1.266667,      0.0000,     25.4736,     22.4724
      78,          1.283333,      0.0000,     25.4283,     22.4684
      79,          1.300000,      0.0000,     25.3777,     22.4682
      80,          1.316667,      0.0000,     25.3238,     22.4711
      81,          1.333333,      0.0000,     25.2658,     22.4765
      82,          1.350000,      0.0000,     25.2048,     22.4842
      83,          1.366667,      0.0000,     25.1426,     22.4943
      84,          1.383333,      0.0000,     25.0787,     22.5073
      85,          1.400000,      0.0000,     25.0121,     22.5224
      86,          1.416667,      0.0000,     24.9427,     22.5395
      87,          1.433333,      0.0000,     24.8682,     22.5581
      88,          1.450000,      0.0000,     24.7906,     22.5786
