"EG11_QPMF_2hr_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_~e1~_~e2~_004.tcf]","Time(h)","F FC01.1_R [EG11_QPMF_2hr_004]","F FC01.2_R [EG11_QPMF_2hr_004]","F FC04.1_C [EG11_QPMF_2hr_004]"
       1,          0.000000,,,
       2,          0.016667,G,G,G
       3,          0.033333,G,G,G
       4,          0.050000,G,G,G
       5,          0.066667,G,G,G
       6,          0.083333,G,G,G
       7,          0.100000,G,G,G
       8,          0.116667,G,G,G
       9,          0.133333,G,G,G
      10,          0.150000,G,G,G
      11,          0.166667,A,G,G
      12,          0.183333,C,G,G
      13,          0.200000,A,G,G
      14,          0.216667,C,G,G
      15,          0.233333,C,G,G
      16,          0.250000,C,G,G
      17,          0.266667,C,G,G
      18,          0.283333,C,G,G
      19,          0.300000,C,G,G
      20,          0.316667,C,G,G
      21,          0.333333,C,G,G
      22,          0.350000,E,G,G
      23,          0.366667,E,G,G
      24,          0.383333,E,G,G
      25,          0.400000,E,G,G
      26,          0.416667,B,G,G
      27,          0.433333,B,G,G
      28,          0.450000,B,G,G
      29,          0.466667,B,A L,G
      30,          0.483333,B,E,G
      31,          0.500000,B,E,G
      32,          0.516667,B,E,G
      33,          0.533333,B,E,G
      34,          0.550000,B,E,G
      35,          0.566667,B,E,G
      36,          0.583333,L,E,G
      37,          0.600000,L,E,G
      38,          0.616667,L,E,G
      39,          0.633333,L,E,G
      40,          0.650000,F,E,G
      41,          0.666667,F,E,G
      42,          0.683333,F,E,G
      43,          0.700000,F,E,G
      44,          0.716667,F,E,G
      45,          0.733333,F,E,G
      46,          0.750000,F,E,G
      47,          0.766667,F,E,G
      48,          0.783333,F,E,G
      49,          0.800000,F,F,G
      50,          0.816667,F,F,G
      51,          0.833333,F,F,J
      52,          0.850000,F,F,J
      53,          0.866667,F,F,J
      54,          0.883333,F,F,J
      55,          0.900000,F,F,J
      56,          0.916667,F,F,J
      57,          0.933333,F,F,J
      58,          0.950000,F,F,J
      59,          0.966667,F,F,H
      60,          0.983333,F,F,H
      61,          1.000000,F,F,H
      62,          1.016667,F,F,H
      63,          1.033333,F,F,H
      64,          1.050000,F,F,H
      65,          1.066667,F,F,H
      66,          1.083333,F,F,H
      67,          1.100000,F,F,H
      68,          1.116667,F,F,H
      69,          1.133333,F,F,H
      70,          1.150000,F,F,H
      71,          1.166667,F,F,H
      72,          1.183333,F,F,D
      73,          1.200000,F,F,A
      74,          1.216667,F,F,A
      75,          1.233333,F,F,A
      76,          1.250000,F,F,A
      77,          1.266667,F,F,A
      78,          1.283333,F,F,A
      79,          1.300000,F,F,A
      80,          1.316667,F,F,A
      81,          1.333333,F,F,A
      82,          1.350000,F,F,A
      83,          1.366667,F,F,A
      84,          1.383333,F,F,A
      85,          1.400000,F,F,A
      86,          1.416667,F,F,A
      87,          1.433333,L,F,A
      88,          1.450000,L,F,A
      89,          1.466667,L,F,A
      90,          1.483333,L,F,A
      91,          1.500000,L,F,A
      92,          1.516667,L,F,A
      93,          1.533333,L,F,A
      94,          1.550000,L,F,A
      95,          1.566667,L,F,A
      96,          1.583333,L,F,A
      97,          1.600000,L,F,A
      98,          1.616667,L,F,A
      99,          1.633333,L,F,A
     100,          1.650000,L,F,A
     101,          1.666667,L,F,A
     102,          1.683333,L,F,A
     103,          1.700000,L,F,A
     104,          1.716667,L,F,A
     105,          1.733333,L,F,A
     106,          1.750000,L,F,A
     107,          1.766667,L,F,A
     108,          1.783333,L,F,A
     109,          1.800000,L,F,A
     110,          1.816667,L,F,A
     111,          1.833333,L,F,A
     112,          1.850000,L,F,A
     113,          1.866667,L,F,A
     114,          1.883333,L,F,A
     115,          1.900000,L,F,A
     116,          1.916667,L,F,A
     117,          1.933333,L,F,A
     118,          1.950000,L,F,A
     119,          1.966667,L,F,A
     120,          1.983333,L,F,A
     121,          2.000000,L,F,A
     122,          2.016667,L,F,A
     123,          2.033334,L,F,A
     124,          2.050000,L,F,A
     125,          2.066667,L,F,A
     126,          2.083333,B,F,A
     127,          2.100000,B,F,A
     128,          2.116667,B,F,A
     129,          2.133333,B,F,A
     130,          2.150000,B,F,A
     131,          2.166667,B,F,A
     132,          2.183333,B,F,A
     133,          2.200000,B,F,A
     134,          2.216667,B,F,A
     135,          2.233333,B,F,A
     136,          2.250000,B,F,A
     137,          2.266667,B,F,A
     138,          2.283334,B,F,A
     139,          2.300000,B,F,A
     140,          2.316667,B,F,A
     141,          2.333333,B,F,A
     142,          2.350000,B,F,A
     143,          2.366667,B,F,A
     144,          2.383333,B,F,A
     145,          2.400000,B,F,A
     146,          2.416667,B,F,A
     147,          2.433333,B,F,A
     148,          2.450000,B,F,A
     149,          2.466667,B,F,A
     150,          2.483333,B,F,A
     151,          2.500000,B,F,A
     152,          2.516667,B,F,A
     153,          2.533334,B,F,A
     154,          2.550000,B,F,A
     155,          2.566667,B,F,A
     156,          2.583333,B,F,A
     157,          2.600000,B,F,A
     158,          2.616667,B,F,A
     159,          2.633333,B,F,A
     160,          2.650000,B,F,A
     161,          2.666667,B,F,A
     162,          2.683333,B,F,A
     163,          2.700000,B,F,A
     164,          2.716667,B,F,A
     165,          2.733334,B,F,A
     166,          2.750000,B,F,A
     167,          2.766667,B,F,A
     168,          2.783334,B,F,A
     169,          2.800000,B,F,A
     170,          2.816667,B,F,A
     171,          2.833333,B,F,A
     172,          2.850000,B,F,A
     173,          2.866667,B,F,A
     174,          2.883333,B,F,A
     175,          2.900000,B,F,A
     176,          2.916667,B,F,A
     177,          2.933333,B,F,A
     178,          2.950000,E,F,A
     179,          2.966667,E,F,A
     180,          2.983334,E,F,A
