"EG11_QPMF_2hr_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_~e1~_~e2~_004.tcf]","Time (h)","H FC01.1_R.1 [EG11_QPMF_2hr_004]","H FC01.1_R.2 [EG11_QPMF_2hr_004]","H FC01.2_R.1 [EG11_QPMF_2hr_004]","H FC01.2_R.2 [EG11_QPMF_2hr_004]","H FC04.1_C.1 [EG11_QPMF_2hr_004]","H FC04.1_C.2 [EG11_QPMF_2hr_004]"
       1,          0.000000,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       2,          0.016667,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       3,          0.033333,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       4,          0.050000,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       5,          0.066667,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       6,          0.083333,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       7,          0.100000,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       8,          0.116667,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       9,          0.133333,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      10,          0.150000,     44.5990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      11,          0.166667,     45.1350,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      12,          0.183333,     45.4392,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      13,          0.200000,     45.6466,     44.5896,     37.5990,     37.4990,     43.3490,     42.7490
      14,          0.216667,     45.8537,     44.6763,     37.5990,     37.4990,     43.3490,     42.7490
      15,          0.233333,     46.0060,     44.7616,     37.5990,     37.4990,     43.3490,     42.7490
      16,          0.250000,     46.1497,     44.8376,     37.5990,     37.4990,     43.3490,     42.7490
      17,          0.266667,     46.2744,     44.8982,     37.5990,     37.4990,     43.3490,     42.7490
      18,          0.283333,     46.3819,     44.9496,     37.5990,     37.4990,     43.3490,     42.7490
      19,          0.300000,     46.5003,     45.0051,     37.5990,     37.4990,     43.3490,     42.7490
      20,          0.316667,     46.6172,     45.0633,     37.5990,     37.4990,     43.3490,     42.7490
      21,          0.333333,     46.7423,     45.1237,     37.5990,     37.4990,     43.3490,     42.7490
      22,          0.350000,     46.8795,     45.1606,     37.5990,     37.4990,     43.3490,     42.7490
      23,          0.366667,     47.0109,     45.2191,     37.5990,     37.4990,     43.3490,     42.7490
      24,          0.383333,     47.1507,     45.2765,     37.5990,     37.4990,     43.3490,     42.7490
      25,          0.400000,     47.3051,     45.3321,     37.5990,     37.4990,     43.3490,     42.7490
      26,          0.416667,     47.4640,     45.3870,     37.5990,     37.4990,     43.3490,     42.7490
      27,          0.433333,     47.6263,     45.4300,     37.5990,     37.4990,     43.3490,     42.7490
      28,          0.450000,     47.7924,     45.4715,     37.5990,     37.4990,     43.3490,     42.7490
      29,          0.466667,     47.9712,     45.5157,     38.4749,     37.5149,     43.3490,     42.7490
      30,          0.483333,     48.1598,     45.5677,     39.1591,     37.5281,     43.3490,     42.7490
      31,          0.500000,     48.3505,     45.6326,     39.5443,     37.5443,     43.3490,     42.7490
      32,          0.516667,     48.5366,     45.7311,     39.7806,     37.5521,     43.3490,     42.7490
      33,          0.533333,     48.7702,     45.8413,     39.9464,     37.5566,     43.3490,     42.7490
      34,          0.550000,     49.0229,     46.0187,     40.1085,     37.5604,     43.3490,     42.7490
      35,          0.566667,     49.2782,     46.2389,     40.2585,     37.5636,     43.3490,     42.7490
      36,          0.583333,     49.5025,     46.5079,     40.4043,     37.5666,     43.3490,     42.7490
      37,          0.600000,     49.6704,     46.8187,     40.5514,     37.5693,     43.3490,     42.7490
      38,          0.616667,     49.7716,     47.0594,     40.6969,     37.5719,     43.3490,     42.7490
      39,          0.633333,     49.8317,     47.2133,     40.8502,     37.5744,     43.3490,     42.7490
      40,          0.650000,     49.8736,     47.2886,     41.0503,     37.5774,     43.3490,     42.7490
      41,          0.666667,     49.9072,     47.3377,     41.2910,     37.5809,     43.3490,     42.7490
      42,          0.683333,     49.9368,     47.3772,     41.5578,     37.5845,     43.3490,     42.7490
      43,          0.700000,     49.9582,     47.4087,     41.8410,     37.5881,     43.3490,     42.7490
      44,          0.716667,     49.9750,     47.4314,     42.1114,     37.5914,     43.3490,     42.7556
      45,          0.733333,     49.9894,     47.4503,     42.3514,     37.5942,     43.3490,     42.8311
      46,          0.750000,     50.0027,     47.4666,     42.5506,     37.5964,     43.3490,     42.8857
      47,          0.766667,     50.0149,     47.4818,     42.7167,     37.6492,     43.3490,     43.0433
      48,          0.783333,     50.0226,     47.4932,     42.8626,     38.0916,     43.3490,     43.1384
      49,          0.800000,     50.0282,     47.5009,     42.9850,     38.7548,     43.3490,     43.2277
      50,          0.816667,     50.0331,     47.5069,     43.0830,     39.3928,     43.3490,     43.3061
      51,          0.833333,     50.0377,     47.5123,     43.1611,     39.8505,     43.3490,     43.3747
      52,          0.850000,     50.0416,     47.5172,     43.2231,     40.1877,     43.3490,     43.4315
      53,          0.866667,     50.0437,     47.5205,     43.2720,     40.4213,     43.3490,     43.4781
      54,          0.883333,     50.0453,     47.5226,     43.3098,     40.5729,     43.3617,     43.5159
      55,          0.900000,     50.0467,     47.5243,     43.3396,     40.6747,     43.3761,     43.5446
      56,          0.916667,     50.0480,     47.5258,     43.3624,     40.7428,     43.3872,     43.5667
      57,          0.933333,     50.0492,     47.5272,     43.3796,     40.7912,     43.3970,     43.5842
      58,          0.950000,     50.0494,     47.5280,     43.3930,     40.8284,     43.4069,     43.5972
      59,          0.966667,     50.0491,     47.5279,     43.4033,     40.8523,     43.4198,     43.6076
      60,          0.983333,     50.0486,     47.5274,     43.4110,     40.8688,     43.4348,     43.6150
      61,          1.000000,     50.0480,     47.5268,     43.4168,     40.8827,     43.4512,     43.6201
      62,          1.016667,     50.0472,     47.5261,     43.4210,     40.8924,     43.4682,     43.6239
      63,          1.033333,     50.0449,     47.5243,     43.4240,     40.8996,     43.4853,     43.6267
      64,          1.050000,     50.0421,     47.5213,     43.4262,     40.9047,     43.5025,     43.6284
      65,          1.066667,     50.0390,     47.5179,     43.4275,     40.9082,     43.5194,     43.6287
      66,          1.083333,     50.0358,     47.5144,     43.4281,     40.9104,     43.5374,     43.6273
      67,          1.100000,     50.0316,     47.5103,     43.4280,     40.9113,     43.5543,     43.6264
      68,          1.116667,     50.0246,     47.5036,     43.4273,     40.9111,     43.5710,     43.6242
      69,          1.133333,     50.0166,     47.4949,     43.4261,     40.9100,     43.5857,     43.6217
      70,          1.150000,     50.0081,     47.4853,     43.4243,     40.9081,     43.5980,     43.6176
