"EG11_QPMF_2hr_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_~e1~_~e2~_004.tcf]","Time (h)","Q FC01.1_R [EG11_QPMF_2hr_004]","Q FC01.2_R [EG11_QPMF_2hr_004]","Q FC04.1_C [EG11_QPMF_2hr_004]"
       1,          0.000000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000
       5,          0.066667,           0.000,           0.000,           0.000
       6,          0.083333,           0.000,           0.000,           0.000
       7,          0.100000,           0.000,           0.000,           0.000
       8,          0.116667,           0.000,           0.000,           0.000
       9,          0.133333,           0.000,           0.000,           0.000
      10,          0.150000,           0.000,           0.000,           0.000
      11,          0.166667,           0.969,           0.000,           0.000
      12,          0.183333,           1.794,           0.000,           0.000
      13,          0.200000,           2.659,           0.000,           0.000
      14,          0.216667,           3.225,           0.000,           0.000
      15,          0.233333,           3.814,           0.000,           0.000
      16,          0.250000,           4.399,           0.000,           0.000
      17,          0.266667,           4.927,           0.000,           0.000
      18,          0.283333,           5.398,           0.000,           0.000
      19,          0.300000,           5.934,           0.000,           0.000
      20,          0.316667,           6.483,           0.000,           0.000
      21,          0.333333,           7.092,           0.000,           0.000
      22,          0.350000,           7.427,           0.000,           0.000
      23,          0.366667,           8.227,           0.000,           0.000
      24,          0.383333,           9.000,           0.000,           0.000
      25,          0.400000,           9.783,           0.000,           0.000
      26,          0.416667,          10.349,           0.000,           0.000
      27,          0.433333,          10.810,           0.000,           0.000
      28,          0.450000,          11.262,           0.000,           0.000
      29,          0.466667,          11.729,           0.082,           0.000
      30,          0.483333,          12.202,           0.102,           0.000
      31,          0.500000,          12.663,           0.138,           0.000
      32,          0.516667,          13.097,           0.156,           0.000
      33,          0.533333,          13.621,           0.168,           0.000
      34,          0.550000,          14.168,           0.179,           0.000
      35,          0.566667,          14.699,           0.188,           0.000
      36,          0.583333,          15.151,           0.196,           0.000
      37,          0.600000,          15.480,           0.205,           0.000
      38,          0.616667,          15.675,           0.213,           0.000
      39,          0.633333,          15.790,           0.221,           0.000
      40,          0.650000,          15.693,           0.231,           0.000
      41,          0.666667,          15.646,           0.242,           0.000
      42,          0.683333,          15.616,           0.254,           0.000
      43,          0.700000,          15.585,           0.267,           0.000
      44,          0.716667,          15.567,           0.278,           0.000
      45,          0.733333,          15.553,           0.287,           0.000
      46,          0.750000,          15.544,           0.295,           0.000
      47,          0.766667,          15.535,           0.302,           0.000
      48,          0.783333,          15.523,           0.307,           0.000
      49,          0.800000,          15.517,           0.309,           0.000
      50,          0.816667,          15.514,           0.289,           0.000
      51,          0.833333,          15.511,           0.274,          -0.000
      52,          0.850000,          15.508,           0.262,          -0.017
      53,          0.866667,          15.505,           0.254,          -0.057
      54,          0.883333,          15.503,           0.249,          -0.103
      55,          0.900000,          15.502,           0.246,          -0.146
      56,          0.916667,          15.501,           0.244,          -0.184
      57,          0.933333,          15.501,           0.242,          -0.217
      58,          0.950000,          15.499,           0.241,          -0.243
      59,          0.966667,          15.498,           0.240,          -0.264
      60,          0.983333,          15.498,           0.240,          -0.281
      61,          1.000000,          15.498,           0.239,          -0.293
      62,          1.016667,          15.498,           0.239,          -0.302
      63,          1.033333,          15.497,           0.239,          -0.309
      64,          1.050000,          15.497,           0.239,          -0.314
      65,          1.066667,          15.498,           0.239,          -0.315
      66,          1.083333,          15.499,           0.239,          -0.360
      67,          1.100000,          15.499,           0.239,          -0.363
      68,          1.116667,          15.498,           0.239,          -0.346
      69,          1.133333,          15.500,           0.239,          -0.309
      70,          1.150000,          15.503,           0.239,          -0.244
      71,          1.166667,          15.508,           0.239,          -0.113
      72,          1.183333,          15.512,           0.239,           0.017
      73,          1.200000,          15.515,           0.239,           0.122
      74,          1.216667,          15.520,           0.239,           0.159
      75,          1.233333,          15.526,           0.239,           0.173
      76,          1.250000,          15.532,           0.239,           0.186
      77,          1.266667,          15.538,           0.239,           0.195
      78,          1.283333,          15.543,           0.239,           0.199
      79,          1.300000,          15.551,           0.239,           0.193
      80,          1.316667,          15.561,           0.240,           0.177
      81,          1.333333,          15.573,           0.240,           0.162
      82,          1.350000,          15.585,           0.240,           0.149
      83,          1.366667,          15.596,           0.240,           0.137
      84,          1.383333,          15.609,           0.240,           0.126
      85,          1.400000,          15.624,           0.241,           0.117
      86,          1.416667,          15.635,           0.241,           0.108
      87,          1.433333,          15.646,           0.241,           0.100
      88,          1.450000,          15.609,           0.242,           0.092
      89,          1.466667,          15.572,           0.242,           0.086
      90,          1.483333,          15.534,           0.242,           0.080
      91,          1.500000,          15.494,           0.243,           0.074
      92,          1.516667,          15.453,           0.243,           0.069
      93,          1.533333,          15.414,           0.244,           0.065
      94,          1.550000,          15.375,           0.244,           0.061
      95,          1.566667,          15.334,           0.245,           0.057
      96,          1.583333,          15.291,           0.245,           0.053
      97,          1.600000,          15.248,           0.245,           0.050
      98,          1.616667,          15.215,           0.246,           0.047
      99,          1.633333,          15.186,           0.247,           0.044
     100,          1.650000,          15.157,           0.247,           0.041
     101,          1.666667,          15.111,           0.248,           0.039
     102,          1.683333,          15.072,           0.248,           0.037
     103,          1.700000,          15.033,           0.249,           0.035
     104,          1.716667,          14.992,           0.250,           0.033
     105,          1.733333,          14.949,           0.250,           0.031
     106,          1.750000,          14.903,           0.251,           0.029
     107,          1.766667,          14.855,           0.252,           0.028
     108,          1.783333,          14.814,           0.252,           0.026
     109,          1.800000,          14.769,           0.253,           0.025
     110,          1.816667,          14.727,           0.254,           0.024
     111,          1.833333,          14.681,           0.255,           0.023
     112,          1.850000,          14.639,           0.255,           0.021
     113,          1.866667,          14.599,           0.256,           0.020
     114,          1.883333,          14.566,           0.257,           0.020
     115,          1.900000,          14.533,           0.258,           0.019
     116,          1.916667,          14.503,           0.259,           0.018
     117,          1.933333,          14.474,           0.259,           0.017
     118,          1.950000,          14.446,           0.260,           0.016
     119,          1.966667,          14.420,           0.261,           0.016
     120,          1.983333,          14.395,           0.261,           0.015
     121,          2.000000,          14.371,           0.262,           0.014
     122,          2.016667,          14.347,           0.263,           0.014
     123,          2.033334,          14.320,           0.263,           0.013
     124,          2.050000,          14.290,           0.264,           0.013
     125,          2.066667,          14.257,           0.265,           0.012
     126,          2.083333,          14.224,           0.265,           0.012
     127,          2.100000,          14.187,           0.266,           0.011
     128,          2.116667,          14.145,           0.266,           0.011
     129,          2.133333,          14.100,           0.267,           0.010
     130,          2.150000,          14.052,           0.267,           0.010
     131,          2.166667,          14.000,           0.268,           0.010
     132,          2.183333,          13.946,           0.268,           0.009
     133,          2.200000,          13.894,           0.269,           0.009
     134,          2.216667,          13.848,           0.269,           0.009
     135,          2.233333,          13.803,           0.270,           0.008
     136,          2.250000,          13.761,           0.270,           0.008
     137,          2.266667,          13.721,           0.271,           0.008
     138,          2.283334,          13.681,           0.271,           0.007
     139,          2.300000,          13.640,           0.272,           0.007
     140,          2.316667,          13.599,           0.273,           0.007
     141,          2.333333,          13.559,           0.273,           0.007
     142,          2.350000,          13.509,           0.274,           0.007
     143,          2.366667,          13.464,           0.274,           0.006
     144,          2.383333,          13.418,           0.275,           0.006
     145,          2.400000,          13.373,           0.275,           0.006
     146,          2.416667,          13.331,           0.276,           0.006
     147,          2.433333,          13.290,           0.276,           0.006
     148,          2.450000,          13.246,           0.277,           0.005
     149,          2.466667,          13.198,           0.277,           0.005
     150,          2.483333,          13.145,           0.278,           0.005
     151,          2.500000,          13.091,           0.278,           0.005
     152,          2.516667,          13.036,           0.279,           0.005
     153,          2.533334,          12.978,           0.279,           0.005
     154,          2.550000,          12.918,           0.280,           0.005
     155,          2.566667,          12.856,           0.280,           0.004
     156,          2.583333,          12.792,           0.281,           0.004
     157,          2.600000,          12.725,           0.281,           0.004
     158,          2.616667,          12.660,           0.281,           0.004
     159,          2.633333,          12.595,           0.282,           0.004
     160,          2.650000,          12.525,           0.282,           0.004
     161,          2.666667,          12.453,           0.283,           0.004
     162,          2.683333,          12.382,           0.283,           0.004
     163,          2.700000,          12.305,           0.284,           0.004
     164,          2.716667,          12.222,           0.284,           0.003
     165,          2.733334,          12.132,           0.285,           0.003
     166,          2.750000,          12.037,           0.285,           0.003
     167,          2.766667,          11.935,           0.286,           0.003
     168,          2.783334,          11.825,           0.286,           0.003
     169,          2.800000,          11.705,           0.287,           0.003
     170,          2.816667,          11.575,           0.287,           0.003
     171,          2.833333,          11.432,           0.287,           0.003
     172,          2.850000,          11.276,           0.288,           0.003
     173,          2.866667,          11.108,           0.288,           0.003
     174,          2.883333,          10.922,           0.289,           0.003
     175,          2.900000,          10.722,           0.289,           0.003
     176,          2.916667,          10.504,           0.290,           0.003
     177,          2.933333,          10.267,           0.290,           0.003
     178,          2.950000,           9.999,           0.291,           0.002
     179,          2.966667,           9.580,           0.291,           0.002
     180,          2.983334,           9.138,           0.291,           0.002
