"EG11_QPMF_2hr_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_~e1~_~e2~_004.tcf]","Time(h)","V FC01.1_R [EG11_QPMF_2hr_004]","V FC01.2_R [EG11_QPMF_2hr_004]","V FC04.1_C [EG11_QPMF_2hr_004]"
       1,          0.000000,    0.000,    0.000,    0.000
       2,          0.016667,    0.000,    0.000,    0.000
       3,          0.033333,    0.000,    0.000,    0.000
       4,          0.050000,    0.000,    0.000,    0.000
       5,          0.066667,    0.000,    0.000,    0.000
       6,          0.083333,    0.000,    0.000,    0.000
       7,          0.100000,    0.000,    0.000,    0.000
       8,          0.116667,    0.000,    0.000,    0.000
       9,          0.133333,    0.000,    0.000,    0.000
      10,          0.150000,    0.000,    0.000,    0.000
      11,          0.166667,    1.868,    0.000,    0.000
      12,          0.183333,    2.204,    0.000,    0.000
      13,          0.200000,    2.615,    0.000,    0.000
      14,          0.216667,    2.621,    0.000,    0.000
      15,          0.233333,    2.756,    0.000,    0.000
      16,          0.250000,    2.877,    0.000,    0.000
      17,          0.266667,    2.981,    0.000,    0.000
      18,          0.283333,    3.065,    0.000,    0.000
      19,          0.300000,    3.154,    0.000,    0.000
      20,          0.316667,    3.239,    0.000,    0.000
      21,          0.333333,    3.324,    0.000,    0.000
      22,          0.350000,    2.547,    0.000,    0.000
      23,          0.366667,    2.821,    0.000,    0.000
      24,          0.383333,    3.086,    0.000,    0.000
      25,          0.400000,    3.355,    0.000,    0.000
      26,          0.416667,    5.915,    0.000,    0.000
      27,          0.433333,    6.179,    0.000,    0.000
      28,          0.450000,    6.437,    0.000,    0.000
      29,          0.466667,    6.704,    1.306,    0.000
      30,          0.483333,    6.974,    0.707,    0.000
      31,          0.500000,    7.238,    0.959,    0.000
      32,          0.516667,    7.486,    1.086,    0.000
      33,          0.533333,    7.785,    1.166,    0.000
      34,          0.550000,    8.098,    1.240,    0.000
      35,          0.566667,    8.402,    1.304,    0.000
      36,          0.583333,    8.660,    1.364,    0.000
      37,          0.600000,    8.848,    1.421,    0.000
      38,          0.616667,    8.959,    1.476,    0.000
      39,          0.633333,    9.025,    1.532,    0.000
      40,          0.650000,    5.382,    1.601,    0.000
      41,          0.666667,    5.366,    1.681,    0.000
      42,          0.683333,    5.355,    1.766,    0.000
      43,          0.700000,    5.345,    1.851,    0.000
      44,          0.716667,    5.338,    1.929,    0.000
      45,          0.733333,    5.334,    1.996,    0.000
      46,          0.750000,    5.331,    2.050,    0.000
      47,          0.766667,    5.327,    2.094,    0.000
      48,          0.783333,    5.324,    2.131,    0.000
      49,          0.800000,    5.321,    2.149,    0.000
      50,          0.816667,    5.320,    2.007,    0.000
      51,          0.833333,    5.319,    1.901,   -0.000
      52,          0.850000,    5.318,    1.821,   -0.024
      53,          0.866667,    5.317,    1.764,   -0.067
      54,          0.883333,    5.316,    1.729,   -0.110
      55,          0.900000,    5.316,    1.706,   -0.145
      56,          0.916667,    5.316,    1.691,   -0.174
      57,          0.933333,    5.316,    1.681,   -0.198
      58,          0.950000,    5.315,    1.673,   -0.216
      59,          0.966667,    5.315,    1.669,   -0.233
      60,          0.983333,    5.315,    1.666,   -0.246
      61,          1.000000,    5.315,    1.663,   -0.255
      62,          1.016667,    5.315,    1.661,   -0.262
      63,          1.033333,    5.314,    1.660,   -0.268
      64,          1.050000,    5.314,    1.659,   -0.271
      65,          1.066667,    5.315,    1.658,   -0.273
      66,          1.083333,    5.315,    1.658,   -0.332
      67,          1.100000,    5.315,    1.657,   -0.328
      68,          1.116667,    5.315,    1.657,   -0.307
      69,          1.133333,    5.315,    1.657,   -0.270
      70,          1.150000,    5.317,    1.657,   -0.211
      71,          1.166667,    5.318,    1.657,   -0.096
      72,          1.183333,    5.320,    1.658,    0.010
      73,          1.200000,    5.321,    1.658,    0.428
      74,          1.216667,    5.322,    1.659,    0.576
      75,          1.233333,    5.324,    1.660,    0.655
      76,          1.250000,    5.327,    1.660,    0.741
      77,          1.266667,    5.329,    1.661,    0.824
      78,          1.283333,    5.330,    1.662,    0.893
      79,          1.300000,    5.333,    1.663,    0.925
      80,          1.316667,    5.337,    1.664,    0.906
      81,          1.333333,    5.340,    1.665,    0.887
      82,          1.350000,    5.344,    1.667,    0.870
      83,          1.366667,    5.348,    1.668,    0.853
      84,          1.383333,    5.353,    1.670,    0.836
      85,          1.400000,    5.358,    1.671,    0.821
      86,          1.416667,    5.362,    1.674,    0.806
      87,          1.433333,    8.943,    1.676,    0.791
      88,          1.450000,    8.922,    1.678,    0.778
      89,          1.466667,    8.900,    1.682,    0.764
      90,          1.483333,    8.878,    1.684,    0.752
      91,          1.500000,    8.856,    1.686,    0.740
      92,          1.516667,    8.833,    1.689,    0.728
      93,          1.533333,    8.810,    1.692,    0.717
      94,          1.550000,    8.788,    1.695,    0.706
      95,          1.566667,    8.764,    1.698,    0.695
      96,          1.583333,    8.740,    1.701,    0.685
      97,          1.600000,    8.715,    1.705,    0.675
      98,          1.616667,    8.697,    1.708,    0.666
      99,          1.633333,    8.680,    1.712,    0.657
     100,          1.650000,    8.663,    1.716,    0.648
     101,          1.666667,    8.637,    1.720,    0.639
     102,          1.683333,    8.615,    1.725,    0.631
     103,          1.700000,    8.593,    1.730,    0.623
     104,          1.716667,    8.569,    1.734,    0.615
     105,          1.733333,    8.544,    1.738,    0.607
     106,          1.750000,    8.518,    1.743,    0.600
     107,          1.766667,    8.491,    1.748,    0.593
     108,          1.783333,    8.467,    1.752,    0.586
     109,          1.800000,    8.441,    1.757,    0.579
     110,          1.816667,    8.417,    1.762,    0.572
     111,          1.833333,    8.391,    1.768,    0.566
     112,          1.850000,    8.367,    1.773,    0.560
     113,          1.866667,    8.344,    1.780,    0.554
     114,          1.883333,    8.325,    1.785,    0.548
     115,          1.900000,    8.307,    1.791,    0.543
     116,          1.916667,    8.289,    1.796,    0.537
     117,          1.933333,    8.273,    1.801,    0.532
     118,          1.950000,    8.257,    1.806,    0.527
     119,          1.966667,    8.242,    1.811,    0.522
     120,          1.983333,    8.228,    1.815,    0.517
     121,          2.000000,    8.214,    1.820,    0.512
     122,          2.016667,    8.200,    1.824,    0.507
     123,          2.033334,    8.185,    1.829,    0.503
     124,          2.050000,    8.167,    1.833,    0.498
     125,          2.066667,    8.149,    1.837,    0.494
     126,          2.083333,    8.130,    1.841,    0.490
     127,          2.100000,    8.108,    1.845,    0.486
     128,          2.116667,    8.085,    1.848,    0.482
     129,          2.133333,    8.059,    1.851,    0.478
     130,          2.150000,    8.031,    1.855,    0.474
     131,          2.166667,    8.002,    1.859,    0.470
     132,          2.183333,    7.971,    1.862,    0.466
     133,          2.200000,    7.941,    1.866,    0.463
     134,          2.216667,    7.915,    1.869,    0.459
     135,          2.233333,    7.889,    1.873,    0.455
     136,          2.250000,    7.865,    1.877,    0.452
     137,          2.266667,    7.842,    1.881,    0.449
     138,          2.283334,    7.819,    1.885,    0.445
     139,          2.300000,    7.796,    1.889,    0.442
     140,          2.316667,    7.773,    1.893,    0.439
     141,          2.333333,    7.750,    1.897,    0.436
     142,          2.350000,    7.721,    1.901,    0.433
     143,          2.366667,    7.695,    1.905,    0.430
     144,          2.383333,    7.669,    1.908,    0.427
     145,          2.400000,    7.643,    1.912,    0.424
     146,          2.416667,    7.619,    1.916,    0.421
     147,          2.433333,    7.596,    1.919,    0.418
     148,          2.450000,    7.571,    1.923,    0.416
     149,          2.466667,    7.543,    1.926,    0.413
     150,          2.483333,    7.513,    1.930,    0.410
     151,          2.500000,    7.482,    1.933,    0.408
     152,          2.516667,    7.451,    1.936,    0.405
     153,          2.533334,    7.418,    1.939,    0.403
     154,          2.550000,    7.384,    1.943,    0.400
     155,          2.566667,    7.348,    1.946,    0.398
     156,          2.583333,    7.311,    1.949,    0.395
     157,          2.600000,    7.273,    1.952,    0.393
     158,          2.616667,    7.236,    1.955,    0.391
     159,          2.633333,    7.199,    1.958,    0.389
     160,          2.650000,    7.159,    1.961,    0.386
     161,          2.666667,    7.118,    1.964,    0.384
     162,          2.683333,    7.077,    1.968,    0.382
     163,          2.700000,    7.033,    1.971,    0.380
     164,          2.716667,    6.985,    1.974,    0.378
     165,          2.733334,    6.934,    1.977,    0.376
     166,          2.750000,    6.880,    1.980,    0.374
     167,          2.766667,    6.822,    1.984,    0.372
     168,          2.783334,    6.759,    1.987,    0.370
     169,          2.800000,    6.690,    1.990,    0.368
     170,          2.816667,    6.616,    1.993,    0.366
     171,          2.833333,    6.534,    1.996,    0.364
     172,          2.850000,    6.445,    1.999,    0.362
     173,          2.866667,    6.349,    2.002,    0.360
     174,          2.883333,    6.242,    2.005,    0.359
     175,          2.900000,    6.128,    2.009,    0.357
     176,          2.916667,    6.003,    2.012,    0.355
     177,          2.933333,    5.868,    2.015,    0.353
     178,          2.950000,    3.429,    2.018,    0.352
     179,          2.966667,    3.285,    2.021,    0.350
     180,          2.983334,    3.134,    2.024,    0.348
