"EG11_QPMF_2hr_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_~e1~_~e2~_004.tcf]","Time (h)","SQ FC04.1_C [EG11_QPMF_2hr_004]","SQ FC01.1_R [EG11_QPMF_2hr_004]","SQ FC01.2_R [EG11_QPMF_2hr_004]"
       1,          0.000000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0000,      0.0000,      0.0000
       7,          0.100000,      0.0000,      0.0000,      0.0000
       8,          0.116667,      0.0000,      0.0000,      0.0000
       9,          0.133333,      0.0000,      0.0000,      0.0000
      10,          0.150000,      0.0000,      0.0000,      0.0000
      11,          0.166667,      0.0000,      0.9693,      0.0000
      12,          0.183333,      0.0000,      1.7940,      0.0000
      13,          0.200000,      0.0000,      2.6588,      0.0000
      14,          0.216667,      0.0000,      3.2246,      0.0000
      15,          0.233333,      0.0000,      3.8141,      0.0000
      16,          0.250000,      0.0000,      4.3994,      0.0000
      17,          0.266667,      0.0000,      4.9265,      0.0000
      18,          0.283333,      0.0000,      5.3980,      0.0000
      19,          0.300000,      0.0000,      5.9337,      0.0000
      20,          0.316667,      0.0000,      6.4830,      0.0000
      21,          0.333333,      0.0000,      7.0917,      0.0000
      22,          0.350000,      0.0000,      7.4273,      0.0000
      23,          0.366667,      0.0000,      8.2266,      0.0000
      24,          0.383333,      0.0000,      8.9999,      0.0000
      25,          0.400000,      0.0000,      9.7829,      0.0000
      26,          0.416667,      0.0000,     10.3495,      0.0000
      27,          0.433333,      0.0000,     10.8102,      0.0000
      28,          0.450000,      0.0000,     11.2620,      0.0000
      29,          0.466667,      0.0000,     11.7291,      0.0820
      30,          0.483333,      0.0000,     12.2022,      0.1017
      31,          0.500000,      0.0000,     12.6630,      0.1382
      32,          0.516667,      0.0000,     13.0968,      0.1564
      33,          0.533333,      0.0000,     13.6209,      0.1679
      34,          0.550000,      0.0000,     14.1680,      0.1785
      35,          0.566667,      0.0000,     14.6993,      0.1878
      36,          0.583333,      0.0000,     15.1508,      0.1964
      37,          0.600000,      0.0000,     15.4798,      0.2047
      38,          0.616667,      0.0000,     15.6753,      0.2126
      39,          0.633333,      0.0000,     15.7903,      0.2206
      40,          0.650000,      0.0000,     15.6935,      0.2306
      41,          0.666667,      0.0000,     15.6462,      0.2421
      42,          0.683333,      0.0000,     15.6160,      0.2543
      43,          0.700000,      0.0000,     15.5851,      0.2666
      44,          0.716667,      0.0000,     15.5670,      0.2778
      45,          0.733333,      0.0000,     15.5533,      0.2875
      46,          0.750000,      0.0000,     15.5439,      0.2952
      47,          0.766667,      0.0000,     15.5347,      0.3015
      48,          0.783333,      0.0000,     15.5233,      0.3069
      49,          0.800000,      0.0000,     15.5172,      0.3095
      50,          0.816667,      0.0000,     15.5137,      0.2891
      51,          0.833333,     -0.0001,     15.5112,      0.2738
      52,          0.850000,     -0.0173,     15.5080,      0.2622
      53,          0.866667,     -0.0566,     15.5045,      0.2540
      54,          0.883333,     -0.1026,     15.5029,      0.2489
      55,          0.900000,     -0.1459,     15.5020,      0.2456
      56,          0.916667,     -0.1839,     15.5014,      0.2435
      57,          0.933333,     -0.2166,     15.5007,      0.2421
      58,          0.950000,     -0.2426,     15.4990,      0.2409
      59,          0.966667,     -0.2644,     15.4983,      0.2403
      60,          0.983333,     -0.2808,     15.4982,      0.2399
      61,          1.000000,     -0.2928,     15.4983,      0.2395
      62,          1.016667,     -0.3020,     15.4980,      0.2392
      63,          1.033333,     -0.3090,     15.4967,      0.2390
      64,          1.050000,     -0.3135,     15.4969,      0.2389
      65,          1.066667,     -0.3149,     15.4978,      0.2388
      66,          1.083333,     -0.3602,     15.4990,      0.2387
      67,          1.100000,     -0.3626,     15.4985,      0.2387
      68,          1.116667,     -0.3458,     15.4977,      0.2387
      69,          1.133333,     -0.3095,     15.4999,      0.2386
      70,          1.150000,     -0.2444,     15.5033,      0.2387
      71,          1.166667,     -0.1126,     15.5076,      0.2387
      72,          1.183333,      0.0166,     15.5118,      0.2387
      73,          1.200000,      0.1224,     15.5150,      0.2388
      74,          1.216667,      0.1587,     15.5198,      0.2389
      75,          1.233333,      0.1727,     15.5259,      0.2390
      76,          1.250000,      0.1858,     15.5321,      0.2391
      77,          1.266667,      0.1951,     15.5382,      0.2392
      78,          1.283333,      0.1986,     15.5427,      0.2393
      79,          1.300000,      0.1928,     15.5512,      0.2395
      80,          1.316667,      0.1766,     15.5613,      0.2396
      81,          1.333333,      0.1621,     15.5725,      0.2398
      82,          1.350000,      0.1490,     15.5845,      0.2400
      83,          1.366667,      0.1371,     15.5960,      0.2402
      84,          1.383333,      0.1263,     15.6089,      0.2405
      85,          1.400000,      0.1166,     15.6235,      0.2407
      86,          1.416667,      0.1077,     15.6347,      0.2410
      87,          1.433333,      0.0997,     15.6464,      0.2413
