"","Time","OC_001 Status","OC_001 Trigger1","OC_001 Trigger2","OC_001 Flow"
       1,          0.000000,"Unknown     ",          38.299999,          42.299999,              0.000
       2,          0.016667,"Off         ",          38.299999,          42.299999,              0.000
       3,          0.033333,"Off         ",          38.299999,          42.299999,              0.000
       4,          0.050000,"Off         ",          38.299999,          42.299999,              0.000
       5,          0.066667,"Off         ",          38.299999,          42.299999,              0.000
       6,          0.083333,"Off         ",          38.299999,          42.299999,              0.000
       7,          0.100000,"Off         ",          38.299999,          42.299999,              0.000
       8,          0.116667,"Off         ",          38.299999,          42.299999,              0.000
       9,          0.133333,"Off         ",          38.299999,          42.299999,              0.000
      10,          0.150000,"Off         ",          38.299999,          42.299999,              0.000
      11,          0.166667,"Off         ",          38.299999,          42.299999,              0.000
      12,          0.183333,"Off         ",          38.299999,          42.299999,              0.000
      13,          0.200000,"Off         ",          38.299999,          42.299999,              0.000
      14,          0.216667,"Off         ",          38.299999,          42.299999,              0.000
      15,          0.233333,"Off         ",          38.299999,          42.299999,              0.000
      16,          0.250000,"Off         ",          38.299999,          42.299999,              0.000
      17,          0.266667,"Off         ",          38.299999,          42.299999,              0.000
      18,          0.283333,"Off         ",          38.299999,          42.299999,              0.000
      19,          0.300000,"Off         ",          38.299999,          42.299999,              0.000
      20,          0.316667,"Off         ",          38.299999,          42.299999,              0.000
      21,          0.333333,"Off         ",          38.299999,          42.299999,              0.000
      22,          0.350000,"Off         ",          38.299999,          42.299999,              0.000
      23,          0.366667,"Off         ",          38.299999,          42.299999,              0.000
      24,          0.383333,"Off         ",          38.299999,          42.299999,              0.000
      25,          0.400000,"Off         ",          38.299999,          42.299999,              0.000
      26,          0.416667,"Off         ",          38.299999,          42.299999,              0.000
      27,          0.433333,"Off         ",          38.299999,          42.299999,              0.000
      28,          0.450000,"Off         ",          38.299999,          42.299999,              0.000
      29,          0.466667,"Off         ",          38.299999,          42.299999,              0.000
      30,          0.483333,"Off         ",          38.299999,          42.299999,              0.000
      31,          0.500000,"Off         ",          38.299999,          42.299999,              0.000
      32,          0.516667,"Off         ",          38.609161,          42.299999,              0.000
      33,          0.533333,"Off         ",          38.742859,          42.299999,              0.000
      34,          0.550000,"Off         ",          38.826088,          42.299999,              0.000
      35,          0.566667,"Off         ",          38.906548,          42.299999,              0.000
      36,          0.583333,"Off         ",          38.955219,          42.299999,              0.000
      37,          0.600000,"Off         ",          39.030350,          42.299999,              0.000
      38,          0.616667,"Off         ",          39.107433,          42.299999,              0.000
