"","Time","OC_001 Status","OC_001 t","OC_001 Gate Opening","OC_001 Flow"
       1,          0.000000,"Closed      ",           0.000000,    0.000,              0.000
       2,          0.016667,"Closed      ",           0.016790,    0.000,              0.000
       3,          0.033333,"Closed      ",           0.033449,    0.000,              0.000
       4,          0.050000,"Closed      ",           0.050116,    0.000,              0.000
       5,          0.066667,"Closed      ",           0.066806,    0.000,              0.000
       6,          0.083333,"Closed      ",           0.083449,    0.000,              0.000
       7,          0.100000,"Closed      ",           0.100123,    0.000,              0.000
       8,          0.116667,"Closed      ",           0.116782,    0.000,              0.000
       9,          0.133333,"Closed      ",           0.133468,    0.000,              0.000
      10,          0.150000,"Closed      ",           0.150126,    0.000,              0.000
      11,          0.166667,"Closed      ",           0.166786,    0.000,              0.000
      12,          0.183333,"Closed      ",           0.183449,    0.000,              0.000
      13,          0.200000,"Closed      ",           0.200126,    0.000,              0.000
      14,          0.216667,"Closed      ",           0.216782,    0.000,              0.000
      15,          0.233333,"Closed      ",           0.233444,    0.000,              0.000
      16,          0.250000,"Closed      ",           0.250109,    0.000,              0.000
      17,          0.266667,"Closed      ",           0.266773,    0.000,              0.000
      18,          0.283333,"Closed      ",           0.283440,    0.000,              0.000
      19,          0.300000,"Closed      ",           0.300105,    0.000,              0.000
      20,          0.316667,"Closed      ",           0.316770,    0.000,              0.000
      21,          0.333333,"Closed      ",           0.333436,    0.000,              0.000
      22,          0.350000,"Closed      ",           0.350101,    0.000,              0.000
      23,          0.366667,"Closed      ",           0.366766,    0.000,              0.000
      24,          0.383333,"Closed      ",           0.383433,    0.000,              0.000
      25,          0.400000,"Closed      ",           0.400097,    0.000,              0.000
      26,          0.416667,"Closed      ",           0.416762,    0.000,              0.000
      27,          0.433333,"Closed      ",           0.433428,    0.000,              0.000
      28,          0.450000,"Closed      ",           0.450093,    0.000,              0.000
      29,          0.466667,"Closed      ",           0.466803,    0.000,              0.000
      30,          0.483333,"Closed      ",           0.483466,    0.000,              0.000
      31,          0.500000,"Closed      ",           0.500130,    0.000,              0.000
      32,          0.516667,"Closed      ",           0.516793,    0.000,              0.000
      33,          0.533333,"Closed      ",           0.533456,    0.000,              0.000
      34,          0.550000,"Closed      ",           0.550119,    0.000,              0.000
      35,          0.566667,"Closed      ",           0.566776,    0.000,              0.000
      36,          0.583333,"Closed      ",           0.583435,    0.000,              0.000
      37,          0.600000,"Closed      ",           0.600097,    0.000,              0.000
      38,          0.616667,"Closed      ",           0.616760,    0.000,              0.000
      39,          0.633333,"Closed      ",           0.633424,    0.000,              0.000
      40,          0.650000,"Closed      ",           0.650088,    0.000,              0.000
      41,          0.666667,"Closed      ",           0.666752,    0.000,              0.000
      42,          0.683333,"Closed      ",           0.683418,    0.000,              0.000
      43,          0.700000,"Closed      ",           0.700084,    0.000,              0.000
      44,          0.716667,"Closed      ",           0.716750,    0.000,              0.000
      45,          0.733333,"Closed      ",           0.733416,    0.000,              0.000
      46,          0.750000,"Closed      ",           0.750081,    0.000,              0.000
      47,          0.766667,"Closed      ",           0.766748,    0.000,              0.000
      48,          0.783333,"Closed      ",           0.783413,    0.000,              0.000
      49,          0.800000,"Closed      ",           0.800080,    0.000,              0.000
      50,          0.816667,"Closed      ",           0.816746,    0.000,              0.000
      51,          0.833333,"Opening     ",           0.833412,    0.014,              0.608
      52,          0.850000,"Opening     ",           0.850079,    0.080,              3.812
      53,          0.866667,"Opening     ",           0.866745,    0.147,              7.249
      54,          0.883333,"Opening     ",           0.883412,    0.214,             10.865
      55,          0.900000,"Opening     ",           0.900079,    0.280,             14.621
      56,          0.916667,"Opening     ",           0.916745,    0.347,             18.482
      57,          0.933333,"Opening     ",           0.933412,    0.414,             22.424
      58,          0.950000,"Opening     ",           0.950079,    0.480,             26.431
      59,          0.966667,"Steady      ",           0.966745,    0.500,             27.921
      60,          0.983333,"Steady      ",           0.983412,    0.500,             28.279
      61,          1.000000,"Opening     ",           1.000079,    0.500,             28.669
      62,          1.016667,"Opening     ",           1.016745,    0.567,             32.856
      63,          1.033333,"Opening     ",           1.033413,    0.634,             37.080
      64,          1.050000,"Steady      ",           1.050079,    0.700,             41.321
      65,          1.066667,"Steady      ",           1.066747,    0.700,             41.711
