"","Time","OC_002 Status","OC_002 t","OC_002 wday","OC_002 Gate Opening","OC_002 Flow"
       1,          0.000000,"Closed      ",           0.000000,           1.000000,    0.000,              0.000
       2,          0.016667,"Closed      ",           0.016790,           1.000000,    0.000,              0.000
       3,          0.033333,"Closed      ",           0.033449,           1.000000,    0.000,              0.000
       4,          0.050000,"Closed      ",           0.050116,           1.000000,    0.000,              0.000
       5,          0.066667,"Closed      ",           0.066806,           1.000000,    0.000,              0.000
       6,          0.083333,"Closed      ",           0.083449,           1.000000,    0.000,              0.000
       7,          0.100000,"Closed      ",           0.100123,           1.000000,    0.000,              0.000
       8,          0.116667,"Closed      ",           0.116782,           1.000000,    0.000,              0.000
       9,          0.133333,"Closed      ",           0.133468,           1.000000,    0.000,              0.000
      10,          0.150000,"Closed      ",           0.150126,           1.000000,    0.000,              0.000
      11,          0.166667,"Closed      ",           0.166786,           1.000000,    0.000,              0.000
      12,          0.183333,"Closed      ",           0.183449,           1.000000,    0.000,              0.000
      13,          0.200000,"Closed      ",           0.200126,           1.000000,    0.000,              0.000
      14,          0.216667,"Closed      ",           0.216782,           1.000000,    0.000,              0.000
      15,          0.233333,"Closed      ",           0.233444,           1.000000,    0.000,              0.000
      16,          0.250000,"Closed      ",           0.250109,           1.000000,    0.000,              0.000
      17,          0.266667,"Closed      ",           0.266773,           1.000000,    0.000,              0.000
      18,          0.283333,"Closed      ",           0.283440,           1.000000,    0.000,              0.000
      19,          0.300000,"Closed      ",           0.300105,           1.000000,    0.000,              0.000
      20,          0.316667,"Closed      ",           0.316770,           1.000000,    0.000,              0.000
      21,          0.333333,"Closed      ",           0.333436,           1.000000,    0.000,              0.000
      22,          0.350000,"Closed      ",           0.350101,           1.000000,    0.000,              0.000
      23,          0.366667,"Closed      ",           0.366766,           1.000000,    0.000,              0.000
      24,          0.383333,"Closed      ",           0.383433,           1.000000,    0.000,              0.000
      25,          0.400000,"Closed      ",           0.400097,           1.000000,    0.000,              0.000
      26,          0.416667,"Closed      ",           0.416762,           1.000000,    0.000,              0.000
      27,          0.433333,"Closed      ",           0.433428,           1.000000,    0.000,              0.000
      28,          0.450000,"Closed      ",           0.450093,           1.000000,    0.000,              0.000
      29,          0.466667,"Closed      ",           0.466803,           1.000000,    0.000,              0.000
      30,          0.483333,"Closed      ",           0.483466,           1.000000,    0.000,              0.000
      31,          0.500000,"Closed      ",           0.500130,           1.000000,    0.000,              0.000
      32,          0.516667,"Closed      ",           0.516793,           1.000000,    0.000,              0.000
      33,          0.533333,"Closed      ",           0.533456,           1.000000,    0.000,              0.000
      34,          0.550000,"Closed      ",           0.550119,           1.000000,    0.000,              0.000
