"","Time","OC_002 Status","OC_002 Trigger","OC_002 Gate Opening","OC_002 Flow"
       1,          0.000000,"Closed      ",          41.999001,    0.000,              0.000
       2,          0.016667,"Closed      ",          41.999001,    0.000,              0.000
       3,          0.033333,"Closed      ",          41.999001,    0.000,              0.000
       4,          0.050000,"Closed      ",          41.999001,    0.000,              0.000
       5,          0.066667,"Closed      ",          41.999001,    0.000,              0.000
       6,          0.083333,"Closed      ",          41.999001,    0.000,              0.000
       7,          0.100000,"Closed      ",          41.999001,    0.000,              0.000
       8,          0.116667,"Closed      ",          41.999001,    0.000,              0.000
       9,          0.133333,"Closed      ",          41.999001,    0.000,              0.000
      10,          0.150000,"Closed      ",          41.999001,    0.000,              0.000
      11,          0.166667,"Closed      ",          41.999001,    0.000,              0.000
      12,          0.183333,"Closed      ",          41.999001,    0.000,              0.000
      13,          0.200000,"Closed      ",          41.999001,    0.000,              0.000
      14,          0.216667,"Closed      ",          41.999001,    0.000,              0.000
      15,          0.233333,"Closed      ",          41.999001,    0.000,              0.000
      16,          0.250000,"Closed      ",          41.999001,    0.000,              0.000
      17,          0.266667,"Closed      ",          41.999001,    0.000,              0.000
      18,          0.283333,"Closed      ",          41.999001,    0.000,              0.000
      19,          0.300000,"Closed      ",          41.999001,    0.000,              0.000
      20,          0.316667,"Closed      ",          41.999001,    0.000,              0.000
      21,          0.333333,"Closed      ",          41.999001,    0.000,              0.000
      22,          0.350000,"Closed      ",          41.999001,    0.000,              0.000
      23,          0.366667,"Closed      ",          41.999001,    0.000,              0.000
      24,          0.383333,"Closed      ",          41.999001,    0.000,              0.000
      25,          0.400000,"Closed      ",          41.999001,    0.000,              0.000
      26,          0.416667,"Closed      ",          41.999001,    0.000,              0.000
      27,          0.433333,"Closed      ",          41.999001,    0.000,              0.000
      28,          0.450000,"Closed      ",          41.999001,    0.000,              0.000
      29,          0.466667,"Closed      ",          41.999001,    0.000,              0.000
      30,          0.483333,"Closed      ",          41.999001,    0.000,              0.000
      31,          0.500000,"Closed      ",          41.999001,    0.000,              0.000
      32,          0.516667,"Closed      ",          41.999001,    0.000,              0.000
      33,          0.533333,"Closed      ",          41.999001,    0.000,              0.000
      34,          0.550000,"Closed      ",          41.999001,    0.000,              0.000
      35,          0.566667,"Closed      ",          41.999001,    0.000,              0.000
      36,          0.583333,"Closed      ",          41.999001,    0.000,              0.000
      37,          0.600000,"Closed      ",          41.999001,    0.000,              0.000
      38,          0.616667,"Closed      ",          41.999001,    0.000,              0.000
      39,          0.633333,"Closed      ",          41.999001,    0.000,              0.000
      40,          0.650000,"Closed      ",          41.999001,    0.000,              0.000
      41,          0.666667,"Closed      ",          41.999001,    0.000,              0.000
      42,          0.683333,"Closed      ",          41.999001,    0.000,              0.000
      43,          0.700000,"Closed      ",          41.999001,    0.000,              0.000
      44,          0.716667,"Closed      ",          41.999001,    0.000,              0.000
      45,          0.733333,"Closed      ",          41.999001,    0.000,              0.000
      46,          0.750000,"Closed      ",          41.999001,    0.000,              0.000
      47,          0.766667,"Closed      ",          41.999001,    0.000,              0.000
      48,          0.783333,"Closed      ",          41.999001,    0.000,              0.000
      49,          0.800000,"Closed      ",          42.021496,    0.000,              0.000
      50,          0.816667,"Closed      ",          42.164375,    0.000,              0.000
      51,          0.833333,"Closed      ",          42.302429,    0.000,              0.000
      52,          0.850000,"Closed      ",          42.430588,    0.000,              0.000
      53,          0.866667,"Opening     ",          42.545540,    0.028,              1.400
      54,          0.883333,"Opening     ",          42.647606,    0.095,              4.930
      55,          0.900000,"Opening     ",          42.737144,    0.161,              8.624
      56,          0.916667,"Opening     ",          42.815681,    0.228,             12.430
      57,          0.933333,"Opening     ",          42.884468,    0.295,             16.303
      58,          0.950000,"Opening     ",          42.945621,    0.361,             20.214
      59,          0.966667,"Opening     ",          42.999088,    0.428,             24.130
      60,          0.983333,"Opening     ",          43.045830,    0.495,             28.026
      61,          1.000000,"Opening     ",          43.095306,    0.561,             31.990
      62,          1.016667,"Opening     ",          43.140785,    0.628,             35.942
      63,          1.033333,"Opening     ",          43.179897,    0.695,             39.826
      64,          1.050000,"Opening     ",          43.213642,    0.761,             43.631
      65,          1.066667,"Opening     ",          43.247078,    0.828,             46.251
      66,          1.083333,"Opening     ",          43.278416,    0.895,             48.008
      67,          1.100000,"Opening     ",          43.307739,    0.962,             49.669
      68,          1.116667,"Steady      ",          43.335674,    1.000,             51.271
      69,          1.133333,"Steady      ",          43.360786,    1.000,             52.724
      70,          1.150000,"Steady      ",          43.384983,    1.000,             54.137
      71,          1.166667,"Steady      ",          43.406746,    1.000,             55.419
      72,          1.183333,"Steady      ",          43.427017,    1.000,             56.622
      73,          1.200000,"Steady      ",          43.445236,    1.000,             57.711
      74,          1.216667,"Steady      ",          43.461773,    1.000,             58.705
      75,          1.233333,"Steady      ",          43.476589,    1.000,             59.601
      76,          1.250000,"Steady      ",          43.489952,    1.000,             60.412
      77,          1.266667,"Steady      ",          43.502495,    1.000,             60.791
      78,          1.283333,"Steady      ",          43.513878,    1.000,             61.026
      79,          1.300000,"Steady      ",          43.523800,    1.000,             61.230
      80,          1.316667,"Steady      ",          43.532585,    1.000,             61.409
      81,          1.333333,"Steady      ",          43.539886,    1.000,             61.558
      82,          1.350000,"Steady      ",          43.545822,    1.000,             61.679
      83,          1.366667,"Steady      ",          43.550362,    1.000,             61.772
      84,          1.383333,"Steady      ",          43.553463,    1.000,             61.835
      85,          1.400000,"Steady      ",          43.555176,    1.000,             61.870
      86,          1.416667,"Steady      ",          43.555481,    1.000,             61.876
      87,          1.433333,"Steady      ",          43.554527,    1.000,             61.857
      88,          1.450000,"Steady      ",          43.552402,    1.000,             61.814
      89,          1.466667,"Steady      ",          43.549057,    1.000,             61.747
      90,          1.483333,"Steady      ",          43.544670,    1.000,             61.658
      91,          1.500000,"Steady      ",          43.539261,    1.000,             61.548
      92,          1.516667,"Steady      ",          43.532875,    1.000,             61.418
      93,          1.533333,"Steady      ",          43.525436,    1.000,             61.266
      94,          1.550000,"Steady      ",          43.517071,    1.000,             61.095
      95,          1.566667,"Steady      ",          43.507881,    1.000,             60.906
      96,          1.583333,"Steady      ",          43.498035,    1.000,             60.703
      97,          1.600000,"Steady      ",          43.488266,    1.000,             60.320
      98,          1.616667,"Steady      ",          43.478607,    1.000,             59.734
      99,          1.633333,"Steady      ",          43.468895,    1.000,             59.147
     100,          1.650000,"Steady      ",          43.459267,    1.000,             58.566
     101,          1.666667,"Steady      ",          43.449554,    1.000,             57.983
     102,          1.683333,"Steady      ",          43.439865,    1.000,             57.402
     103,          1.700000,"Steady      ",          43.430164,    1.000,             56.823
     104,          1.716667,"Steady      ",          43.420368,    1.000,             56.241
     105,          1.733333,"Steady      ",          43.410561,    1.000,             55.659
     106,          1.750000,"Steady      ",          43.400551,    1.000,             55.068
     107,          1.766667,"Steady      ",          43.390350,    1.000,             54.467
     108,          1.783333,"Steady      ",          43.379967,    1.000,             53.858
     109,          1.800000,"Steady      ",          43.369324,    1.000,             53.237
     110,          1.816667,"Steady      ",          43.358429,    1.000,             52.603
