"","Time","OC_001 Status","OC_001 Trigger1","OC_001 Trigger2","OC_001 Flow","OC_002 Status","OC_002 Trigger","OC_002 P_Stat","OC_002 Gate Opening","OC_002 Flow"
       1,          0.000000,"Unknown     ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           0.000000,    0.000,              0.000
       2,          0.016667,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
       3,          0.033333,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
       4,          0.050000,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
       5,          0.066667,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
       6,          0.083333,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
       7,          0.100000,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
       8,          0.116667,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
       9,          0.133333,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      10,          0.150000,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      11,          0.166667,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      12,          0.183333,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      13,          0.200000,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      14,          0.216667,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      15,          0.233333,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      16,          0.250000,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      17,          0.266667,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      18,          0.283333,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      19,          0.300000,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      20,          0.316667,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      21,          0.333333,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      22,          0.350000,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      23,          0.366667,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      24,          0.383333,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      25,          0.400000,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      26,          0.416667,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      27,          0.433333,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      28,          0.450000,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      29,          0.466667,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      30,          0.483333,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      31,          0.500000,"Off         ",          38.299999,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      32,          0.516667,"Off         ",          38.609161,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      33,          0.533333,"Off         ",          38.747662,          42.299999,              0.000,"Closed      ",          41.999001,           1.000000,    0.000,              0.000
      34,          0.550000,"Below Soffit",          39.239361,          42.299999,              0.000,"Closed      ",          41.999001,          11.000000,    0.000,              0.000
      35,          0.566667,"Starting    ",          39.578800,          42.308548,              0.289,"Closed      ",          41.999001,          12.000000,    0.000,              0.000
      36,          0.583333,"Starting    ",          39.807125,          42.393387,              0.489,"Closed      ",          41.999001,          12.000000,    0.000,              0.000
      37,          0.600000,"Starting    ",          39.980522,          42.505703,              0.689,"Closed      ",          41.999001,          12.000000,    0.000,              0.000
      38,          0.616667,"Starting    ",          40.161777,          42.607208,              0.889,"Closed      ",          41.999001,          12.000000,    0.000,              0.000
      39,          0.633333,"Starting    ",          40.344261,          42.696976,              1.089,"Closed      ",          41.999001,          12.000000,    0.000,              0.000
      40,          0.650000,"Starting    ",          40.526459,          42.778053,              1.289,"Closed      ",          41.999001,          12.000000,    0.000,              0.000
      41,          0.666667,"Starting    ",          40.715195,          42.861504,              1.489,"Closed      ",          41.999001,          12.000000,    0.000,              0.000
      42,          0.683333,"Starting    ",          40.904335,          42.941742,              1.689,"Closed      ",          41.999001,          12.000000,    0.000,              0.000
      43,          0.700000,"Starting    ",          41.092422,          43.023354,              1.889,"Closed      ",          41.999001,          12.000000,    0.000,              0.000
      44,          0.716667,"Constant    ",          41.258999,          43.103420,              2.000,"Closed      ",          41.999001,           8.000000,    0.000,              0.000
      45,          0.733333,"Constant    ",          41.409580,          43.171181,              2.000,"Closed      ",          41.999001,           8.000000,    0.000,              0.000
      46,          0.750000,"Constant    ",          41.551079,          43.226135,              2.000,"Closed      ",          41.999001,           8.000000,    0.000,              0.000
      47,          0.766667,"Constant    ",          41.688248,          43.282433,              2.000,"Closed      ",          41.999001,           8.000000,    0.000,              0.000
      48,          0.783333,"Constant    ",          41.826180,          43.346420,              2.000,"Closed      ",          41.999001,           8.000000,    0.000,              0.000
      49,          0.800000,"Constant    ",          41.969521,          43.398605,              2.000,"Closed      ",          41.999001,           8.000000,    0.000,              0.000
      50,          0.816667,"Constant    ",          42.115215,          43.458206,              2.000,"Closed      ",          42.117832,           8.000000,    0.000,              0.000
      51,          0.833333,"Stopping    ",          42.256424,          43.509186,              1.970,"Closed      ",          42.258797,          13.000000,    0.000,              0.000
      52,          0.850000,"Stopping    ",          42.388023,          43.560722,              1.770,"Closed      ",          42.390045,          13.000000,    0.000,              0.000
      53,          0.866667,"Stopping    ",          42.508369,          43.603554,              1.570,"Closed      ",          42.510132,          13.000000,    0.000,              0.000
      54,          0.883333,"Stopping    ",          42.618401,          43.639774,              1.370,"Closed      ",          42.619759,          13.000000,    0.000,              0.000
      55,          0.900000,"Stopping    ",          42.719246,          43.674129,              1.170,"Closed      ",          42.720375,          13.000000,    0.000,              0.000
      56,          0.916667,"Stopping    ",          42.812164,          43.697250,              0.970,"Closed      ",          42.813107,          13.000000,    0.000,              0.000
      57,          0.933333,"Stopping    ",          42.897770,          43.721294,              0.770,"Closed      ",          42.898521,          13.000000,    0.000,              0.000
      58,          0.950000,"Stopping    ",          42.978149,          43.735931,              0.570,"Closed      ",          42.978710,          13.000000,    0.000,              0.000
      59,          0.966667,"Stopping    ",          43.053635,          43.746704,              0.370,"Closed      ",          43.054096,          13.000000,    0.000,              0.000
      60,          0.983333,"Stopping    ",          43.123699,          43.755394,              0.170,"Closed      ",          43.123962,          13.000000,    0.000,              0.000
      61,          1.000000,"Off         ",          43.196918,          43.754372,              0.000,"Opening     ",          43.196075,           1.000000,    0.010,              0.621
      62,          1.016667,"Off         ",          43.267773,          43.756927,              0.000,"Opening     ",          43.266983,           1.000000,    0.077,              4.996
      63,          1.033333,"Off         ",          43.331146,          43.755997,              0.000,"Opening     ",          43.329384,           1.000000,    0.143,              9.441
      64,          1.050000,"Off         ",          43.388630,          43.754921,              0.000,"Opening     ",          43.385475,           1.000000,    0.210,             13.933
      65,          1.066667,"Off         ",          43.440929,          43.757385,              0.000,"Opening     ",          43.435997,           1.000000,    0.277,             18.452
      66,          1.083333,"Off         ",          43.490028,          43.754349,              0.000,"Opening     ",          43.482689,           1.000000,    0.343,             22.987
      67,          1.100000,"Off         ",          43.533936,          43.756622,              0.000,"Opening     ",          43.523926,           1.000000,    0.410,             27.511
      68,          1.116667,"Off         ",          43.574398,          43.756012,              0.000,"Opening     ",          43.561150,           1.000000,    0.477,             32.018
      69,          1.133333,"Off         ",          43.609657,          43.754700,              0.000,"Opening     ",          43.592850,           1.000000,    0.543,             36.476
      70,          1.150000,"Off         ",          43.641823,          43.757423,              0.000,"Opening     ",          43.621078,           1.000000,    0.610,             40.887
      71,          1.166667,"Off         ",          43.669857,          43.754478,              0.000,"Opening     ",          43.644814,           1.000000,    0.677,             45.225
      72,          1.183333,"Off         ",          43.694061,          43.756416,              0.000,"Opening     ",          43.664429,           1.000000,    0.743,             49.479
      73,          1.200000,"Off         ",          43.714287,          43.756268,              0.000,"Opening     ",          43.679771,           1.000000,    0.810,             53.628
      74,          1.216667,"Off         ",          43.731220,          43.754593,              0.000,"Opening     ",          43.691605,           1.000000,    0.877,             57.667
      75,          1.233333,"Off         ",          43.744270,          43.757278,              0.000,"Opening     ",          43.699417,           1.000000,    0.943,             61.570
      76,          1.250000,"Off         ",          43.754250,          43.754677,              0.000,"Opening     ",          43.703968,           1.000000,    1.010,             65.334
      77,          1.266667,"Off         ",          43.760742,          43.756172,              0.000,"Opening     ",          43.704990,           1.000000,    1.077,             68.934
      78,          1.283333,"Off         ",          43.763954,          43.756355,              0.000,"Opening     ",          43.702637,           1.000000,    1.143,             72.357
      79,          1.300000,"Off         ",          43.766125,          43.754639,              0.000,"Opening     ",          43.702843,           1.000000,    1.210,             73.819
      80,          1.316667,"Off         ",          43.766464,          43.757271,              0.000,"Opening     ",          43.703133,           1.000000,    1.277,             73.839
      81,          1.333333,"Off         ",          43.765366,          43.754890,              0.000,"Opening     ",          43.702126,           1.000000,    1.343,             73.774
      82,          1.350000,"Off         ",          43.763824,          43.756096,              0.000,"Opening     ",          43.700684,           1.000000,    1.410,             73.681
      83,          1.366667,"Off         ",          43.760918,          43.756615,              0.000,"Opening     ",          43.698013,           1.000000,    1.477,             73.507
      84,          1.383333,"Off         ",          43.757183,          43.754539,              0.000,"Opening     ",          43.694565,           1.000000,    1.543,             73.284
      85,          1.400000,"Off         ",          43.752304,          43.757195,              0.000,"Opening     ",          43.690079,           1.000000,    1.610,             72.994
      86,          1.416667,"Off         ",          43.746113,          43.755035,              0.000,"Opening     ",          43.684372,           1.000000,    1.677,             72.625
      87,          1.433333,"Off         ",          43.739216,          43.755814,              0.000,"Opening     ",          43.678009,           1.000000,    1.743,             72.215
      88,          1.450000,"Off         ",          43.731224,          43.756668,              0.000,"Opening     ",          43.670650,           1.000000,    1.810,             71.740
      89,          1.466667,"Off         ",          43.722321,          43.754574,              0.000,"Opening     ",          43.662441,           1.000000,    1.877,             71.212
      90,          1.483333,"Off         ",          43.712608,          43.757053,              0.000,"Opening     ",          43.653473,           1.000000,    1.943,             70.638
      91,          1.500000,"Off         ",          43.701992,          43.755241,              0.000,"Fully Open  ",          43.643669,           1.000000,    2.000,             70.011
      92,          1.516667,"Off         ",          43.690819,          43.755730,              0.000,"Fully Open  ",          43.633343,           1.000000,    2.000,             69.352
      93,          1.533333,"Off         ",          43.678936,          43.756775,              0.000,"Fully Open  ",          43.622368,           1.000000,    2.000,             68.655
      94,          1.550000,"Off         ",          43.666496,          43.754574,              0.000,"Fully Open  ",          43.610855,           1.000000,    2.000,             67.926
      95,          1.566667,"Off         ",          43.653587,          43.756969,              0.000,"Fully Open  ",          43.598911,           1.000000,    2.000,             67.172
      96,          1.583333,"Off         ",          43.640320,          43.755329,              0.000,"Fully Open  ",          43.586624,           1.000000,    2.000,             66.399
      97,          1.600000,"Off         ",          43.626984,          43.755455,              0.000,"Fully Open  ",          43.574265,           1.000000,    2.000,             65.625
      98,          1.616667,"Off         ",          43.613697,          43.756836,              0.000,"Fully Open  ",          43.561935,           1.000000,    2.000,             64.856
      99,          1.633333,"Off         ",          43.600479,          43.754555,              0.000,"Fully Open  ",          43.549679,           1.000000,    2.000,             64.094
     100,          1.650000,"Off         ",          43.587395,          43.756813,              0.000,"Fully Open  ",          43.537529,           1.000000,    2.000,             63.341
     101,          1.666667,"Off         ",          43.574379,          43.755592,              0.000,"Fully Open  ",          43.525429,           1.000000,    2.000,             62.595
     102,          1.683333,"Off         ",          43.561424,          43.755402,              0.000,"Fully Open  ",          43.513390,           1.000000,    2.000,             61.856
     103,          1.700000,"Off         ",          43.548508,          43.756920,              0.000,"Fully Open  ",          43.501369,           1.000000,    2.000,             61.120
     104,          1.716667,"Off         ",          43.535637,          43.754700,              0.000,"Closing     ",          43.489388,           1.000000,    1.941,             60.390
     105,          1.733333,"Off         ",          43.522816,          43.756706,              0.000,"Closing     ",          43.477448,           1.000000,    1.874,             59.665
     106,          1.750000,"Off         ",          43.509865,          43.755692,              0.000,"Closing     ",          43.465378,           1.000000,    1.808,             58.936
     107,          1.766667,"Off         ",          43.496803,          43.755249,              0.000,"Closing     ",          43.453186,           1.000000,    1.741,             58.202
     108,          1.783333,"Off         ",          43.483547,          43.756935,              0.000,"Closing     ",          43.440819,           1.000000,    1.674,             57.461
     109,          1.800000,"Off         ",          43.470142,          43.754669,              0.000,"Closing     ",          43.428291,           1.000000,    1.607,             56.713
     110,          1.816667,"Off         ",          43.456532,          43.756550,              0.000,"Closing     ",          43.415573,           1.000000,    1.541,             55.958
     111,          1.833333,"Off         ",          43.442596,          43.755901,              0.000,"Closing     ",          43.402542,           1.000000,    1.474,             55.187
     112,          1.850000,"Off         ",          43.428391,          43.755127,              0.000,"Closing     ",          43.389248,           1.000000,    1.407,             54.404
     113,          1.866667,"Off         ",          43.413887,          43.756996,              0.000,"Closing     ",          43.375664,           1.000000,    1.341,             53.608
     114,          1.883333,"Off         ",          43.399006,          43.754852,              0.000,"Closing     ",          43.361710,           1.000000,    1.274,             52.795
     115,          1.900000,"Off         ",          43.383781,          43.756378,              0.000,"Closing     ",          43.347427,           1.000000,    1.207,             51.967
     116,          1.916667,"Off         ",          43.368122,          43.756042,              0.000,"Closing     ",          43.332726,           1.000000,    1.141,             51.119
     117,          1.933333,"Off         ",          43.351929,          43.755028,              0.000,"Closing     ",          43.317516,           1.000000,    1.074,             50.247
     118,          1.950000,"Off         ",          43.335251,          43.756924,              0.000,"Closing     ",          43.301834,           1.000000,    1.007,             49.353
     119,          1.966667,"Off         ",          43.318157,          43.754868,              0.000,"Steady      ",          43.285736,           1.000000,    1.000,             48.440
     120,          1.983333,"Off         ",          43.300682,          43.756241,              0.000,"Steady      ",          43.269268,           1.000000,    1.000,             47.513
     121,          2.000000,"Off         ",          43.283005,          43.756165,              0.000,"Steady      ",          43.252594,           1.000000,    1.000,             46.580
     122,          2.016667,"Off         ",          43.265369,          43.754921,              0.000,"Steady      ",          43.235931,           1.000000,    1.000,             45.654
     123,          2.033334,"Off         ",          43.247639,          43.756962,              0.000,"Steady      ",          43.219185,           1.000000,    1.000,             44.729
     124,          2.050000,"Off         ",          43.229965,          43.755047,              0.000,"Steady      ",          43.202469,           1.000000,    1.000,             43.812
     125,          2.066667,"Off         ",          43.212387,          43.756039,              0.000,"Steady      ",          43.185822,           1.000000,    1.000,             42.906
     126,          2.083333,"Off         ",          43.195164,          43.756340,              0.000,"Steady      ",          43.169491,           1.000000,    1.000,             42.023
     127,          2.100000,"Off         ",          43.177963,          43.754910,              0.000,"Steady      ",          43.153168,           1.000000,    1.000,             41.146
     128,          2.116667,"Off         ",          43.161118,          43.756851,              0.000,"Steady      ",          43.137173,           1.000000,    1.000,             40.293
     129,          2.133333,"Off         ",          43.144356,          43.755157,              0.000,"Steady      ",          43.121239,           1.000000,    1.000,             39.449
     130,          2.150000,"Off         ",          43.127762,          43.755917,              0.000,"Steady      ",          43.105446,           1.000000,    1.000,             38.618
     131,          2.166667,"Off         ",          43.111427,          43.756409,              0.000,"Steady      ",          43.089897,           1.000000,    1.000,             37.807
     132,          2.183333,"Off         ",          43.095226,          43.754875,              0.000,"Steady      ",          43.074455,           1.000000,    1.000,             37.006
     133,          2.200000,"Off         ",          43.079231,          43.756851,              0.000,"Steady      ",          43.059196,           1.000000,    1.000,             36.221
     134,          2.216667,"Off         ",          43.063297,          43.755291,              0.000,"Steady      ",          43.043976,           1.000000,    1.000,             35.443
     135,          2.233333,"Off         ",          43.047546,          43.755791,              0.000,"Steady      ",          43.028923,           1.000000,    1.000,             34.679
     136,          2.250000,"Off         ",          43.031853,          43.756557,              0.000,"Steady      ",          43.013908,           1.000000,    1.000,             33.923
     137,          2.266667,"Off         ",          43.016308,          43.754841,              0.000,"Steady      ",          42.999031,           1.000000,    1.000,             33.179
     138,          2.283334,"Off         ",          43.000950,          43.756691,              0.000,"Steady      ",          42.984322,           1.000000,    1.000,             32.449
     139,          2.300000,"Off         ",          42.985882,          43.755459,              0.000,"Steady      ",          42.969856,           1.000000,    1.000,             31.736
     140,          2.316667,"Off         ",          42.970963,          43.755562,              0.000,"Steady      ",          42.955551,           1.000000,    1.000,             31.036
     141,          2.333333,"Off         ",          42.956276,          43.756584,              0.000,"Steady      ",          42.941429,           1.000000,    1.000,             30.351
     142,          2.350000,"Off         ",          42.941795,          43.754890,              0.000,"Steady      ",          42.927513,           1.000000,    1.000,             29.681
     143,          2.366667,"Off         ",          42.927498,          43.756622,              0.000,"Steady      ",          42.913765,           1.000000,    1.000,             29.023
     144,          2.383333,"Off         ",          42.913467,          43.755581,              0.000,"Steady      ",          42.900246,           1.000000,    1.000,             28.381
     145,          2.400000,"Off         ",          42.899643,          43.755539,              0.000,"Steady      ",          42.886932,           1.000000,    1.000,             27.754
     146,          2.416667,"Off         ",          42.886021,          43.756676,              0.000,"Steady      ",          42.873787,           1.000000,    1.000,             27.139
     147,          2.433333,"Off         ",          42.872543,          43.754898,              0.000,"Steady      ",          42.860783,           1.000000,    1.000,             26.536
     148,          2.450000,"Off         ",          42.859310,          43.756523,              0.000,"Steady      ",          42.847996,           1.000000,    1.000,             25.947
     149,          2.466667,"Off         ",          42.846313,          43.755711,              0.000,"Steady      ",          42.835434,           1.000000,    1.000,             25.373
     150,          2.483333,"Off         ",          42.833321,          43.755341,              0.000,"Steady      ",          42.822861,           1.000000,    1.000,             24.802
     151,          2.500000,"Off         ",          42.820602,          43.756695,              0.000,"Steady      ",          42.810547,           1.000000,    1.000,             24.247
     152,          2.516667,"Off         ",          42.808090,          43.754971,              0.000,"Steady      ",          42.798424,           1.000000,    1.000,             23.705
     153,          2.533334,"Off         ",          42.795887,          43.756355,              0.000,"Steady      ",          42.786598,           1.000000,    1.000,             23.181
     154,          2.550000,"Off         ",          42.783833,          43.755894,              0.000,"Steady      ",          42.774902,           1.000000,    1.000,             22.665
     155,          2.566667,"Off         ",          42.772034,          43.755325,              0.000,"Steady      ",          42.763443,           1.000000,    1.000,             22.165
     156,          2.583333,"Off         ",          42.760479,          43.756706,              0.000,"Steady      ",          42.752216,           1.000000,    1.000,             21.677
     157,          2.600000,"Off         ",          42.749130,          43.755051,              0.000,"Steady      ",          42.741192,           1.000000,    1.000,             21.203
     158,          2.616667,"Off         ",          42.737873,          43.756310,              0.000,"Steady      ",          42.730244,           1.000000,    1.000,             20.735
     159,          2.633333,"Off         ",          42.726616,          43.755951,              0.000,"Steady      ",          42.719292,           1.000000,    1.000,             20.270
     160,          2.650000,"Off         ",          42.715626,          43.755211,              0.000,"Steady      ",          42.708580,           1.000000,    1.000,             19.819
     161,          2.666667,"Off         ",          42.704742,          43.756699,              0.000,"Steady      ",          42.697975,           1.000000,    1.000,             19.376
     162,          2.683333,"Off         ",          42.693985,          43.755081,              0.000,"Steady      ",          42.687485,           1.000000,    1.000,             18.940
     163,          2.700000,"Off         ",          42.683372,          43.756142,              0.000,"Steady      ",          42.677143,           1.000000,    1.000,             18.515
     164,          2.716667,"Off         ",          42.672829,          43.756107,              0.000,"Steady      ",          42.666859,           1.000000,    1.000,             18.095
     165,          2.733334,"Off         ",          42.662422,          43.755154,              0.000,"Steady      ",          42.656693,           1.000000,    1.000,             17.682
     166,          2.750000,"Off         ",          42.652122,          43.756702,              0.000,"Steady      ",          42.646633,           1.000000,    1.000,             17.278
     167,          2.766667,"Off         ",          42.642014,          43.755245,              0.000,"Steady      ",          42.636757,           1.000000,    1.000,             16.883
     168,          2.783334,"Off         ",          42.631981,          43.756046,              0.000,"Steady      ",          42.626942,           1.000000,    1.000,             16.495
     169,          2.800000,"Off         ",          42.622105,          43.756180,              0.000,"Steady      ",          42.617275,           1.000000,    1.000,             16.115
     170,          2.816667,"Off         ",          42.612328,          43.755123,              0.000,"Steady      ",          42.607704,           1.000000,    1.000,             15.741
     171,          2.833333,"Off         ",          42.602749,          43.756645,              0.000,"Steady      ",          42.598320,           1.000000,    1.000,             15.378
     172,          2.850000,"Off         ",          42.593208,          43.755249,              0.000,"Steady      ",          42.588966,           1.000000,    1.000,             15.019
     173,          2.866667,"Off         ",          42.583828,          43.755928,              0.000,"Steady      ",          42.579773,           1.000000,    1.000,             14.669
     174,          2.883333,"Off         ",          42.574562,          43.756283,              0.000,"Steady      ",          42.570686,           1.000000,    1.000,             14.325
     175,          2.900000,"Off         ",          42.565376,          43.755066,              0.000,"Steady      ",          42.561661,           1.000000,    1.000,             13.987
     176,          2.916667,"Off         ",          42.556229,          43.756638,              0.000,"Steady      ",          42.552681,           1.000000,    1.000,             13.653
     177,          2.933333,"Off         ",          42.547234,          43.755409,              0.000,"Steady      ",          42.543846,           1.000000,    1.000,             13.327
     178,          2.950000,"Off         ",          42.538231,          43.755829,              0.000,"Steady      ",          42.534996,           1.000000,    1.000,             13.003
     179,          2.966667,"Off         ",          42.529179,          43.756393,              0.000,"Steady      ",          42.526096,           1.000000,    1.000,             12.680
     180,          2.983334,"Off         ",          42.520226,          43.755085,              0.000,"Steady      ",          42.517281,           1.000000,    1.000,             12.362
     181,          3.000000,"Off         ",          42.511383,          43.756538,              0.000,"Steady      ",          42.508583,           1.000000,    1.000,             12.051
