"","Time","OC_001 Status","OC_001 Hup","OC_001 SGate1_Status","OC_001 Flow","SGate1 Status","SGate1 t","SGate1 Gate Opening","SGate1 Flow"
       1,          0.000000,"Unknown     ",          38.299999,           0.000000,              0.000,"Closed      ",           0.000000,    0.000,              0.000
       2,          0.016667,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.016790,    0.000,              0.000
       3,          0.033333,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.033449,    0.000,              0.000
       4,          0.050000,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.050116,    0.000,              0.000
       5,          0.066667,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.066806,    0.000,              0.000
       6,          0.083333,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.083449,    0.000,              0.000
       7,          0.100000,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.100123,    0.000,              0.000
       8,          0.116667,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.116782,    0.000,              0.000
       9,          0.133333,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.133468,    0.000,              0.000
      10,          0.150000,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.150126,    0.000,              0.000
      11,          0.166667,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.166786,    0.000,              0.000
      12,          0.183333,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.183449,    0.000,              0.000
      13,          0.200000,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.200126,    0.000,              0.000
      14,          0.216667,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.216782,    0.000,              0.000
      15,          0.233333,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.233444,    0.000,              0.000
      16,          0.250000,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.250109,    0.000,              0.000
      17,          0.266667,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.266773,    0.000,              0.000
      18,          0.283333,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.283440,    0.000,              0.000
      19,          0.300000,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.300105,    0.000,              0.000
      20,          0.316667,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.316770,    0.000,              0.000
      21,          0.333333,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.333436,    0.000,              0.000
      22,          0.350000,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.350101,    0.000,              0.000
      23,          0.366667,"Dry         ",          38.299999,           6.000000,              0.000,"Closed      ",           0.366766,    0.000,              0.000
