"","Time","OC_001 Status","OC_001 t","OC_001 Flow"
       1,          0.000000,"Unknown     ",           0.000000,              0.000
       2,          0.016667,"Off         ",           0.016790,              0.000
       3,          0.033333,"Off         ",           0.033449,              0.000
       4,          0.050000,"Off         ",           0.050116,              0.000
       5,          0.066667,"Off         ",           0.066806,              0.000
       6,          0.083333,"Off         ",           0.083449,              0.000
       7,          0.100000,"Off         ",           0.100123,              0.000
       8,          0.116667,"Off         ",           0.116782,              0.000
       9,          0.133333,"Off         ",           0.133468,              0.000
      10,          0.150000,"Off         ",           0.150126,              0.000
      11,          0.166667,"Off         ",           0.166786,              0.000
      12,          0.183333,"Off         ",           0.183449,              0.000
      13,          0.200000,"Off         ",           0.200126,              0.000
      14,          0.216667,"Off         ",           0.216782,              0.000
      15,          0.233333,"Off         ",           0.233444,              0.000
      16,          0.250000,"Off         ",           0.250109,              0.000
      17,          0.266667,"Off         ",           0.266773,              0.000
      18,          0.283333,"Off         ",           0.283440,              0.000
      19,          0.300000,"Off         ",           0.300105,              0.000
      20,          0.316667,"Off         ",           0.316770,              0.000
      21,          0.333333,"Off         ",           0.333436,              0.000
      22,          0.350000,"Off         ",           0.350101,              0.000
      23,          0.366667,"Off         ",           0.366766,              0.000
      24,          0.383333,"Off         ",           0.383433,              0.000
      25,          0.400000,"Off         ",           0.400097,              0.000
      26,          0.416667,"Off         ",           0.416762,              0.000
      27,          0.433333,"Off         ",           0.433428,              0.000
      28,          0.450000,"Off         ",           0.450093,              0.000
      29,          0.466667,"Off         ",           0.466803,              0.000
      30,          0.483333,"Off         ",           0.483466,              0.000
      31,          0.500000,"Off         ",           0.500130,              0.000
      32,          0.516667,"Off         ",           0.516793,              0.000
      33,          0.533333,"Off         ",           0.533456,              0.000
      34,          0.550000,"Off         ",           0.550119,              0.000
      35,          0.566667,"Off         ",           0.566776,              0.000
      36,          0.583333,"Off         ",           0.583435,              0.000
      37,          0.600000,"Off         ",           0.600097,              0.000
      38,          0.616667,"Off         ",           0.616760,              0.000
      39,          0.633333,"Off         ",           0.633424,              0.000
      40,          0.650000,"Off         ",           0.650088,              0.000
      41,          0.666667,"Off         ",           0.666752,              0.000
      42,          0.683333,"Off         ",           0.683418,              0.000
      43,          0.700000,"Off         ",           0.700084,              0.000
      44,          0.716667,"Off         ",           0.716750,              0.000
      45,          0.733333,"Off         ",           0.733416,              0.000
      46,          0.750000,"Off         ",           0.750081,              0.000
      47,          0.766667,"Off         ",           0.766748,              0.000
      48,          0.783333,"Off         ",           0.783413,              0.000
      49,          0.800000,"Off         ",           0.800080,              0.000
      50,          0.816667,"Off         ",           0.816746,              0.000
      51,          0.833333,"Off         ",           0.833412,              0.000
      52,          0.850000,"Off         ",           0.850079,              0.000
      53,          0.866667,"Off         ",           0.866745,              0.000
      54,          0.883333,"Off         ",           0.883412,              0.000
      55,          0.900000,"Off         ",           0.900079,              0.000
      56,          0.916667,"Off         ",           0.916745,              0.000
      57,          0.933333,"Off         ",           0.933412,              0.000
      58,          0.950000,"Off         ",           0.950079,              0.000
      59,          0.966667,"Off         ",           0.966745,              0.000
      60,          0.983333,"Off         ",           0.983412,              0.000
      61,          1.000000,"Starting    ",           1.000079,              0.000
      62,          1.016667,"Starting    ",           1.016745,              0.004
      63,          1.033333,"Starting    ",           1.033413,              0.009
      64,          1.050000,"Starting    ",           1.050079,              0.013
      65,          1.066667,"Starting    ",           1.066747,              0.018
      66,          1.083333,"Pump Curve  ",           1.083413,              0.022
      67,          1.100000,"Pump Curve  ",           1.100081,              0.022
      68,          1.116667,"Pump Curve  ",           1.116749,              0.022
      69,          1.133333,"Pump Curve  ",           1.133417,              0.022
      70,          1.150000,"Pump Curve  ",           1.150084,              0.022
      71,          1.166667,"Pump Curve  ",           1.166753,              0.022
      72,          1.183333,"Pump Curve  ",           1.183420,              0.022
      73,          1.200000,"Pump Curve  ",           1.200089,              0.022
      74,          1.216667,"Pump Curve  ",           1.216756,              0.022
      75,          1.233333,"Pump Curve  ",           1.233425,              0.022
      76,          1.250000,"Pump Curve  ",           1.250092,              0.022
      77,          1.266667,"Pump Curve  ",           1.266758,              0.022
      78,          1.283333,"Pump Curve  ",           1.283425,              0.022
      79,          1.300000,"Pump Curve  ",           1.300092,              0.022
      80,          1.316667,"Pump Curve  ",           1.316759,              0.022
      81,          1.333333,"Pump Curve  ",           1.333426,              0.022
      82,          1.350000,"Pump Curve  ",           1.350093,              0.022
      83,          1.366667,"Pump Curve  ",           1.366759,              0.022
      84,          1.383333,"Pump Curve  ",           1.383426,              0.022
      85,          1.400000,"Pump Curve  ",           1.400093,              0.022
      86,          1.416667,"Pump Curve  ",           1.416759,              0.022
      87,          1.433333,"Pump Curve  ",           1.433427,              0.022
      88,          1.450000,"Pump Curve  ",           1.450094,              0.022
      89,          1.466667,"Pump Curve  ",           1.466760,              0.022
      90,          1.483333,"Pump Curve  ",           1.483427,              0.022
      91,          1.500000,"Stopping    ",           1.500094,              0.022
      92,          1.516667,"Stopping    ",           1.516761,              0.018
      93,          1.533333,"Stopping    ",           1.533428,              0.013
      94,          1.550000,"Stopping    ",           1.550095,              0.009
      95,          1.566667,"Stopping    ",           1.566762,              0.004
      96,          1.583333,"Off         ",           1.583429,              0.000
      97,          1.600000,"Off         ",           1.600096,              0.000
      98,          1.616667,"Off         ",           1.616764,              0.000
      99,          1.633333,"Off         ",           1.633430,              0.000
     100,          1.650000,"Off         ",           1.650098,              0.000
     101,          1.666667,"Off         ",           1.666766,              0.000
     102,          1.683333,"Off         ",           1.683433,              0.000
     103,          1.700000,"Off         ",           1.700101,              0.000
     104,          1.716667,"Off         ",           1.716768,              0.000
     105,          1.733333,"Off         ",           1.733435,              0.000
     106,          1.750000,"Off         ",           1.750103,              0.000
     107,          1.766667,"Off         ",           1.766770,              0.000
     108,          1.783333,"Off         ",           1.783436,              0.000
     109,          1.800000,"Off         ",           1.800104,              0.000
     110,          1.816667,"Off         ",           1.816771,              0.000
     111,          1.833333,"Off         ",           1.833438,              0.000
     112,          1.850000,"Off         ",           1.850106,              0.000
     113,          1.866667,"Off         ",           1.866772,              0.000
     114,          1.883333,"Off         ",           1.883440,              0.000
     115,          1.900000,"Off         ",           1.900107,              0.000
     116,          1.916667,"Off         ",           1.916775,              0.000
     117,          1.933333,"Off         ",           1.933442,              0.000
     118,          1.950000,"Off         ",           1.950110,              0.000
     119,          1.966667,"Off         ",           1.966778,              0.000
     120,          1.983333,"Off         ",           1.983446,              0.000
     121,          2.000000,"Off         ",           2.000113,              0.000
     122,          2.016667,"Off         ",           2.016895,              0.000
     123,          2.033334,"Off         ",           2.033565,              0.000
     124,          2.050000,"Off         ",           2.050235,              0.000
     125,          2.066667,"Off         ",           2.066905,              0.000
     126,          2.083333,"Off         ",           2.083454,              0.000
     127,          2.100000,"Off         ",           2.100121,              0.000
     128,          2.116667,"Off         ",           2.116789,              0.000
     129,          2.133333,"Off         ",           2.133456,              0.000
     130,          2.150000,"Off         ",           2.150125,              0.000
     131,          2.166667,"Off         ",           2.166793,              0.000
     132,          2.183333,"Off         ",           2.183460,              0.000
     133,          2.200000,"Off         ",           2.200128,              0.000
     134,          2.216667,"Off         ",           2.216797,              0.000
     135,          2.233333,"Off         ",           2.233464,              0.000
     136,          2.250000,"Off         ",           2.250132,              0.000
     137,          2.266667,"Off         ",           2.266801,              0.000
     138,          2.283334,"Off         ",           2.283468,              0.000
     139,          2.300000,"Off         ",           2.300134,              0.000
     140,          2.316667,"Off         ",           2.316801,              0.000
     141,          2.333333,"Off         ",           2.333468,              0.000
     142,          2.350000,"Off         ",           2.350137,              0.000
     143,          2.366667,"Off         ",           2.366803,              0.000
     144,          2.383333,"Off         ",           2.383470,              0.000
     145,          2.400000,"Off         ",           2.400137,              0.000
     146,          2.416667,"Off         ",           2.416803,              0.000
     147,          2.433333,"Off         ",           2.433426,              0.000
     148,          2.450000,"Off         ",           2.450093,              0.000
     149,          2.466667,"Off         ",           2.466759,              0.000
     150,          2.483333,"Off         ",           2.483472,              0.000
     151,          2.500000,"Off         ",           2.500185,              0.000
     152,          2.516667,"Off         ",           2.516852,              0.000
     153,          2.533334,"Off         ",           2.533522,              0.000
     154,          2.550000,"Off         ",           2.550188,              0.000
     155,          2.566667,"Off         ",           2.566855,              0.000
     156,          2.583333,"Off         ",           2.583428,              0.000
     157,          2.600000,"Off         ",           2.600096,              0.000
     158,          2.616667,"Off         ",           2.616763,              0.000
     159,          2.633333,"Off         ",           2.633429,              0.000
     160,          2.650000,"Off         ",           2.650096,              0.000
     161,          2.666667,"Off         ",           2.666764,              0.000
     162,          2.683333,"Off         ",           2.683431,              0.000
     163,          2.700000,"Off         ",           2.700098,              0.000
     164,          2.716667,"Off         ",           2.716764,              0.000
     165,          2.733334,"Off         ",           2.733528,              0.000
     166,          2.750000,"Off         ",           2.750198,              0.000
     167,          2.766667,"Off         ",           2.766865,              0.000
     168,          2.783334,"Off         ",           2.783532,              0.000
     169,          2.800000,"Off         ",           2.800198,              0.000
     170,          2.816667,"Off         ",           2.816869,              0.000
     171,          2.833333,"Off         ",           2.833435,              0.000
     172,          2.850000,"Off         ",           2.850101,              0.000
     173,          2.866667,"Off         ",           2.866770,              0.000
     174,          2.883333,"Off         ",           2.883436,              0.000
     175,          2.900000,"Off         ",           2.900103,              0.000
     176,          2.916667,"Off         ",           2.916772,              0.000
     177,          2.933333,"Off         ",           2.933438,              0.000
     178,          2.950000,"Off         ",           2.950105,              0.000
     179,          2.966667,"Off         ",           2.966880,              0.000
     180,          2.983334,"Off         ",           2.983547,              0.000
     181,          3.000000,"Off         ",           3.000139,              0.000
