"EG12_001 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_001.tcf]","Time (h)","SQ FC04.1_C [EG12_001]","SQ FC01.2_R [EG12_001]","SQ FC01.1_R [EG12_001]","SQ OC_001 [EG12_001]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0000,      0.0000,      0.0000,      0.0000
       7,          0.100000,      0.0000,      0.0000,      0.0000,      0.0000
       8,          0.116667,      0.0000,      0.0000,      0.0000,      0.0000
       9,          0.133333,      0.0000,      0.0000,      0.0000,      0.0000
      10,          0.150000,      0.0000,      0.0000,      0.0000,      0.0000
      11,          0.166667,      0.0000,      0.0000,      0.0000,      0.0000
      12,          0.183333,      0.0000,      0.0000,      0.0000,      0.0000
      13,          0.200000,      0.0000,      0.0000,      0.0000,      0.0000
      14,          0.216667,      0.0000,      0.0000,      0.8724,      0.0000
      15,          0.233333,      0.0000,      0.0000,      1.8008,      0.0000
      16,          0.250000,      0.0000,      0.0000,      2.4688,      0.0000
      17,          0.266667,      0.0000,      0.0000,      2.9900,      0.0000
      18,          0.283333,      0.0000,      0.0000,      3.4291,      0.0000
      19,          0.300000,      0.0000,      0.0000,      3.7830,      0.0000
      20,          0.316667,      0.0000,      0.0000,      4.2773,      0.0000
      21,          0.333333,      0.0000,      0.0000,      4.7758,      0.0000
      22,          0.350000,      0.0000,      0.0000,      5.2782,      0.0000
      23,          0.366667,      0.0000,      0.0000,      5.8236,      0.0000
      24,          0.383333,      0.0000,      0.0000,      6.5092,      0.0000
      25,          0.400000,      0.0000,      0.0000,      7.2117,      0.0000
      26,          0.416667,      0.0000,      0.0000,      8.0269,      0.0000
      27,          0.433333,      0.0000,      0.0000,      8.9891,      0.0000
      28,          0.450000,      0.0000,      0.0000,     10.1407,      0.0000
      29,          0.466667,      0.0000,      0.0000,     11.3503,      0.0000
      30,          0.483333,      0.0000,      0.0000,     13.1022,      0.0000
      31,          0.500000,      0.0000,      0.0000,     14.9184,      0.0000
      32,          0.516667,      0.0000,      0.0000,     16.8542,      0.0000
      33,          0.533333,      0.0000,      2.5460,     19.5766,      0.0000
      34,          0.550000,      0.0000,      3.6621,     23.3379,      0.0000
      35,          0.566667,      0.0000,      4.7592,     27.8980,      0.0000
      36,          0.583333,      0.0000,      5.4861,     30.9843,      0.0000
      37,          0.600000,      0.0000,      6.7880,     33.8573,      0.0000
      38,          0.616667,      0.0000,      8.1484,     36.3338,      0.0000
      39,          0.633333,      0.0000,     10.1344,     38.4640,      0.0000
      40,          0.650000,      0.0000,     12.2037,     40.3588,      0.0000
      41,          0.666667,      0.0000,     14.7701,     42.1247,      0.0000
      42,          0.683333,      0.0000,     17.7364,     43.7717,      0.0000
      43,          0.700000,      0.0000,     20.6826,     45.0709,      0.0000
      44,          0.716667,      0.0000,     23.6470,     45.9540,      0.0000
      45,          0.733333,      0.0000,     26.1893,     46.5135,      0.0000
      46,          0.750000,      0.0000,     28.4975,     46.8586,      0.0000
      47,          0.766667,      0.0000,     30.9189,     47.0762,      0.0000
      48,          0.783333,      0.0000,     33.5290,     47.1993,      0.0000
      49,          0.800000,      0.0000,     36.6616,     47.2742,      0.0000
      50,          0.816667,      0.0000,     40.1251,     47.3269,      0.0000
      51,          0.833333,      0.0000,     43.7276,     47.3668,      0.0000
      52,          0.850000,      0.0000,     47.3144,     47.3965,      0.0000
      53,          0.866667,      0.0000,     50.4404,     47.4152,      0.0000
      54,          0.883333,      0.0000,     53.0379,     47.4282,      0.0000
      55,          0.900000,      0.0000,     55.1226,     47.4391,      0.0000
      56,          0.916667,      0.0000,     56.8411,     47.4480,      0.0000
      57,          0.933333,      0.0000,     58.2892,     47.4562,      0.0000
      58,          0.950000,      0.0000,     59.5246,     47.4582,      0.0000
      59,          0.966667,      0.0000,     60.5958,     47.4577,      0.0000
      60,          0.983333,      0.0000,     61.5458,     47.4556,      0.0000
      61,          1.000000,      0.0000,     62.4077,     47.4529,      0.0001
      62,          1.016667,      0.0000,     63.1857,     47.4489,      0.1000
      63,          1.033333,      0.0000,     63.8887,     47.4373,      0.2000
      64,          1.050000,      0.0000,     64.5306,     47.4225,      0.3000
      65,          1.066667,      0.0000,     65.1484,     47.4060,      0.4000
      66,          1.083333,      0.0000,     65.7577,     47.3885,      0.5000
      67,          1.100000,      0.0000,     66.3167,     47.3677,      0.6000
      68,          1.116667,      0.0000,     66.8315,     47.3298,      0.7000
      69,          1.133333,      0.0000,     67.3047,     47.2847,      0.8000
      70,          1.150000,      0.0000,     67.7394,     47.2316,      0.9000
      71,          1.166667,      0.0000,     68.1307,     47.1764,      0.9999
      72,          1.183333,      0.0000,     68.4873,     47.1184,      1.0000
      73,          1.200000,      0.0000,     68.8051,     47.0545,      1.0000
      74,          1.216667,      0.0000,     69.0864,     46.9880,      1.0000
      75,          1.233333,      0.0000,     69.3313,     46.9189,      1.0000
      76,          1.250000,      0.0000,     69.5421,     46.8477,      1.0000
      77,          1.266667,      0.0000,     69.7203,     46.7727,      1.0000
      78,          1.283333,      0.0000,     69.8666,     46.6841,      1.0000
      79,          1.300000,      0.0000,     69.9834,     46.5867,      1.0000
      80,          1.316667,      0.0000,     70.0704,     46.4819,      1.0000
      81,          1.333333,      0.0000,     70.1257,     46.3722,      1.0000
      82,          1.350000,      0.0000,     70.1493,     46.2573,      1.0000
      83,          1.366667,      0.0000,     70.1390,     46.1361,      1.0000
      84,          1.383333,      0.0000,     70.0958,     46.0077,      1.0000
      85,          1.400000,      0.0000,     70.0204,     45.8721,      1.0000
      86,          1.416667,      0.0000,     69.9125,     45.7280,      1.0000
      87,          1.433333,      0.0000,     69.7735,     45.5734,      1.0000
      88,          1.450000,      0.0000,     69.6015,     45.4136,      1.0000
      89,          1.466667,      0.0000,     69.3983,     45.2439,      1.0000
      90,          1.483333,      0.0000,     69.1623,     45.0596,      1.0000
      91,          1.500000,      0.0000,     68.8964,     44.8608,      1.0000
      92,          1.516667,      0.0000,     68.6028,     44.6432,      0.9006
      93,          1.533333,      0.0000,     68.2813,     44.4042,      0.8006
      94,          1.550000,      0.0000,     67.9325,     44.1305,      0.7006
      95,          1.566667,      0.0000,     67.5573,     43.8045,      0.6006
      96,          1.583333,      0.0000,     67.1566,     43.4143,      0.5006
      97,          1.600000,      0.0000,     66.7344,     42.9634,      0.4006
      98,          1.616667,      0.0000,     66.2946,     42.4817,      0.3006
      99,          1.633333,      0.0000,     65.8409,     41.9613,      0.2006
     100,          1.650000,      0.0000,     65.3748,     41.4030,      0.1006
     101,          1.666667,      0.0000,     64.8961,     40.7947,      0.0006
     102,          1.683333,      0.0000,     64.4015,     40.1378,      0.0000
     103,          1.700000,      0.0000,     63.8921,     39.4184,      0.0000
     104,          1.716667,      0.0000,     63.3642,     38.6283,      0.0000
     105,          1.733333,      0.0000,     62.8183,     37.7682,      0.0000
     106,          1.750000,      0.0000,     62.2486,     36.8288,      0.0000
     107,          1.766667,      0.0000,     61.6496,     35.8040,      0.0000
     108,          1.783333,      0.0000,     61.0238,     34.7277,      0.0000
     109,          1.800000,      0.0000,     60.3641,     33.6010,      0.0000
     110,          1.816667,      0.0000,     59.6696,     32.4032,      0.0000
     111,          1.833333,      0.0000,     58.9320,     31.1415,      0.0000
     112,          1.850000,      0.0000,     58.1437,     29.8147,      0.0000
     113,          1.866667,      0.0000,     57.2971,     28.4384,      0.0000
     114,          1.883333,      0.0000,     56.3818,     26.6917,      0.0000
     115,          1.900000,      0.0000,     55.3884,     25.0391,      0.0000
     116,          1.916667,      0.0000,     54.3096,     23.6459,      0.0000
     117,          1.933333,      0.0000,     53.1447,     22.4820,      0.0000
     118,          1.950000,      0.0000,     51.8827,     21.5128,      0.0000
     119,          1.966667,      0.0000,     50.5037,     20.7270,      0.0000
     120,          1.983333,      0.0000,     48.9859,     20.0752,      0.0000
     121,          2.000000,      0.0000,     47.3121,     19.5279,      0.0000
     122,          2.016667,      0.0000,     45.4518,     19.0664,      0.0000
     123,          2.033334,      0.0000,     43.4116,     18.6254,      0.0000
     124,          2.050000,      0.0000,     41.1755,     18.2000,      0.0000
     125,          2.066667,      0.0000,     38.8125,     17.7726,      0.0000
     126,          2.083333,      0.0000,     36.4140,     17.3394,      0.0000
     127,          2.100000,      0.0000,     33.9998,     16.9010,      0.0000
     128,          2.116667,      0.0000,     31.6710,     16.4509,      0.0000
     129,          2.133333,      0.0000,     29.4377,     15.9746,      0.0000
     130,          2.150000,      0.0000,     27.3307,     15.4748,      0.0000
     131,          2.166667,      0.0000,     25.3837,     14.9602,      0.0000
     132,          2.183333,      0.0000,     23.6521,     14.4655,      0.0000
     133,          2.200000,      0.0000,     22.1103,     13.9551,      0.0000
     134,          2.216667,      0.0000,     20.8093,     13.5385,      0.0000
     135,          2.233333,      0.0000,     19.7364,     13.1996,      0.0000
     136,          2.250000,      0.0000,     18.7880,     12.9079,      0.0000
     137,          2.266667,      0.0000,     18.0161,     12.6570,      0.0000
     138,          2.283334,      0.0000,     17.3655,     12.4338,      0.0000
     139,          2.300000,      0.0000,     16.7887,     12.2016,      0.0000
     140,          2.316667,      0.0000,     16.2574,     11.9782,      0.0000
     141,          2.333333,      0.0000,     15.7720,     11.7331,      0.0000
     142,          2.350000,      0.0000,     15.3299,     11.4783,      0.0000
     143,          2.366667,      0.0000,     14.9290,     11.2681,      0.0000
     144,          2.383333,      0.0000,     14.5858,     11.0250,      0.0000
     145,          2.400000,      0.0000,     14.2366,     10.8139,      0.0000
     146,          2.416667,      0.0000,     13.9012,     10.6041,      0.0000
     147,          2.433333,      0.0000,     13.5721,     10.4177,      0.0000
     148,          2.450000,      0.0000,     13.2647,     10.2574,      0.0000
     149,          2.466667,      0.0000,     12.9843,     10.0932,      0.0000
     150,          2.483333,      0.0000,     12.7268,      9.8892,      0.0000
     151,          2.500000,      0.0000,     12.4744,      9.6613,      0.0000
     152,          2.516667,      0.0000,     12.2234,      9.4328,      0.0000
     153,          2.533334,      0.0000,     11.9891,      9.1987,      0.0000
     154,          2.550000,      0.0000,     11.7690,      8.9881,      0.0000
     155,          2.566667,      0.0000,     11.5718,      8.7676,      0.0000
     156,          2.583333,      0.0000,     11.3585,      8.5262,      0.0000
     157,          2.600000,      0.0000,     11.1920,      8.2658,      0.0000
     158,          2.616667,      0.0000,     10.9453,      8.0296,      0.0000
     159,          2.633333,      0.0000,     10.7090,      7.8185,      0.0000
     160,          2.650000,      0.0000,     10.4826,      7.6433,      0.0000
     161,          2.666667,      0.0000,     10.2606,      7.4433,      0.0000
     162,          2.683333,      0.0000,     10.0459,      7.2513,      0.0000
     163,          2.700000,      0.0000,      9.8137,      7.0713,      0.0000
     164,          2.716667,      0.0000,      9.5819,      6.8766,      0.0000
     165,          2.733334,      0.0000,      9.3720,      6.6712,      0.0000
     166,          2.750000,      0.0000,      9.1549,      6.4642,      0.0000
     167,          2.766667,      0.0000,      8.9575,      6.2528,      0.0000
     168,          2.783334,      0.0000,      8.8151,      6.0806,      0.0000
     169,          2.800000,      0.0000,      8.5839,      5.8356,      0.0000
     170,          2.816667,      0.0000,      8.6393,      5.5832,      0.0000
     171,          2.833333,      0.0000,      2.1511,      5.3331,      0.0000
     172,          2.850000,      0.0000,     13.2939,      5.0824,      0.0000
     173,          2.866667,      0.0000,      1.4011,      4.8302,      0.0000
     174,          2.883333,      0.0000,      1.9611,      4.5856,      0.0000
     175,          2.900000,      0.0000,      1.1647,      4.3366,      0.0000
     176,          2.916667,      0.0000,      1.7907,      4.0957,      0.0000
     177,          2.933333,      0.0000,     15.3182,      3.8519,      0.0000
     178,          2.950000,      0.0000,      0.9562,      3.6318,      0.0000
     179,          2.966667,      0.0000,     11.7110,      3.4231,      0.0000
     180,          2.983334,      0.0000,     11.7746,      3.2480,      0.0000
     181,          3.000000,      0.0000,     11.8407,      3.0683,      0.0000
