"EG12_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_004.tcf]","Time (h)","Q FC01.1_R [EG12_004]","Q FC01.2_R [EG12_004]","Q FC04.1_C [EG12_004]","Q OC_001 [EG12_004]"
       1,          0.000000,           0.000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000,           0.000
       5,          0.066667,           0.000,           0.000,           0.000,           0.000
       6,          0.083333,           0.000,           0.000,           0.000,           0.000
       7,          0.100000,           0.000,           0.000,           0.000,           0.000
       8,          0.116667,           0.000,           0.000,           0.000,           0.000
       9,          0.133333,           0.000,           0.000,           0.000,           0.000
      10,          0.150000,           0.000,           0.000,           0.000,           0.000
      11,          0.166667,           0.000,           0.000,           0.000,           0.000
      12,          0.183333,           0.000,           0.000,           0.000,           0.000
      13,          0.200000,           0.000,           0.000,           0.000,           0.000
      14,          0.216667,           0.872,           0.000,           0.000,           0.000
      15,          0.233333,           1.801,           0.000,           0.000,           0.000
      16,          0.250000,           2.469,           0.000,           0.000,           0.000
      17,          0.266667,           2.990,           0.000,           0.000,           0.000
      18,          0.283333,           3.429,           0.000,           0.000,           0.000
      19,          0.300000,           3.783,           0.000,           0.000,           0.000
      20,          0.316667,           4.277,           0.000,           0.000,           0.000
      21,          0.333333,           4.776,           0.000,           0.000,           0.000
      22,          0.350000,           5.278,           0.000,           0.000,           0.000
      23,          0.366667,           5.824,           0.000,           0.000,           0.000
      24,          0.383333,           6.509,           0.000,           0.000,           0.000
      25,          0.400000,           7.212,           0.000,           0.000,           0.000
      26,          0.416667,           8.027,           0.000,           0.000,           0.000
      27,          0.433333,           8.989,           0.000,           0.000,           0.000
      28,          0.450000,          10.141,           0.000,           0.000,           0.000
      29,          0.466667,          11.350,           0.000,           0.000,           0.000
      30,          0.483333,          13.102,           0.000,           0.000,           0.000
      31,          0.500000,          14.918,           0.000,           0.000,           0.000
      32,          0.516667,          16.854,           0.000,           0.000,           0.000
      33,          0.533333,          19.577,           2.546,           0.000,           0.000
      34,          0.550000,          23.338,           3.662,           0.000,           0.000
      35,          0.566667,          27.898,           4.759,           0.000,           0.000
      36,          0.583333,          30.984,           5.486,           0.000,           0.000
      37,          0.600000,          33.857,           6.788,           0.000,           0.000
      38,          0.616667,          36.334,           8.148,           0.000,           0.000
      39,          0.633333,          38.464,          10.134,           0.000,           0.000
      40,          0.650000,          40.359,          12.204,           0.000,           0.000
      41,          0.666667,          42.125,          14.770,           0.000,           0.000
      42,          0.683333,          43.772,          17.736,           0.000,           0.000
      43,          0.700000,          45.071,          20.683,           0.000,           0.000
      44,          0.716667,          45.954,          23.647,           0.000,           0.000
      45,          0.733333,          46.513,          26.189,           0.000,           0.000
      46,          0.750000,          46.859,          28.497,           0.000,           0.000
      47,          0.766667,          47.076,          30.919,           0.000,           0.000
      48,          0.783333,          47.199,          33.529,           0.000,           0.000
      49,          0.800000,          47.274,          36.662,           0.000,           0.000
      50,          0.816667,          47.327,          40.125,           0.000,           0.000
      51,          0.833333,          47.367,          43.728,           0.000,           0.000
      52,          0.850000,          47.397,          47.314,           0.000,           0.000
