"EG12_012 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_012.tcf]","Time (h)","SQ FC04.1_C [EG12_012]","SQ SGate1 [EG12_012]","SQ FC01.1_R [EG12_012]","SQ OC_001 [EG12_012]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0000,      0.0000,      0.0000,      0.0000
       7,          0.100000,      0.0000,      0.0000,      0.0000,      0.0000
       8,          0.116667,      0.0000,      0.0000,      0.0000,      0.0000
       9,          0.133333,      0.0000,      0.0000,      0.0000,      0.0000
      10,          0.150000,      0.0000,      0.0000,      0.0000,      0.0000
      11,          0.166667,      0.0000,      0.0000,      0.0000,      0.0000
      12,          0.183333,      0.0000,      0.0000,      0.0000,      0.0000
      13,          0.200000,      0.0000,      0.0000,      0.0000,      0.0000
      14,          0.216667,      0.0000,      0.0000,      0.8724,      0.0000
      15,          0.233333,      0.0000,      0.0000,      1.8008,      0.0000
      16,          0.250000,      0.0000,      0.0000,      2.4688,      0.0000
      17,          0.266667,      0.0000,      0.0000,      2.9900,      0.0000
      18,          0.283333,      0.0000,      0.0000,      3.4291,      0.0000
      19,          0.300000,      0.0000,      0.0000,      3.7830,      0.0000
      20,          0.316667,      0.0000,      0.0000,      4.2773,      0.0000
      21,          0.333333,      0.0000,      0.0000,      4.7758,      0.0000
      22,          0.350000,      0.0000,      0.0000,      5.2782,      0.0000
      23,          0.366667,      0.0000,      0.0000,      5.8236,      0.0000
      24,          0.383333,      0.0000,      0.0000,      6.5092,      0.0000
      25,          0.400000,      0.0000,      0.0000,      7.2117,      0.0000
      26,          0.416667,      0.0000,      0.0000,      8.0269,      0.0000
      27,          0.433333,      0.0000,      0.0000,      8.9891,      0.0000
      28,          0.450000,      0.0000,      0.0000,     10.1407,      0.0000
      29,          0.466667,      0.0000,      0.0000,     11.3503,      0.0000
      30,          0.483333,      0.0000,      0.0000,     13.1022,      0.0000
      31,          0.500000,      0.0000,      0.0000,     14.9184,      0.0000
      32,          0.516667,      0.0000,      0.0000,     16.8542,      0.0000
      33,          0.533333,      0.0000,      0.0000,     19.5766,      0.0000
      34,          0.550000,      0.0000,      0.0000,     23.3379,      0.5000
      35,          0.566667,      0.0000,      0.0000,     27.8980,      0.5000
      36,          0.583333,      0.0000,      0.0000,     30.9843,      0.5000
      37,          0.600000,      0.0000,      0.0000,     33.8573,      0.5000
      38,          0.616667,      0.0000,      0.0000,     36.3338,      0.5000
      39,          0.633333,      0.0000,      0.0000,     38.4640,      0.5000
      40,          0.650000,      0.0000,      0.0000,     40.3588,      0.5000
      41,          0.666667,      0.0000,      0.0000,     42.1247,      0.5000
      42,          0.683333,      0.0000,      0.0000,     43.7717,      0.5000
      43,          0.700000,      0.0000,      0.0000,     45.0710,      0.5000
      44,          0.716667,      0.0000,      0.0000,     45.9540,      0.5000
      45,          0.733333,      0.0000,      0.0000,     46.5134,      0.5000
      46,          0.750000,      0.0000,      0.0000,     46.8586,      0.5000
      47,          0.766667,      0.0000,      0.0000,     47.0763,      0.5000
      48,          0.783333,      0.0000,      0.0000,     47.1993,      0.5000
      49,          0.800000,      0.0000,      0.0000,     47.2742,      0.5000
      50,          0.816667,      0.0000,      0.0000,     47.3268,      0.5000
      51,          0.833333,      0.0000,      0.6042,     47.3668,      0.4012
      52,          0.850000,      0.0000,      3.7951,     47.3965,      0.0000
      53,          0.866667,      0.0000,      7.2224,     47.4153,      0.0000
      54,          0.883333,      0.0000,     10.8307,     47.4282,      0.0000
      55,          0.900000,      0.0000,     14.5800,     47.4391,      0.0000
      56,          0.916667,      0.0000,     18.4373,     47.4480,      0.0000
      57,          0.933333,      0.0000,     22.3746,     47.4562,      0.0000
      58,          0.950000,      0.0000,     26.3771,     47.4582,      0.0000
      59,          0.966667,      0.0000,     27.8707,     47.4576,      0.0000
      60,          0.983333,      0.0000,     28.2303,     47.4556,      0.0000
      61,          1.000000,      0.0000,     28.6177,     47.4529,      0.0000
      62,          1.016667,      0.0000,     32.8025,     47.4489,      0.0000
      63,          1.033333,      0.0000,     37.0218,     47.4374,      0.0000
      64,          1.050000,      0.0000,     41.2620,     47.4224,      0.0000
      65,          1.066667,      0.0000,     41.6515,     47.4060,      0.0000
      66,          1.083333,     -0.0000,     42.0116,     47.3885,      0.0000
      67,          1.100000,     -0.0001,     42.3442,     47.3678,      0.0000
      68,          1.116667,     -0.0002,     42.6771,     47.3297,      0.0000
      69,          1.133333,     -0.0248,     42.9817,     47.2847,      0.0000
      70,          1.150000,     -0.0559,     43.2844,     47.2316,      0.0000
      71,          1.166667,     -0.0935,     43.5646,     47.1764,      0.0000
      72,          1.183333,     -0.1375,     43.8329,     47.1185,      0.0000
      73,          1.200000,     -0.1869,     44.0905,     47.0545,      0.0000
      74,          1.216667,     -0.2402,     48.4538,     46.9880,      0.0000
      75,          1.233333,     -0.2961,     52.8251,     46.9189,      0.0000
      76,          1.250000,     -0.3408,     57.1768,     46.8477,      0.0000
      77,          1.266667,     -0.3754,     61.4857,     46.7727,      0.0000
      78,          1.283333,     -0.4032,     63.7094,     46.6841,      0.0000
      79,          1.300000,     -0.4221,     63.8109,     46.5866,      0.0000
      80,          1.316667,     -0.4396,     63.8957,     46.4820,      0.0000
      81,          1.333333,     -0.4551,     63.9711,     46.3722,      0.0000
      82,          1.350000,     -0.5596,     64.0188,     46.2572,      0.0000
      83,          1.366667,     -0.5769,     64.0565,     46.1361,      0.0000
      84,          1.383333,     -0.5493,     64.0773,     46.0078,      0.0000
      85,          1.400000,     -0.4839,     64.0764,     45.8722,      0.0000
      86,          1.416667,     -0.3676,     64.0647,     45.7280,      0.0000
      87,          1.433333,     -0.1368,     64.0361,     45.5735,      0.0000
      88,          1.450000,      0.0090,     63.9924,     45.4136,      0.0000
      89,          1.466667,      0.1180,     63.9377,     45.2439,      0.0000
      90,          1.483333,      0.1716,     63.8651,     45.0597,      0.0000
      91,          1.500000,      0.1686,     63.7805,     44.8609,      0.0000
      92,          1.516667,      0.1926,     63.6813,     44.6433,      0.0000
      93,          1.533333,      0.2090,     63.5693,     44.4043,      0.0000
      94,          1.550000,      0.2279,     63.4459,     44.1306,      0.0000
      95,          1.566667,      0.2371,     63.3101,     43.8045,      0.0000
      96,          1.583333,      0.2437,     63.1660,     43.4143,      0.0000
      97,          1.600000,      0.2417,     63.0146,     42.9635,      0.0000
      98,          1.616667,      0.2397,     62.8584,     42.4818,      0.0000
      99,          1.633333,      0.2402,     62.6988,     41.9615,      0.0000
     100,          1.650000,      0.2372,     62.5347,     41.4030,      0.0000
     101,          1.666667,      0.2144,     62.3668,     40.7949,      0.0000
     102,          1.683333,      0.1933,     62.1942,     40.1380,      0.0000
     103,          1.700000,      0.1746,     62.0163,     39.4187,      0.0000
     104,          1.716667,      0.1580,     61.8333,     38.6287,      0.0000
     105,          1.733333,      0.1433,     61.6458,     37.7686,      0.0000
     106,          1.750000,      0.1302,     61.4508,     36.8293,      0.0000
     107,          1.766667,      0.1187,     61.2486,     35.8046,      0.0000
     108,          1.783333,      0.1084,     61.0384,     34.7286,      0.0000
     109,          1.800000,      0.0993,     60.8204,     33.6021,      0.0000
     110,          1.816667,      0.0910,     60.5928,     32.4046,      0.0000
     111,          1.833333,      0.0836,     60.3554,     31.1433,      0.0000
     112,          1.850000,      0.0770,     60.1068,     29.8167,      0.0000
     113,          1.866667,      0.0711,     59.8472,     28.4408,      0.0000
     114,          1.883333,      0.0657,     59.5751,     26.6955,      0.0000
     115,          1.900000,      0.0608,     59.2900,     25.0429,      0.0000
     116,          1.916667,      0.0564,     58.9919,     23.6499,      0.0000
     117,          1.933333,      0.0523,     58.6776,     22.4848,      0.0000
     118,          1.950000,      0.0487,     58.3472,     21.5154,      0.0000
     119,          1.966667,      0.0453,     58.0010,     20.7295,      0.0000
     120,          1.983333,      0.0423,     57.6390,     20.0771,      0.0000
     121,          2.000000,      0.0395,     57.2575,     19.5302,      0.0000
     122,          2.016667,      0.0369,     53.2034,     19.0686,      0.0000
     123,          2.033334,      0.0345,     49.1955,     18.6276,      0.0000
     124,          2.050000,      0.0324,     45.2362,     18.2021,      0.0000
     125,          2.066667,      0.0304,     41.3265,     17.7745,      0.0000
     126,          2.083333,      0.0286,     37.4850,     17.3407,      0.0000
     127,          2.100000,      0.0269,     33.6598,     16.9046,      0.0000
     128,          2.116667,      0.0254,     29.8691,     16.4515,      0.0000
     129,          2.133333,      0.0240,     27.9418,     15.9751,      0.0000
     130,          2.150000,      0.0227,     27.8758,     15.4755,      0.0000
     131,          2.166667,      0.0215,     27.8127,     14.9611,      0.0000
     132,          2.183333,      0.0203,     27.7431,     14.4666,      0.0000
     133,          2.200000,      0.0193,     27.6746,     13.9566,      0.0000
     134,          2.216667,      0.0183,     27.6017,     13.5401,      0.0000
     135,          2.233333,      0.0174,     27.5257,     13.1989,      0.0000
     136,          2.250000,      0.0165,     27.4448,     12.9096,      0.0000
     137,          2.266667,      0.0157,     27.3629,     12.6582,      0.0000
     138,          2.283334,      0.0150,     27.2785,     12.4354,      0.0000
     139,          2.300000,      0.0143,     27.1901,     12.2036,      0.0000
     140,          2.316667,      0.0136,     27.1005,     11.9602,      0.0000
     141,          2.333333,      0.0130,     27.0083,     11.7343,      0.0000
     142,          2.350000,      0.0124,     26.9135,     11.4821,      0.0000
     143,          2.366667,      0.0119,     26.8162,     11.2719,      0.0000
     144,          2.383333,      0.0114,     26.7172,     11.0284,      0.0000
     145,          2.400000,      0.0109,     26.6147,     10.8106,      0.0000
     146,          2.416667,      0.0104,     26.5105,     10.6100,      0.0000
     147,          2.433333,      0.0100,     26.4041,     10.4196,      0.0000
     148,          2.450000,      0.0096,     26.2946,     10.2582,      0.0000
     149,          2.466667,      0.0092,     26.1822,     10.0988,      0.0000
     150,          2.483333,      0.0088,     26.0673,      9.8885,      0.0000
     151,          2.500000,      0.0085,     25.9500,      9.6630,      0.0000
     152,          2.516667,      0.0082,     25.8302,      9.4339,      0.0000
     153,          2.533334,      0.0078,     25.7082,      9.1988,      0.0000
     154,          2.550000,      0.0075,     25.5838,      8.9878,      0.0000
     155,          2.566667,      0.0073,     25.4568,      8.7678,      0.0000
     156,          2.583333,      0.0070,     25.3299,      8.5268,      0.0000
     157,          2.600000,      0.0067,     25.1976,      8.2694,      0.0000
     158,          2.616667,      0.0065,     25.0619,      8.0313,      0.0000
     159,          2.633333,      0.0063,     24.9233,      7.8188,      0.0000
     160,          2.650000,      0.0061,     24.7824,      7.6449,      0.0000
     161,          2.666667,      0.0059,     24.6373,      7.4437,      0.0000
     162,          2.683333,      0.0057,     24.4897,      7.2563,      0.0000
     163,          2.700000,      0.0055,     24.3373,      7.0704,      0.0000
     164,          2.716667,      0.0053,     24.1815,      6.8771,      0.0000
     165,          2.733334,      0.0051,     24.0212,      6.6722,      0.0000
     166,          2.750000,      0.0049,     23.8579,      6.4662,      0.0000
     167,          2.766667,      0.0048,     23.6906,      6.2478,      0.0000
     168,          2.783334,      0.0046,     23.5194,      6.0833,      0.0000
     169,          2.800000,      0.0045,     23.3442,      5.8361,      0.0000
     170,          2.816667,      0.0044,     23.1650,      5.5841,      0.0000
     171,          2.833333,      0.0042,     22.9819,      5.3350,      0.0000
     172,          2.850000,      0.0041,     22.7928,      5.0821,      0.0000
     173,          2.866667,      0.0040,     22.5996,      4.8301,      0.0000
     174,          2.883333,      0.0039,     22.4006,      4.5860,      0.0000
     175,          2.900000,      0.0037,     22.1959,      4.3380,      0.0000
     176,          2.916667,      0.0036,     21.9860,      4.0970,      0.0000
     177,          2.933333,      0.0035,     21.7706,      3.8545,      0.0000
     178,          2.950000,      0.0034,     21.5479,      3.6316,      0.0000
     179,          2.966667,      0.0033,     21.3169,      3.4245,      0.0000
     180,          2.983334,      0.0033,     21.0799,      3.2492,      0.0000
     181,          3.000000,      0.0032,     20.8225,      3.0684,      0.0000
