"ds1.1 to FC02.06.1","Node:","ds1.1","ds1.2","ds2.2","ds3.2","ds4.2","ds5.2","ds_weir.2","FC01.01.1","FC01.02.1","FC01.03.1","FC01.04.1","FC01.05.1","FC01.06.1","FC01.07.1","FC01.08.1","FC01.09.1","FC01.12.1","FC01.12.2","FC01.13.1","FC01.14.1","FC01.15.1","FC01.16.1","FC01.17.1","FC01.18.1","FC01.19.1","FC01.1_R.1","FC01.1_R.2","FC01.20.1","FC01.21.1","FC01.22.1","FC01.23.1","FC01.24.1","FC01.25.1","FC01.26.1","FC01.27.1","FC01.28A.1","FC01.28B.1","FC01.29.1","FC01.30.1","FC01.31.1","FC01.32.1","FC01.33.1","FC01.36.1","FC01.37.1","FC01.38.1","FC01.39.1","FC01.40.1","FC02.01.1","FC02.02.1","FC02.03.1","FC02.04.1","FC02.05.1","FC02.06.1"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_001.tcf","Cum %ME","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","0.0","-0.0","-0.0","-0.0","0.0","0.0","-0.0","-0.0","0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","0.0","0.0","0.0","0.0"
"","Cum VE","-5.107","-6.556","-2.095","-8.319","-4.975","-0.294","0.000","-2.189","-0.533","-0.764","-3.777","-3.609","-3.784","-1.523","-3.101","-0.830","-1.535","-0.679","-2.328","-1.345","-1.294","-1.450","-1.084","-0.048","0.896","-1.155","-0.375","-1.195","0.143","0.020","-0.187","-0.086","0.023","-0.293","-0.339","-1.763","-2.006","-2.063","-1.669","-0.765","-0.548","-0.318","-1.183","-1.059","-5.077","-3.634","-2.346","-0.021","-0.017","0.026","0.000","0.000","0.000"
"","Cum VQ","279088.000","343063.500","342697.781","341874.406","341019.688","339837.406","0.000","302732.188","309637.812","320040.562","320260.719","320584.750","320836.406","321159.750","321477.750","346324.156","279419.750","345806.188","256819.938","267390.406","265493.938","222102.984","216521.234","237183.625","237275.219","306509.000","334136.125","202674.062","202559.984","192253.234","204169.844","202429.688","202514.094","204823.547","204902.781","205007.828","194541.969","321688.094","333324.406","334924.688","339207.062","339327.375","284412.656","324033.406","355659.219","355930.094","356107.469","3282.896","1263.568","256.380","0.000","0.000","0.000"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\results\EG14\EG14_001_1d_MB.csv","Time","ds1.1","ds1.2","ds2.2","ds3.2","ds4.2","ds5.2","ds_weir.2","FC01.01.1","FC01.02.1","FC01.03.1","FC01.04.1","FC01.05.1","FC01.06.1","FC01.07.1","FC01.08.1","FC01.09.1","FC01.12.1","FC01.12.2","FC01.13.1","FC01.14.1","FC01.15.1","FC01.16.1","FC01.17.1","FC01.18.1","FC01.19.1","FC01.1_R.1","FC01.1_R.2","FC01.20.1","FC01.21.1","FC01.22.1","FC01.23.1","FC01.24.1","FC01.25.1","FC01.26.1","FC01.27.1","FC01.28A.1","FC01.28B.1","FC01.29.1","FC01.30.1","FC01.31.1","FC01.32.1","FC01.33.1","FC01.36.1","FC01.37.1","FC01.38.1","FC01.39.1","FC01.40.1","FC02.01.1","FC02.02.1","FC02.03.1","FC02.04.1","FC02.05.1","FC02.06.1"
       1,    0.000000,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
       2,    0.016667,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
       3,    0.033333,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
       4,    0.050000,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
       5,    0.066667,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
       6,    0.083333,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
