"Time (h) ","All 1D Domains:","H V In      ","H V Out     ","Q V In      ","Q V Out     ","QR V In     ","QR V Out    ","X1DH V In   ","X1DH V Out  ","X1DQ V In   ","X1DQ V Out  ","SX2D V In   ","SX2D V Out  ","HX2D V In   ","HX2D V Out  ","Q2D V In    ","Q2D V Out   ","Vol In-Out  ","dVol        ","Vol Err     ","Q ME (%)    ","Total Vol   ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.017,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  41.47884    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  41.47884    ,  41.47400    ,-0.4833819E-02,-0.1165370E-01,  41.47400    ,  41.47884    ,-0.4833819E-02,-0.1165370E-01,-0.1165370E-01
         0.033,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  124.3873    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  124.3873    ,  124.3911    , 0.3758622E-02, 0.3021707E-02,  165.8651    ,  165.8662    ,-0.1075198E-02,-0.6482320E-03,-0.6482320E-03
         0.050,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  210.2096    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  210.2096    ,  210.2084    ,-0.1188320E-02,-0.5653022E-03,  376.0735    ,  376.0758    ,-0.2263517E-02,-0.6018779E-03,-0.6018779E-03
         0.067,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  296.8235    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  296.8235    ,  296.8095    ,-0.1391276E-01,-0.4687219E-02,  672.8831    ,  672.8993    ,-0.1617628E-01,-0.2403968E-02,-0.2403968E-02
         0.083,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  382.6228    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  382.6228    ,  382.6427    , 0.1984419E-01, 0.5186359E-02,  1055.526    ,  1055.522    , 0.3667910E-02, 0.3474960E-03, 0.3474972E-03
         0.100,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  441.1510    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  441.1510    ,  441.1629    , 0.1193495E-01, 0.2705412E-02,  1496.689    ,  1496.673    , 0.1560286E-01, 0.1042492E-02, 0.1042503E-02
         0.117,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  470.5517    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  470.5517    ,  470.5959    , 0.4421192E-01, 0.9395761E-02,  1967.285    ,  1967.225    , 0.5981477E-01, 0.3040474E-02, 0.3040566E-02
         0.133,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  499.9447    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  499.9447    ,  499.9837    , 0.3894811E-01, 0.7790482E-02,  2467.268    ,  2467.169    , 0.9876288E-01, 0.4002924E-02, 0.4003085E-02
         0.150,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  529.3377    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  529.3377    ,  529.3317    ,-0.5988644E-02,-0.1131347E-02,  2996.600    ,  2996.507    , 0.9277424E-01, 0.3095983E-02, 0.3096079E-02
