"EG14_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_002.tcf]","Time(h)","F ds1 [EG14_002]","F ds2 [EG14_002]","F ds3 [EG14_002]","F ds4 [EG14_002]","F ds5 [EG14_002]","F ds_weir [EG14_002]","F FC01.01 [EG14_002]","F FC01.02 [EG14_002]","F FC01.03 [EG14_002]","F FC01.04 [EG14_002]","F FC01.05 [EG14_002]","F FC01.06 [EG14_002]","F FC01.07 [EG14_002]","F FC01.08 [EG14_002]","F FC01.09 [EG14_002]","F FC01.12 [EG14_002]","F FC01.13 [EG14_002]","F FC01.14 [EG14_002]","F FC01.15 [EG14_002]","F FC01.16 [EG14_002]","F FC01.17 [EG14_002]","F FC01.18 [EG14_002]","F FC01.19 [EG14_002]","F FC01.1_R [EG14_002]","F FC01.20 [EG14_002]","F FC01.21 [EG14_002]","F FC01.22 [EG14_002]","F FC01.23 [EG14_002]","F FC01.24 [EG14_002]","F FC01.25 [EG14_002]","F FC01.26 [EG14_002]","F FC01.27 [EG14_002]","F FC01.28A [EG14_002]","F FC01.28B [EG14_002]","F FC01.29 [EG14_002]","F FC01.2_R [EG14_002]","F FC01.30 [EG14_002]","F FC01.31 [EG14_002]","F FC01.32 [EG14_002]","F FC01.33 [EG14_002]","F FC01.34 [EG14_002]","F FC01.36 [EG14_002]","F FC01.37 [EG14_002]","F FC01.38 [EG14_002]","F FC01.39 [EG14_002]","F FC01.40 [EG14_002]","F FC02.01 [EG14_002]","F FC02.02 [EG14_002]","F FC02.03 [EG14_002]","F FC02.04 [EG14_002]","F FC02.05 [EG14_002]","F FC02.06 [EG14_002]","F FC_weir1 [EG14_002]","F RD_weir [EG14_002]"
       1,          0.000000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,,E,E,E,E,E,E,E,E,E,E,E,,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
       2,          0.016667,E,E,E,E,E,E,E,E,E,E,E,E,E,E,*,,,,,,,,,G,,,,,,,,,,,,A,,,,E,,,,,E,E,,,,E,,,E,E
       3,          0.033333,E,E,E,E,E,E,E,E,E,E,E,E,*,,,,,,,,,,,G,,,,,,,,,,,,A,,,,E,,A,,,E,E,,,,E,,,E,E
       4,          0.050000,E,E,E,E,E,E,E,E,E,E,E,E,,,,,,,,,,,,A,,,,,,,,,,,,A,,,,E,,,,,E,E,,,,E,,,E,E
       5,          0.066667,E,E,E,E,E,E,E,E,E,E,E,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,E,,,E,E
       6,          0.083333,E,E,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,E,,T,E,E
       7,          0.100000,E,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,E,,T,,E
       8,          0.116667,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,E,,T,,E
       9,          0.133333,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,E,,T,,E
      10,          0.150000,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,E,,T,,E
      11,          0.166667,E,E,E,E,E,E,*,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,A,,,E,,T,,E
      12,          0.183333,,E,E,E,E,E,*,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,E,,T,,E
      13,          0.200000,,E,E,E,E,E,*,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,E,,T,,E
      14,          0.216667,,*,E,E,E,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,E,,T,,E
      15,          0.233333,,,,E,E,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,E,,T,,E
      16,          0.250000,,,,,E,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A L,,,,E,,,,,E,E,,,,E,,T,,E
      17,          0.266667,,,,,,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A L,,,,E,,,,,E,E,,,,E,,T,,E
      18,          0.283333,,,,,,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,E,,T,,E
      19,          0.300000,,,,,,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,E,E,,,,E,,T,,E
      20,          0.316667,,,,,,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,E,,T,,E
      21,          0.333333,,,,,,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,E,E,,,,E,,T,,E
      22,          0.350000,,,,,,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,E,,T,,E
      23,          0.366667,,,,,,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,E,E,,,,E,,T,,E
      24,          0.383333,,,,,,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,E,,T,,E
      25,          0.400000,,,,,,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,E,,T,,E
      26,          0.416667,,,,,,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,E,,T,,E
      27,          0.433333,,,,,,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,E,,T,,E
      28,          0.450000,,,,,,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,E,E,,,,E,,T,,E
      29,          0.466667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,E,,T,,E
      30,          0.483333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,E,,T,,E
      31,          0.500000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,E,E,,,,E,,T,,E
      32,          0.516667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,E,,T,,E
