"EG14_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_002.tcf]","Time (h)","H ds1.1 [EG14_002]","H ds1.2 [EG14_002]","H ds2.2 [EG14_002]","H ds3.2 [EG14_002]","H ds4.2 [EG14_002]","H ds5.2 [EG14_002]","H ds_weir.2 [EG14_002]","H FC01.01.1 [EG14_002]","H FC01.02.1 [EG14_002]","H FC01.03.1 [EG14_002]","H FC01.04.1 [EG14_002]","H FC01.05.1 [EG14_002]","H FC01.06.1 [EG14_002]","H FC01.07.1 [EG14_002]","H FC01.08.1 [EG14_002]","H FC01.09.1 [EG14_002]","H FC01.12.1 [EG14_002]","H FC01.12.2 [EG14_002]","H FC01.13.1 [EG14_002]","H FC01.14.1 [EG14_002]","H FC01.15.1 [EG14_002]","H FC01.16.1 [EG14_002]","H FC01.17.1 [EG14_002]","H FC01.18.1 [EG14_002]","H FC01.19.1 [EG14_002]","H FC01.1_R.1 [EG14_002]","H FC01.1_R.2 [EG14_002]","H FC01.20.1 [EG14_002]","H FC01.21.1 [EG14_002]","H FC01.22.1 [EG14_002]","H FC01.23.1 [EG14_002]","H FC01.24.1 [EG14_002]","H FC01.25.1 [EG14_002]","H FC01.26.1 [EG14_002]","H FC01.27.1 [EG14_002]","H FC01.28A.1 [EG14_002]","H FC01.28B.1 [EG14_002]","H FC01.29.1 [EG14_002]","H FC01.30.1 [EG14_002]","H FC01.31.1 [EG14_002]","H FC01.32.1 [EG14_002]","H FC01.33.1 [EG14_002]","H FC01.36.1 [EG14_002]","H FC01.37.1 [EG14_002]","H FC01.38.1 [EG14_002]","H FC01.39.1 [EG14_002]","H FC01.40.1 [EG14_002]","H FC02.01.1 [EG14_002]","H FC02.02.1 [EG14_002]","H FC02.03.1 [EG14_002]","H FC02.04.1 [EG14_002]","H FC02.05.1 [EG14_002]","H FC02.06.1 [EG14_002]"
       1,          0.000000,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     44.1649,     43.9389,     39.5198,     39.1990,     39.8117,     39.8650,     40.2802,     40.6151,     41.0203,     41.1718,     41.5372,     41.8280,     42.2731,     42.5848,     42.8545,     43.0312,     43.6368,     44.3068,     44.6057,     45.0163,     45.9790,     48.5390,     39.9741,     40.3990,     40.7690,     40.4990,     40.4990,     43.6390
       2,          0.016667,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7787,     37.4642,     38.4952,     37.6538,     38.8873,     38.9338,     38.9674,     39.0419,     39.1029,     39.1484,     39.2851,     44.3664,     43.9970,     39.5500,     39.2445,     39.8602,     39.9271,     40.3413,     40.6651,     41.0795,     41.2318,     41.5884,     41.8789,     42.3227,     42.6319,     42.9099,     43.1020,     43.7327,     44.4397,     44.7057,     45.0882,     45.9790,     48.5390,     40.0235,     40.4430,     40.8355,     40.5277,     40.5257,     43.6982
       3,          0.033333,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3917,     36.4212,     36.8037,     37.5216,     38.5310,     37.6753,     38.9159,     38.9681,     38.9999,     39.0727,     39.1419,     39.1992,     39.3228,     44.5939,     44.0041,     39.5685,     39.3275,     39.8930,     40.0075,     40.3938,     40.7173,     41.1414,     41.2906,     41.6387,     41.9320,     42.3772,     42.6867,     42.9634,     43.1180,     43.8649,     44.5831,     44.8077,     45.1534,     45.9790,     48.5390,     40.0935,     40.5190,     40.8970,     40.5863,     40.5847,     43.7407
       4,          0.050000,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2885,     36.3935,     36.4419,     36.8484,     37.5633,     38.5655,     37.6885,     38.9426,     39.0020,     39.0337,     39.1029,     39.1857,     39.2468,     39.3541,     44.7204,     44.1375,     39.5593,     39.4441,     39.8916,     40.1048,     40.4233,     40.7781,     41.1998,     41.3504,     41.6904,     41.9861,     42.4400,     42.7381,     43.0030,     43.1330,     44.0406,     44.7732,     44.9197,     45.2089,     45.9790,     48.5390,     40.1678,     40.5865,     40.9216,     40.6570,     40.6597,     43.7487
       5,          0.066667,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2901,     36.4087,     36.4933,     36.8901,     37.5992,     38.6013,     37.7022,     38.9688,     39.0397,     39.0702,     39.1384,     39.2361,     39.2897,     39.3761,     44.8139,     44.3767,     39.5661,     39.5763,     39.8765,     40.2125,     40.4403,     40.8584,     41.2492,     41.4161,     41.7522,     42.0557,     42.5220,     42.7885,     43.0357,     43.1507,     44.3628,     44.9275,     45.0378,     45.2579,     45.9790,     48.5390,     40.2423,     40.6292,     40.9369,     40.7386,     40.7368,     43.7220
       6,          0.083333,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2034,     36.3009,     36.4636,     36.5603,     36.9112,     37.6379,     38.6397,     37.7171,     38.9987,     39.0823,     39.1161,     39.1852,     39.2882,     39.3303,     39.4026,     44.8897,     44.6972,     39.6691,     39.6885,     39.9147,     40.3086,     40.4787,     40.9416,     41.2909,     41.4883,     41.8308,     42.1422,     42.6073,     42.8313,     43.0633,     43.1692,     44.6803,     45.0611,     45.1594,     45.3088,     45.9790,     48.5390,     40.3243,     40.6491,     40.9573,     40.8079,     40.8086,     43.7426
       7,          0.100000,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0831,     36.1313,     36.2085,     36.3491,     36.5420,     36.5998,     36.9184,     37.6874,     38.6767,     37.7310,     39.0296,     39.1251,     39.1682,     39.2390,     39.3411,     39.3752,     39.4443,     44.9480,     44.9184,     39.7799,     39.8058,     39.9672,     40.3804,     40.5353,     41.0096,     41.3403,     41.5634,     41.9221,     42.2301,     42.6732,     42.8709,     43.1373,     43.3997,     44.8967,     45.1651,     45.2629,     45.3589,     45.9790,     48.5390,     40.3956,     40.6512,     40.9718,     40.8750,     40.8736,     43.7727
       8,          0.116667,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0848,     36.1327,     36.2367,     36.4174,     36.5922,     36.6294,     36.9309,     37.7389,     38.7104,     37.7477,     39.0603,     39.1684,     39.2234,     39.2983,     39.4006,     39.4353,     39.5041,     45.0054,     44.9959,     39.8954,     39.9206,     40.0307,     40.4279,     40.5900,     41.0627,     41.4008,     41.6346,     42.0111,     42.3167,     42.8032,     43.1215,     43.4844,     43.6658,     44.9672,     45.2396,     45.3376,     45.4077,     45.9790,     48.5390,     40.4445,     40.6486,     40.9836,     40.9336,     40.9340,     43.7999
       9,          0.133333,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0568,     36.0859,     36.1451,     36.2871,     36.4735,     36.6325,     36.6669,     36.9475,     37.7859,     38.7313,     37.7925,     39.0950,     39.2146,     39.2831,     39.3693,     39.4866,     39.5203,     39.5801,     45.0381,     45.0284,     39.9976,     40.0226,     40.0989,     40.4605,     40.6408,     41.1170,     41.4712,     41.7240,     42.1598,     42.5404,     43.1147,     43.3622,     43.6267,     43.7803,     44.9942,     45.2960,     45.3948,     45.4552,     45.9790,     48.5390,     40.4763,     40.6515,     40.9931,     40.9924,     40.9934,     43.8087
      10,          0.150000,     35.9503,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0576,     36.0976,     36.1741,     36.3428,     36.5289,     36.6759,     36.7088,     36.9730,     37.8373,     38.7389,     37.8426,     39.1386,     39.2681,     39.3552,     39.4631,     39.5973,     39.6250,     39.6674,     45.0600,     45.0500,     40.0793,     40.1063,     40.1691,     40.4954,     40.7113,     41.2144,     41.6193,     41.9107,     42.4163,     42.7822,     43.2924,     43.4962,     43.7160,     43.8532,     45.0107,     45.3400,     45.4420,     45.4996,     45.9790,     48.5390,     40.5053,     40.6585,     40.9997,     41.0516,     41.0520,     43.8131
