"EG14_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_002.tcf]","Time(h)","V ds1 [EG14_002]","V ds2 [EG14_002]","V ds3 [EG14_002]","V ds4 [EG14_002]","V ds5 [EG14_002]","V ds_weir [EG14_002]","V FC01.01 [EG14_002]","V FC01.02 [EG14_002]","V FC01.03 [EG14_002]","V FC01.04 [EG14_002]","V FC01.05 [EG14_002]","V FC01.06 [EG14_002]","V FC01.07 [EG14_002]","V FC01.08 [EG14_002]","V FC01.09 [EG14_002]","V FC01.12 [EG14_002]","V FC01.13 [EG14_002]","V FC01.14 [EG14_002]","V FC01.15 [EG14_002]","V FC01.16 [EG14_002]","V FC01.17 [EG14_002]","V FC01.18 [EG14_002]","V FC01.19 [EG14_002]","V FC01.1_R [EG14_002]","V FC01.20 [EG14_002]","V FC01.21 [EG14_002]","V FC01.22 [EG14_002]","V FC01.23 [EG14_002]","V FC01.24 [EG14_002]","V FC01.25 [EG14_002]","V FC01.26 [EG14_002]","V FC01.27 [EG14_002]","V FC01.28A [EG14_002]","V FC01.28B [EG14_002]","V FC01.29 [EG14_002]","V FC01.2_R [EG14_002]","V FC01.30 [EG14_002]","V FC01.31 [EG14_002]","V FC01.32 [EG14_002]","V FC01.33 [EG14_002]","V FC01.34 [EG14_002]","V FC01.36 [EG14_002]","V FC01.37 [EG14_002]","V FC01.38 [EG14_002]","V FC01.39 [EG14_002]","V FC01.40 [EG14_002]","V FC02.01 [EG14_002]","V FC02.02 [EG14_002]","V FC02.03 [EG14_002]","V FC02.04 [EG14_002]","V FC02.05 [EG14_002]","V FC02.06 [EG14_002]","V FC_weir1 [EG14_002]","V RD_weir [EG14_002]"
       1,          0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       2,          0.016667,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.053,    0.185,    0.096,    0.046,    0.045,    0.043,    0.064,    0.064,    0.134,    0.000,    0.076,   -0.137,    0.256,    0.099,    0.226,    0.136,    0.131,    0.146,    0.123,    0.105,    0.120,    0.155,    0.135,    0.141,    0.154,    0.000,    0.143,    0.106,    0.149,    0.135,    0.000,    0.000,    0.071,    0.182,    0.236,    0.000,   -0.007,    0.262,    0.000,    0.000
       3,          0.033333,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.041,    0.077,    0.153,    0.268,    0.151,    0.075,    0.061,    0.069,    0.087,    0.101,    0.156,    0.000,    0.107,   -0.182,    0.349,    0.191,    0.351,    0.209,    0.216,    0.224,    0.189,    0.178,    0.192,    0.406,    0.201,    0.213,    0.194,    0.000,    0.171,    0.047,    0.226,    0.201,    0.000,    0.000,    0.122,    0.246,    0.301,    0.000,   -0.020,    0.430,    0.000,    0.000
       4,          0.050000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.069,    0.036,    0.162,    0.241,    0.334,    0.191,    0.102,    0.075,    0.085,    0.114,    0.133,    0.180,    0.886,    0.108,   -0.175,    0.405,    0.324,    0.417,    0.276,    0.290,    0.284,    0.240,    0.237,    0.253,    0.502,    0.271,    0.255,    0.213,    0.000,    0.248,    0.141,    0.258,    0.252,    0.000,    0.000,    0.149,    0.318,    0.339,    0.000,    0.012,    0.531,    0.000,    0.000
       5,          0.066667,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.017,    0.032,    0.102,    0.253,    0.299,    0.410,    0.224,    0.133,    0.090,    0.101,    0.147,    0.145,    0.188,    1.182,    0.120,   -0.031,    0.407,    0.479,    0.430,    0.366,    0.364,    0.377,    0.310,    0.316,    0.345,    0.584,    0.332,    0.297,    0.226,    0.000,    0.204,    0.310,    0.284,    0.271,    0.000,    0.000,    0.137,    0.364,    0.356,    0.000,    0.003,    0.581,    0.000,    0.000
       6,          0.083333,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.002,    0.028,    0.087,    0.191,    0.308,    0.342,    0.481,    0.258,    0.169,    0.113,    0.122,    0.185,    0.147,    0.192,    1.376,    0.211,    0.119,    0.430,    0.632,    0.437,    0.471,    0.409,    0.482,    0.386,    0.407,    0.435,    0.662,    0.366,    0.325,    0.239,    0.000,    0.196,    0.433,    0.311,    0.264,    0.000,    0.000,    0.117,    0.378,    0.376,    0.000,   -0.019,    0.528,    0.000,    0.000
       7,          0.100000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.049,    0.030,    0.060,    0.174,    0.200,    0.325,    0.387,    0.543,    0.290,    0.206,    0.147,    0.146,    0.216,    0.152,    0.211,    1.508,    0.308,    0.172,    0.436,    0.742,    0.483,    0.562,    0.461,    0.596,    0.470,    0.488,    0.495,    0.728,    0.385,    0.406,    0.586,    0.000,    0.246,    0.527,    0.343,    0.240,    0.000,    0.000,    0.130,    0.363,    0.392,    0.000,   -0.013,    0.530,    0.591,    0.000
       8,          0.116667,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.031,    0.041,    0.120,    0.211,    0.183,    0.344,    0.433,    0.601,    0.318,    0.243,    0.188,    0.173,    0.248,    0.175,    0.256,    1.535,    0.414,    0.200,    0.420,    0.833,    0.545,    0.632,    0.523,    0.694,    0.548,    0.556,    0.612,    0.698,    0.661,    0.789,    0.766,    0.000,    0.299,    0.581,    0.367,    0.221,    0.000,    0.000,    0.145,    0.338,    0.406,    0.000,   -0.007,    0.596,    0.742,    0.000
       9,          0.133333,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.033,    0.036,    0.085,    0.173,    0.230,    0.197,    0.365,    0.481,    0.668,    0.349,    0.284,    0.235,    0.210,    0.306,    0.212,    0.294,    1.635,    0.521,    0.223,    0.394,    0.877,    0.620,    0.703,    0.596,    0.818,    0.686,    0.772,    0.888,    0.619,    0.776,    0.801,    0.784,    0.000,    0.338,    0.630,    0.385,    0.216,    0.000,    0.000,    0.150,    0.323,    0.416,    0.000,   -0.009,    0.617,    0.791,    0.000
      10,          0.150000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.060,    0.030,    0.073,    0.138,    0.222,    0.247,    0.213,    0.393,    0.536,    0.711,    0.391,    0.328,    0.296,    0.268,    0.381,    0.235,    0.306,    1.727,    0.600,    0.249,    0.389,    0.916,    0.737,    0.828,    0.759,    1.080,    0.920,    0.940,    0.968,    0.567,    0.772,    0.789,    0.787,    0.000,    0.367,    0.673,    0.404,    0.220,    0.000,    0.000,    0.136,    0.312,    0.423,    0.000,   -0.010,    0.627,    0.820,    0.000
