"EG14_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_003.tcf]","Time(h)","F FC01.1_R [EG14_003]","F FC01.2_R [EG14_003]","F FC04.1_C [EG14_003]","F Pipe0 [EG14_003]","F Pipe1 [EG14_003]","F Pipe10 [EG14_003]","F Pipe11 [EG14_003]","F Pipe12 [EG14_003]","F Pipe13 [EG14_003]","F Pipe14 [EG14_003]","F Pipe15 [EG14_003]","F Pipe16 [EG14_003]","F Pipe17 [EG14_003]","F Pipe19 [EG14_003]","F Pipe2 [EG14_003]","F Pipe3 [EG14_003]","F Pipe4 [EG14_003]","F Pipe5 [EG14_003]","F Pipe6 [EG14_003]","F Pipe7 [EG14_003]","F Pipe8 [EG14_003]","F Pipe9 [EG14_003]","F Pit1 [EG14_003]","F Pit10 [EG14_003]","F Pit11 [EG14_003]","F Pit12 [EG14_003]","F Pit13 [EG14_003]","F Pit14 [EG14_003]","F Pit15 [EG14_003]","F Pit16 [EG14_003]","F Pit17 [EG14_003]","F Pit18 [EG14_003]","F Pit19 [EG14_003]","F Pit2 [EG14_003]","F Pit3 [EG14_003]","F Pit4 [EG14_003]","F Pit5 [EG14_003]","F Pit6 [EG14_003]","F Pit7 [EG14_003]","F Pit8 [EG14_003]","F Pit9 [EG14_003]"
       1,          0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       2,          0.016667,G,G,G,A,A,D,D,A,A,D,A,A,A,A,A,A,A,D,D,A,D,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
       3,          0.033333,G,G,G,A,D,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
       4,          0.050000,G,G,G,A,A,A,D,A,A,A,A,D L,A,A,A,A,A,A,D,A,A,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
       5,          0.066667,G,G,G,A,A,A,D,A,A,A,A,D,A,A,A,A,A,A,D,A,A,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
       6,          0.083333,G,G,G,A,A,A,D,A,A,A,A,D,A,A,A,A,A,A,D,A,A,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
       7,          0.100000,G,G,G,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
       8,          0.116667,G,G,G,A,A,A,D,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
       9,          0.133333,G,G,G,A,A,A,D,A,A,A,A,D,A,A,A,A,D,A,A,A,D,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
      10,          0.150000,G,G,G,A,A,A,D,A,A,A,A,D,A,A,A,A,D,A,A,A,D,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
      11,          0.166667,G,G,G,A,A L,A,D,A,H,F L,D L,F L,F L,A,A,A,D,A,D,A,D,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
      12,          0.183333,G,G,G,A,D,F,F L,F L,F L,F L,F L,F L,F L,H,A,A,J,F,F L,A,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
      13,          0.200000,G,G,G,F L,F L,F,F L,F L,F,F,F L,F L,F L,F L,F,H,F L,F,F L,F L,F L,F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
      14,          0.216667,A,G,G,F L,F L,F,F,F,F L,F L,F,F L,F L,F,F,F,F L,F,F,F L,F,F,E,R,R,R,R,R,R L,E,E,E,E,E,E,E,E,E,E,R,R
      15,          0.233333,A,G,G,F L,F,F,F,F,F L,F L,F,F,F L,F,F L,F,F L,F,F,F L,F L,F,R,R,R,R,R,R,R,E,E,E,E,R,E,E,E,R,R,R,R
      16,          0.250000,A,G,G,F,F L,F,F,F,F L,F L,F,F,F,F,F L,F L,F L,F,F,F L,F,F,R,R,R,R,R,R,R,E,R,E,E,R,E,E,E,R,R,R,R
      17,          0.266667,A,G,G,F L,F L,F,F,F,F L,F,F,F,F L,F,F,F L,F L,F,F,F,F,F,R,R,R,R,R,R,R,R,R,E,E,R,E,E,E,R,R,R,R
      18,          0.283333,A,G,G,F L,F,F,F,F,F L,F,F,F,F L,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,E,E,R,E,E,E,R,R,R,R
      19,          0.300000,A,G,G,F,F L,F,F,F,F,F,F,F,F L,F,F,F,F,F,F,F L,F,F,R,R,R,R,R,R,R,R,R,R,E,R,E,E,E,R,R,R,R
      20,          0.316667,A,G,G,F,F,F,F,F,F L,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,E,R,E,E,D,R,R,R,R
      21,          0.333333,A,G,G,F,F L,F,F L,F,F L,F,F,F,F L,F,F,F,F,F,F,F L,F L,F,R,R,R,R,R,R,R,R,R,R,N,R,E,E,D,R,R,R,R
      22,          0.350000,A,G,G,F,F,F,F,F,F L,F,F,F,F L,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,E,E,D,R,R,R,R
      23,          0.366667,A,G,G,F L,F L,F,F L,F L,F L,F,F L,F,F L,F,F L,F,F,F,F,F L,F,F,R,R,R,R,R,R,R,R,R,R,R,R,E,E,D,R,R,R,R
      24,          0.383333,A,G,G,F,F,F,F,F,F,F,F L,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,E,E,R,R,R,R,R
      25,          0.400000,A,G,G,F L,F L,F,F L,F,F,F,F L,F,F,F,F,F L,F L,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,E,R,R,R,R,R
      26,          0.416667,A,G,G,F L,F L,F,F L,F,F,F,F L,F,F,F,F,F,F L,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,E,R,R,R,R,R
      27,          0.433333,A,G,G,F,F,F,F,F,F,F,F L,F,F,F,F,F L,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,E,R,R,R,R,R
      28,          0.450000,A,G,G,F,F L,F,F L,F,F,F,F L,F,F,F,F,F,F L,F,F L,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,E,R,R,R,R,R
      29,          0.466667,A,G,G,F,F,F,F L,F L,F,F,F L,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,E,R,R,R,R,R
      30,          0.483333,A,G,G,F,F L,F,F,F,F,F,F L,F,F,F,F,F,F L,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,E,R,R,R,R,R
      31,          0.500000,A,G,G,F,F L,F,F,F L,F,F,F,F,F,F,F,F,F L,F,F L,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,E,R,R,R,R,R
      32,          0.516667,A,G,G,F,F L,F,F,F L,F,F,F,F,F,F,F L,F,F L,F,F L,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,E,R,R,R,R,R
      33,          0.533333,A,D,G,F,F L,F,F,F L,F,F,F L,F,F,F,F,F,F L,F,F L,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      34,          0.550000,A,D,G,F,F L,F,F,F L,F,F,F L,F,F,F,F,F,F L,F,F L,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      35,          0.566667,A,D,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      36,          0.583333,B,D,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      37,          0.600000,L,D,G,F,F,F,F,F L,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      38,          0.616667,L,D,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      39,          0.633333,L,D,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      40,          0.650000,L,D,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      41,          0.666667,L,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      42,          0.683333,L,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      43,          0.700000,L,F,G,F,F L,F,F,F,F,F,F,F,F,F,F,F,F L,F,F L,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      44,          0.716667,L,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F L,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      45,          0.733333,L,F,G,F,F L,F,F,F,F,F,F,F,F,F,F,F,F L,F,F L,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      46,          0.750000,L,F,G,F,F,F,F,F L,F,F,F,F,F,F,F L,F,F,F L,F,F L,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      47,          0.766667,L,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      48,          0.783333,L,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      49,          0.800000,L,F,G,F,F,F,F,F L,F,F,F,F,F,F,F,F,F,F L,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      50,          0.816667,L,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      51,          0.833333,L,F,G,F,F L,F L,F,F,F,F,F,F,F,F L,F,F,F L,F L,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      52,          0.850000,L,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      53,          0.866667,L,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      54,          0.883333,L,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      55,          0.900000,L,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      56,          0.916667,L,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      57,          0.933333,L,F,G,F,F,F,F,F,F,F,F,F,F,F,F L,F,F,F,F,F L,F L,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      58,          0.950000,L,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      59,          0.966667,L,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F L,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      60,          0.983333,L,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      61,          1.000000,L,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      62,          1.016667,L,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      63,          1.033333,L,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
      64,          1.050000,L,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
