"EG15_000 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_000.tcf]","Time(h)","Entry LC FC01.1_R [EG15_000]","Additional LC FC01.1_R [EG15_000]","Exit LC FC01.1_R [EG15_000]","Entry LC FC01.2_R [EG15_000]","Additional LC FC01.2_R [EG15_000]","Exit LC FC01.2_R [EG15_000]","Entry LC FC04.1_C [EG15_000]","Additional LC FC04.1_C [EG15_000]","Exit LC FC04.1_C [EG15_000]","Entry LC Pipe0 [EG15_000]","Additional LC Pipe0 [EG15_000]","Exit LC Pipe0 [EG15_000]","Entry LC Pipe1 [EG15_000]","Additional LC Pipe1 [EG15_000]","Exit LC Pipe1 [EG15_000]","Entry LC Pipe10 [EG15_000]","Additional LC Pipe10 [EG15_000]","Exit LC Pipe10 [EG15_000]","Entry LC Pipe11 [EG15_000]","Additional LC Pipe11 [EG15_000]","Exit LC Pipe11 [EG15_000]","Entry LC Pipe12 [EG15_000]","Additional LC Pipe12 [EG15_000]","Exit LC Pipe12 [EG15_000]","Entry LC Pipe13 [EG15_000]","Additional LC Pipe13 [EG15_000]","Exit LC Pipe13 [EG15_000]","Entry LC Pipe14 [EG15_000]","Additional LC Pipe14 [EG15_000]","Exit LC Pipe14 [EG15_000]","Entry LC Pipe15 [EG15_000]","Additional LC Pipe15 [EG15_000]","Exit LC Pipe15 [EG15_000]","Entry LC Pipe16 [EG15_000]","Additional LC Pipe16 [EG15_000]","Exit LC Pipe16 [EG15_000]","Entry LC Pipe17 [EG15_000]","Additional LC Pipe17 [EG15_000]","Exit LC Pipe17 [EG15_000]","Entry LC Pipe19 [EG15_000]","Additional LC Pipe19 [EG15_000]","Exit LC Pipe19 [EG15_000]","Entry LC Pipe2 [EG15_000]","Additional LC Pipe2 [EG15_000]","Exit LC Pipe2 [EG15_000]","Entry LC Pipe3 [EG15_000]","Additional LC Pipe3 [EG15_000]","Exit LC Pipe3 [EG15_000]","Entry LC Pipe4 [EG15_000]","Additional LC Pipe4 [EG15_000]","Exit LC Pipe4 [EG15_000]","Entry LC Pipe5 [EG15_000]","Additional LC Pipe5 [EG15_000]","Exit LC Pipe5 [EG15_000]","Entry LC Pipe6 [EG15_000]","Additional LC Pipe6 [EG15_000]","Exit LC Pipe6 [EG15_000]","Entry LC Pipe7 [EG15_000]","Additional LC Pipe7 [EG15_000]","Exit LC Pipe7 [EG15_000]","Entry LC Pipe8 [EG15_000]","Additional LC Pipe8 [EG15_000]","Exit LC Pipe8 [EG15_000]","Entry LC Pipe9 [EG15_000]","Additional LC Pipe9 [EG15_000]","Exit LC Pipe9 [EG15_000]","LC Pit1 [EG15_000]","LC Pit10 [EG15_000]","LC Pit11 [EG15_000]","LC Pit12 [EG15_000]","LC Pit13 [EG15_000]","LC Pit14 [EG15_000]","LC Pit15 [EG15_000]","LC Pit16 [EG15_000]","LC Pit17 [EG15_000]","LC Pit18 [EG15_000]","LC Pit19 [EG15_000]","LC Pit2 [EG15_000]","LC Pit3 [EG15_000]","LC Pit4 [EG15_000]","LC Pit5 [EG15_000]","LC Pit6 [EG15_000]","LC Pit7 [EG15_000]","LC Pit8 [EG15_000]","LC Pit9 [EG15_000]"
       1,          0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       2,          0.016667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.70,0.14,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.40,0.17,0.67,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       3,          0.033333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.09,0.18,0.00,0.42,0.00,0.00,0.00,0.17,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.22,1.00,0.00,0.00,0.00,0.18,0.84,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.16,0.00,0.58,0.14,0.00,0.53,0.50,0.00,0.32,0.22,0.00,0.46,0.20,0.57,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       4,          0.050000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.05,0.18,0.00,0.02,0.20,0.00,0.62,0.20,0.00,0.62,0.20,0.00,0.62,0.20,0.58,0.54,0.19,0.00,0.44,0.00,0.00,0.00,0.06,0.21,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.39,0.50,0.00,0.35,0.23,0.00,0.49,0.21,0.63,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       5,          0.066667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.42,1.00,0.20,0.00,0.63,0.19,0.00,0.71,0.20,0.00,0.55,0.19,0.59,0.60,0.20,0.00,0.64,0.20,0.17,0.66,0.00,0.20,1.00,0.20,0.00,0.75,0.11,0.00,0.00,0.00,0.00,1.00,0.03,0.00,1.00,0.21,0.45,0.56,0.20,0.00,0.72,0.20,0.18,0.64,0.50,0.00,0.35,0.22,0.00,0.56,0.21,0.49,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       6,          0.083333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.51,0.21,0.00,0.15,0.20,0.00,0.64,0.18,0.00,0.67,0.20,0.00,0.54,0.08,0.59,0.38,0.12,0.00,0.29,0.17,0.16,0.75,0.50,0.00,1.00,0.21,0.00,0.63,0.21,0.75,0.57,0.50,0.00,0.00,0.50,0.00,0.40,0.22,0.00,0.23,0.20,0.00,0.67,0.20,0.00,0.59,0.50,0.00,0.35,0.22,0.00,0.57,0.21,0.53,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       7,          0.100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.59,0.20,0.00,0.00,0.20,0.00,0.65,0.17,0.00,0.65,0.20,0.00,0.57,0.10,0.59,0.45,0.11,0.00,0.20,0.17,0.18,0.76,0.00,0.02,1.00,0.20,0.00,0.63,0.22,0.68,0.59,0.50,0.00,1.00,0.50,0.00,0.40,0.22,0.00,0.33,0.20,0.00,0.63,0.19,0.00,0.62,0.50,0.00,0.34,0.22,0.00,0.56,0.21,0.50,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       8,          0.116667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.52,0.21,0.00,0.00,0.20,0.00,0.65,0.17,0.00,0.66,0.20,0.00,0.56,0.13,0.59,0.63,0.50,0.00,1.00,0.16,0.18,0.75,0.50,0.00,1.00,0.19,0.00,0.63,0.22,0.68,0.59,0.50,0.00,0.00,0.50,0.00,0.42,0.22,0.00,0.35,0.20,0.00,0.64,0.19,0.00,0.62,0.50,0.00,0.35,0.22,0.00,0.56,0.21,0.52,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       9,          0.133333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.45,0.22,0.00,0.00,0.20,0.00,0.65,0.16,0.00,0.68,0.19,0.00,0.55,0.15,0.59,0.63,0.10,0.00,0.39,0.14,0.15,0.76,0.00,0.02,1.00,0.10,0.00,0.30,0.21,0.75,0.52,0.50,0.00,0.00,0.50,0.00,0.42,0.22,0.00,0.40,0.20,0.00,0.76,0.19,0.00,0.57,0.50,0.00,0.35,0.22,0.00,0.57,0.21,0.55,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      10,          0.150000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.42,0.22,0.00,0.00,0.20,0.00,0.65,0.15,0.00,0.68,0.19,0.00,0.54,0.14,0.59,0.63,0.00,0.00,0.00,0.15,0.16,0.76,0.00,0.02,1.00,0.16,0.00,0.55,0.21,0.78,0.52,0.50,0.00,0.00,0.50,0.00,0.40,0.22,0.00,0.42,0.20,0.00,0.79,0.18,0.00,0.56,0.50,0.00,0.35,0.22,0.00,0.57,0.20,0.55,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      11,          0.166667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.42,0.22,0.00,0.00,0.20,0.00,0.65,0.15,0.00,0.68,0.18,0.00,0.54,0.12,0.59,0.63,0.00,0.00,0.00,0.15,0.16,0.76,0.00,0.02,1.00,0.16,0.00,0.61,0.21,0.77,0.55,0.50,0.00,0.00,0.50,0.00,0.37,0.22,0.00,0.43,0.20,0.00,0.77,0.17,0.00,0.56,0.50,0.00,0.35,0.22,0.00,0.56,0.20,0.55,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      12,          0.183333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.42,0.22,0.00,0.00,0.20,0.00,0.64,0.14,0.00,0.67,0.18,0.00,0.55,0.14,0.59,0.63,0.00,0.00,0.00,0.15,0.14,0.76,0.00,0.02,1.00,0.15,0.00,0.55,0.21,0.78,0.53,0.50,0.00,0.00,0.50,0.00,0.35,0.22,0.00,0.44,0.19,0.00,0.77,0.16,0.00,0.56,0.50,0.00,0.35,0.22,0.00,0.57,0.20,0.56,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      13,          0.200000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.42,0.22,0.00,0.00,0.20,0.00,0.63,0.15,0.00,0.63,0.17,0.00,0.63,0.13,0.59,0.63,0.00,0.00,0.13,0.14,0.18,0.76,0.00,0.02,1.00,0.14,0.00,0.50,0.21,0.73,0.62,0.50,0.00,0.00,0.50,0.00,0.35,0.22,0.00,0.42,0.19,0.00,0.63,0.15,0.00,0.62,0.50,0.00,0.35,0.22,0.00,0.57,0.20,0.56,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      14,          0.216667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.39,0.22,0.00,0.00,0.19,0.00,0.63,0.15,0.00,0.63,0.16,0.00,0.63,0.12,0.59,0.63,0.00,0.00,0.00,0.14,0.18,0.76,0.00,0.02,1.00,0.15,0.00,0.56,0.21,0.73,0.62,0.50,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.43,0.19,0.00,0.63,0.15,0.00,0.63,0.50,0.00,0.35,0.22,0.00,0.57,0.20,0.56,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      15,          0.233333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.43,0.22,0.00,0.00,0.19,0.00,0.63,0.14,0.00,0.63,0.16,0.00,0.63,0.11,0.59,0.63,0.00,0.00,0.00,0.14,0.18,0.76,0.00,0.02,1.00,0.15,0.00,0.62,0.21,0.74,0.62,0.50,0.00,0.00,0.50,0.00,0.32,0.22,0.00,0.44,0.18,0.00,0.63,0.15,0.00,0.63,0.50,0.00,0.35,0.22,0.00,0.57,0.20,0.57,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      16,          0.250000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.43,0.22,0.00,0.00,0.19,0.00,0.63,0.14,0.00,0.63,0.15,0.00,0.63,0.11,0.59,0.63,0.00,0.00,0.00,0.14,0.18,0.76,0.00,0.02,1.00,0.16,0.00,0.62,0.21,0.74,0.63,0.50,0.00,0.00,0.50,0.00,0.32,0.22,0.00,0.45,0.18,0.00,0.63,0.15,0.00,0.63,0.50,0.00,0.35,0.22,0.00,0.58,0.20,0.57,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      17,          0.266667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.43,0.22,0.00,0.00,0.18,0.00,0.63,0.14,0.00,0.63,0.15,0.00,0.63,0.11,0.59,0.63,0.00,0.00,0.00,0.13,0.18,0.76,0.00,0.02,1.00,0.15,0.00,0.59,0.21,0.75,0.63,0.50,0.00,0.00,0.50,0.00,0.32,0.23,0.00,0.45,0.17,0.00,0.63,0.15,0.00,0.63,0.50,0.00,0.35,0.22,0.00,0.58,0.20,0.57,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      18,          0.283333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.43,0.22,0.00,0.00,0.18,0.00,0.63,0.14,0.00,0.63,0.16,0.00,0.63,0.11,0.59,0.63,0.00,0.00,0.00,0.13,0.18,0.76,0.00,0.02,1.00,0.14,0.00,0.57,0.21,0.76,0.64,0.50,0.00,0.00,0.50,0.00,0.32,0.22,0.00,0.46,0.16,0.00,0.62,0.15,0.00,0.63,0.50,0.00,0.35,0.22,0.00,0.59,0.20,0.58,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      19,          0.300000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.45,0.22,0.00,0.00,0.17,0.00,0.63,0.13,0.00,0.63,0.15,0.00,0.63,0.11,0.59,0.64,0.00,0.00,0.00,0.13,0.18,0.76,0.00,0.02,1.00,0.14,0.00,0.59,0.21,0.72,0.72,0.50,0.00,0.00,0.50,0.00,0.32,0.23,0.00,0.45,0.16,0.00,0.60,0.14,0.00,0.63,0.50,0.00,0.36,0.22,0.00,0.60,0.20,0.58,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      20,          0.316667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.21,0.00,0.00,0.17,0.00,0.63,0.13,0.00,0.63,0.15,0.00,0.63,0.10,0.59,0.64,0.00,0.00,0.00,0.13,0.18,0.76,0.00,0.02,1.00,0.14,0.00,0.60,0.21,0.75,0.73,0.50,0.00,0.00,0.50,0.00,0.31,0.23,0.00,0.48,0.15,0.00,0.57,0.15,0.00,0.63,0.50,0.00,0.36,0.22,0.00,0.61,0.20,0.58,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      21,          0.333333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.59,0.20,0.00,0.00,0.16,0.00,0.63,0.13,0.00,0.63,0.15,0.00,0.63,0.10,0.59,0.64,0.00,0.00,0.00,0.12,0.18,0.76,0.00,0.02,1.00,0.14,0.00,0.62,0.21,0.79,0.66,0.50,0.00,0.00,0.50,0.00,0.31,0.23,0.00,0.51,0.15,0.00,0.61,0.14,0.00,0.63,0.50,0.00,0.36,0.22,0.00,0.62,0.20,0.59,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      22,          0.350000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.65,0.11,0.00,0.00,0.16,0.00,0.63,0.12,0.00,0.63,0.14,0.00,0.63,0.09,0.59,0.64,0.00,0.00,0.00,0.12,0.18,0.76,0.00,0.02,1.00,0.13,0.00,0.63,0.21,0.84,0.63,0.00,0.00,1.00,0.50,0.00,0.31,0.23,0.00,0.54,0.15,0.00,0.63,0.14,0.00,0.63,0.50,0.00,0.36,0.22,0.00,0.63,0.20,0.59,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      23,          0.366667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.46,0.00,0.00,0.26,0.16,0.00,0.64,0.12,0.00,0.63,0.14,0.00,0.63,0.09,0.59,0.64,0.00,0.00,0.00,0.12,0.18,0.76,0.00,0.02,1.00,0.12,0.00,0.62,0.21,0.87,0.63,0.00,0.00,1.00,0.50,0.00,0.31,0.23,0.00,0.56,0.15,0.00,0.63,0.13,0.00,0.63,0.50,0.00,0.36,0.22,0.00,0.69,0.19,0.59,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
