"EG15_000 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_000.tcf]","Time(h)","V FC01.1_R [EG15_000]","V FC01.2_R [EG15_000]","V FC04.1_C [EG15_000]","V Pipe0 [EG15_000]","V Pipe1 [EG15_000]","V Pipe10 [EG15_000]","V Pipe11 [EG15_000]","V Pipe12 [EG15_000]","V Pipe13 [EG15_000]","V Pipe14 [EG15_000]","V Pipe15 [EG15_000]","V Pipe16 [EG15_000]","V Pipe17 [EG15_000]","V Pipe19 [EG15_000]","V Pipe2 [EG15_000]","V Pipe3 [EG15_000]","V Pipe4 [EG15_000]","V Pipe5 [EG15_000]","V Pipe6 [EG15_000]","V Pipe7 [EG15_000]","V Pipe8 [EG15_000]","V Pipe9 [EG15_000]","V Pit1 [EG15_000]","V Pit10 [EG15_000]","V Pit11 [EG15_000]","V Pit12 [EG15_000]","V Pit13 [EG15_000]","V Pit14 [EG15_000]","V Pit15 [EG15_000]","V Pit16 [EG15_000]","V Pit17 [EG15_000]","V Pit18 [EG15_000]","V Pit19 [EG15_000]","V Pit2 [EG15_000]","V Pit3 [EG15_000]","V Pit4 [EG15_000]","V Pit5 [EG15_000]","V Pit6 [EG15_000]","V Pit7 [EG15_000]","V Pit8 [EG15_000]","V Pit9 [EG15_000]"
       1,          0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       2,          0.016667,    0.000,    0.000,    0.000,    0.827,    0.946,    1.079,    0.481,    0.717,    0.642,    0.648,    0.649,    0.590,    0.654,    0.930,    0.221,    0.720,    0.146,    0.735,    0.635,    1.129,    1.111,    1.407,    0.888,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.944,    0.743,    0.737,    0.903,    0.886,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966
       3,          0.033333,    0.000,    0.000,    0.000,    0.828,    0.577,    1.488,    1.495,    1.609,    1.229,    1.000,    0.929,    0.822,    0.890,    1.231,    0.107,    0.750,    0.264,    1.266,    1.018,    0.587,    1.139,    1.451,    0.888,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.835,    0.737,    0.736,    0.891,    0.886,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966
       4,          0.050000,    0.000,    0.000,    0.000,    0.346,    0.514,    1.558,    1.605,    1.575,    1.648,    1.704,    1.268,    1.057,    1.773,    1.279,    0.229,    0.754,    0.324,    1.294,    1.168,    0.485,    1.092,    1.548,    0.888,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966,    0.000,    0.813,    0.686,    0.623,    0.889,    0.886,    0.966,    0.966,    0.835,    0.966,    0.966,    0.966
       5,          0.066667,    0.000,    0.000,    0.000,    0.052,    0.039,    1.006,    0.951,    1.051,    0.816,    0.832,   -0.604,    0.050,    0.850,   -0.316,   -0.002,   -0.806,   -0.642,   -0.547,   -0.597,    0.404,    0.784,    0.980,    0.888,   -0.335,    0.966,    0.966,    0.966,    0.966,    0.966,    0.000,    0.356,    0.386,    0.401,    0.888,    0.886,    0.966,    0.966,    0.001,    0.158,    0.128,   -0.172
       6,          0.083333,    0.000,    0.000,    0.000,    0.205,    0.260,    1.003,    0.713,    0.975,    0.213,   -0.177,    0.577,    0.000,   -0.440,    0.798,    0.008,    0.179,    0.316,    0.876,    0.852,    0.388,    0.761,    0.943,    0.599,   -0.316,   -0.337,   -0.334,   -0.190,   -0.342,   -0.031,    0.966,    0.280,    0.353,    0.369,    0.121,    0.885,    0.966,    0.930,    0.010,    0.099,   -0.039,   -0.307
       7,          0.100000,    0.000,    0.000,    0.000,    0.129,    0.141,    1.000,    0.634,    0.976,    0.223,   -0.133,    0.519,    0.001,   -0.368,    0.829,    0.000,    0.230,    0.403,    0.919,    0.843,    0.396,    0.782,    0.944,    0.242,   -0.221,   -0.241,   -0.216,   -0.159,   -0.334,   -0.152,    0.310,    0.205,    0.301,    0.310,    0.019,    0.822,    0.963,    0.533,    0.001,    0.086,   -0.034,   -0.321
       8,          0.116667,    0.000,    0.000,    0.000,    0.099,    0.133,    0.982,    0.602,    0.936,    0.264,    0.000,    0.455,    0.001,   -0.235,    0.844,    0.015,    0.251,    0.426,    0.918,    0.812,    0.391,    0.767,    0.926,    0.164,   -0.174,   -0.143,   -0.170,   -0.188,   -0.320,   -0.190,    0.224,    0.169,    0.283,    0.296,    0.042,    0.822,    0.959,    0.411,    0.013,    0.069,   -0.049,   -0.243
       9,          0.133333,    0.000,    0.000,    0.000,    0.085,    0.132,    0.956,    0.521,    0.886,    0.278,    0.098,    0.367,    0.002,   -0.080,    0.854,    0.024,    0.264,    0.440,    0.891,    0.755,    0.385,    0.756,    0.912,    0.129,   -0.127,   -0.092,   -0.099,   -0.188,   -0.280,   -0.229,    0.129,    0.147,    0.275,    0.288,    0.052,    0.754,    0.957,    0.359,    0.021,    0.053,   -0.066,   -0.213
      10,          0.150000,    0.000,    0.000,    0.000,    0.076,    0.127,    0.935,    0.439,    0.827,    0.216,    0.032,    0.344,    0.001,   -0.121,    0.844,    0.029,    0.264,    0.459,    0.861,    0.642,    0.382,    0.748,    0.901,    0.109,   -0.122,   -0.095,   -0.079,   -0.112,   -0.158,   -0.296,    0.066,    0.136,    0.270,    0.284,    0.052,    0.651,    0.920,    0.322,    0.025,    0.038,   -0.095,   -0.192
