"EG15_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_002.tcf]","Time (h)","H FC01.1_R.1 [EG15_002]","H FC01.1_R.2 [EG15_002]","H FC01.2_R.1 [EG15_002]","H FC01.2_R.2 [EG15_002]","H FC04.1_C.1 [EG15_002]","H FC04.1_C.2 [EG15_002]","H Pipe16.2 [EG15_002]","H Pit1 [EG15_002]","H Pit1.1 [EG15_002]","H Pit10 [EG15_002]","H Pit10.1 [EG15_002]","H Pit11 [EG15_002]","H Pit11.1 [EG15_002]","H Pit12 [EG15_002]","H Pit12.1 [EG15_002]","H Pit13 [EG15_002]","H Pit13.1 [EG15_002]","H Pit14 [EG15_002]","H Pit14.1 [EG15_002]","H Pit15 [EG15_002]","H Pit15.1 [EG15_002]","H Pit16 [EG15_002]","H Pit16.1 [EG15_002]","H Pit17 [EG15_002]","H Pit17.1 [EG15_002]","H Pit18 [EG15_002]","H Pit18.1 [EG15_002]","H Pit19 [EG15_002]","H Pit19.1 [EG15_002]","H Pit2 [EG15_002]","H Pit2.1 [EG15_002]","H Pit3 [EG15_002]","H Pit3.1 [EG15_002]","H Pit4 [EG15_002]","H Pit4.1 [EG15_002]","H Pit5 [EG15_002]","H Pit5.1 [EG15_002]","H Pit6 [EG15_002]","H Pit6.1 [EG15_002]","H Pit7 [EG15_002]","H Pit7.1 [EG15_002]","H Pit8 [EG15_002]","H Pit8.1 [EG15_002]","H Pit9 [EG15_002]","H Pit9.1 [EG15_002]"
       1,          0.000000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.7990,     41.6009,     43.2445,     40.7645,     42.7528,     40.6586,     42.7759,     40.5253,     42.8113,     39.9990,     42.8368,     40.8677,     42.8596,     40.9729,     42.9892,     41.1447,     43.1357,     41.3168,     43.2811,     41.4118,     43.3220,     41.6968,     43.3397,     41.4668,     43.2164,     41.3484,     43.2770,     41.4497,     43.3075,     41.8990,     43.2767,     41.6710,     43.2528,     41.1545,     43.1470,     40.9873,     43.0050,     40.8067,     42.8642
       2,          0.016667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8026,     41.6224,     43.2445,     40.7786,     42.7531,     40.6681,     42.7759,     40.5343,     42.8113,     40.0071,     42.8368,     40.8772,     42.8596,     40.9821,     42.9892,     41.1546,     43.1357,     41.3268,     43.2811,     41.4262,     43.3230,     41.7085,     43.3397,     41.4830,     43.2164,     41.3575,     43.2770,     41.4553,     43.3075,     41.9075,     43.2776,     41.6849,     43.2528,     41.1626,     43.1470,     40.9947,     43.0050,     40.8182,     42.8642
       3,          0.033333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8080,     41.6360,     43.2479,     40.7935,     42.7545,     40.6817,     42.7759,     40.5431,     42.8113,     40.0148,     42.8368,     40.8871,     42.8600,     40.9901,     42.9892,     41.1619,     43.1357,     41.3414,     43.2826,     41.4363,     43.3224,     41.7188,     43.3397,     41.5014,     43.2186,     41.3670,     43.2770,     41.4641,     43.3075,     41.9194,     43.2777,     41.6994,     43.2528,     41.1723,     43.1470,     41.0017,     43.0050,     40.8273,     42.8642
       4,          0.050000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8143,     41.6460,     43.2445,     40.8141,     42.7543,     40.7021,     42.7769,     40.5555,     42.8123,     40.0240,     42.8372,     40.8977,     42.8602,     40.9967,     42.9913,     41.1716,     43.1385,     41.3569,     43.2816,     41.4475,     43.3238,     41.7235,     43.3397,     41.5182,     43.2183,     41.3815,     43.2770,     41.4736,     43.3075,     41.9304,     43.2767,     41.7178,     43.2538,     41.1848,     43.1484,     41.0094,     43.0050,     40.8335,     42.8664
       5,          0.066667,     45.3990,     44.4990,     37.6067,     37.4990,     43.3490,     42.7508,     39.8244,     41.6590,     43.2504,     40.8360,     42.7554,     40.7307,     42.7774,     40.5825,     42.8133,     40.0393,     42.8382,     40.9101,     42.8596,     41.0054,     42.9892,     41.1837,     43.1357,     41.3769,     43.2818,     41.4562,     43.3225,     41.7316,     43.3419,     41.5335,     43.2185,     41.3997,     43.2770,     41.4851,     43.3075,     41.9437,     43.2778,     41.7316,     43.2545,     41.2006,     43.1470,     41.0225,     43.0050,     40.8439,     42.8642
       6,          0.083333,     45.3990,     44.4990,     37.6090,     37.4990,     43.3490,     42.7685,     39.8414,     41.6632,     43.2514,     40.8560,     42.7562,     40.7586,     42.7779,     40.6131,     42.8123,     40.0634,     42.8397,     40.9222,     42.8623,     41.0166,     42.9892,     41.2008,     43.1391,     41.3979,     43.2818,     41.4670,     43.3257,     41.7401,     43.3424,     41.5578,     43.2192,     41.4203,     43.2770,     41.4980,     43.3075,     41.9553,     43.2784,     41.7424,     43.2549,     41.2199,     43.1487,     41.0391,     43.0050,     40.8645,     42.8686
       7,          0.100000,     45.3990,     44.4990,     37.6124,     37.4990,     43.3490,     42.7827,     39.8747,     41.6583,     43.2445,     40.8816,     42.7581,     40.7859,     42.7787,     40.6452,     42.8129,     40.0981,     42.8387,     40.9388,     42.8633,     41.0340,     42.9892,     41.2235,     43.1357,     41.4198,     43.2839,     41.4875,     43.3239,     41.7527,     43.3437,     41.5741,     43.2202,     41.4462,     43.2770,     41.5145,     43.3085,     41.9676,     43.2789,     41.7535,     43.2556,     41.2436,     43.1488,     41.0599,     43.0077,     40.8892,     42.8642
       8,          0.116667,     45.3990,     44.4990,     37.6160,     37.5007,     43.3490,     42.7968,     39.9377,     41.6606,     43.2489,     40.9180,     42.7607,     40.8201,     42.7791,     40.6872,     42.8144,     40.1368,     42.8397,     40.9684,     42.8626,     41.0585,     42.9892,     41.2511,     43.1404,     41.4417,     43.2811,     41.5049,     43.3241,     41.7720,     43.3423,     41.5896,     43.2214,     41.4745,     43.2770,     41.5321,     43.3090,     41.9754,     43.2793,     41.7642,     43.2562,     41.2671,     43.1490,     41.0854,     43.0050,     40.9272,     42.8698
       9,          0.133333,     45.3990,     44.4990,     37.6204,     37.5094,     43.3490,     42.8035,     40.0351,     41.6750,     43.2445,     40.9593,     42.7637,     40.8607,     42.7802,     40.7302,     42.8151,     40.1872,     42.8412,     41.0045,     42.8639,     41.0882,     42.9892,     41.2779,     43.1391,     41.4639,     43.2842,     41.5281,     43.3250,     41.7889,     43.3433,     41.6107,     43.2234,     41.5015,     43.2770,     41.5502,     43.3097,     41.9869,     43.2802,     41.7685,     43.2566,     41.2908,     43.1483,     41.1120,     43.0050,     40.9688,     42.8642
      10,          0.150000,     45.3990,     44.4990,     37.6241,     37.5289,     43.3490,     42.8057,     40.1807,     41.6822,     43.2540,     41.0085,     42.7673,     40.9130,     42.7817,     40.7806,     42.8157,     40.2476,     42.8430,     41.0457,     42.8656,     41.1211,     42.9892,     41.3105,     43.1357,     41.4882,     43.2845,     41.5510,     43.3259,     41.8042,     43.3444,     41.6389,     43.2257,     41.5365,     43.2770,     41.5698,     43.3107,     41.9967,     43.2808,     41.7808,     43.2576,     41.3171,     43.1503,     41.1394,     43.0050,     41.0206,     42.8700
      11,          0.166667,     45.3990,     44.4990,     37.6272,     37.4990,     43.3490,     42.8066,     40.3496,     41.6924,     43.2445,     41.0555,     42.7719,     40.9658,     42.7829,     40.8414,     42.8175,     40.3587,     42.8443,     41.0853,     42.8667,     41.1583,     42.9892,     41.3465,     43.1357,     41.5159,     43.2811,     41.5708,     43.3268,     41.8180,     43.3456,     41.6599,     43.2277,     41.5715,     43.2770,     41.5904,     43.3118,     42.0118,     43.2822,     41.7963,     43.2589,     41.3449,     43.1485,     41.1680,     43.0074,     41.0700,     42.8713
      12,          0.183333,     45.3990,     44.4990,     37.6318,     37.5008,     43.3490,     42.8075,     40.5493,     41.7086,     43.2546,     41.0998,     42.7765,     41.0161,     42.7844,     40.8983,     42.8189,     40.5575,     42.8453,     41.1253,     42.8677,     41.1990,     42.9938,     41.3835,     43.1357,     41.5484,     43.2836,     41.5940,     43.3283,     41.8350,     43.3472,     41.6795,     43.2300,     41.6053,     43.2770,     41.6160,     43.3134,     42.0299,     43.2839,     41.8151,     43.2608,     41.3767,     43.1487,     41.2014,     43.0066,     41.1179,     42.8729
      13,          0.200000,     45.5333,     44.4990,     37.6104,     37.5275,     43.3579,     42.8085,     41.1866,     41.7237,     43.2504,     41.1929,     42.7806,     41.1928,     42.7861,     41.1962,     42.8200,     41.1978,     42.8461,     41.2042,     42.8685,     41.2407,     42.9920,     41.4198,     43.1357,     41.5854,     43.2844,     41.6191,     43.3299,     41.8530,     43.3491,     41.7016,     43.2328,     41.6409,     43.2881,     41.6498,     43.3151,     42.0490,     43.2859,     41.8396,     43.2636,     41.4131,     43.1490,     41.2401,     43.0077,     41.1959,     42.8744
      14,          0.216667,     45.7127,     44.4990,     37.7679,     37.5778,     43.3793,     42.8145,     41.6003,     41.7355,     43.2511,     41.6233,     42.7839,     41.6182,     42.7874,     41.6117,     42.8207,     41.6027,     42.8467,     41.5972,     42.8693,     41.5858,     42.9926,     41.5770,     43.1401,     41.6271,     43.2854,     41.6453,     43.3314,     41.8750,     43.3519,     41.7262,     43.2370,     41.6782,     43.2770,     41.6888,     43.3169,     42.0685,     43.2881,     41.8578,     43.2658,     41.5971,     43.1493,     41.6052,     43.0081,     41.6204,     42.8757
      15,          0.233333,     45.8228,     44.5526,     37.6302,     37.6128,     43.4010,     42.8280,     42.0853,     41.9462,     43.2521,     42.1448,     42.7868,     42.1345,     42.7888,     42.1129,     42.8214,     42.0886,     42.8473,     42.0689,     42.8700,     42.0278,     42.9932,     41.9890,     43.1357,     42.1493,     43.2864,     42.1457,     43.3351,     42.1445,     43.3585,     41.9508,     43.2410,     41.9572,     43.2770,     41.9493,     43.3184,     42.0866,     43.2902,     42.1486,     43.2708,     42.1430,     43.1496,     42.1455,     43.0086,     42.1496,     42.8771
      16,          0.250000,     45.9015,     44.6673,     37.7325,     37.6043,     43.4244,     42.8446,     42.8891,     43.1035,     43.2530,     42.8744,     42.8306,     42.8683,     42.8296,     42.8737,     42.8545,     42.8906,     42.8832,     42.9006,     42.8984,     42.9715,     42.9939,     43.0125,     43.1388,     43.2092,     43.2894,     43.2324,     43.3467,     43.2423,     43.3713,     43.1019,     43.2442,     43.0753,     43.2770,     43.0870,     43.3196,     43.1036,     43.2925,     43.2158,     43.2762,     43.1018,     43.1503,     43.0066,     43.0122,     42.9309,     42.9133
      17,          0.266667,     45.9588,     44.7498,     37.6874,     37.6242,     43.4490,     42.8562,     42.9134,     43.2324,     43.2538,     42.9058,     42.8709,     42.8992,     42.8700,     42.9023,     42.8782,     42.9141,     42.9018,     42.9366,     42.9093,     43.0160,     43.0166,     43.1029,     43.1357,     43.2919,     43.3029,     43.3346,     43.3645,     43.3502,     43.3894,     43.2310,     43.2533,     43.2082,     43.2770,     43.2272,     43.3205,     43.2393,     43.2946,     43.2969,     43.3046,     43.1645,     43.1640,     43.0404,     43.0405,     42.9531,     42.9223
      18,          0.283333,     46.0069,     44.8155,     37.7470,     37.6165,     43.4734,     42.8686,     42.9357,     43.2443,     43.2579,     42.9378,     42.9146,     42.9309,     42.9137,     42.9295,     42.9124,     42.9362,     42.9162,     42.9530,     42.9199,     43.0267,     43.0229,     43.1214,     43.1400,     43.3043,     43.3154,     43.3491,     43.3803,     43.3654,     43.4054,     43.2469,     43.2639,     43.2293,     43.2866,     43.2492,     43.3212,     43.2550,     43.2989,     43.3087,     43.3148,     43.1766,     43.1768,     43.0506,     43.0469,     42.9699,     42.9301
      19,          0.300000,     46.0548,     44.8760,     37.7001,     37.6435,     43.4970,     42.8814,     42.9633,     43.2592,     43.2707,     42.9672,     42.9484,     42.9610,     42.9478,     42.9587,     42.9461,     42.9639,     42.9429,     42.9766,     42.9445,     43.0377,     43.0294,     43.1305,     43.1357,     43.3161,     43.3269,     43.3625,     43.3951,     43.3787,     43.4186,     43.2575,     43.2717,     43.2438,     43.2868,     43.2712,     43.3218,     43.2800,     43.3105,     43.3197,     43.3245,     43.1891,     43.1899,     43.0647,     43.0567,     42.9930,     42.9527
      20,          0.316667,     46.1029,     44.9307,     37.6528,     37.6777,     43.5195,     42.8933,     42.9932,     43.2681,     43.2785,     42.9958,     42.9779,     42.9903,     42.9775,     42.9886,     42.9776,     42.9939,     42.9769,     43.0047,     42.9774,     43.0507,     43.0355,     43.1461,     43.1466,     43.3256,     43.3361,     43.3723,     43.4050,     43.3885,     43.4285,     43.2662,     43.2776,     43.2520,     43.2770,     43.2819,     43.3223,     43.2968,     43.3258,     43.3292,     43.3339,     43.2007,     43.2006,     43.0797,     43.0683,     43.0188,     42.9812
      21,          0.333333,     46.1494,     44.9903,     37.6848,     37.6793,     43.5393,     42.9049,     43.0210,     43.2717,     43.2839,     43.0255,     43.0100,     43.0198,     43.0092,     43.0175,     43.0081,     43.0216,     43.0070,     43.0322,     43.0077,     43.0628,     43.0408,     43.1559,     43.1547,     43.3339,     43.3430,     43.3812,     43.4120,     43.3993,     43.4419,     43.2749,     43.2824,     43.2591,     43.2814,     43.2924,     43.3243,     43.3037,     43.3360,     43.3374,     43.3420,     43.2104,     43.2100,     43.0965,     43.0793,     43.0447,     43.0113
      22,          0.350000,     46.1951,     45.0521,     37.7604,     37.7028,     43.5570,     42.9149,     43.0498,     43.2818,     43.2888,     43.0544,     43.0410,     43.0494,     43.0401,     43.0471,     43.0395,     43.0505,     43.0390,     43.0623,     43.0391,     43.0744,     43.0478,     43.1673,     43.1635,     43.3388,     43.3468,     43.3855,     43.4162,     43.4036,     43.4458,     43.2800,     43.2870,     43.2637,     43.2770,     43.3016,     43.3304,     43.3153,     43.3434,     43.3423,     43.3472,     43.2183,     43.2169,     43.1118,     43.0895,     43.0706,     43.0413
      23,          0.366667,     46.2424,     45.1136,     37.7355,     37.7288,     43.5726,     42.9256,     43.0788,     43.2868,     43.2931,     43.0835,     43.0704,     43.0778,     43.0699,     43.0760,     43.0699,     43.0793,     43.0701,     43.0906,     43.0696,     43.0961,     43.0700,     43.1791,     43.1712,     43.3428,     43.3496,     43.3888,     43.4191,     43.4066,     43.4486,     43.2863,     43.2914,     43.2712,     43.2770,     43.3114,     43.3377,     43.3219,     43.3492,     43.3461,     43.3512,     43.2241,     43.2221,     43.1278,     43.0981,     43.0935,     43.0702
