"EG15_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_004.tcf]","Node ID","Hmax","Time Hmax"
     1,"FC01.1_R.1",     49.8577,      0.9506
     2,"FC01.1_R.2",     47.3962,      0.9562
     3,"FC01.2_R.1",     42.7854,      1.2471
     4,"FC01.2_R.2",     40.7782,      1.2575
     5,"FC04.1_C.1",     43.6683,      0.6816
     6,"FC04.1_C.2",     43.0758,      1.2267
     7,"mh1",     43.5779,      3.0001
     8,"mh2",     43.5779,      3.0001
     9,"mh3",     43.5779,      3.0001
    10,"mh4",     43.5779,      3.0001
    11,"Pipe16.2",     43.5774,      3.0001
    12,"Pit1",     43.5784,      3.0001
    13,"Pit1.1",     43.5784,      3.0001
    14,"Pit11",     43.5784,      2.9999
    15,"Pit11.1",     43.5784,      3.0001
    16,"Pit12",     43.5784,      2.9997
    17,"Pit12.1",     43.5784,      2.9996
    18,"Pit14",     43.5784,      2.9999
    19,"Pit14.1",     43.5784,      2.9999
    20,"Pit15",     43.5784,      3.0001
    21,"Pit15.1",     43.5784,      3.0001
    22,"Pit16",     43.5784,      3.0001
    23,"Pit16.1",     43.5784,      3.0001
    24,"Pit18",     43.5784,      3.0000
    25,"Pit18.1",     43.5784,      3.0000
    26,"Pit19",     43.5784,      3.0000
    27,"Pit19.1",     43.5784,      2.9992
    28,"Pit2",     43.5784,      3.0001
    29,"Pit2.1",     43.5784,      3.0001
    30,"Pit4",     43.5784,      3.0001
    31,"Pit4.1",     43.5784,      3.0001
    32,"Pit5",     43.5784,      3.0001
    33,"Pit5.1",     43.5784,      3.0001
    34,"Pit6",     43.5784,      2.9997
    35,"Pit6.1",     43.5784,      2.9988
    36,"Pit7",     43.5784,      2.9997
    37,"Pit7.1",     43.5784,      2.9991
    38,"Pit8",     43.5784,      3.0001
    39,"Pit8.1",     43.5784,      3.0001
    40,"Pit9",     43.5784,      3.0001
    41,"Pit9.1",     43.5784,      3.0001
