"EG15_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_005.tcf]","Time(h)","F FC01.1_R [EG15_005]","F FC01.2_R [EG15_005]","F FC04.1_C [EG15_005]","F Pipe0 [EG15_005]","F Pipe1 [EG15_005]","F Pipe10 [EG15_005]","F Pipe11 [EG15_005]","F Pipe12 [EG15_005]","F Pipe13 [EG15_005]","F Pipe14 [EG15_005]","F Pipe15 [EG15_005]","F Pipe16 [EG15_005]","F Pipe17 [EG15_005]","F Pipe19 [EG15_005]","F Pipe2 [EG15_005]","F Pipe3 [EG15_005]","F Pipe4 [EG15_005]","F Pipe5 [EG15_005]","F Pipe6 [EG15_005]","F Pipe7 [EG15_005]","F Pipe8 [EG15_005]","F Pipe9 [EG15_005]","F Pit1 [EG15_005]","F Pit11 [EG15_005]","F Pit12 [EG15_005]","F Pit14 [EG15_005]","F Pit15 [EG15_005]","F Pit16 [EG15_005]","F Pit18 [EG15_005]","F Pit19 [EG15_005]","F Pit2 [EG15_005]","F Pit4 [EG15_005]","F Pit5 [EG15_005]","F Pit6 [EG15_005]","F Pit7 [EG15_005]","F Pit8 [EG15_005]","F Pit9 [EG15_005]"
       1,          0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       2,          0.016667,G,G,G,A,G,A,G,A,G,A,A,A,A,G,G,A,G,D,D,A,G,G,E,E,E,E,E,E,N,E,E,E,N,E,E,E,E
       3,          0.033333,G,G,G,A,G,D,G,A,G,A,A,A,A,G,G,A,G,A,D,A,G,G,E,E,E,E,E,E,E,E,N,E,N,E,E,E,E
       4,          0.050000,G,G,G,A,G,D,G,A,G,A,A,A,A,G,G,A,G,A,A,A,G,G,E,N,E,E,E,N,N,E,E,E,E,N,N,E,E
       5,          0.066667,G,A,G,A,G,A,G,A,G,A,A,A,A L,G,J L,A,G,A,A,A,A,A,N,N,N,N,E,E,E,N,E,E,N,N,E,E,E
       6,          0.083333,G,A,G,A,G,A,G,A,G,A,A,A,C,G,J,A,G,A,A,A,A,A,N,N,N,E,E,E,E,N,N,E,N,N,N,E,N
       7,          0.100000,G,A,G,D,G,A,G,A,G,A,A,A,C,G,J,A,G,A,A,A,A,A,E,N,N,E,E,E,N,N,N,N,N,N,N,N,E
       8,          0.116667,G,A,G,J,G,D,G,A,G,A,A,A,C,G,J,A,G,A,A,A,A,A,E,N,N,N,E,E,N,N,N,N,N,N,N,E,N
       9,          0.133333,G,A,G,J,J,A,G,A,G,A,A,A,C,G,J,A,G,A,A,A,A,A,E,N,N,N,E,E,N,N,N,N,N,N,N,E,E
      10,          0.150000,G,A,G,J,J,A,G,J,G,A,A,A,C,A,J,A,A,A,A,D,A,A,E,N,N,N,E,E,N,N,N,N,N,N,N,E,N
      11,          0.166667,G,A,G,J,J,A,G,J,G,A,A,A,C,A,J,A,A,A,A,D,J,A,E,N,N,N,E,E,N,N,N,N,N,N,N,E,N
      12,          0.183333,G,A,G,D,H,A,G,D,G,A,A,A,C,A,J,A,J,A,A,D,H,A,N,N,N,N,E,E,N,N,N,N,N,N,N,N,N
      13,          0.200000,A,G,A,D,H,D,J,J,A,A,A,A,D,A,J,D,H L,A,A,D L,H L,A,N,N,N,N,N,E,N,N,N,N,N,N,N,N,N
      14,          0.216667,A,A,A,D L,H L,D,H,D,A,D,A,D,D,A,J,D,H,C,A,D,H L,A,N,N,N,N,N,E,N,N,N,N,N,N,N,N,N
      15,          0.233333,A,A,A,F,H,D,H,F,A,F,H,D,F,A,J,D,H L,C,D,D L,H L,A,N,N,N,N,N,E,N,N,N,N,N,N,N,N,N
      16,          0.250000,A,A,A,F L,H,F L,F L,F L,F L,F L,F L,F L,F L,D L,H L,D L,D L,F L,F L,F L,H L,H L,N,N,N,N,N,E,N,N,N,N,N,N,N,N,N
      17,          0.266667,A,A,A,F L,F,F,F,F,F,F,F L,F,F,F,F,F,F L,F,F,F,F,F,N,R,R,R,N,E,N,N,N,N,N,N,N,R,R
      18,          0.283333,A,J,A,F L,F,F,F,F,F L,F L,F L,F,F L,F,F,F,F,F,F,F,F,F,N,R,R,R,R,E,D,D,N,N,N,D,D,R,R
      19,          0.300000,A,D,A,F,F,F,F,F,F L,F,F L,F,F,F,F L,F L,F,F,F,F,F,F,N,R,R,R,R,E,D,D,N,N,N,D,D,R,R
      20,          0.316667,A,J,A,F L,F,F,F L,F,F L,F L,F L,F,F,F,F,F,F,F,F,F,F,F,N,R,R,R,R,D,D,D,D,N,N,D,R,R,R
      21,          0.333333,A,A,A,F,F L,F,F,F,F L,F L,F,F,F L,F,F,F,F,F,F,F,F,F,D,R,R,R,R,R,D,D,D,N,D,D,R,R,R
      22,          0.350000,A,A,A,F L,F L,F,F,F,F,F L,F L,F,F L,F,F,F,F,F,F,F,F,F,D,R,R,R,R,R,D,D,D,N,D,D,R,R,R
      23,          0.366667,A,A,A,F L,F L,F,F L,F,F,F L,F L,F,F,F,F,F,F,F,F,F,F,F,D,R,R,R,R,R,D,D,D,N,D,D,R,R,R
      24,          0.383333,A,A,A,F L,F,F,F,F,F,F L,F L,F,F L,F,F,F,F,F,F,F,F,F,D,R,R,R,R,R,D,D,D,N,D,D,R,R,R
