No,Channel,US Node,DS Node,US Channel,DS Channel,Flags,Length,Form Loss,n or Cd,pSlope,US Invert,DS Invert,LBUS Obvert,RBUS Obvert,LBDS Obvert,RBDS Obvert,pBlockage
    16,"FC01.1_R","FC01.1_R.1","FC01.1_R.2","------","------","R",            10.4,   0.000,   0.012,   8.6,    45.400,    44.500,    47.200,    47.200,    46.300,    46.300,     0.000
    15,"FC01.2_R","FC01.2_R.1","FC01.2_R.2","------","------","R",            12.6,   0.000,   0.012,   0.8,    37.600,    37.500,    38.800,    38.800,    38.700,    38.700,     0.000
    14,"FC04.1_C","FC04.1_C.1","FC04.1_C.2","------","------","C",            23.9,   0.000,   0.012,   2.5,    43.350,    42.750,    44.550,    44.550,    43.950,    43.950,     0.000
    13,"Node20","Node20.1","Node20.2","------","------","Q(VPO)",             0.0,   0.000,   0.012,   0.0,    39.813,    39.813,    40.813,    40.813,    40.813,    40.813,     0.000
     7,"Pit10","Pit10.1","Pit10.2","------","------","Q(VPI)",             0.0,   0.000,   0.012,   0.0,    42.753,    42.753,    42.901,    42.901,    42.901,    42.901,     0.000
     8,"Pit11","Pit11.1","Pit11.2","------","------","Q(VPI)",             0.0,   0.000,   0.012,   0.0,    42.776,    42.776,    42.924,    42.924,    42.924,    42.924,     0.000
     9,"Pit13","Pit13.1","Pit13.2","------","------","Q(VPI)",             0.0,   0.000,   0.012,   0.0,    42.837,    42.837,    42.985,    42.985,    42.985,    42.985,     0.000
    10,"Pit15","Pit15.1","Pit15.2","------","------","Q(VPI)",             0.0,   0.000,   0.012,   0.0,    42.989,    42.989,    43.138,    43.138,    43.138,    43.138,     0.000
    11,"Pit18","Pit18.1","Pit18.2","------","------","Q(VPI)",             0.0,   0.000,   0.012,   0.0,    43.322,    43.322,    43.470,    43.470,    43.470,    43.470,     0.000
    12,"Pit19","Pit19.1","Pit19.2","------","------","Q(VPI)",             0.0,   0.000,   0.012,   0.0,    43.340,    43.340,    43.488,    43.488,    43.488,    43.488,     0.000
     1,"Pit2","Pit2.1","Pit2.2","------","------","Q(VPI)",             0.0,   0.000,   0.012,   0.0,    43.216,    43.216,    43.365,    43.365,    43.365,    43.365,     0.000
     2,"Pit4","Pit4.1","Pit4.2","------","------","Q(VPI)",             0.0,   0.000,   0.012,   0.0,    43.308,    43.308,    43.456,    43.456,    43.456,    43.456,     0.000
     3,"Pit5","Pit5.1","Pit5.2","------","------","Q(VPI)",             0.0,   0.000,   0.012,   0.0,    43.277,    43.277,    43.425,    43.425,    43.425,    43.425,     0.000
     4,"Pit6","Pit6.1","Pit6.2","------","------","Q(VPI)",             0.0,   0.000,   0.012,   0.0,    43.253,    43.253,    43.401,    43.401,    43.401,    43.401,     0.000
     5,"Pit7","Pit7.1","Pit7.2","------","------","Q(VPI)",             0.0,   0.000,   0.012,   0.0,    43.147,    43.147,    43.295,    43.295,    43.295,    43.295,     0.000
     6,"Pit9","Pit9.1","Pit9.2","------","------","Q(VPI)",             0.0,   0.000,   0.012,   0.0,    42.864,    42.864,    43.013,    43.013,    43.013,    43.013,     0.000
