"EG15_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_007.tcf]","Time (h)","H FC01.1_R.1 [EG15_007]","H FC01.1_R.2 [EG15_007]","H FC01.2_R.1 [EG15_007]","H FC01.2_R.2 [EG15_007]","H FC04.1_C.1 [EG15_007]","H FC04.1_C.2 [EG15_007]","H Node20.1 [EG15_007]","H Node20.2 [EG15_007]","H Pit10.1 [EG15_007]","H Pit10.2 [EG15_007]","H Pit11.1 [EG15_007]","H Pit11.2 [EG15_007]","H Pit13.1 [EG15_007]","H Pit13.2 [EG15_007]","H Pit15.1 [EG15_007]","H Pit15.2 [EG15_007]","H Pit18.1 [EG15_007]","H Pit18.2 [EG15_007]","H Pit19.1 [EG15_007]","H Pit19.2 [EG15_007]","H Pit2.1 [EG15_007]","H Pit2.2 [EG15_007]","H Pit4.1 [EG15_007]","H Pit4.2 [EG15_007]","H Pit5.1 [EG15_007]","H Pit5.2 [EG15_007]","H Pit6.1 [EG15_007]","H Pit6.2 [EG15_007]","H Pit7.1 [EG15_007]","H Pit7.2 [EG15_007]","H Pit9.1 [EG15_007]","H Pit9.2 [EG15_007]"
       1,          0.000000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8111,     39.8111,     42.7508,     42.7508,     42.7739,     42.7739,     42.8348,     42.8348,     42.9872,     42.9872,     43.3200,     43.3200,     43.3377,     43.3377,     43.2144,     43.2144,     43.3055,     43.3055,     43.2747,     43.2747,     43.2508,     43.2508,     43.1450,     43.1450,     42.8622,     42.8622
       2,          0.016667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8429,     39.8429,     42.7531,     42.7531,     42.7758,     42.7758,     42.8367,     42.8367,     42.9891,     42.9891,     43.3219,     43.3219,     43.3398,     43.3398,     43.2163,     43.2163,     43.3074,     43.3074,     43.2766,     43.2766,     43.2527,     43.2527,     43.1469,     43.1469,     42.8641,     42.8641
       3,          0.033333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8602,     39.8602,     42.7534,     42.7534,     42.7761,     42.7761,     42.8367,     42.8367,     42.9899,     42.9899,     43.3219,     43.3219,     43.3396,     43.3396,     43.2167,     43.2167,     43.3076,     43.3076,     43.2768,     43.2768,     43.2533,     43.2533,     43.1469,     43.1469,     42.8657,     42.8657
       4,          0.050000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8754,     39.8754,     42.7555,     42.7555,     42.7767,     42.7767,     42.8369,     42.8369,     42.9908,     42.9908,     43.3223,     43.3223,     43.3396,     43.3396,     43.2207,     43.2207,     43.3074,     43.3074,     43.2771,     43.2771,     43.2540,     43.2540,     43.1475,     43.1475,     42.8641,     42.8641
       5,          0.066667,     45.3990,     44.4990,     37.6067,     37.4990,     43.3490,     42.7508,     39.8874,     39.8874,     42.7586,     42.7586,     42.7787,     42.7787,     42.8369,     42.8369,     42.9901,     42.9901,     43.3233,     43.3233,     43.3401,     43.3401,     43.2219,     43.2219,     43.3074,     43.3074,     43.2783,     43.2783,     43.2562,     43.2562,     43.1476,     43.1476,     42.8641,     42.8641
       6,          0.083333,     45.3990,     44.4990,     37.6090,     37.4990,     43.3490,     42.7685,     39.8965,     39.8965,     42.7630,     42.7630,     42.7794,     42.7794,     42.8383,     42.8383,     42.9903,     42.9903,     43.3239,     43.3239,     43.3414,     43.3414,     43.2256,     43.2256,     43.3074,     43.3074,     43.2791,     43.2791,     43.2572,     43.2572,     43.1471,     43.1471,     42.8656,     42.8656
       7,          0.100000,     45.3990,     44.4990,     37.6124,     37.4990,     43.3490,     42.7827,     39.9055,     39.9055,     42.7687,     42.7687,     42.7823,     42.7823,     42.8413,     42.8413,     42.9916,     42.9916,     43.3254,     43.3254,     43.3436,     43.3436,     43.2295,     43.2295,     43.3084,     43.3084,     43.2808,     43.2808,     43.2603,     43.2603,     43.1478,     43.1478,     42.8685,     42.8685
       8,          0.116667,     45.3990,     44.4990,     37.6160,     37.5203,     43.3490,     42.7968,     39.9167,     39.9167,     42.7763,     42.7763,     42.7863,     42.7863,     42.8450,     42.8450,     42.9904,     42.9904,     43.3275,     43.3275,     43.3463,     43.3463,     43.2341,     43.2341,     43.3097,     43.3097,     43.2835,     43.2835,     43.2630,     43.2630,     43.1481,     43.1481,     42.8719,     42.8719
       9,          0.133333,     45.3990,     44.4990,     37.6204,     37.4990,     43.3490,     42.8035,     39.9281,     39.9281,     42.7850,     42.7850,     42.7910,     42.7910,     42.8503,     42.8503,     42.9917,     42.9917,     43.3299,     43.3299,     43.3495,     43.3495,     43.2404,     43.2404,     43.3121,     43.3121,     43.2859,     43.2859,     43.2658,     43.2658,     43.1489,     43.1489,     42.8763,     42.8763
      10,          0.150000,     45.3990,     44.4990,     37.6243,     37.5325,     43.3490,     42.8057,     39.9379,     39.9379,     42.7944,     42.7944,     42.7966,     42.7966,     42.8558,     42.8558,     42.9929,     42.9929,     43.3319,     43.3319,     43.3529,     43.3529,     43.2458,     43.2458,     43.3144,     43.3144,     43.2885,     43.2885,     43.2695,     43.2695,     43.1496,     43.1496,     42.8805,     42.8805
      11,          0.166667,     45.3990,     44.4990,     37.6274,     37.5773,     43.3490,     42.8066,     39.9461,     39.9461,     42.8042,     42.8042,     42.8033,     42.8033,     42.8608,     42.8608,     42.9946,     42.9946,     43.3344,     43.3344,     43.3566,     43.3566,     43.2504,     43.2504,     43.3171,     43.3171,     43.2915,     43.2915,     43.2730,     43.2730,     43.1502,     43.1502,     42.8818,     42.8818
      12,          0.183333,     45.3990,     44.4990,     37.6320,     37.6067,     43.3490,     42.8075,     39.9547,     39.9547,     42.8131,     42.8131,     42.8120,     42.8120,     42.8644,     42.8644,     42.9970,     42.9970,     43.3379,     43.3379,     43.3610,     43.3610,     43.2553,     43.2553,     43.3200,     43.3200,     43.2951,     43.2951,     43.2776,     43.2776,     43.1513,     43.1513,     42.8861,     42.8861
      13,          0.200000,     45.5333,     44.4990,     37.6447,     37.6234,     43.3579,     42.8085,     39.9625,     39.9625,     42.8227,     42.8227,     42.8217,     42.8217,     42.8673,     42.8673,     42.9999,     42.9999,     43.3415,     43.3415,     43.3655,     43.3655,     43.2607,     43.2607,     43.3233,     43.3233,     43.2992,     43.2992,     43.2834,     43.2834,     43.1525,     43.1525,     42.8892,     42.8892
      14,          0.216667,     45.7127,     44.4990,     37.6457,     37.6508,     43.3793,     42.8145,     39.9702,     39.9702,     42.8326,     42.8326,     42.8317,     42.8317,     42.8701,     42.8701,     43.0028,     43.0028,     43.3458,     43.3458,     43.3700,     43.3700,     43.2665,     43.2665,     43.3264,     43.3264,     43.3034,     43.3034,     43.2894,     43.2894,     43.1546,     43.1546,     42.8917,     42.8917
      15,          0.233333,     45.8228,     44.5526,     37.6595,     37.6760,     43.4010,     42.8280,     39.9784,     39.9784,     42.8416,     42.8416,     42.8409,     42.8409,     42.8727,     42.8727,     43.0056,     43.0056,     43.3526,     43.3526,     43.3783,     43.3783,     43.2718,     43.2718,     43.3291,     43.3291,     43.3077,     43.3077,     43.2956,     43.2956,     43.1581,     43.1581,     42.8944,     42.8944
      16,          0.250000,     45.9015,     44.6673,     37.7206,     37.6905,     43.4244,     42.8446,     39.9887,     39.9887,     42.8503,     42.8503,     42.8504,     42.8504,     42.8753,     42.8753,     43.0085,     43.0085,     43.3666,     43.3666,     43.3942,     43.3942,     43.2765,     43.2765,     43.3312,     43.3312,     43.3119,     43.3119,     43.3026,     43.3026,     43.1620,     43.1620,     42.8970,     42.8970
      17,          0.266667,     45.9588,     44.7498,     37.6983,     37.6943,     43.4490,     42.8562,     39.9977,     39.9977,     42.8594,     42.8594,     42.8588,     42.8588,     42.8783,     42.8783,     43.0098,     43.0098,     43.3802,     43.3802,     43.4062,     43.4062,     43.2803,     43.2803,     43.3330,     43.3330,     43.3163,     43.3163,     43.3123,     43.3123,     43.1661,     43.1661,     42.8998,     42.8998
      18,          0.283333,     46.0069,     44.8155,     37.7811,     37.7011,     43.4734,     42.8686,     40.0072,     40.0072,     42.8686,     42.8686,     42.8681,     42.8681,     42.8819,     42.8819,     43.0127,     43.0127,     43.3909,     43.3909,     43.4150,     43.4150,     43.2832,     43.2832,     43.3344,     43.3344,     43.3235,     43.3235,     43.3224,     43.3224,     43.1767,     43.1767,     42.9039,     42.9039
      19,          0.300000,     46.0548,     44.8760,     37.7105,     37.7533,     43.4970,     42.8814,     40.0163,     40.0163,     42.8795,     42.8795,     42.8785,     42.8785,     42.8865,     42.8865,     43.0149,     43.0149,     43.4013,     43.4013,     43.4248,     43.4248,     43.2854,     43.2854,     43.3357,     43.3357,     43.3320,     43.3320,     43.3306,     43.3306,     43.1858,     43.1858,     42.9108,     42.9108
      20,          0.316667,     46.1029,     44.9307,     37.7549,     37.7424,     43.5195,     42.8933,     40.0249,     40.0249,     42.8929,     42.8929,     42.8913,     42.8913,     42.8923,     42.8923,     43.0166,     43.0166,     43.4088,     43.4088,     43.4395,     43.4395,     43.2868,     43.2868,     43.3382,     43.3382,     43.3392,     43.3392,     43.3378,     43.3378,     43.1931,     43.1931,     42.9188,     42.9188
      21,          0.333333,     46.1494,     44.9903,     37.7736,     37.7911,     43.5393,     42.9049,     40.0325,     40.0325,     42.9072,     42.9072,     42.9053,     42.9053,     42.9021,     42.9021,     43.0180,     43.0180,     43.4129,     43.4129,     43.4439,     43.4439,     43.2879,     43.2879,     43.3424,     43.3424,     43.3450,     43.3450,     43.3430,     43.3430,     43.1995,     43.1995,     42.9263,     42.9263
      22,          0.350000,     46.1951,     45.0521,     37.8417,     37.8005,     43.5570,     42.9149,     40.0389,     40.0389,     42.9221,     42.9221,     42.9199,     42.9199,     42.9167,     42.9167,     43.0189,     43.0189,     43.4161,     43.4161,     43.4471,     43.4471,     43.2890,     43.2890,     43.3468,     43.3468,     43.3491,     43.3491,     43.3466,     43.3466,     43.2034,     43.2034,     42.9338,     42.9338
      23,          0.366667,     46.2424,     45.1136,     37.8408,     37.8509,     43.5726,     42.9256,     40.0445,     40.0445,     42.9370,     42.9370,     42.9347,     42.9347,     42.9322,     42.9322,     43.0197,     43.0197,     43.4183,     43.4183,     43.4493,     43.4493,     43.2905,     43.2905,     43.3504,     43.3504,     43.3525,     43.3525,     43.3494,     43.3494,     43.2062,     43.2062,     42.9415,     42.9415
      24,          0.383333,     46.2990,     45.1722,     37.8543,     37.8936,     43.5862,     42.9353,     40.0497,     40.0497,     42.9511,     42.9511,     42.9490,     42.9490,     42.9472,     42.9472,     43.0206,     43.0206,     43.4199,     43.4199,     43.4510,     43.4510,     43.2919,     43.2919,     43.3530,     43.3530,     43.3552,     43.3552,     43.3517,     43.3517,     43.2083,     43.2083,     42.9518,     42.9518
