"EG15_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_007.tcf]","Time (h)","Q FC01.1_R [EG15_007]","Q FC01.2_R [EG15_007]","Q FC04.1_C [EG15_007]","Q Node20 [EG15_007]","Q Pit10 [EG15_007]","Q Pit11 [EG15_007]","Q Pit13 [EG15_007]","Q Pit15 [EG15_007]","Q Pit18 [EG15_007]","Q Pit19 [EG15_007]","Q Pit2 [EG15_007]","Q Pit4 [EG15_007]","Q Pit5 [EG15_007]","Q Pit6 [EG15_007]","Q Pit7 [EG15_007]","Q Pit9 [EG15_007]"
       1,          0.000000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000,          -0.004,           0.002,           0.000,           0.000,           0.000,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000,          -0.020,           0.003,           0.002,           0.000,           0.003,           0.000,           0.000,           0.002,           0.002,           0.002,           0.003,           0.000,           0.004
       4,          0.050000,           0.000,           0.000,           0.000,          -0.030,           0.005,           0.003,           0.002,           0.004,           0.002,           0.000,           0.006,           0.000,           0.002,           0.003,           0.002,           0.000
       5,          0.066667,           0.000,           0.010,           0.000,          -0.042,           0.008,           0.005,           0.002,           0.003,           0.003,           0.002,           0.008,           0.000,           0.004,           0.005,           0.003,           0.000
       6,          0.083333,           0.000,           0.016,           0.000,          -0.059,           0.012,           0.005,           0.004,           0.003,           0.004,           0.004,           0.011,           0.000,           0.004,           0.006,           0.002,           0.003
       7,          0.100000,           0.000,           0.025,           0.000,          -0.091,           0.018,           0.008,           0.006,           0.004,           0.005,           0.006,           0.015,           0.003,           0.006,           0.009,           0.003,           0.006
       8,          0.116667,           0.000,           0.037,           0.000,          -0.125,           0.026,           0.012,           0.010,           0.003,           0.008,           0.009,           0.020,           0.004,           0.009,           0.012,           0.003,           0.010
       9,          0.133333,           0.000,           0.054,           0.000,          -0.170,           0.034,           0.017,           0.015,           0.005,           0.010,           0.012,           0.026,           0.007,           0.011,           0.015,           0.004,           0.014
      10,          0.150000,           0.000,           0.070,           0.000,          -0.216,           0.044,           0.023,           0.021,           0.006,           0.012,           0.015,           0.031,           0.009,           0.014,           0.019,           0.005,           0.018
      11,          0.166667,           0.000,           0.083,           0.000,          -0.261,           0.053,           0.029,           0.026,           0.007,           0.014,           0.019,           0.036,           0.012,           0.017,           0.022,           0.005,           0.020
      12,          0.183333,           0.000,           0.105,           0.000,          -0.314,           0.062,           0.038,           0.030,           0.010,           0.018,           0.023,           0.041,           0.014,           0.020,           0.027,           0.006,           0.024
