"EG15_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_007.tcf]","Time(h)","V FC01.1_R [EG15_007]","V FC01.2_R [EG15_007]","V FC04.1_C [EG15_007]","V Node20 [EG15_007]","V Pit10 [EG15_007]","V Pit11 [EG15_007]","V Pit13 [EG15_007]","V Pit15 [EG15_007]","V Pit18 [EG15_007]","V Pit19 [EG15_007]","V Pit2 [EG15_007]","V Pit4 [EG15_007]","V Pit5 [EG15_007]","V Pit6 [EG15_007]","V Pit7 [EG15_007]","V Pit9 [EG15_007]"
       1,          0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       2,          0.016667,    0.000,    0.000,    0.000,   -0.021,    0.478,    0.000,    0.000,    0.000,    0.000,    0.442,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       3,          0.033333,    0.000,    0.000,    0.000,   -0.059,    0.537,    0.455,    0.000,    0.573,    0.000,    0.000,    0.473,    0.439,    0.434,    0.522,    0.000,    0.481
       4,          0.050000,    0.000,    0.000,    0.000,   -0.066,    0.361,    0.575,    0.438,    0.467,    0.467,    0.000,    0.306,    0.000,    0.480,    0.566,    0.509,    0.000
       5,          0.066667,    0.000,    0.210,    0.000,   -0.079,    0.280,    0.358,    0.434,    0.605,    0.540,    0.504,    0.283,    0.000,    0.482,    0.330,    0.536,    0.000
       6,          0.083333,    0.000,    0.243,    0.000,   -0.099,    0.249,    0.328,    0.484,    0.563,    0.434,    0.463,    0.254,    0.000,    0.388,    0.304,    0.430,    0.503
       7,          0.100000,    0.000,    0.284,    0.000,   -0.137,    0.234,    0.273,    0.301,    0.383,    0.331,    0.315,    0.240,    0.598,    0.312,    0.264,    0.576,    0.305
       8,          0.116667,    0.000,    0.324,    0.000,   -0.167,    0.226,    0.248,    0.259,    0.540,    0.284,    0.272,    0.232,    0.396,    0.270,    0.249,    0.583,    0.263
       9,          0.133333,    0.000,    0.366,    0.000,   -0.205,    0.221,    0.236,    0.239,    0.374,    0.261,    0.251,    0.226,    0.300,    0.254,    0.240,    0.433,    0.243
      10,          0.150000,    0.000,    0.399,    0.000,   -0.240,    0.218,    0.228,    0.230,    0.319,    0.251,    0.240,    0.222,    0.269,    0.244,    0.233,    0.369,    0.234
      11,          0.166667,    0.000,    0.423,    0.000,   -0.272,    0.216,    0.224,    0.226,    0.285,    0.242,    0.233,    0.221,    0.252,    0.237,    0.229,    0.337,    0.232
      12,          0.183333,    0.000,    0.457,    0.000,   -0.308,    0.215,    0.220,    0.223,    0.262,    0.235,    0.228,    0.219,    0.242,    0.231,    0.225,    0.306,    0.227
      13,          0.200000,    0.931,    0.450,    0.246,   -0.344,    0.214,    0.217,    0.222,    0.247,    0.230,    0.224,    0.218,    0.235,    0.227,    0.222,    0.284,    0.225
      14,          0.216667,    1.429,   -0.149,    0.418,   -0.396,    0.214,    0.216,    0.221,    0.239,    0.226,    0.222,    0.217,    0.230,    0.224,    0.220,    0.263,    0.223
      15,          0.233333,    1.662,    0.006,    0.524,   -0.455,    0.213,    0.215,    0.220,    0.234,    0.222,    0.219,    0.216,    0.228,    0.222,    0.218,    0.246,    0.222
      16,          0.250000,    1.811,    0.676,    0.612,   -0.527,    0.213,    0.214,    0.219,    0.230,    0.218,    0.216,    0.215,    0.226,    0.220,    0.217,    0.236,    0.221
      17,          0.266667,    1.911,   -0.054,    0.690,   -0.596,    0.212,    0.213,    0.218,    0.228,    0.215,    0.215,    0.215,    0.225,    0.219,    0.215,    0.230,    0.220
      18,          0.283333,    1.992,    1.069,    0.757,   -0.671,    0.212,    0.213,    0.218,    0.226,    0.214,    0.214,    0.215,    0.224,    0.217,    0.214,    0.222,    0.219
      19,          0.300000,    2.069,   -0.298,    0.816,   -0.747,    0.209,    0.212,    0.217,    0.225,    0.214,    0.213,    0.214,    0.223,    0.216,    0.214,    0.219,    0.217
      20,          0.316667,    2.144,    0.103,    0.868,   -0.827,    0.204,    0.212,    0.216,    0.224,    0.213,    0.213,    0.214,    0.222,    0.215,    0.213,    0.217,    0.216
      21,          0.333333,    2.214,    0.036,    0.911,   -0.893,    0.205,    0.208,    0.215,    0.223,    0.213,    0.212,    0.214,    0.220,    0.214,    0.213,    0.216,    0.215
      22,          0.350000,    2.280,    1.268,    0.947,   -0.956,    0.218,    0.203,    0.214,    0.222,    0.213,    0.212,    0.214,    0.219,    0.214,    0.213,    0.216,    0.214
      23,          0.366667,    2.347,   -0.109,    0.978,   -1.013,    0.231,    0.209,    0.213,    0.222,    0.213,    0.212,    0.214,    0.218,    0.214,    0.213,    0.215,    0.214
