"EG15_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_008.tcf]","Time (h)","H FC01.1_R.1 [EG15_008]","H FC01.1_R.2 [EG15_008]","H FC01.2_R.1 [EG15_008]","H FC01.2_R.2 [EG15_008]","H FC04.1_C.1 [EG15_008]","H FC04.1_C.2 [EG15_008]","H Node20.1 [EG15_008]","H Node20.2 [EG15_008]","H Node21.1 [EG15_008]","H Node21.2 [EG15_008]","H Pipe16.2 [EG15_008]","H Pit10 [EG15_008]","H Pit10.1 [EG15_008]","H Pit11 [EG15_008]","H Pit11.1 [EG15_008]","H Pit12 [EG15_008]","H Pit12.1 [EG15_008]","H Pit13 [EG15_008]","H Pit13.1 [EG15_008]","H Pit14 [EG15_008]","H Pit14.1 [EG15_008]","H Pit15 [EG15_008]","H Pit15.1 [EG15_008]","H Pit16 [EG15_008]","H Pit16.1 [EG15_008]","H Pit18.1 [EG15_008]","H Pit18.2 [EG15_008]","H Pit19.1 [EG15_008]","H Pit19.2 [EG15_008]","H Pit2.1 [EG15_008]","H Pit2.2 [EG15_008]","H Pit3.1 [EG15_008]","H Pit3.2 [EG15_008]","H Pit4.1 [EG15_008]","H Pit4.2 [EG15_008]","H Pit5.1 [EG15_008]","H Pit5.2 [EG15_008]","H Pit6.1 [EG15_008]","H Pit6.2 [EG15_008]","H Pit7 [EG15_008]","H Pit7.1 [EG15_008]","H Pit8 [EG15_008]","H Pit8.1 [EG15_008]","H Pit9 [EG15_008]","H Pit9.1 [EG15_008]"
       1,          0.000000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     43.2750,     41.8490,     43.2791,     41.8090,     39.7990,     40.7645,     42.7528,     40.6586,     42.7759,     40.5253,     42.8113,     39.9990,     42.8368,     40.8677,     42.8596,     40.9729,     42.9892,     41.1447,     43.1357,     43.3200,     43.3200,     43.3377,     43.3377,     43.2425,     43.2425,     43.2144,     43.2144,     43.3055,     43.3055,     43.2747,     43.2747,     43.2508,     43.2508,     41.1545,     43.1470,     40.9873,     43.0050,     40.8067,     42.8642
       2,          0.016667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     43.2891,     41.8772,     43.2862,     41.8406,     39.8026,     40.7786,     42.7531,     40.6681,     42.7759,     40.5343,     42.8113,     40.0071,     42.8368,     40.8772,     42.8596,     40.9823,     42.9892,     41.1585,     43.1357,     43.3219,     43.3219,     43.3398,     43.3398,     43.2444,     43.2444,     43.2163,     43.2163,     43.3074,     43.3074,     43.2766,     43.2766,     43.2527,     43.2527,     41.1687,     43.1470,     40.9955,     43.0050,     40.8183,     42.8642
       3,          0.033333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     43.2904,     41.9022,     43.2886,     41.8615,     39.8080,     40.7936,     42.7545,     40.6817,     42.7759,     40.5431,     42.8113,     40.0148,     42.8368,     40.8875,     42.8600,     40.9934,     42.9892,     41.1753,     43.1357,     43.3219,     43.3219,     43.3396,     43.3396,     43.2453,     43.2453,     43.2166,     43.2166,     43.3076,     43.3076,     43.2768,     43.2768,     43.2533,     43.2533,     41.1870,     43.1470,     41.0070,     43.0050,     40.8280,     42.8642
       4,          0.050000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     43.2908,     41.9230,     43.2904,     41.8813,     39.8145,     40.8151,     42.7543,     40.7022,     42.7769,     40.5556,     42.8123,     40.0243,     42.8372,     40.9003,     42.8602,     41.0083,     42.9913,     41.1982,     43.1384,     43.3223,     43.3223,     43.3396,     43.3396,     43.2472,     43.2472,     43.2177,     43.2177,     43.3074,     43.3074,     43.2771,     43.2771,     43.2540,     43.2540,     41.2079,     43.1484,     41.0226,     43.0050,     40.8374,     42.8664
       5,          0.066667,     45.3990,     44.4990,     37.6067,     37.4990,     43.3490,     42.7508,     43.2907,     41.9351,     43.2921,     41.9037,     39.8255,     40.8391,     42.7554,     40.7320,     42.7774,     40.5830,     42.8133,     40.0409,     42.8382,     40.9184,     42.8596,     41.0282,     42.9892,     41.2162,     43.1388,     43.3233,     43.3233,     43.3401,     43.3401,     43.2471,     43.2471,     43.2200,     43.2200,     43.3074,     43.3074,     43.2783,     43.2783,     43.2562,     43.2562,     41.2302,     43.1470,     41.0438,     43.0050,     40.8540,     42.8642
       6,          0.083333,     45.3990,     44.4990,     37.6090,     37.4990,     43.3490,     42.7685,     43.2907,     41.9465,     43.2935,     41.9204,     39.8448,     40.8654,     42.7562,     40.7636,     42.7779,     40.6154,     42.8123,     40.0683,     42.8397,     40.9398,     42.8623,     41.0458,     42.9892,     41.2343,     43.1357,     43.3239,     43.3239,     43.3414,     43.3414,     43.2474,     43.2474,     43.2212,     43.2212,     43.3074,     43.3074,     43.2791,     43.2791,     43.2572,     43.2572,     41.2531,     43.1488,     41.0682,     43.0050,     40.8789,     42.8686
       7,          0.100000,     45.3990,     44.4990,     37.6124,     37.4990,     43.3490,     42.7827,     43.2928,     41.9638,     43.2950,     41.9440,     39.8835,     40.8962,     42.7581,     40.7958,     42.7787,     40.6519,     42.8129,     40.1086,     42.8387,     40.9621,     42.8633,     41.0639,     42.9892,     41.2479,     43.1387,     43.3254,     43.3254,     43.3436,     43.3436,     43.2487,     43.2487,     43.2252,     43.2252,     43.3084,     43.3084,     43.2808,     43.2808,     43.2603,     43.2603,     41.2754,     43.1488,     41.0932,     43.0078,     40.9097,     42.8642
       8,          0.116667,     45.3990,     44.4990,     37.6160,     37.5007,     43.3490,     42.7968,     43.2956,     41.9866,     43.2960,     41.9715,     39.9576,     40.9366,     42.7607,     40.8352,     42.7791,     40.6990,     42.8144,     40.1525,     42.8397,     40.9912,     42.8626,     41.0836,     42.9892,     41.2682,     43.1357,     43.3275,     43.3275,     43.3463,     43.3463,     43.2500,     43.2500,     43.2301,     43.2301,     43.3097,     43.3097,     43.2835,     43.2835,     43.2630,     43.2630,     41.3022,     43.1491,     41.1198,     43.0050,     40.9512,     42.8698
       9,          0.133333,     45.3990,     44.4990,     37.6204,     37.5094,     43.3490,     42.8035,     43.2987,     42.0118,     43.2966,     41.9973,     40.0707,     40.9810,     42.7637,     40.8797,     42.7802,     40.7466,     42.8150,     40.2069,     42.8412,     41.0231,     42.8639,     41.1072,     42.9892,     41.2919,     43.1357,     43.3299,     43.3299,     43.3495,     43.3495,     43.2517,     43.2517,     43.2357,     43.2357,     43.3121,     43.3121,     43.2859,     43.2859,     43.2658,     43.2658,     41.3316,     43.1480,     41.1500,     43.0050,     40.9966,     42.8642
      10,          0.150000,     45.3990,     44.4990,     37.6241,     37.5289,     43.3490,     42.8057,     43.3011,     42.0358,     43.2970,     42.0224,     40.2393,     41.0337,     42.7673,     40.9356,     42.7817,     40.8011,     42.8157,     40.2695,     42.8430,     41.0597,     42.8657,     41.1342,     42.9892,     41.3183,     43.1404,     43.3319,     43.3319,     43.3529,     43.3529,     43.2532,     43.2532,     43.2415,     43.2415,     43.3144,     43.3144,     43.2885,     43.2885,     43.2695,     43.2695,     41.3602,     43.1483,     41.1814,     43.0050,     41.0534,     42.8700
      11,          0.166667,     45.3990,     44.4990,     37.6272,     37.4990,     43.3490,     42.8066,     43.3050,     42.0548,     43.2980,     42.0458,     40.4037,     41.0842,     42.7720,     40.9923,     42.7829,     40.8662,     42.8175,     40.4125,     42.8443,     41.0925,     42.8668,     41.1612,     42.9918,     41.3409,     43.1400,     43.3344,     43.3344,     43.3566,     43.3566,     43.2547,     43.2547,     43.2458,     43.2458,     43.3171,     43.3171,     43.2915,     43.2915,     43.2730,     43.2730,     41.3859,     43.1485,     41.2109,     43.0075,     41.1061,     42.8715
      12,          0.183333,     45.3990,     44.4990,     37.6318,     37.5008,     43.3490,     42.8075,     43.3063,     42.0730,     43.2996,     42.0725,     40.6488,     41.1297,     42.7767,     41.0446,     42.7844,     40.9258,     42.8189,     40.6562,     42.8454,     41.1212,     42.8678,     41.1868,     42.9892,     41.3604,     43.1357,     43.3379,     43.3379,     43.3610,     43.3610,     43.2568,     43.2568,     43.2503,     43.2503,     43.3200,     43.3200,     43.2951,     43.2951,     43.2776,     43.2776,     41.4131,     43.1489,     41.2412,     43.0067,     41.1552,     42.8732
      13,          0.200000,     45.5333,     44.4990,     37.6104,     37.5275,     43.3579,     42.8085,     43.3076,     42.0926,     43.3013,     42.1007,     41.3000,     41.3185,     42.7809,     41.3124,     42.7861,     41.3091,     42.8200,     41.3016,     42.8462,     41.2920,     42.8688,     41.2833,     42.9925,     41.3809,     43.1402,     43.3415,     43.3415,     43.3655,     43.3655,     43.2594,     43.2594,     43.2553,     43.2553,     43.3232,     43.3232,     43.2992,     43.2992,     43.2834,     43.2834,     41.4427,     43.1493,     41.3172,     43.0079,     41.3139,     42.8748
      14,          0.216667,     45.7127,     44.4990,     37.7679,     37.5778,     43.3793,     42.8145,     43.3096,     42.1127,     43.3028,     42.1284,     41.7513,     41.8024,     42.7843,     41.7885,     42.7875,     41.7733,     42.8208,     41.7547,     42.8469,     41.7460,     42.8699,     41.7240,     42.9934,     41.7043,     43.1357,     43.3458,     43.3458,     43.3700,     43.3700,     43.2628,     43.2628,     43.2606,     43.2606,     43.3264,     43.3264,     43.3034,     43.3034,     43.2894,     43.2894,     41.8872,     43.1500,     41.8791,     43.0084,     41.8280,     42.8763
      15,          0.233333,     45.8228,     44.5526,     37.6302,     37.6128,     43.4010,     42.8280,     43.3110,     42.9468,     43.3070,     43.0205,     42.8762,     42.8653,     42.8302,     42.8614,     42.8321,     42.8667,     42.8539,     42.8790,     42.8773,     42.8871,     42.8852,     42.9132,     42.9944,     42.9228,     43.1357,     43.3526,     43.3526,     43.3783,     43.3783,     43.2665,     43.2665,     43.2656,     43.2656,     43.3291,     43.3291,     43.3077,     43.3077,     43.2956,     43.2956,     42.9849,     43.1513,     42.9411,     43.0092,     42.9067,     42.8988
      16,          0.250000,     45.9015,     44.6673,     37.7325,     37.6043,     43.4244,     42.8446,     43.3125,     42.9857,     43.3135,     43.1476,     42.8971,     42.8929,     42.8623,     42.8858,     42.8571,     42.8884,     42.8690,     42.8978,     42.8913,     42.9083,     42.9003,     42.9422,     42.9956,     42.9567,     43.1394,     43.3666,     43.3666,     43.3942,     43.3942,     43.2702,     43.2702,     43.2697,     43.2697,     43.3312,     43.3312,     43.3119,     43.3119,     43.3026,     43.3026,     43.0864,     43.1537,     43.0047,     43.0122,     42.9405,     42.9181
      17,          0.266667,     45.9588,     44.7498,     37.6874,     37.6242,     43.4490,     42.8562,     43.3139,     43.0167,     43.3229,     43.2492,     42.9181,     42.9230,     42.8984,     42.9158,     42.8986,     42.9128,     42.8985,     42.9189,     42.9052,     42.9279,     42.9093,     42.9657,     42.9969,     42.9882,     43.1357,     43.3802,     43.3802,     43.4062,     43.4062,     43.2734,     43.2734,     43.2730,     43.2730,     43.3330,     43.3330,     43.3163,     43.3163,     43.3123,     43.3123,     43.1591,     43.1625,     43.0417,     43.0428,     42.9625,     42.9259
