No,Node,Bed Level,Top Level,nChannels,Channels
    44,"FC01.1_R.1",      45.399,      52.324,    1,"FC01.1_R"
    45,"FC01.1_R.2",      44.499,      51.424,    1,"FC01.1_R"
    42,"FC01.2_R.1",      37.599,      43.883,    1,"FC01.2_R"
    43,"FC01.2_R.2",      37.499,      43.783,    1,"FC01.2_R"
    40,"FC04.1_C.1",      43.349,      49.633,    1,"FC04.1_C"
    41,"FC04.1_C.2",      42.749,      49.033,    1,"FC04.1_C"
    23,"Node20.1",      43.277,      48.277,    1,"Node20"
    24,"Node20.2",      41.849,      47.491,    2,"Node20","Pipe19"
    25,"Node21.1",      43.281,      48.281,    1,"Node21"
    26,"Node21.2",      41.809,      47.451,    2,"Node21","Pipe9"
    29,"Pipe16.2",      39.799,      45.762,    1,"Pipe16"
     4,"Pit10",      40.765,      46.407,    3,"Pipe13","Pipe11","Pit10"
    33,"Pit10.1",      42.753,      47.753,    1,"Pit10"
     5,"Pit11",      40.659,      46.301,    3,"Pipe14","Pipe13","Pit11"
    34,"Pit11.1",      42.776,      47.776,    1,"Pit11"
     6,"Pit12",      40.525,      46.168,    3,"Pipe17","Pipe14","Pit12"
    35,"Pit12.1",      42.811,      47.811,    1,"Pit12"
     7,"Pit13",      39.999,      45.962,    4,"Pipe17","Pipe16","Pipe15","Pit13"
    36,"Pit13.1",      42.837,      47.837,    1,"Pit13"
     8,"Pit14",      40.868,      46.510,    3,"Pipe6","Pipe15","Pit14"
    37,"Pit14.1",      42.860,      47.860,    1,"Pit14"
     9,"Pit15",      40.973,      46.615,    3,"Pipe6","Pipe5","Pit15"
    38,"Pit15.1",      42.989,      47.989,    1,"Pit15"
    10,"Pit16",      41.145,      46.787,    3,"Pipe5","Pipe19","Pit16"
    39,"Pit16.1",      43.136,      48.136,    1,"Pit16"
    19,"Pit18.1",      43.322,      48.322,    1,"Pit18"
    20,"Pit18.2",      33.322,      38.322,    1,"Pit18"
    21,"Pit19.1",      43.340,      48.340,    1,"Pit19"
    22,"Pit19.2",      33.340,      38.340,    1,"Pit19"
    11,"Pit2.1",      43.244,      48.244,    1,"Pit2"
    12,"Pit2.2",      33.244,      38.244,    1,"Pit2"
    27,"Pit3.1",      43.216,      48.216,    1,"Pit3"
    28,"Pit3.2",      33.216,      38.216,    1,"Pit3"
    13,"Pit4.1",      43.308,      48.308,    1,"Pit4"
    14,"Pit4.2",      33.308,      38.308,    1,"Pit4"
    15,"Pit5.1",      43.277,      48.277,    1,"Pit5"
    16,"Pit5.2",      33.277,      38.277,    1,"Pit5"
    17,"Pit6.1",      43.253,      48.253,    1,"Pit6"
    18,"Pit6.2",      33.253,      38.253,    1,"Pit6"
     1,"Pit7",      41.154,      46.797,    3,"Pipe10","Pipe9","Pit7"
    30,"Pit7.1",      43.147,      48.147,    1,"Pit7"
     2,"Pit8",      40.987,      46.630,    3,"Pipe12","Pipe10","Pit8"
    31,"Pit8.1",      43.005,      48.005,    1,"Pit8"
     3,"Pit9",      40.807,      46.449,    3,"Pipe12","Pipe11","Pit9"
    32,"Pit9.1",      42.864,      47.864,    1,"Pit9"
