"EG15_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_008.tcf]","Time (h)","Q FC01.1_R [EG15_008]","Q FC01.2_R [EG15_008]","Q FC04.1_C [EG15_008]","Q Node20 [EG15_008]","Q Node21 [EG15_008]","Q Pipe10 [EG15_008]","Q Pipe11 [EG15_008]","Q Pipe12 [EG15_008]","Q Pipe13 [EG15_008]","Q Pipe14 [EG15_008]","Q Pipe15 [EG15_008]","Q Pipe16 [EG15_008]","Q Pipe17 [EG15_008]","Q Pipe19 [EG15_008]","Q Pipe5 [EG15_008]","Q Pipe6 [EG15_008]","Q Pipe9 [EG15_008]","Q Pit10 [EG15_008]","Q Pit11 [EG15_008]","Q Pit12 [EG15_008]","Q Pit13 [EG15_008]","Q Pit14 [EG15_008]","Q Pit15 [EG15_008]","Q Pit16 [EG15_008]","Q Pit18 [EG15_008]","Q Pit19 [EG15_008]","Q Pit2 [EG15_008]","Q Pit3 [EG15_008]","Q Pit4 [EG15_008]","Q Pit5 [EG15_008]","Q Pit6 [EG15_008]","Q Pit7 [EG15_008]","Q Pit8 [EG15_008]","Q Pit9 [EG15_008]"
       1,          0.000000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000,           0.000,          -0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.000,           0.000,           0.001,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000,          -0.007,          -0.005,           0.001,           0.001,           0.001,           0.001,           0.001,           0.001,           0.000,           0.000,           0.004,           0.001,           0.001,           0.004,           0.006,           0.000,           0.000,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.003,           0.002,           0.002,           0.002,           0.003,           0.000,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000,          -0.008,          -0.008,           0.004,           0.001,           0.002,           0.003,           0.003,           0.002,           0.001,           0.001,           0.007,           0.004,           0.002,           0.007,           0.005,           0.004,           0.001,           0.001,           0.002,           0.002,           0.009,           0.002,           0.000,           0.005,           0.003,           0.000,           0.002,           0.003,           0.005,           0.000,           0.002
       5,          0.066667,           0.000,           0.010,           0.000,          -0.010,          -0.015,           0.008,           0.003,           0.004,           0.007,           0.007,           0.004,           0.003,           0.005,           0.010,           0.007,           0.004,           0.012,           0.009,           0.005,           0.006,           0.004,           0.000,           0.000,           0.002,           0.003,           0.002,           0.005,           0.006,           0.000,           0.004,           0.005,           0.000,           0.000,           0.000
       6,          0.083333,           0.000,           0.016,           0.000,          -0.012,          -0.018,           0.013,           0.007,           0.009,           0.013,           0.014,           0.007,           0.006,           0.011,           0.013,           0.010,           0.007,           0.016,           0.012,           0.007,           0.001,           0.010,           0.009,           0.000,           0.000,           0.004,           0.004,           0.005,           0.007,           0.000,           0.004,           0.006,           0.006,           0.000,           0.015
       7,          0.100000,           0.000,           0.025,           0.000,          -0.020,          -0.027,           0.019,           0.011,           0.015,           0.022,           0.024,           0.012,           0.017,           0.021,           0.017,           0.014,           0.011,           0.023,           0.019,           0.010,           0.003,           0.006,           0.012,           0.000,           0.002,           0.005,           0.006,           0.006,           0.011,           0.003,           0.006,           0.009,           0.006,           0.009,           0.000
       8,          0.116667,           0.000,           0.037,           0.000,          -0.027,          -0.037,           0.028,           0.020,           0.023,           0.037,           0.039,           0.020,           0.038,           0.038,           0.024,           0.020,           0.016,           0.033,           0.027,           0.011,           0.011,           0.010,           0.010,           0.000,           0.000,           0.008,           0.009,           0.008,           0.016,           0.004,           0.009,           0.012,           0.007,           0.000,           0.018
       9,          0.133333,           0.000,           0.053,           0.000,          -0.037,          -0.048,           0.039,           0.032,           0.034,           0.058,           0.060,           0.031,           0.068,           0.060,           0.034,           0.028,           0.023,           0.044,           0.038,           0.015,           0.013,           0.015,           0.015,           0.000,           0.000,           0.010,           0.012,           0.009,           0.021,           0.007,           0.011,           0.015,           0.004,           0.000,           0.000
      10,          0.150000,           0.000,           0.069,           0.000,          -0.047,          -0.060,           0.052,           0.051,           0.047,           0.088,           0.092,           0.046,           0.113,           0.092,           0.044,           0.038,           0.033,           0.056,           0.050,           0.020,           0.015,           0.022,           0.021,           0.000,           0.016,           0.012,           0.015,           0.011,           0.027,           0.009,           0.014,           0.019,           0.005,           0.000,           0.020
