"EG15_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_008.tcf]","Time(h)","V FC01.1_R [EG15_008]","V FC01.2_R [EG15_008]","V FC04.1_C [EG15_008]","V Node20 [EG15_008]","V Node21 [EG15_008]","V Pipe10 [EG15_008]","V Pipe11 [EG15_008]","V Pipe12 [EG15_008]","V Pipe13 [EG15_008]","V Pipe14 [EG15_008]","V Pipe15 [EG15_008]","V Pipe16 [EG15_008]","V Pipe17 [EG15_008]","V Pipe19 [EG15_008]","V Pipe5 [EG15_008]","V Pipe6 [EG15_008]","V Pipe9 [EG15_008]","V Pit10 [EG15_008]","V Pit11 [EG15_008]","V Pit12 [EG15_008]","V Pit13 [EG15_008]","V Pit14 [EG15_008]","V Pit15 [EG15_008]","V Pit16 [EG15_008]","V Pit18 [EG15_008]","V Pit19 [EG15_008]","V Pit2 [EG15_008]","V Pit3 [EG15_008]","V Pit4 [EG15_008]","V Pit5 [EG15_008]","V Pit6 [EG15_008]","V Pit7 [EG15_008]","V Pit8 [EG15_008]","V Pit9 [EG15_008]"
       1,          0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       2,          0.016667,    0.000,    0.000,    0.000,    0.000,   -0.059,    0.242,    0.106,    0.191,    0.241,    0.141,    0.203,    0.196,    0.198,    0.325,    0.239,    0.120,    0.341,    0.129,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.442,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       3,          0.033333,    0.000,    0.000,    0.000,   -0.074,   -0.085,    0.346,    0.289,    0.279,    0.282,    0.245,    0.279,    0.264,    0.267,    0.427,    0.337,    0.201,    0.424,    0.725,    0.000,    0.000,    0.000,    0.186,    0.000,    0.000,    0.000,    0.000,    0.589,    0.458,    0.439,    0.434,    0.522,    0.000,    0.000,    0.000
       4,          0.050000,    0.000,    0.000,    0.000,   -0.082,   -0.116,    0.427,    0.337,    0.358,    0.408,    0.392,    0.346,    0.190,    0.335,    0.493,    0.427,    0.282,    0.487,    0.966,    0.725,    0.186,    0.155,    0.186,    0.223,    0.725,    0.467,    0.000,    0.358,    0.530,    0.000,    0.480,    0.566,    0.725,    0.000,    0.223
       5,          0.066667,    0.000,    0.210,    0.000,   -0.103,   -0.185,    0.498,    0.406,    0.438,    0.494,    0.491,    0.418,    0.399,    0.442,    0.527,    0.485,    0.374,    0.550,    0.966,    0.966,    0.725,    0.725,    0.000,    0.000,    0.223,    0.540,    0.504,    0.368,    0.326,    0.000,    0.482,    0.330,    0.000,    0.000,    0.000
       6,          0.083333,    0.000,    0.243,    0.000,   -0.119,   -0.204,    0.559,    0.220,    0.512,    0.565,    0.576,    0.487,    0.381,    0.537,    0.557,    0.566,    0.489,    0.591,    0.966,    0.966,    0.186,    0.966,    0.725,    0.000,    0.000,    0.434,    0.463,    0.348,    0.296,    0.000,    0.388,    0.304,    0.725,    0.000,    0.725
       7,          0.100000,    0.000,    0.284,    0.000,   -0.176,   -0.269,    0.614,    0.258,    0.578,    0.638,    0.651,    0.549,    0.521,    0.627,    0.599,    0.571,    0.540,    0.646,    0.966,    0.966,    0.186,    0.966,    0.725,    0.000,    0.223,    0.331,    0.315,    0.307,    0.256,    0.598,    0.312,    0.264,    0.725,    0.725,    0.000
       8,          0.116667,    0.000,    0.323,    0.000,   -0.206,   -0.346,    0.674,    0.308,    0.641,    0.725,    0.734,    0.620,    0.698,    0.729,    0.652,    0.620,    0.590,    0.705,    0.966,    0.966,    0.966,    0.966,    0.966,    0.000,    0.000,    0.284,    0.272,    0.283,    0.239,    0.396,    0.270,    0.249,    0.725,    0.000,    0.725
       9,          0.133333,    0.000,    0.365,    0.000,   -0.238,   -0.430,    0.736,    0.359,    0.706,    0.813,    0.822,    0.690,    0.802,    0.823,    0.706,    0.673,    0.644,    0.758,    0.966,    0.966,    0.966,    0.966,    0.966,    0.000,    0.000,    0.261,    0.251,    0.266,    0.230,    0.300,    0.254,    0.240,    0.725,    0.000,    0.000
      10,          0.150000,    0.000,    0.397,    0.000,   -0.269,   -0.521,    0.793,    0.438,    0.770,    0.913,    0.928,    0.766,    0.910,    0.926,    0.755,    0.728,    0.703,    0.808,    0.956,    0.966,    0.966,    0.966,    0.966,    0.000,    0.725,    0.251,    0.240,    0.256,    0.225,    0.269,    0.244,    0.233,    0.966,    0.000,    0.966
