"EG15_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_008.tcf]","Time (h)","SQ Pipe6 [EG15_008]","SQ Pipe5 [EG15_008]","SQ Pipe19 [EG15_008]","SQ Pipe17 [EG15_008]","SQ Pipe16 [EG15_008]","SQ Pipe15 [EG15_008]","SQ Pipe14 [EG15_008]","SQ Pipe13 [EG15_008]","SQ Pipe12 [EG15_008]","SQ Pipe11 [EG15_008]","SQ Pipe10 [EG15_008]","SQ Pipe9 [EG15_008]","SQ FC04.1_C [EG15_008]","SQ FC01.2_R [EG15_008]","SQ FC01.1_R [EG15_008]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0001,      0.0003,      0.0011,      0.0002,      0.0002,      0.0002,      0.0001,      0.0003,      0.0002,      0.0002,      0.0003,      0.0014,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0005,      0.0013,      0.0039,      0.0005,      0.0005,      0.0006,      0.0006,      0.0010,      0.0006,      0.0007,      0.0015,      0.0038,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0015,      0.0039,      0.0074,      0.0013,      0.0006,      0.0015,      0.0027,      0.0034,      0.0018,      0.0013,      0.0039,      0.0071,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0039,      0.0069,      0.0099,      0.0046,      0.0031,      0.0036,      0.0073,      0.0075,      0.0044,      0.0031,      0.0077,      0.0119,      0.0000,      0.0102,      0.0000
       6,          0.083333,      0.0072,      0.0102,      0.0126,      0.0108,      0.0059,      0.0070,      0.0145,      0.0134,      0.0088,      0.0066,      0.0128,      0.0162,      0.0000,      0.0157,      0.0000
       7,          0.100000,      0.0110,      0.0140,      0.0172,      0.0207,      0.0170,      0.0118,      0.0242,      0.0223,      0.0147,      0.0114,      0.0190,      0.0234,      0.0000,      0.0253,      0.0000
       8,          0.116667,      0.0160,      0.0198,      0.0243,      0.0379,      0.0382,      0.0198,      0.0392,      0.0373,      0.0226,      0.0198,      0.0278,      0.0334,      0.0000,      0.0373,      0.0000
       9,          0.133333,      0.0232,      0.0277,      0.0335,      0.0603,      0.0682,      0.0307,      0.0602,      0.0578,      0.0335,      0.0316,      0.0394,      0.0443,      0.0000,      0.0535,      0.0000
      10,          0.150000,      0.0330,      0.0379,      0.0436,      0.0917,      0.1127,      0.0460,      0.0925,      0.0876,      0.0470,      0.0514,      0.0525,      0.0563,      0.0000,      0.0690,      0.0000
