"EG15_009 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_009.tcf]","Time (h)","Q FC01.1_R [EG15_009]","Q FC01.2_R [EG15_009]","Q FC04.1_C [EG15_009]","Q Pipe0 [EG15_009]","Q Pipe1 [EG15_009]","Q Pipe10 [EG15_009]","Q Pipe11 [EG15_009]","Q Pipe12 [EG15_009]","Q Pipe13 [EG15_009]","Q Pipe14 [EG15_009]","Q Pipe15 [EG15_009]","Q Pipe16 [EG15_009]","Q Pipe17 [EG15_009]","Q Pipe19 [EG15_009]","Q Pipe2 [EG15_009]","Q Pipe3 [EG15_009]","Q Pipe4 [EG15_009]","Q Pipe5 [EG15_009]","Q Pipe6 [EG15_009]","Q Pipe7 [EG15_009]","Q Pipe8 [EG15_009]","Q Pipe9 [EG15_009]","Q Pit1 [EG15_009]","Q Pit10 [EG15_009]","Q Pit11 [EG15_009]","Q Pit12 [EG15_009]","Q Pit13 [EG15_009]","Q Pit14 [EG15_009]","Q Pit15 [EG15_009]","Q Pit16 [EG15_009]","Q Pit17 [EG15_009]","Q Pit18 [EG15_009]","Q Pit19 [EG15_009]","Q Pit2 [EG15_009]","Q Pit3 [EG15_009]","Q Pit4 [EG15_009]","Q Pit5 [EG15_009]","Q Pit6 [EG15_009]","Q Pit7 [EG15_009]","Q Pit8 [EG15_009]","Q Pit9 [EG15_009]"
       1,          0.000000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.003,           0.000,           0.000,           0.000,           0.000,           0.003,           0.000,           0.000,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000,           0.002,           0.002,           0.000,           0.001,           0.000,           0.001,           0.001,           0.000,           0.000,           0.000,           0.000,           0.001,           0.001,           0.000,           0.000,           0.000,           0.001,           0.001,           0.001,           0.002,           0.006,           0.000,           0.000,           0.000,           0.001,           0.000,           0.000,           0.005,           0.001,           0.000,           0.007,           0.000,           0.000,           0.003,           0.000,           0.000,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000,           0.003,           0.004,           0.001,           0.001,           0.001,           0.003,           0.003,           0.000,           0.000,           0.001,           0.001,           0.003,           0.001,           0.001,           0.001,           0.001,           0.001,           0.002,           0.002,           0.000,           0.005,           0.004,           0.001,           0.001,           0.002,           0.002,           0.009,           0.001,           0.006,           0.000,           0.002,           0.000,           0.000,           0.000,           0.004,           0.005,           0.000,           0.002
       5,          0.066667,           0.000,           0.010,           0.000,           0.005,           0.005,           0.003,           0.002,           0.002,           0.007,           0.007,           0.000,           0.002,           0.004,           0.004,           0.005,           0.003,           0.002,           0.002,           0.001,           0.002,           0.003,           0.005,           0.020,           0.009,           0.005,           0.006,           0.004,           0.000,           0.000,           0.000,           0.001,           0.001,           0.007,           0.003,           0.000,           0.000,           0.004,           0.006,           0.000,           0.000,           0.000
       6,          0.083333,           0.000,           0.016,           0.000,           0.005,           0.010,           0.005,           0.004,           0.004,           0.011,           0.013,           0.000,           0.004,           0.010,           0.007,           0.007,           0.004,           0.003,           0.004,           0.003,           0.003,           0.004,           0.008,           0.023,           0.012,           0.007,           0.001,           0.010,           0.009,           0.000,           0.003,           0.002,           0.002,           0.009,           0.010,           0.000,           0.000,           0.006,           0.007,           0.006,           0.000,           0.015
       7,          0.100000,           0.000,           0.025,           0.000,           0.005,           0.015,           0.010,           0.005,           0.007,           0.018,           0.021,           0.000,           0.009,           0.019,           0.012,           0.009,           0.006,           0.006,           0.008,           0.005,           0.004,           0.008,           0.014,           0.000,           0.019,           0.010,           0.003,           0.006,           0.012,           0.000,           0.000,           0.009,           0.007,           0.013,           0.013,           0.000,           0.004,           0.007,           0.010,           0.006,           0.009,           0.000
       8,          0.116667,           0.000,           0.037,           0.000,           0.005,           0.020,           0.017,           0.012,           0.013,           0.030,           0.033,           0.000,           0.024,           0.033,           0.021,           0.012,           0.008,           0.009,           0.015,           0.010,           0.008,           0.011,           0.020,           0.005,           0.027,           0.011,           0.011,           0.010,           0.010,           0.000,           0.016,           0.000,           0.007,           0.009,           0.017,           0.000,           0.005,           0.009,           0.012,           0.007,           0.000,           0.018
       9,          0.133333,           0.000,           0.053,           0.000,           0.008,           0.026,           0.024,           0.020,           0.020,           0.047,           0.051,           0.000,           0.041,           0.052,           0.030,           0.013,           0.010,           0.013,           0.023,           0.017,           0.011,           0.018,           0.028,           0.000,           0.038,           0.015,           0.013,           0.015,           0.015,           0.000,           0.003,           0.010,           0.010,           0.012,           0.024,           0.000,           0.008,           0.012,           0.013,           0.001,           0.000,           0.000
      10,          0.150000,           0.000,           0.069,           0.000,           0.009,           0.037,           0.033,           0.035,           0.029,           0.073,           0.079,           0.006,           0.068,           0.079,           0.044,           0.016,           0.013,           0.019,           0.035,           0.032,           0.015,           0.025,           0.037,           0.009,           0.050,           0.020,           0.015,           0.021,           0.021,           0.000,           0.000,           0.011,           0.013,           0.016,           0.032,           0.000,           0.011,           0.014,           0.017,           0.011,           0.000,           0.020
