"EG15_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_010.tcf]","Chan ID","Qmax","Time Qmax","Vmax","Time Vmax"
     1,"FC01.1_R",          47.477,          0.9475,      8.1407,          0.9475
     2,"FC01.2_R",          71.073,          1.1712,     19.3874,          0.1921
     3,"FC04.1_C",           0.552,          0.6814,      1.1518,          0.6814
     4,"Pipe0",           0.046,          0.2795,      0.6346,          0.2124
     5,"Pipe1",           0.120,          0.2638,      0.9172,          0.2261
     6,"Pipe10",           0.269,          0.2933,      0.9564,          0.2135
     7,"Pipe11",           0.202,          0.2543,      0.7157,          0.2543
     8,"Pipe12",           0.257,          0.2578,      0.9106,          0.2578
     9,"Pipe13",           0.210,          0.2480,      1.1157,          0.1983
    10,"Pipe14",           0.238,          0.2481,      1.1765,          0.1989
    11,"Pipe15",           0.193,          0.2717,      0.8511,          0.2004
    12,"Pipe16",           0.114,          0.1602,      0.9112,          0.1599
    13,"Pipe17",           0.264,          0.2484,      1.2365,          0.1982
    14,"Pipe19",           0.230,          0.2931,      1.0590,          0.2240
    15,"Pipe2",           0.066,          0.2549,      0.8023,          0.2314
    16,"Pipe3",           0.094,          0.3265,      0.7731,          0.2422
    17,"Pipe4",           0.170,          0.3676,      0.7068,          0.1818
    18,"Pipe5",           0.227,          0.2865,      0.9916,          0.2155
    19,"Pipe6",           0.200,          0.2668,      0.9481,          0.2006
    20,"Pipe7",           0.121,          0.3217,      0.7987,          0.2321
    21,"Pipe8",           0.210,          0.3218,      0.8599,          0.2205
    22,"Pipe9",           0.259,          0.2861,      1.0026,          0.2203
    23,"Pit1",           0.048,          0.1927,      0.9663,          0.2700
    24,"Pit10",           0.105,          0.2479,      0.9663,          0.1247
    25,"Pit11",           0.055,          0.2503,      0.9663,          0.1479
    26,"Pit12",           0.052,          0.2531,      0.9663,          0.1372
    27,"Pit13",           0.050,          0.2525,      0.9663,          0.1985
    28,"Pit15",           0.024,          0.1881,      0.9663,          0.2490
    29,"Pit16",           0.020,          0.1166,      0.9663,          0.1479
    30,"Pit17",           0.038,          0.2645,      0.9663,          0.2372
    31,"Pit18",           0.094,          0.3146,      0.9663,          0.1324
    32,"Pit19",           0.121,          0.3216,      0.9663,          0.1668
    33,"Pit2",           0.087,          0.2645,      0.9663,          0.1196
    34,"Pit3",           0.050,          0.2873,      0.9663,          0.1374
    35,"Pit4",           0.085,          0.3677,      0.9663,          0.2453
    36,"Pit5",           0.093,          0.3266,      0.9663,          0.2197
    37,"Pit6",           0.075,          0.2548,      0.9663,          0.1926
    38,"Pit7",           0.012,          0.2564,      0.9663,          0.2206
    39,"Pit8",           0.020,          0.1816,      0.9663,          0.2102
    40,"Pit9",           0.049,          0.2499,      0.9663,          0.1930
