"EG15_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_010.tcf]","Time (h)","H FC01.1_R.1 [EG15_010]","H FC01.1_R.2 [EG15_010]","H FC01.2_R.1 [EG15_010]","H FC01.2_R.2 [EG15_010]","H FC04.1_C.1 [EG15_010]","H FC04.1_C.2 [EG15_010]","H Pipe16.2 [EG15_010]","H Pit1 [EG15_010]","H Pit1.1 [EG15_010]","H Pit10 [EG15_010]","H Pit10.1 [EG15_010]","H Pit11 [EG15_010]","H Pit11.1 [EG15_010]","H Pit12 [EG15_010]","H Pit12.1 [EG15_010]","H Pit13 [EG15_010]","H Pit13.1 [EG15_010]","H Pit15 [EG15_010]","H Pit15.1 [EG15_010]","H Pit16 [EG15_010]","H Pit16.1 [EG15_010]","H Pit17 [EG15_010]","H Pit17.1 [EG15_010]","H Pit18 [EG15_010]","H Pit18.1 [EG15_010]","H Pit19 [EG15_010]","H Pit19.1 [EG15_010]","H Pit2 [EG15_010]","H Pit2.1 [EG15_010]","H Pit3 [EG15_010]","H Pit3.1 [EG15_010]","H Pit4 [EG15_010]","H Pit4.1 [EG15_010]","H Pit5 [EG15_010]","H Pit5.1 [EG15_010]","H Pit6 [EG15_010]","H Pit6.1 [EG15_010]","H Pit7 [EG15_010]","H Pit7.1 [EG15_010]","H Pit8 [EG15_010]","H Pit8.1 [EG15_010]","H Pit9 [EG15_010]","H Pit9.1 [EG15_010]","H Storage_Tank [EG15_010]"
       1,          0.000000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.7990,     41.6009,     43.2445,     40.7645,     42.7528,     40.6586,     42.7759,     40.5253,     42.8113,     39.9990,     42.8368,     40.9729,     42.9892,     41.1447,     43.1357,     41.3168,     43.2811,     41.4118,     43.3220,     41.6968,     43.3397,     41.4668,     43.2164,     41.3484,     43.2770,     41.4497,     43.3075,     41.8990,     43.2767,     41.6710,     43.2528,     41.1545,     43.1470,     40.9873,     43.0050,     40.8067,     42.8642,     40.8677
       2,          0.016667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8024,     41.6224,     43.2445,     40.7786,     42.7531,     40.6681,     42.7759,     40.5343,     42.8113,     40.0059,     42.8368,     40.9813,     42.9892,     41.1547,     43.1357,     41.3268,     43.2811,     41.4262,     43.3230,     41.7085,     43.3397,     41.4830,     43.2164,     41.3574,     43.2770,     41.4553,     43.3075,     41.9075,     43.2776,     41.6849,     43.2528,     41.1626,     43.1470,     40.9947,     43.0050,     40.8182,     42.8642,     40.8684
       3,          0.033333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8065,     41.6360,     43.2479,     40.7935,     42.7545,     40.6817,     42.7759,     40.5431,     42.8113,     40.0124,     42.8368,     40.9893,     42.9892,     41.1623,     43.1357,     41.3414,     43.2826,     41.4363,     43.3224,     41.7188,     43.3397,     41.5014,     43.2186,     41.3670,     43.2770,     41.4641,     43.3075,     41.9194,     43.2777,     41.6994,     43.2528,     41.1723,     43.1470,     41.0017,     43.0050,     40.8273,     42.8642,     40.8697
       4,          0.050000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8115,     41.6460,     43.2445,     40.8141,     42.7543,     40.7021,     42.7769,     40.5556,     42.8124,     40.0195,     42.8372,     40.9960,     42.9913,     41.1720,     43.1385,     41.3569,     43.2816,     41.4475,     43.3238,     41.7235,     43.3397,     41.5182,     43.2183,     41.3815,     43.2770,     41.4736,     43.3075,     41.9304,     43.2767,     41.7178,     43.2538,     41.1848,     43.1484,     41.0094,     43.0050,     40.8335,     42.8664,     40.8721
       5,          0.066667,     45.3990,     44.4990,     37.6067,     37.4990,     43.3490,     42.7508,     39.8197,     41.6590,     43.2504,     40.8360,     42.7554,     40.7309,     42.7774,     40.5828,     42.8135,     40.0324,     42.8382,     41.0049,     42.9892,     41.1840,     43.1357,     41.3769,     43.2818,     41.4562,     43.3225,     41.7316,     43.3419,     41.5335,     43.2185,     41.3997,     43.2770,     41.4851,     43.3075,     41.9437,     43.2778,     41.7316,     43.2545,     41.2006,     43.1470,     41.0225,     43.0050,     40.8439,     42.8642,     40.8767
       6,          0.083333,     45.3990,     44.4990,     37.6090,     37.4990,     43.3490,     42.7685,     39.8342,     41.6632,     43.2514,     40.8560,     42.7562,     40.7587,     42.7779,     40.6140,     42.8126,     40.0532,     42.8374,     41.0166,     42.9892,     41.2009,     43.1391,     41.3979,     43.2818,     41.4670,     43.3257,     41.7401,     43.3424,     41.5578,     43.2192,     41.4203,     43.2770,     41.4980,     43.3075,     41.9553,     43.2784,     41.7424,     43.2549,     41.2199,     43.1487,     41.0391,     43.0050,     40.8645,     42.8686,     40.8843
       7,          0.100000,     45.3990,     44.4990,     37.6124,     37.4990,     43.3490,     42.7827,     39.8615,     41.6583,     43.2445,     40.8816,     42.7581,     40.7860,     42.7787,     40.6478,     42.8132,     40.0874,     42.8389,     41.0341,     42.9892,     41.2236,     43.1357,     41.4198,     43.2839,     41.4875,     43.3239,     41.7527,     43.3437,     41.5741,     43.2202,     41.4460,     43.2770,     41.5145,     43.3085,     41.9676,     43.2789,     41.7535,     43.2556,     41.2436,     43.1488,     41.0599,     43.0077,     40.8892,     42.8642,     40.8960
       8,          0.116667,     45.3990,     44.4990,     37.6160,     37.5007,     43.3490,     42.7968,     39.9159,     41.6606,     43.2489,     40.9180,     42.7607,     40.8203,     42.7793,     40.6932,     42.8147,     40.1288,     42.8401,     41.0584,     42.9892,     41.2510,     43.1404,     41.4417,     43.2811,     41.5049,     43.3241,     41.7720,     43.3423,     41.5896,     43.2214,     41.4748,     43.2770,     41.5321,     43.3090,     41.9754,     43.2793,     41.7642,     43.2562,     41.2671,     43.1490,     41.0854,     43.0050,     40.9272,     42.8698,     40.9143
       9,          0.133333,     45.3990,     44.4990,     37.6204,     37.5094,     43.3490,     42.8035,     40.0062,     41.6750,     43.2445,     40.9593,     42.7637,     40.8613,     42.7803,     40.7348,     42.8155,     40.1737,     42.8419,     41.0881,     42.9892,     41.2780,     43.1391,     41.4639,     43.2842,     41.5281,     43.3250,     41.7889,     43.3433,     41.6107,     43.2234,     41.5016,     43.2770,     41.5502,     43.3097,     41.9869,     43.2802,     41.7685,     43.2566,     41.2908,     43.1483,     41.1120,     43.0050,     40.9688,     42.8642,     40.9409
      10,          0.150000,     45.3990,     44.4990,     37.6241,     37.5289,     43.3490,     42.8057,     40.1361,     41.6822,     43.2540,     41.0086,     42.7674,     40.9142,     42.7820,     40.7921,     42.8180,     40.2299,     42.8442,     41.1212,     42.9892,     41.3106,     43.1357,     41.4882,     43.2845,     41.5510,     43.3259,     41.8042,     43.3444,     41.6389,     43.2257,     41.5366,     43.2770,     41.5698,     43.3107,     41.9967,     43.2808,     41.7808,     43.2576,     41.3171,     43.1503,     41.1394,     43.0050,     41.0207,     42.8700,     40.9747
