"EG15_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_010.tcf]","Time(h)","V FC01.1_R [EG15_010]","V FC01.2_R [EG15_010]","V FC04.1_C [EG15_010]","V Pipe0 [EG15_010]","V Pipe1 [EG15_010]","V Pipe10 [EG15_010]","V Pipe11 [EG15_010]","V Pipe12 [EG15_010]","V Pipe13 [EG15_010]","V Pipe14 [EG15_010]","V Pipe15 [EG15_010]","V Pipe16 [EG15_010]","V Pipe17 [EG15_010]","V Pipe19 [EG15_010]","V Pipe2 [EG15_010]","V Pipe3 [EG15_010]","V Pipe4 [EG15_010]","V Pipe5 [EG15_010]","V Pipe6 [EG15_010]","V Pipe7 [EG15_010]","V Pipe8 [EG15_010]","V Pipe9 [EG15_010]","V Pit1 [EG15_010]","V Pit10 [EG15_010]","V Pit11 [EG15_010]","V Pit12 [EG15_010]","V Pit13 [EG15_010]","V Pit15 [EG15_010]","V Pit16 [EG15_010]","V Pit17 [EG15_010]","V Pit18 [EG15_010]","V Pit19 [EG15_010]","V Pit2 [EG15_010]","V Pit3 [EG15_010]","V Pit4 [EG15_010]","V Pit5 [EG15_010]","V Pit6 [EG15_010]","V Pit7 [EG15_010]","V Pit8 [EG15_010]","V Pit9 [EG15_010]"
       1,          0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       2,          0.016667,    0.000,    0.000,    0.000,    0.272,    0.256,    0.123,    0.106,    0.181,    0.241,    0.141,    0.000,    0.182,    0.198,    0.198,    0.240,    0.191,    0.158,    0.134,    0.191,    0.223,    0.243,    0.142,    0.000,    0.129,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.725,    0.000,    0.000,    0.000,    0.000,    0.725,    0.000,    0.000,    0.000,    0.000
       3,          0.033333,    0.000,    0.000,    0.000,    0.358,    0.354,    0.208,    0.284,    0.244,    0.282,    0.245,    0.000,    0.245,    0.267,    0.272,    0.327,    0.283,    0.244,    0.210,    0.258,    0.293,    0.306,    0.306,    0.223,    0.725,    0.000,    0.000,    0.000,    0.000,    0.000,    0.725,    0.186,    0.000,    0.725,    0.000,    0.000,    0.725,    0.000,    0.000,    0.000,    0.000
       4,          0.050000,    0.000,    0.000,    0.000,    0.399,    0.420,    0.336,    0.318,    0.294,    0.407,    0.391,    0.139,    0.164,    0.335,    0.340,    0.405,    0.341,    0.304,    0.268,    0.298,    0.318,    0.359,    0.371,    0.000,    0.966,    0.725,    0.186,    0.155,    0.223,    0.725,    0.186,    0.725,    0.000,    0.242,    0.000,    0.000,    0.000,    0.725,    0.725,    0.000,    0.223
       5,          0.066667,    0.000,    0.210,    0.000,    0.442,    0.462,    0.401,    0.288,    0.358,    0.485,    0.510,    0.198,    0.353,    0.441,    0.420,    0.452,    0.396,    0.359,    0.339,    0.343,    0.355,    0.395,    0.450,    0.725,    0.966,    0.966,    0.725,    0.725,    0.000,    0.000,    0.186,    0.186,    0.725,    0.242,    0.000,    0.000,    0.966,    0.966,    0.000,    0.000,    0.000
       6,          0.083333,    0.000,    0.243,    0.000,    0.454,    0.558,    0.482,    0.138,    0.422,    0.541,    0.563,    0.259,    0.323,    0.534,    0.487,    0.485,    0.437,    0.410,    0.423,    0.392,    0.390,    0.434,    0.531,    0.725,    0.966,    0.966,    0.186,    0.155,    0.000,    0.223,    0.186,    0.186,    0.725,    0.966,    0.000,    0.000,    0.966,    0.966,    0.725,    0.000,    0.725
       7,          0.100000,    0.000,    0.284,    0.000,    0.442,    0.581,    0.582,    0.142,    0.489,    0.605,    0.629,    0.326,    0.450,    0.617,    0.557,    0.517,    0.477,    0.465,    0.520,    0.453,    0.435,    0.497,    0.571,    0.000,    0.966,    0.966,    0.186,    0.966,    0.000,    0.000,    0.725,    0.966,    0.725,    0.966,    0.000,    0.725,    0.966,    0.966,    0.725,    0.725,    0.000
       8,          0.116667,    0.000,    0.323,    0.000,    0.449,    0.618,    0.594,    0.216,    0.559,    0.686,    0.704,    0.403,    0.648,    0.717,    0.650,    0.546,    0.500,    0.517,    0.578,    0.525,    0.496,    0.545,    0.623,    0.223,    0.966,    0.966,    0.966,    0.966,    0.000,    0.725,    0.000,    0.966,    0.966,    0.966,    0.000,    0.966,    0.966,    0.966,    0.725,    0.000,    0.725
       9,          0.133333,    0.000,    0.365,    0.000,    0.494,    0.666,    0.649,    0.260,    0.623,    0.771,    0.787,    0.490,    0.740,    0.800,    0.686,    0.557,    0.532,    0.564,    0.642,    0.601,    0.543,    0.603,    0.673,    0.000,    0.966,    0.966,    0.966,    0.966,    0.000,    0.223,    0.725,    0.966,    0.966,    0.966,    0.000,    0.966,    0.966,    0.966,    0.129,    0.000,    0.000
      10,          0.150000,    0.000,    0.397,    0.000,    0.514,    0.725,    0.705,    0.337,    0.684,    0.866,    0.888,    0.580,    0.843,    0.909,    0.758,    0.588,    0.557,    0.612,    0.712,    0.675,    0.582,    0.655,    0.724,    0.223,    0.955,    0.966,    0.966,    0.966,    0.000,    0.000,    0.725,    0.966,    0.966,    0.966,    0.000,    0.966,    0.966,    0.966,    0.966,    0.000,    0.966
