"EG15_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_010.tcf]","Time (h)","SQ Pipe7 [EG15_010]","SQ Pipe6 [EG15_010]","SQ Pipe5 [EG15_010]","SQ Pipe19 [EG15_010]","SQ Pipe3 [EG15_010]","SQ Pipe2 [EG15_010]","SQ Pipe1 [EG15_010]","SQ Pipe0 [EG15_010]","SQ Pipe17 [EG15_010]","SQ Pipe16 [EG15_010]","SQ Pipe15 [EG15_010]","SQ Pipe14 [EG15_010]","SQ Pipe13 [EG15_010]","SQ Pipe12 [EG15_010]","SQ Pipe11 [EG15_010]","SQ Pipe10 [EG15_010]","SQ Pipe9 [EG15_010]","SQ Pipe8 [EG15_010]","SQ Pipe4 [EG15_010]","SQ FC04.1_C [EG15_010]","SQ FC01.2_R [EG15_010]","SQ FC01.1_R [EG15_010]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0002,      0.0002,      0.0001,      0.0002,      0.0002,      0.0003,      0.0004,      0.0005,      0.0002,      0.0002,      0.0000,      0.0001,      0.0003,      0.0002,      0.0002,      0.0001,      0.0001,      0.0003,      0.0002,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0007,      0.0004,      0.0004,      0.0005,      0.0006,      0.0012,      0.0017,      0.0018,      0.0005,      0.0003,      0.0000,      0.0006,      0.0010,      0.0003,      0.0006,      0.0003,      0.0009,      0.0009,      0.0003,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0010,      0.0008,      0.0009,      0.0014,      0.0014,      0.0031,      0.0037,      0.0029,      0.0013,      0.0004,      0.0001,      0.0026,      0.0033,      0.0007,      0.0010,      0.0013,      0.0022,      0.0018,      0.0008,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0017,      0.0015,      0.0019,      0.0036,      0.0028,      0.0050,      0.0055,      0.0046,      0.0045,      0.0020,      0.0002,      0.0066,      0.0069,      0.0018,      0.0015,      0.0030,      0.0049,      0.0028,      0.0018,      0.0000,      0.0102,      0.0000
       6,          0.083333,      0.0026,      0.0027,      0.0038,      0.0070,      0.0044,      0.0069,      0.0102,      0.0051,      0.0105,      0.0034,      0.0004,      0.0132,      0.0111,      0.0037,      0.0036,      0.0054,      0.0083,      0.0042,      0.0032,      0.0000,      0.0157,      0.0000
       7,          0.100000,      0.0043,      0.0051,      0.0076,      0.0126,      0.0064,      0.0091,      0.0151,      0.0046,      0.0194,      0.0103,      0.0011,      0.0210,      0.0178,      0.0071,      0.0054,      0.0102,      0.0139,      0.0077,      0.0057,      0.0000,      0.0253,      0.0000
       8,          0.116667,      0.0076,      0.0097,      0.0148,      0.0206,      0.0079,      0.0115,      0.0196,      0.0049,      0.0356,      0.0277,      0.0030,      0.0331,      0.0299,      0.0127,      0.0120,      0.0166,      0.0202,      0.0115,      0.0091,      0.0000,      0.0373,      0.0000
       9,          0.133333,      0.0113,      0.0173,      0.0228,      0.0299,      0.0103,      0.0126,      0.0265,      0.0075,      0.0543,      0.0489,      0.0072,      0.0510,      0.0472,      0.0202,      0.0200,      0.0239,      0.0276,      0.0176,      0.0133,      0.0000,      0.0535,      0.0000
      10,          0.150000,      0.0151,      0.0280,      0.0347,      0.0442,      0.0126,      0.0158,      0.0373,      0.0089,      0.0861,      0.0833,      0.0150,      0.0793,      0.0726,      0.0295,      0.0351,      0.0334,      0.0370,      0.0248,      0.0187,      0.0000,      0.0690,      0.0000
      11,          0.166667,      0.0191,      0.0432,      0.0505,      0.0613,      0.0166,      0.0203,      0.0465,      0.0113,      0.1300,      0.0811,      0.0272,      0.1145,      0.1018,      0.0410,      0.0518,      0.0452,      0.0493,      0.0320,      0.0254,      0.0000,      0.0825,      0.0000
      12,          0.183333,      0.0245,      0.0623,      0.0697,      0.0802,      0.0221,      0.0266,      0.0559,      0.0152,      0.1779,      0.1028,      0.0439,      0.1537,      0.1338,      0.0566,      0.0722,      0.0608,      0.0658,      0.0416,      0.0333,      0.0000,      0.1044,      0.0000
      13,          0.200000,      0.0310,      0.0869,      0.0915,      0.1026,      0.0287,      0.0359,      0.0675,      0.0196,     -0.0342,      0.0164,      0.0676,      0.1209,      0.1664,      0.0777,      0.0970,      0.0812,      0.0873,      0.0532,      0.0387,      0.0005,      0.0103,      0.3997
      14,          0.216667,      0.0399,     -0.0149,      0.0899,      0.1291,      0.0362,      0.0437,      0.0816,      0.0217,      0.1164,      0.0108,     -0.1352,      0.0797,      0.0477,     -0.0659,     -0.0374,      0.0093,      0.1140,      0.0668,      0.0574,      0.0059,      1.1346,      1.4453
      15,          0.233333,      0.0050,     -0.0956,     -0.0988,     -0.0938,      0.0440,      0.0075,      0.0124,      0.0035,      0.1467,      0.0115,     -0.1657,      0.1114,      0.0745,     -0.0440,     -0.0122,     -0.0418,     -0.0390,     -0.0321,     -0.0077,      0.0170,      0.1431,      2.2749
      16,          0.250000,      0.0716,     -0.0192,     -0.0239,      0.0041,      0.0042,      0.0542,      0.0696,      0.0076,      0.2457,      0.0244,     -0.2352,      0.2122,      0.1710,      0.1597,      0.1923,      0.1647,      0.1772,      0.1207,     -0.0248,      0.0348,      0.7178,      2.9403
      17,          0.266667,      0.1097,      0.1992,      0.2186,      0.2074,      0.0673,      0.0263,      0.1015,      0.0298,     -0.1265,      0.0009,      0.1910,     -0.0454,      0.0667,      0.2537,      0.1797,      0.2647,      0.2585,      0.1966,      0.1045,      0.0599,      0.4786,      3.4594
      18,          0.283333,      0.1119,      0.1885,      0.2180,      0.2179,      0.0672,      0.0215,      0.0966,      0.0346,     -0.0961,      0.0007,      0.1859,     -0.0184,      0.0546,      0.2444,      0.1486,      0.2675,      0.2591,      0.2019,      0.1148,      0.0911,      0.9364,      3.9161
      19,          0.300000,      0.1117,      0.1742,      0.2235,      0.2170,      0.0826,      0.0169,      0.0851,      0.0344,     -0.0753,      0.0008,      0.1702,     -0.0076,      0.0505,      0.2337,      0.1242,      0.2682,      0.2585,      0.2056,      0.1304,      0.1271,      0.4929,      4.3885
      20,          0.316667,      0.1118,      0.1549,      0.2212,      0.2166,      0.0883,      0.0164,      0.0784,      0.0328,     -0.0671,      0.0008,      0.1511,     -0.0074,      0.0462,      0.2186,      0.1134,      0.2641,      0.2565,      0.2057,      0.1351,      0.1666,     -0.0873,      4.8806
      21,          0.333333,      0.1178,      0.1345,      0.2176,      0.2226,      0.0858,      0.0163,      0.0603,      0.0308,     -0.0555,      0.0008,      0.1303,     -0.0028,      0.0437,      0.2007,      0.1052,      0.2583,      0.2538,      0.2071,      0.1340,      0.2057,      0.2985,      5.3733
      22,          0.350000,      0.1171,      0.1112,      0.2117,      0.2142,      0.0840,      0.0171,      0.0578,      0.0276,     -0.0429,      0.0009,      0.1069,     -0.0003,      0.0398,      0.1809,      0.0952,      0.2502,      0.2498,      0.2059,      0.1533,      0.2437,      1.1138,      5.8728
      23,          0.366667,      0.1166,      0.0931,      0.1995,      0.2107,      0.0801,      0.0180,      0.0519,      0.0244,     -0.0346,      0.0007,      0.0885,     -0.0001,      0.0331,      0.1582,      0.0833,      0.2418,      0.2463,      0.2046,      0.1577,      0.2797,      0.6823,      6.4042
      24,          0.383333,      0.1161,      0.0837,      0.1811,      0.2108,      0.0771,      0.0184,      0.0322,      0.0141,     -0.0295,      0.0008,      0.0783,     -0.0001,      0.0267,      0.1351,      0.0690,      0.2304,      0.2426,      0.2031,      0.1545,      0.3132,      1.6880,      7.0597
      25,          0.400000,      0.1152,      0.0731,      0.1607,      0.2066,      0.0754,      0.0184,      0.0254,      0.0108,     -0.0265,      0.0007,      0.0687,     -0.0013,      0.0213,      0.1187,      0.0576,      0.2153,      0.2379,      0.2012,      0.1533,      0.3446,     -1.3819,      7.8426
      26,          0.416667,      0.1142,      0.0626,      0.1380,      0.1948,      0.0747,      0.0181,      0.0216,      0.0089,     -0.0223,      0.0008,      0.0583,     -0.0010,      0.0184,      0.1069,      0.0502,      0.1995,      0.2319,      0.1990,      0.1580,      0.3722,     -0.6332,      8.7541
      27,          0.433333,      0.1134,      0.0518,      0.1178,      0.1876,      0.0727,      0.0171,      0.0171,      0.0068,     -0.0177,      0.0005,      0.0479,      0.0000,      0.0160,      0.0962,      0.0439,      0.1804,      0.2262,      0.1969,      0.1530,      0.3974,      2.4669,      9.8079
      28,          0.450000,      0.1125,      0.0415,      0.1021,      0.1854,      0.0712,      0.0158,      0.0120,      0.0046,     -0.0131,      0.0006,      0.0378,      0.0000,      0.0140,      0.0871,      0.0391,      0.1616,      0.2207,      0.1948,      0.1424,      0.4213,     -0.3103,     10.9635
      29,          0.466667,      0.1116,      0.0351,      0.0908,      0.1734,      0.0690,      0.0140,      0.0064,      0.0026,     -0.0110,      0.0005,      0.0318,      0.0000,      0.0116,      0.0771,      0.0335,      0.1444,      0.2138,      0.1926,      0.1378,      0.4427,      5.7560,     12.4207
      30,          0.483333,      0.1106,      0.0301,      0.0814,      0.1584,      0.0654,      0.0118,      0.0013,      0.0011,     -0.0090,      0.0005,      0.0269,      0.0000,      0.0101,      0.0673,      0.0288,      0.1286,      0.2056,      0.1901,      0.1358,      0.4605,      7.4016,     14.1092
      31,          0.500000,      0.1093,      0.0260,      0.0730,      0.1425,      0.0631,      0.0089,      0.0000,      0.0006,     -0.0074,      0.0004,      0.0230,      0.0000,      0.0083,      0.0587,      0.0246,      0.1158,      0.1958,      0.1872,      0.1319,      0.4762,      8.6648,     15.9267
      32,          0.516667,      0.1079,      0.0218,      0.0627,      0.1264,      0.0604,      0.0059,     -0.0045,      0.0001,     -0.0059,      0.0004,      0.0192,      0.0000,      0.0070,      0.0527,      0.0216,      0.1061,      0.1851,      0.1838,      0.1269,      0.4910,      6.2678,     17.8159
      33,          0.533333,      0.1066,      0.0174,      0.0527,      0.1108,      0.0579,      0.0022,     -0.0088,     -0.0012,     -0.0043,      0.0004,      0.0148,      0.0000,      0.0059,      0.0463,      0.0186,      0.0974,      0.1733,      0.1806,      0.1217,      0.5035,      7.1107,     20.4574
      34,          0.550000,      0.1049,      0.0142,      0.0447,      0.0964,      0.0551,      0.0000,     -0.0114,     -0.0022,     -0.0029,      0.0003,      0.0117,      0.0000,      0.0051,      0.0416,      0.0165,      0.0896,      0.1616,      0.1767,      0.1160,      0.5147,      8.2450,     24.2059
      35,          0.566667,      0.1032,      0.0110,      0.0362,      0.0763,      0.0528,     -0.0027,     -0.0141,     -0.0034,     -0.0021,      0.0003,      0.0087,      0.0000,      0.0044,      0.0377,      0.0146,      0.0824,      0.1493,      0.1728,      0.1109,      0.5244,      9.3175,     28.4598
      36,          0.583333,      0.1015,      0.0075,      0.0260,      0.0616,      0.0492,     -0.0063,     -0.0166,     -0.0047,     -0.0008,      0.0003,      0.0054,      0.0004,      0.0039,      0.0333,      0.0127,      0.0742,      0.1366,      0.1687,      0.1027,      0.5328,     10.7411,     31.4772
      37,          0.600000,      0.0995,      0.0042,      0.0167,      0.0433,      0.0434,     -0.0097,     -0.0174,     -0.0054,      0.0000,      0.0003,      0.0022,      0.0002,      0.0030,      0.0283,      0.0104,      0.0651,      0.1236,      0.1640,      0.0909,      0.5393,     12.2152,     34.2756
      38,          0.616667,      0.0971,      0.0026,      0.0106,      0.0301,      0.0364,     -0.0124,     -0.0146,     -0.0041,      0.0000,      0.0003,      0.0007,      0.0001,      0.0023,      0.0240,      0.0086,      0.0565,      0.1112,      0.1585,      0.0747,      0.5450,     13.8318,     36.7033
      39,          0.633333,      0.0945,      0.0018,      0.0066,      0.0193,      0.0281,     -0.0143,     -0.0112,     -0.0032,      0.0000,      0.0003,      0.0000,      0.0000,      0.0015,      0.0200,      0.0066,      0.0490,      0.1000,      0.1524,      0.0555,      0.5484,     16.0631,     38.7999
