"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  278.9777    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.083,              ,  0.000000    ,  118.7928    ,  126.0873    ,  0.000000    ,  126.0873    ,  118.7928    ,  7.294454    ,  7.998055    , 0.7036005    , 0.2873245    ,  244.8801    ,  286.9758    ,  244.8801    , 0.7036005    , 0.2451777    , 0.2873245    
         0.167,              ,  0.000000    ,  53.41252    ,  620.5170    ,  0.000000    ,  620.5170    ,  53.41252    ,  567.1044    ,  569.8871    ,  2.782621    , 0.4128950    ,  673.9295    ,  856.8628    ,  918.8096    ,  3.486222    , 0.3794281    , 0.3794281    
         0.250,              ,  0.000000    ,  31.15161    ,  1186.180    ,  0.000000    ,  1186.180    ,  31.15161    ,  1155.029    ,  1154.928    ,-0.1012766    ,-0.8319556E-02,  1217.332    ,  2011.790    ,  2136.142    ,  3.384945    , 0.1584607    , 0.1584607    
         0.333,              ,  0.000000    ,  20.13113    ,  1745.441    ,  0.000000    ,  1745.441    ,  20.13113    ,  1725.310    ,  1726.351    ,  1.041461    , 0.5898718E-01,  1765.572    ,  3738.142    ,  3901.714    ,  4.426406    , 0.1134477    , 0.1134477    
         0.417,              ,  0.000000    ,  13.51161    ,  2911.706    ,  0.000000    ,  2911.706    ,  13.51161    ,  2898.194    ,  2900.607    ,  2.412864    , 0.8248495E-01,  2925.217    ,  6638.749    ,  6826.931    ,  6.839271    , 0.1001808    , 0.1001808    
         0.500,              ,  0.000000    ,  9.423981    ,  5244.680    ,  0.000000    ,  5244.680    ,  9.423981    ,  5235.256    ,  5239.188    ,  3.932253    , 0.7484156E-01,  5254.104    ,  11877.94    ,  12081.04    ,  10.77152    , 0.8916061E-01, 0.8916061E-01
         0.583,              ,  0.000000    ,  6.777979    ,  12119.34    ,  0.000000    ,  12119.34    ,  6.777979    ,  12112.56    ,  12114.87    ,  2.306671    , 0.1902233E-01,  12126.12    ,  23992.81    ,  24207.16    ,  13.07820    , 0.5402616E-01, 0.5402616E-01
         0.667,              ,  0.000000    ,  5.089102    ,  20436.45    ,  0.000000    ,  20436.45    ,  5.089102    ,  20431.36    ,  20431.94    , 0.5831728    , 0.2852881E-02,  20441.54    ,  44424.75    ,  44648.69    ,  13.66137    , 0.3059746E-01, 0.3059746E-01
         0.750,              ,  0.000000    ,  3.788272    ,  24880.55    ,  0.000000    ,  24880.55    ,  3.788272    ,  24876.76    ,  24875.60    , -1.158556    ,-0.4655762E-02,  24884.34    ,  69300.35    ,  69533.03    ,  12.50281    , 0.1798111E-01, 0.1798111E-01
         0.833,              ,  0.000000    ,  2.850704    ,  26822.96    ,  0.000000    ,  26822.96    ,  2.850704    ,  26820.11    ,  26820.28    , 0.1713385    , 0.6387078E-03,  26825.81    ,  96120.64    ,  96358.84    ,  12.67415    , 0.1315307E-01, 0.1315307E-01
         0.917,              ,  0.000000    ,  2.181525    ,  27505.49    ,  0.000000    ,  27505.49    ,  2.181525    ,  27503.31    ,  27503.39    , 0.8235575E-01, 0.2993919E-03,  27507.67    ,  123624.0    ,  123866.5    ,  12.75651    , 0.1029859E-01, 0.1029859E-01
         1.000,              , 0.7489473E-01,  4107.429    ,  27603.28    ,  0.000000    ,  27603.35    ,  4107.429    ,  23495.92    ,  23495.47    ,-0.4568719    ,-0.1440746E-02,  31710.78    ,  147119.5    ,  155577.3    ,  12.29963    , 0.7905803E-02, 0.7905803E-02
         1.083,              , 0.7207581E-03,  16177.99    ,  27160.45    ,  0.000000    ,  27160.45    ,  16177.99    ,  10982.46    ,  10982.85    , 0.3906581    , 0.9014126E-03,  43338.44    ,  158102.3    ,  198915.7    ,  12.69029    , 0.6379733E-02, 0.6379733E-02
         1.167,              ,  0.000000    ,  23685.38    ,  25681.22    ,  0.000000    ,  25681.22    ,  23685.38    ,  1995.837    ,  1995.740    ,-0.9731197E-01,-0.1971211E-03,  49366.60    ,  160098.1    ,  248282.3    ,  12.59298    , 0.5072040E-02, 0.5072040E-02
         1.250,              ,  0.000000    ,  26083.94    ,  23340.05    ,  0.000000    ,  23340.05    ,  26083.94    , -2743.888    , -2743.687    , 0.2012186    , 0.4071273E-03,  49424.00    ,  157354.4    ,  297706.3    ,  12.79420    , 0.4297590E-02, 0.4297590E-02
         1.333,              ,  0.000000    ,  25564.15    ,  20427.79    ,  0.000000    ,  20427.79    ,  25564.15    , -5136.354    , -5136.652    ,-0.2980118    ,-0.6479652E-03,  45991.94    ,  152217.7    ,  343698.3    ,  12.49619    , 0.3635802E-02, 0.3635802E-02
         1.417,              ,  0.000000    ,  23909.20    ,  17040.49    ,  0.000000    ,  17040.49    ,  23909.20    , -6868.716    , -6869.544    ,-0.8276043    ,-0.2021027E-02,  40949.69    ,  145348.2    ,  384648.0    ,  11.66858    , 0.3033575E-02, 0.3033575E-02
         1.500,              ,  0.000000    ,  21576.64    ,  13834.78    ,  0.000000    ,  13834.78    ,  21576.64    , -7741.861    , -7742.550    ,-0.6897211    ,-0.1947736E-02,  35411.43    ,  137605.7    ,  420059.4    ,  10.97886    , 0.2613645E-02, 0.2613645E-02
         1.583,              ,  0.000000    ,  18885.94    ,  11028.91    ,  0.000000    ,  11028.91    ,  18885.94    , -7857.025    , -7857.428    ,-0.4034390    ,-0.1348624E-02,  29914.85    ,  129748.2    ,  449974.2    ,  10.57542    , 0.2350229E-02, 0.2350229E-02
         1.667,              ,  0.000000    ,  16194.22    ,  9059.880    ,  0.000000    ,  9059.880    ,  16194.22    , -7134.344    , -7134.500    ,-0.1555328    ,-0.6158715E-03,  25254.10    ,  122613.7    ,  475228.4    ,  10.41989    , 0.2192607E-02, 0.2192607E-02
         1.750,              ,  0.000000    ,  13655.54    ,  7598.255    ,  0.000000    ,  7598.255    ,  13655.54    , -6057.283    , -6058.171    ,-0.8879838    ,-0.4178002E-02,  21253.79    ,  116555.6    ,  496482.1    ,  9.531907    , 0.1919889E-02, 0.1919889E-02
         1.833,              ,  0.000000    ,  11449.89    ,  6483.338    ,  0.000000    ,  6483.338    ,  11449.89    , -4966.550    , -4966.777    ,-0.2266450    ,-0.1263827E-02,  17933.23    ,  111588.8    ,  514415.4    ,  9.305262    , 0.1808900E-02, 0.1808900E-02
         1.917,              ,  0.000000    ,  9668.415    ,  5929.630    ,  0.000000    ,  5929.630    ,  9668.415    , -3738.785    , -3738.544    , 0.2407997    , 0.1543781E-02,  15598.04    ,  107850.2    ,  530013.4    ,  9.546061    , 0.1801098E-02, 0.1801098E-02
         2.000,              ,  0.000000    ,  8248.537    ,  5498.302    ,  0.000000    ,  5498.302    ,  8248.537    , -2750.236    , -2750.212    , 0.2342916E-01, 0.1704330E-03,  13746.84    ,  105100.0    ,  543760.3    ,  9.569491    , 0.1759873E-02, 0.1759873E-02
