"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.5000000E-01,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  278.9777    ,     0.000
         0.083,         346,         0,         0,  1.214332    , 0.8333334E-01,  0.000000    ,  118.7928    ,  93.41692    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -25.37590    , -25.37590    , 0.6887566E-07,  253.6018    ,     0.000
         0.167,         654,         0,         0, 0.8448514    , 0.1666667    ,  0.000000    ,  53.41252    ,  573.0543    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  519.6418    ,  519.6418    , 0.1056492E-04,  773.2437    ,     0.000
         0.250,        1127,         0,         0, 0.5378370    , 0.2500000    ,  0.000000    ,  31.15161    ,  1161.208    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1130.056    ,  1130.056    ,-0.5769357E-04,  1903.300    ,    -0.000
         0.333,        1734,         0,         0, 0.4634199    , 0.3333333    ,  0.000000    ,  20.13113    ,  1697.748    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1677.617    ,  1677.616    ,-0.7497612E-03,  3580.916    ,    -0.000
         0.417,        2421,         0,         0, 0.4145811    , 0.4166667    ,  0.000000    ,  13.51161    ,  2821.511    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  2807.999    ,  2808.000    , 0.1052776E-02,  6388.917    ,     0.000
         0.500,        3184,         0,         0, 0.3703350    , 0.5000000    ,  0.000000    ,  9.423981    ,  5105.407    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  5095.983    ,  5095.984    , 0.6812075E-03,  11484.90    ,     0.000
         0.583,        4380,         0,         0, 0.1962299    , 0.5833334    ,  0.000000    ,  6.777979    ,  11821.79    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  11815.01    ,  11815.01    ,-0.2581580E-02,  23299.91    ,    -0.000
         0.667,        6087,         0,         0, 0.1581164    , 0.6666667    ,  0.000000    ,  5.089102    ,  20291.83    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  20286.74    ,  20286.74    , 0.6036931E-03,  43586.65    ,     0.000
         0.750,        8082,         0,         0, 0.1439797    , 0.7500000    ,  0.000000    ,  3.788272    ,  24835.43    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  24831.64    ,  24831.64    , 0.7738571E-03,  68418.29    ,     0.000
