"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  278.9777    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.083,              ,  0.000000    ,  118.7928    ,  126.0873    ,  0.000000    ,  126.0873    ,  118.7928    ,  7.294454    ,  7.998055    , 0.7036005    , 0.2873245    ,  244.8801    ,  286.9758    ,  244.8801    , 0.7036005    , 0.2451777    , 0.2873245    
         0.167,              ,  0.000000    ,  53.41252    ,  620.5170    ,  0.000000    ,  620.5170    ,  53.41252    ,  567.1044    ,  569.8871    ,  2.782682    , 0.4129041    ,  673.9295    ,  856.8629    ,  918.8096    ,  3.486283    , 0.3794348    , 0.3794348    
         0.250,              ,  0.000000    ,  31.15161    ,  1186.180    ,  0.000000    ,  1186.180    ,  31.15161    ,  1155.029    ,  1154.928    ,-0.1013377    ,-0.8324570E-02,  1217.332    ,  2011.790    ,  2136.142    ,  3.384945    , 0.1584607    , 0.1584607    
         0.333,              ,  0.000000    ,  20.13113    ,  1745.441    ,  0.000000    ,  1745.441    ,  20.13113    ,  1725.310    ,  1726.351    ,  1.041217    , 0.5897335E-01,  1765.572    ,  3738.142    ,  3901.714    ,  4.426162    , 0.1134415    , 0.1134415    
         0.417,              ,  0.000000    ,  13.51161    ,  2911.706    ,  0.000000    ,  2911.706    ,  13.51161    ,  2898.194    ,  2900.607    ,  2.413108    , 0.8249329E-01,  2925.217    ,  6638.749    ,  6826.931    ,  6.839271    , 0.1001808    , 0.1001808    
         0.500,              ,  0.000000    ,  9.423981    ,  5244.680    ,  0.000000    ,  5244.680    ,  9.423981    ,  5235.256    ,  5239.187    ,  3.931277    , 0.7482298E-01,  5254.104    ,  11877.94    ,  12081.04    ,  10.77055    , 0.8915252E-01, 0.8915252E-01
         0.583,              ,  0.000000    ,  6.777979    ,  12119.34    ,  0.000000    ,  12119.34    ,  6.777979    ,  12112.56    ,  12114.87    ,  2.307648    , 0.1903039E-01,  12126.12    ,  23992.81    ,  24207.16    ,  13.07820    , 0.5402616E-01, 0.5402616E-01
         0.667,              ,  0.000000    ,  5.089102    ,  20436.45    ,  0.000000    ,  20436.45    ,  5.089102    ,  20431.36    ,  20431.94    , 0.5831728    , 0.2852881E-02,  20441.54    ,  44424.75    ,  44648.69    ,  13.66137    , 0.3059746E-01, 0.3059746E-01
         0.750,              ,  0.000000    ,  3.788272    ,  24880.55    ,  0.000000    ,  24880.55    ,  3.788272    ,  24876.76    ,  24875.60    , -1.166368    ,-0.4687157E-02,  24884.34    ,  69300.35    ,  69533.03    ,  12.49500    , 0.1796988E-01, 0.1796988E-01
         0.833,              ,  0.000000    ,  2.850705    ,  26822.96    ,  0.000000    ,  26822.96    ,  2.850705    ,  26820.11    ,  26820.35    , 0.2378346    , 0.8865885E-03,  26825.81    ,  96120.70    ,  96358.84    ,  12.73283    , 0.1321398E-01, 0.1321398E-01
         0.917,              ,  0.000000    ,  2.181528    ,  27505.49    ,  0.000000    ,  27505.49    ,  2.181528    ,  27503.31    ,  27503.32    , 0.6985156E-02, 0.2539348E-04,  27507.67    ,  123624.0    ,  123866.5    ,  12.73982    , 0.1028512E-01, 0.1028512E-01
         1.000,              , 0.2759698E-06,  60.64496    ,  27603.28    ,  0.000000    ,  27603.28    ,  60.64496    ,  27542.63    ,  27542.17    ,-0.4619254    ,-0.1669776E-02,  27663.92    ,  151166.2    ,  151530.4    ,  12.27789    , 0.8102592E-02, 0.8102592E-02
         1.083,              , 0.5323789E-01,  8487.661    ,  27160.45    ,  0.000000    ,  27160.50    ,  8487.661    ,  18672.84    ,  18673.21    , 0.3702811    , 0.1038710E-02,  35648.16    ,  169839.4    ,  187178.6    ,  12.64818    , 0.6757277E-02, 0.6757277E-02
         1.167,              ,  0.000000    ,  21151.08    ,  25681.22    ,  0.000000    ,  25681.22    ,  21151.08    ,  4530.144    ,  4530.053    ,-0.9160233E-01,-0.1955965E-03,  46832.30    ,  174369.4    ,  234010.9    ,  12.55657    , 0.5365807E-02, 0.5365807E-02
         1.250,              ,  0.000000    ,  25393.16    ,  23340.05    ,  0.000000    ,  23340.05    ,  25393.16    , -2053.103    , -2052.907    , 0.1959410    , 0.4020686E-03,  48733.21    ,  172316.5    ,  282744.1    ,  12.75251    , 0.4510267E-02, 0.4510267E-02
         1.333,              ,  0.000000    ,  25378.13    ,  20427.79    ,  0.000000    ,  20427.79    ,  25378.13    , -4950.338    , -4950.603    ,-0.2654724    ,-0.5795591E-03,  45805.93    ,  167365.9    ,  328550.0    ,  12.48704    , 0.3800651E-02, 0.3800651E-02
         1.417,              ,  0.000000    ,  23792.43    ,  17040.49    ,  0.000000    ,  17040.49    ,  23792.43    , -6751.941    , -6752.700    ,-0.7597075    ,-0.1860527E-02,  40832.91    ,  160613.2    ,  369382.9    ,  11.72733    , 0.3174844E-02, 0.3174844E-02
         1.500,              ,  0.000000    ,  21430.58    ,  13834.78    ,  0.000000    ,  13834.78    ,  21430.58    , -7595.798    , -7596.456    ,-0.6584969    ,-0.1867262E-02,  35265.37    ,  153016.8    ,  404648.3    ,  11.06884    , 0.2735422E-02, 0.2735422E-02
         1.583,              ,  0.000000    ,  18670.08    ,  11028.91    ,  0.000000    ,  11028.91    ,  18670.08    , -7641.170    , -7641.664    ,-0.4938426    ,-0.1662826E-02,  29699.00    ,  145375.1    ,  434347.3    ,  10.57499    , 0.2434686E-02, 0.2434686E-02
         1.667,              ,  0.000000    ,  15912.48    ,  9059.916    ,  0.000000    ,  9059.916    ,  15912.48    , -6852.564    , -6852.701    ,-0.1367316    ,-0.5475311E-03,  24972.40    ,  138522.4    ,  459319.7    ,  10.43826    , 0.2272548E-02, 0.2272548E-02
         1.750,              ,  0.000000    ,  13387.38    ,  7598.188    ,  0.000000    ,  7598.188    ,  13387.38    , -5789.189    , -5789.961    ,-0.7725105    ,-0.3681152E-02,  20985.56    ,  132732.5    ,  480305.3    ,  9.665752    , 0.2012419E-02, 0.2012419E-02
         1.833,              ,  0.000000    ,  11281.68    ,  6483.371    ,  0.000000    ,  6483.371    ,  11281.68    , -4798.307    , -4798.551    ,-0.2443066    ,-0.1375209E-02,  17765.05    ,  127933.9    ,  498070.3    ,  9.421446    , 0.1891589E-02, 0.1891589E-02
         1.917,              ,  0.000000    ,  9609.303    ,  5929.625    ,  0.000000    ,  5929.625    ,  9609.303    , -3679.678    , -3679.441    , 0.2361536    , 0.1519755E-02,  15538.93    ,  124254.5    ,  513609.2    ,  9.657599    , 0.1880340E-02, 0.1880340E-02
         2.000,              ,  0.000000    ,  8262.896    ,  5498.293    ,  0.000000    ,  5498.293    ,  8262.896    , -2764.603    , -2764.534    , 0.6900477E-01, 0.5014449E-03,  13761.19    ,  121489.9    ,  527370.4    ,  9.726604    , 0.1844359E-02, 0.1844359E-02
