"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.083,              ,  0.000000    ,  117.1067    ,  62.05932    ,  0.000000    ,  62.05932    ,  117.1067    , -55.04739    , -54.36995    , 0.6774328    , 0.3781033    ,  179.1660    ,  214.9868    ,  179.1660    , 0.6774328    , 0.3151043    , 0.3781033    
         0.167,              ,  0.000000    ,  50.05529    ,  188.1900    ,  0.000000    ,  188.1900    ,  50.05529    ,  138.1347    ,  139.5141    ,  1.379365    , 0.5789685    ,  238.2453    ,  354.5009    ,  417.4114    ,  2.056798    , 0.4927509    , 0.4927509    
         0.250,              ,  0.000000    ,  28.40072    ,  436.9121    ,  0.000000    ,  436.9121    ,  28.40072    ,  408.5113    ,  409.6238    ,  1.112480    , 0.2390823    ,  465.3128    ,  764.1248    ,  882.7241    ,  3.169278    , 0.3590339    , 0.3590339    
         0.333,              ,  0.000000    ,  18.24190    ,  807.4529    ,  0.000000    ,  807.4529    ,  18.24190    ,  789.2110    ,  790.1757    , 0.9646622    , 0.1168304    ,  825.6948    ,  1554.300    ,  1708.419    ,  4.133941    , 0.2419747    , 0.2419747    
         0.417,              ,  0.000000    ,  12.18906    ,  1089.140    ,  0.000000    ,  1089.140    ,  12.18906    ,  1076.951    ,  1077.950    , 0.9990570    , 0.9071373E-01,  1101.329    ,  2632.251    ,  2809.748    ,  5.132998    , 0.1826853    , 0.1826853    
         0.500,              ,  0.000000    ,  8.504010    ,  1283.413    ,  0.000000    ,  1283.413    ,  8.504010    ,  1274.909    ,  1275.328    , 0.4189221    , 0.3242639E-01,  1291.917    ,  3907.578    ,  4101.665    ,  5.551920    , 0.1353577    , 0.1353577    
         0.583,              ,  0.000000    ,  6.170677    ,  1561.479    ,  0.000000    ,  1561.479    ,  6.170677    ,  1555.308    ,  1557.031    ,  1.722511    , 0.1098785    ,  1567.650    ,  5464.609    ,  5669.315    ,  7.274431    , 0.1283123    , 0.1283123    
         0.667,              ,  0.000000    ,  4.685535    ,  1926.345    ,  0.000000    ,  1926.345    ,  4.685535    ,  1921.660    ,  1923.266    ,  1.606071    , 0.8317166E-01,  1931.031    ,  7387.875    ,  7600.346    ,  8.880501    , 0.1168434    , 0.1168434    
         0.750,              ,  0.000000    ,  3.542749    ,  2509.501    ,  0.000000    ,  2509.501    ,  3.542749    ,  2505.958    ,  2508.756    ,  2.797832    , 0.1113324    ,  2513.043    ,  9896.631    ,  10113.39    ,  11.67833    , 0.1154740    , 0.1154740    
