"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.1000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,     0.000
         0.083,         233,         0,         0,  2.500000    , 0.8333334E-01,  0.000000    ,  117.1067    ,  19.60850    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -97.49821    , -97.49818    , 0.2343979E-04,  171.8586    ,     0.000
         0.167,         355,         0,         0,  2.375896    , 0.1666667    ,  0.000000    ,  50.05529    ,  145.2606    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  95.20529    ,  95.20531    , 0.2187490E-04,  267.0639    ,     0.000
         0.250,         502,         0,         0,  1.619511    , 0.2500000    ,  0.000000    ,  28.40072    ,  366.6207    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  338.2199    ,  338.2199    ,-0.2554059E-04,  605.2838    ,    -0.000
         0.333,         729,         0,         0,  1.171178    , 0.3333333    ,  0.000000    ,  18.24190    ,  739.6896    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  721.4477    ,  721.4479    , 0.1858324E-03,  1326.732    ,     0.000
         0.417,        1009,         0,         0,  1.008844    , 0.4166667    ,  0.000000    ,  12.18906    ,  1044.734    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1032.545    ,  1032.545    ,-0.1103803E-04,  2359.276    ,    -0.000
         0.500,        1323,         0,         0, 0.9230432    , 0.5000000    ,  0.000000    ,  8.504010    ,  1191.921    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1183.417    ,  1183.417    , 0.3038533E-03,  3542.693    ,     0.000
         0.583,        1661,         0,         0, 0.8646009    , 0.5833334    ,  0.000000    ,  6.170677    ,  1420.650    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1414.479    ,  1414.478    ,-0.1416650E-02,  4957.171    ,    -0.000
         0.667,        2020,         0,         0, 0.8180792    , 0.6666667    ,  0.000000    ,  4.685535    ,  1775.102    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1770.416    ,  1770.417    , 0.8512568E-04,  6727.588    ,     0.000
         0.750,        2397,         0,         0, 0.7787395    , 0.7500000    ,  0.000000    ,  3.542749    ,  2341.419    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  2337.877    ,  2337.878    , 0.1278154E-02,  9065.466    ,     0.000
