"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.083,              ,  0.000000    ,  117.1067    ,  129.5147    ,  0.000000    ,  129.5147    ,  117.1067    ,  12.40804    ,  14.15423    ,  1.746190    , 0.7080445    ,  246.6215    ,  283.5110    ,  246.6215    ,  1.746190    , 0.6159160    , 0.7080445    
         0.167,              ,  0.000000    ,  50.06305    ,  620.1861    ,  0.000000    ,  620.1861    ,  50.06305    ,  570.1230    ,  574.2871    ,  4.164096    , 0.6212759    ,  670.2491    ,  857.7981    ,  916.8706    ,  5.910285    , 0.6446151    , 0.6446151    
         0.250,              ,  0.000000    ,  28.39246    ,  1178.675    ,  0.000000    ,  1178.675    ,  28.39246    ,  1150.282    ,  1151.029    , 0.7464440    , 0.6183947E-01,  1207.067    ,  2008.827    ,  2123.938    ,  6.656729    , 0.3134145    , 0.3134145    
         0.333,              ,  0.000000    ,  18.23667    ,  1758.982    ,  0.000000    ,  1758.982    ,  18.23667    ,  1740.746    ,  1742.853    ,  2.107623    , 0.1185911    ,  1777.219    ,  3751.680    ,  3901.157    ,  8.764352    , 0.2246603    , 0.2246603    
         0.417,              ,  0.000000    ,  12.18880    ,  2911.094    ,  0.000000    ,  2911.094    ,  12.18880    ,  2898.906    ,  2903.183    ,  4.276953    , 0.1463065    ,  2923.283    ,  6654.863    ,  6824.440    ,  13.04131    , 0.1910971    , 0.1910971    
         0.500,              ,  0.000000    ,  8.504978    ,  5185.089    ,  0.000000    ,  5185.089    ,  8.504978    ,  5176.584    ,  5185.677    ,  9.092906    , 0.1750793    ,  5193.594    ,  11840.54    ,  12018.03    ,  22.13421    , 0.1841750    , 0.1841750    
         0.583,              ,  0.000000    ,  6.171761    ,  12298.84    ,  0.000000    ,  12298.84    ,  6.171761    ,  12292.67    ,  12316.94    ,  24.26831    , 0.1972230    ,  12305.01    ,  24157.47    ,  24323.04    ,  46.40252    , 0.1907759    , 0.1907759    
         0.667,              ,  0.000000    ,  4.686317    ,  20427.82    ,  0.000000    ,  20427.82    ,  4.686317    ,  20423.13    ,  20436.71    ,  13.57561    , 0.6644126E-01,  20432.50    ,  44594.18    ,  44755.55    ,  59.97813    , 0.1340127    , 0.1340127    
         0.750,              ,  0.000000    ,  3.543218    ,  24823.87    ,  0.000000    ,  24823.87    ,  3.543218    ,  24820.32    ,  24821.53    ,  1.212716    , 0.4884586E-02,  24827.41    ,  69415.72    ,  69582.96    ,  61.19085    , 0.8793942E-01, 0.8793942E-01
         0.833,              ,  0.000000    ,  2.729271    ,  26841.68    ,  0.000000    ,  26841.68    ,  2.729271    ,  26838.95    ,  26839.80    , 0.8470917    , 0.3155561E-02,  26844.41    ,  96255.51    ,  96427.37    ,  62.03794    , 0.6433644E-01, 0.6433644E-01
         0.917,              ,  0.000000    ,  2.140586    ,  27505.68    ,  0.000000    ,  27505.68    ,  2.140586    ,  27503.54    ,  27503.00    ,-0.5387777    ,-0.1958634E-02,  27507.82    ,  123758.5    ,  123935.2    ,  61.49916    , 0.4962204E-01, 0.4962204E-01
         1.000,              ,  0.000000    ,  56.35563    ,  27605.49    ,  0.000000    ,  27605.49    ,  56.35563    ,  27549.13    ,  27548.33    ,-0.8018461    ,-0.2898744E-02,  27661.84    ,  151306.8    ,  151597.0    ,  60.69731    , 0.4003859E-01, 0.4003859E-01
         1.083,              ,  0.000000    ,  9178.738    ,  27146.02    ,  0.000000    ,  27146.02    ,  9178.738    ,  17967.28    ,  17967.09    ,-0.1898453    ,-0.5226334E-03,  36324.76    ,  169273.9    ,  187921.8    ,  60.50747    , 0.3219822E-01, 0.3219822E-01
         1.167,              ,  0.000000    ,  22073.50    ,  25681.82    ,  0.000000    ,  25681.82    ,  22073.50    ,  3608.328    ,  3607.172    , -1.155876    ,-0.2420413E-02,  47755.32    ,  172881.1    ,  235677.1    ,  59.35159    , 0.2518344E-01, 0.2518344E-01
         1.250,              ,  0.000000    ,  25740.36    ,  23388.28    ,  0.000000    ,  23388.28    ,  25740.36    , -2352.077    , -2355.039    , -2.961689    ,-0.6028437E-02,  49128.64    ,  170526.1    ,  284805.7    ,  56.38990    , 0.1979943E-01, 0.1979943E-01
