"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.1000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,     0.000
         0.083,         233,         0,         0,  2.500000    , 0.8333334E-01,  0.000000    ,  117.1067    ,  55.45488    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -61.65183    , -61.65176    , 0.6823079E-04,  207.7050    ,     0.000
         0.167,         383,         0,         0,  1.748385    , 0.1666667    ,  0.000000    ,  50.06305    ,  489.2451    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  439.1821    ,  439.1821    , 0.2086163E-06,  646.8871    ,     0.000
         0.250,         609,         0,         0,  1.105482    , 0.2500000    ,  0.000000    ,  28.39246    ,  1100.610    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1072.217    ,  1072.217    ,-0.1634657E-03,  1719.104    ,    -0.000
         0.333,         907,         0,         0, 0.9391138    , 0.3333333    ,  0.000000    ,  18.23667    ,  1635.581    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1617.345    ,  1617.345    , 0.2360865E-03,  3336.449    ,     0.000
         0.417,        1248,         0,         0, 0.8371699    , 0.4166667    ,  0.000000    ,  12.18880    ,  2655.719    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  2643.530    ,  2643.531    , 0.1057535E-02,  5979.980    ,     0.000
         0.500,        1626,         0,         0, 0.7584563    , 0.5000000    ,  0.000000    ,  8.504978    ,  4833.942    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  4825.437    ,  4825.437    ,-0.2295263E-03,  10805.42    ,    -0.000
         0.583,        2046,         0,         0, 0.6771737    , 0.5833334    ,  0.000000    ,  6.171761    ,  11602.81    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  11596.64    ,  11596.64    ,-0.1363627E-02,  22402.05    ,    -0.000
         0.667,        2502,         0,         0, 0.6516009    , 0.6666667    ,  0.000000    ,  4.686317    ,  20073.95    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  20069.27    ,  20069.27    , 0.2234641E-02,  42471.32    ,     0.000
         0.750,        2980,         0,         0, 0.6023396    , 0.7500000    ,  0.000000    ,  3.543218    ,  24710.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  24706.46    ,  24706.46    , 0.1126264E-02,  67177.78    ,     0.000
         0.833,        3488,         0,         0, 0.5829138    , 0.8333334    ,  0.000000    ,  2.729271    ,  26802.16    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  26799.43    ,  26799.41    ,-0.1416773E-01,  93977.20    ,    -0.000
         0.917,        4006,         0,         0, 0.5784767    , 0.9166667    ,  0.000000    ,  2.140586    ,  27492.35    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  27490.21    ,  27490.23    , 0.2543891E-01,  121467.4    ,     0.000
         1.000,        4525,         0,         0, 0.5800543    ,  1.000000    ,  0.000000    ,  56.35563    ,  27608.28    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  27551.92    ,  27551.88    ,-0.4001861E-01,  149019.3    ,    -0.000
         1.083,        5039,         0,         0, 0.5927730    ,  1.083333    ,  0.000000    ,  9178.738    ,  27172.61    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  17993.87    ,  17993.92    , 0.5074573E-01,  167013.2    ,     0.000
         1.167,        5532,         0,         0, 0.6320995    ,  1.166667    ,  0.000000    ,  22073.50    ,  25747.76    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  3674.264    ,  3674.250    ,-0.1358414E-01,  170687.5    ,    -0.000
         1.250,        5997,         0,         0, 0.6499069    ,  1.250000    ,  0.000000    ,  25740.36    ,  23469.45    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2270.908    , -2270.906    , 0.1392365E-02,  168416.6    ,     0.000
         1.333,        6459,         0,         0, 0.6526696    ,  1.333333    ,  0.000000    ,  25454.19    ,  20478.95    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -4975.244    , -4975.266    ,-0.2142715E-01,  163441.3    ,    -0.000
         1.417,        6919,         0,         0, 0.6556942    ,  1.416667    ,  0.000000    ,  23730.67    ,  17145.37    , 0.2100961E-04,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -6585.305    , -6585.312    ,-0.7307024E-02,  156856.0    ,    -0.000
         1.500,        7377,         0,         0, 0.6589137    ,  1.500000    ,  0.000000    ,  21224.59    ,  13990.58    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -7234.010    , -7233.969    , 0.4133415E-01,  149622.0    ,     0.000
         1.583,        7833,         0,         0, 0.6621794    ,  1.583333    ,  0.000000    ,  18409.22    ,  11067.32    , 0.2516751E-02,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -7341.901    , -7341.969    ,-0.6822299E-01,  142280.1    ,    -0.000
         1.667,        8286,         0,         0, 0.6643553    ,  1.666667    ,  0.000000    ,  15632.79    ,  9102.617    , 0.1123312E-02,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -6530.172    , -6530.188    ,-0.1586926E-01,  135749.9    ,    -0.000
         1.750,        8738,         0,         0, 0.6664672    ,  1.749816    ,  0.000000    ,  13035.18    ,  7677.093    , 0.9066374E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -5358.090    , -5358.062    , 0.2714794E-01,  130391.8    ,     0.000
         1.833,        9189,         0,         0, 0.6680352    ,  1.833333    ,  0.000000    ,  10950.93    ,  6496.095    , 0.2508096E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -4454.838    , -4454.844    ,-0.5540855E-02,  125937.0    ,    -0.000
         1.917,        9639,         0,         0, 0.6689226    ,  1.916482    ,  0.000000    ,  9333.658    ,  5944.737    , 0.1085561E-04,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -3388.921    , -3388.922    ,-0.9151622E-03,  122548.0    ,    -0.000
         2.000,       10088,         0,         0, 0.6696273    ,  1.981255    ,  0.000000    ,  8035.250    ,  5517.328    , 0.1352007E-04,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2517.922    , -2517.930    ,-0.7605384E-02,  120030.1    ,    -0.000
         2.083,       10537,         0,         0, 0.6705577    ,  2.064959    ,  0.000000    ,  7066.842    ,  5008.823    , 0.2336596E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2058.019    , -2058.016    , 0.3463755E-02,  117972.1    ,     0.000
         2.167,       10985,         0,         0, 0.6719097    ,  2.106027    ,  0.000000    ,  6375.876    ,  4282.773    , 0.2818618E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2093.103    , -2093.078    , 0.2500301E-01,  115879.0    ,     0.000
         2.250,       11432,         0,         0, 0.6728639    ,  2.204884    ,  0.000000    ,  5830.703    ,  3723.513    , 0.1689674E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2107.190    , -2107.180    , 0.1070039E-01,  113771.8    ,     0.000
         2.333,       11878,         0,         0, 0.6735830    ,  2.204884    ,  0.000000    ,  5305.361    ,  3398.060    , 0.9864579E-04,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -1907.300    , -1907.273    , 0.2696604E-01,  111864.6    ,     0.000
         2.417,       12324,         0,         0, 0.6741794    ,  2.204884    ,  0.000000    ,  4778.326    ,  3090.424    , 0.8554383E-04,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -1687.902    , -1687.938    ,-0.3566151E-01,  110176.6    ,    -0.000
         2.500,       12769,         0,         0, 0.6748793    ,  2.204884    ,  0.000000    ,  4299.549    ,  2797.649    , 0.9061990E-04,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -1501.900    , -1501.891    , 0.9865782E-02,  108674.7    ,     0.000
         2.583,       13214,         0,         0, 0.6757861    ,  2.204884    ,  0.000000    ,  3893.715    ,  2411.357    , 0.1096709E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -1482.358    , -1482.359    ,-0.9279268E-03,  107192.4    ,    -0.000
         2.667,       13658,         0,         0, 0.6765909    ,  2.204884    ,  0.000000    ,  3553.691    ,  2104.707    , 0.8736966E-04,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -1448.983    , -1448.984    ,-0.1216303E-02,  105743.4    ,    -0.000
         2.750,       14102,         0,         0, 0.6774587    ,  2.204884    ,  0.000000    ,  3234.061    ,  1811.104    , 0.4836876E-04,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -1422.956    , -1422.922    , 0.3460714E-01,  104320.5    ,     0.001
         2.833,       14545,         0,         0, 0.6786174    ,  2.204884    ,  0.000000    ,  2941.864    ,  1418.378    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -1523.486    , -1523.523    ,-0.3747153E-01,  102797.0    ,    -0.001
         2.917,       14988,         0,         0, 0.6798197    ,  2.204884    ,  0.000000    ,  2658.998    ,  1054.138    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -1604.860    , -1604.852    , 0.8041143E-02,  101192.1    ,     0.000
         3.000,       15430,         0,         0, 0.6809097    ,  2.204884    ,  0.000000    ,  2378.293    ,  776.0437    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -1602.250    , -1602.266    ,-0.1591873E-01,  99589.84    ,    -0.001
