"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.1000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,     0.000
         0.083,         233,         0,         0,  2.500000    , 0.8333334E-01,  0.000000    ,  117.1067    ,  55.45488    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -61.65183    , -61.65176    , 0.6823079E-04,  207.7050    ,     0.000
         0.167,         383,         0,         0,  1.748385    , 0.1666667    ,  0.000000    ,  50.06305    ,  489.2451    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  439.1821    ,  439.1821    , 0.2086163E-06,  646.8871    ,     0.000
         0.250,         609,         0,         0,  1.105482    , 0.2500000    ,  0.000000    ,  28.39246    ,  1100.610    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1072.217    ,  1072.218    , 0.1598299E-03,  1719.105    ,     0.000
         0.333,         907,         0,         0, 0.9391138    , 0.3333333    ,  0.000000    ,  18.23667    ,  1635.581    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1617.345    ,  1617.344    ,-0.1863912E-03,  3336.449    ,    -0.000
         0.417,        1248,         0,         0, 0.8382433    , 0.4166667    ,  0.000000    ,  12.18880    ,  2656.359    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  2644.171    ,  2644.170    ,-0.9983666E-03,  5980.619    ,    -0.000
         0.500,        1625,         0,         0, 0.7648350    , 0.5000000    ,  0.000000    ,  8.504992    ,  4848.391    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  4839.886    ,  4839.886    , 0.4734173E-03,  10820.50    ,     0.000
         0.583,        2038,         0,         0, 0.6975461    , 0.5833334    ,  0.000000    ,  6.171581    ,  11655.27    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  11649.09    ,  11649.10    , 0.1978093E-02,  22469.60    ,     0.000
         0.667,        2483,         0,         0, 0.6456437    , 0.6666667    ,  0.000000    ,  4.686424    ,  20098.60    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  20093.91    ,  20093.91    ,-0.4566848E-02,  42563.51    ,    -0.000
         0.750,        2974,         0,         0, 0.5862365    , 0.7500000    ,  0.000000    ,  3.543259    ,  24692.71    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  24689.17    ,  24689.17    , 0.2349997E-02,  67252.68    ,     0.000
         0.833,        3496,         0,         0, 0.5677402    , 0.8333334    ,  0.000000    ,  2.729286    ,  26798.39    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  26795.66    ,  26795.67    , 0.7598289E-02,  94048.35    ,     0.000
         0.917,        4028,         0,         0, 0.5633665    , 0.9166667    ,  0.000000    ,  2.140586    ,  27490.77    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  27488.63    ,  27488.61    ,-0.1598097E-01,  121537.0    ,    -0.000
         1.000,        4561,         0,         0, 0.5651675    ,  1.000000    ,  0.000000    ,  510.2012    ,  27608.74    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  27098.54    ,  27098.57    , 0.2701239E-01,  148635.5    ,     0.000
         1.083,        5088,         0,         0, 0.5775130    ,  1.083333    ,  0.000000    ,  10574.90    ,  27173.38    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  16598.49    ,  16598.48    ,-0.1972198E-02,  165234.0    ,    -0.000
         1.167,        5594,         0,         0, 0.6142452    ,  1.166667    ,  0.000000    ,  21166.48    ,  25754.92    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  4588.437    ,  4588.406    ,-0.3115845E-01,  169822.4    ,    -0.000
         1.250,        6065,         0,         0, 0.6664883    ,  1.250000    ,  0.000000    ,  25094.45    ,  23480.24    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -1614.203    , -1614.156    , 0.4675293E-01,  168208.3    ,     0.000
         1.333,        6515,         0,         0, 0.6698937    ,  1.333333    ,  0.000000    ,  25329.66    ,  20494.61    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -4835.048    , -4835.094    ,-0.4585648E-01,  163373.2    ,    -0.000
         1.417,        6963,         0,         0, 0.6717669    ,  1.416667    ,  0.000000    ,  23929.64    ,  17170.26    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -6759.379    , -6759.516    ,-0.1365280    ,  156613.7    ,    -0.000
         1.500,        7410,         0,         0, 0.6740155    ,  1.500000    ,  0.000000    ,  21691.55    ,  14018.22    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -7673.329    , -7673.328    , 0.4253387E-03,  148940.3    ,     0.000
         1.583,        7856,         0,         0, 0.6764058    ,  1.583333    ,  0.000000    ,  19100.97    ,  11104.19    , 0.2882658E-04,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -7996.785    , -7996.797    ,-0.1197984E-01,  140943.5    ,    -0.000
         1.667,        8300,         0,         0, 0.6788460    ,  1.666667    ,  0.000000    ,  16463.00    ,  9128.062    , 0.1083923E-02,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -7334.937    , -7334.953    ,-0.1658003E-01,  133608.6    ,    -0.000
         1.750,        8742,         0,         0, 0.6810248    ,  1.750000    ,  0.000000    ,  13944.23    ,  7701.521    , 0.8939987E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -6242.706    , -6242.711    ,-0.5139899E-02,  127365.9    ,    -0.000
         1.833,        9183,         0,         0, 0.6828249    ,  1.833333    ,  0.000000    ,  11830.73    ,  6514.616    , 0.1578759E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -5316.119    , -5316.109    , 0.9987397E-02,  122049.8    ,     0.000
         1.917,        9623,         0,         0, 0.6844313    ,  1.916667    ,  0.000000    ,  10217.15    ,  5960.681    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -4256.470    , -4256.484    ,-0.1389694E-01,  117793.3    ,    -0.000
         2.000,       10062,         0,         0, 0.6857590    ,  2.000000    ,  0.000000    ,  8892.907    ,  5529.585    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -3363.322    , -3363.344    ,-0.2167511E-01,  114429.9    ,    -0.000
         2.083,       10500,         0,         0, 0.6868481    ,  2.082572    ,  0.000000    ,  7844.187    ,  5021.958    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2822.229    , -2822.234    ,-0.5477905E-02,  111607.7    ,    -0.000
         2.167,       10937,         0,         0, 0.6877605    ,  2.164951    ,  0.000000    ,  7026.610    ,  4300.714    , 0.2084772E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2725.896    , -2725.891    , 0.4983525E-02,  108881.8    ,     0.000
         2.250,       11374,         0,         0, 0.6886636    ,  2.241991    ,  0.000000    ,  6380.285    ,  3741.600    , 0.1033541E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2638.685    , -2638.680    , 0.4850745E-02,  106243.1    ,     0.000
         2.333,       11810,         0,         0, 0.6895679    ,  2.279434    ,  0.000000    ,  5810.560    ,  3414.211    , 0.2920771E-04,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2396.350    , -2396.352    ,-0.1919149E-02,  103846.8    ,    -0.000
         2.417,       12246,         0,         0, 0.6904102    ,  2.279434    ,  0.000000    ,  5272.126    ,  3104.525    , 0.6840474E-05,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2167.601    , -2167.609    ,-0.8329704E-02,  101679.2    ,    -0.000
         2.500,       12681,         0,         0, 0.6912008    ,  2.477395    ,  0.000000    ,  4778.499    ,  2812.082    , 0.9945817E-04,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -1966.417    , -1966.398    , 0.1889066E-01,  99712.77    ,     0.000
         2.583,       13116,         0,         0, 0.6919183    ,  2.477395    ,  0.000000    ,  4344.376    ,  2428.033    , 0.1523303E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -1916.343    , -1916.359    ,-0.1590850E-01,  97796.41    ,    -0.000
         2.667,       13550,         0,         0, 0.6926049    ,  2.477395    ,  0.000000    ,  3969.756    ,  2119.397    , 0.1355087E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -1850.360    , -1850.344    , 0.1579675E-01,  95946.06    ,     0.000
         2.750,       13984,         0,         0, 0.6933134    ,  2.477395    ,  0.000000    ,  3644.942    ,  1825.601    , 0.1127278E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -1819.341    , -1819.344    ,-0.2675816E-02,  94126.72    ,    -0.000
         2.833,       14417,         0,         0, 0.6940331    ,  2.477395    ,  0.000000    ,  3324.425    ,  1434.494    , 0.1051284E-03,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -1889.932    , -1889.953    ,-0.2153923E-01,  92236.77    ,    -0.000
         2.917,       14850,         0,         0, 0.6947749    ,  2.477395    ,  0.000000    ,  3029.773    ,  1071.969    , 0.3099489E-04,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -1957.803    , -1957.789    , 0.1430345E-01,  90278.98    ,     0.000
         3.000,       15282,         0,         0, 0.6955280    ,  2.477395    ,  0.000000    ,  2748.731    ,  796.4308    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -1952.300    , -1952.297    , 0.3156543E-02,  88326.68    ,     0.000
