"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.1000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,     0.000
         0.083,         233,         0,         0,  2.500000    , 0.8333334E-01,  0.000000    ,  117.1067    ,  19.60850    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -97.49821    , -97.49821    ,-0.7077793E-05,  171.8586    ,    -0.000
         0.167,         355,         0,         0,  2.375896    , 0.1666667    ,  0.000000    ,  50.05529    ,  145.2606    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  95.20529    ,  95.20531    , 0.2187490E-04,  267.0639    ,     0.000
         0.250,         502,         0,         0,  1.619511    , 0.2500000    ,  0.000000    ,  28.40072    ,  366.6207    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  338.2199    ,  338.2198    ,-0.8657575E-04,  605.2838    ,    -0.000
         0.333,         729,         0,         0,  1.171178    , 0.3333333    ,  0.000000    ,  18.24190    ,  739.6896    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  721.4477    ,  721.4477    , 0.4254282E-04,  1326.731    ,     0.000
         0.417,        1009,         0,         0,  1.008844    , 0.4166667    ,  0.000000    ,  12.18906    ,  1044.734    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1032.545    ,  1032.545    , 0.2848394E-03,  2359.276    ,     0.000
         0.500,        1323,         0,         0, 0.9230432    , 0.5000000    ,  0.000000    ,  8.504010    ,  1191.920    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1183.416    ,  1183.417    , 0.9683259E-03,  3542.693    ,     0.000
         0.583,        1661,         0,         0, 0.8649703    , 0.5833334    ,  0.000000    ,  6.170679    ,  1420.699    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1414.528    ,  1414.527    ,-0.1062543E-02,  4957.220    ,    -0.000
         0.667,        2019,         0,         0, 0.8211052    , 0.6666667    ,  0.000000    ,  4.685528    ,  1782.764    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1778.078    ,  1778.078    ,-0.4212447E-03,  6735.298    ,    -0.000
         0.750,        2394,         0,         0, 0.7863926    , 0.7500000    ,  0.000000    ,  3.542762    ,  2361.001    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  2357.458    ,  2357.458    ,-0.3922256E-03,  9092.756    ,    -0.000
         0.833,        2785,         0,         0, 0.7566836    , 0.8333334    ,  0.000000    ,  2.728883    ,  3166.996    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  3164.268    ,  3164.269    , 0.9729336E-03,  12257.02    ,     0.000
         0.917,        3190,         0,         0, 0.7323415    , 0.9166667    ,  0.000000    ,  2.140257    ,  4325.548    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  4323.408    ,  4323.407    ,-0.8480810E-03,  16580.43    ,    -0.000
         1.000,        3606,         0,         0, 0.7143630    ,  1.000000    ,  0.000000    ,  1.701024    ,  5886.529    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  5884.828    ,  5884.824    ,-0.3681941E-02,  22465.26    ,    -0.000
         1.083,        4033,         0,         0, 0.6954237    ,  1.083333    ,  0.000000    ,  1.375445    ,  9189.505    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  9188.130    ,  9188.133    , 0.2954647E-02,  31653.39    ,     0.000
         1.167,        4472,         0,         0, 0.6788588    ,  1.166667    ,  0.000000    ,  1.140287    ,  14476.18    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  14475.04    ,  14475.04    ,-0.1795527E-02,  46128.43    ,    -0.000
         1.250,        4918,         0,         0, 0.6717288    ,  1.250000    ,  0.000000    , 0.9580622    ,  18777.26    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  18776.30    ,  18776.30    , 0.2072367E-02,  64904.73    ,     0.000
         1.333,        5372,         0,         0, 0.6407204    ,  1.333333    ,  0.000000    , 0.8096318    ,  21827.65    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  21826.84    ,  21826.83    ,-0.8441444E-02,  86731.56    ,    -0.000
         1.417,        5853,         0,         0, 0.6114085    ,  1.416667    ,  0.000000    , 0.7027393    ,  24116.84    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  24116.14    ,  24116.15    , 0.7606124E-02,  110847.7    ,     0.000
         1.500,        6356,         0,         0, 0.5856226    ,  1.500000    ,  0.000000    , 0.6547768    ,  25542.16    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  25541.51    ,  25541.51    ,-0.7979627E-03,  136389.2    ,    -0.000
         1.583,        6874,         0,         0, 0.5764511    ,  1.583333    ,  0.000000    ,  5302.178    ,  26541.74    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  21239.56    ,  21239.53    ,-0.3334469E-01,  157628.8    ,    -0.000
         1.667,        7400,         0,         0, 0.5680418    ,  1.666667    ,  0.000000    ,  16893.29    ,  27061.44    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  10168.15    ,  10168.16    , 0.3778458E-02,  167796.9    ,     0.000
         1.750,        7930,         0,         0, 0.5657176    ,  1.750000    ,  0.000000    ,  23024.44    ,  27412.41    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  4387.973    ,  4388.016    , 0.4236984E-01,  172184.9    ,     0.000
         1.833,        8463,         0,         0, 0.5631284    ,  1.833333    ,  0.000000    ,  25807.83    ,  27581.53    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1773.701    ,  1773.688    ,-0.1310349E-01,  173958.6    ,    -0.000
         1.917,        8996,         0,         0, 0.5641250    ,  1.916667    ,  0.000000    ,  26898.01    ,  27638.76    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  740.7500    ,  740.7500    ,-0.1144412E-04,  174699.4    ,    -0.000
         2.000,        9528,         0,         0, 0.5651866    ,  2.000000    ,  0.000000    ,  27365.32    ,  27569.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  204.6538    ,  204.6406    ,-0.1319504E-01,  174904.0    ,    -0.000
         2.083,       10058,         0,         0, 0.5710030    ,  2.083333    ,  0.000000    ,  27535.11    ,  27360.75    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -174.3582    , -174.3594    ,-0.1163483E-02,  174729.6    ,    -0.000
         2.167,       10582,         0,         0, 0.5767676    ,  2.166667    ,  0.000000    ,  27533.90    ,  26990.99    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -542.9106    , -542.8906    , 0.1994324E-01,  174186.8    ,     0.000
         2.250,       11096,         0,         0, 0.5955363    ,  2.250000    ,  0.000000    ,  27367.93    ,  26274.41    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -1093.514    , -1093.516    ,-0.2090454E-02,  173093.2    ,    -0.000
         2.333,       11593,         0,         0, 0.6164014    ,  2.333333    ,  0.000000    ,  27037.55    ,  25166.79    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -1870.762    , -1870.750    , 0.1185226E-01,  171222.5    ,     0.000
         2.417,       12072,         0,         0, 0.6415345    ,  2.416667    ,  0.000000    ,  26394.81    ,  23999.50    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2395.312    , -2395.328    ,-0.1628494E-01,  168827.2    ,    -0.000
         2.500,       12532,         0,         0, 0.6669755    ,  2.500000    ,  0.000000    ,  25486.71    ,  22763.30    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -2723.413    , -2723.453    ,-0.3992081E-01,  166103.7    ,    -0.000
         2.583,       12982,         0,         0, 0.6686875    ,  2.583333    ,  0.000000    ,  24437.74    ,  21328.08    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -3109.657    , -3109.594    , 0.6338882E-01,  162994.1    ,     0.000
         2.667,       13431,         0,         0, 0.6706801    ,  2.666667    ,  0.000000    ,  23289.78    ,  19666.93    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -3622.850    , -3622.891    ,-0.4052353E-01,  159371.2    ,    -0.000
         2.750,       13879,         0,         0, 0.6724902    ,  2.749814    ,  0.000000    ,  21984.47    ,  17975.94    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -4008.536    , -4008.406    , 0.1296501    ,  155362.8    ,     0.000
         2.833,       14326,         0,         0, 0.6737741    ,  2.833333    ,  0.000000    ,  20571.28    ,  16246.99    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -4324.296    , -4324.297    ,-0.8926392E-03,  151038.5    ,    -0.000
         2.917,       14772,         0,         0, 0.6751841    ,  2.916106    ,  0.000000    ,  19085.35    ,  14631.16    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -4454.184    , -4454.203    ,-0.1871109E-01,  146584.3    ,    -0.000
         3.000,       15217,         0,         0, 0.6765763    ,  2.999813    ,  0.000000    ,  17504.86    ,  13152.56    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -4352.295    , -4352.281    , 0.1369858E-01,  142232.0    ,     0.000
         3.083,       15661,         0,         0, 0.6778267    ,  3.081644    ,  0.000000    ,  16000.39    ,  11753.02    , 0.1158434E-04,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -4247.368    , -4247.391    ,-0.2219377E-01,  137984.6    ,    -0.000
         3.167,       16104,         0,         0, 0.6791830    ,  3.165538    ,  0.000000    ,  14590.19    ,  10436.38    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -4153.811    , -4153.812    ,-0.1873016E-02,  133830.8    ,    -0.000
