"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.083,              ,  0.000000    ,  117.1067    ,  108.6038    ,  0.000000    ,  108.6038    ,  117.1067    , -8.502887    , -7.105537    ,  1.397349    , 0.6190891    ,  225.7105    ,  262.2512    ,  225.7105    ,  1.397349    , 0.5328285    , 0.6190891    
         0.167,              ,  0.000000    ,  50.05882    ,  329.7187    ,  0.000000    ,  329.7187    ,  50.05882    ,  279.6599    ,  281.6508    ,  1.990926    , 0.5242347    ,  379.7776    ,  543.9021    ,  605.4881    ,  3.388275    , 0.5595940    , 0.5595940    
         0.250,              ,  0.000000    ,  28.39791    ,  764.1054    ,  0.000000    ,  764.1054    ,  28.39791    ,  735.7075    ,  737.8370    ,  2.129463    , 0.2687008    ,  792.5034    ,  1281.739    ,  1397.991    ,  5.517738    , 0.3946904    , 0.3946904    
         0.333,              ,  0.000000    ,  18.23820    ,  1412.693    ,  0.000000    ,  1412.693    ,  18.23820    ,  1394.455    ,  1396.259    ,  1.804076    , 0.1260770    ,  1430.932    ,  2677.998    ,  2828.923    ,  7.321814    , 0.2588198    , 0.2588198    
         0.417,              ,  0.000000    ,  12.18859    ,  1907.456    ,  0.000000    ,  1907.456    ,  12.18859    ,  1895.267    ,  1895.914    , 0.6474592    , 0.3372808E-01,  1919.644    ,  4573.913    ,  4748.567    ,  7.969273    , 0.1678248    , 0.1678248    
         0.500,              ,  0.000000    ,  8.504469    ,  2245.061    ,  0.000000    ,  2245.061    ,  8.504469    ,  2236.557    ,  2238.595    ,  2.037861    , 0.9042827E-01,  2253.566    ,  6812.508    ,  7002.133    ,  10.00713    , 0.1429155    , 0.1429155    
         0.583,              ,  0.000000    ,  6.171100    ,  2733.197    ,  0.000000    ,  2733.197    ,  6.171100    ,  2727.026    ,  2729.282    ,  2.256264    , 0.8236439E-01,  2739.368    ,  9541.790    ,  9741.501    ,  12.26340    , 0.1258882    , 0.1258882    
         0.667,              ,  0.000000    ,  4.686109    ,  3370.815    ,  0.000000    ,  3370.815    ,  4.686109    ,  3366.129    ,  3368.826    ,  2.697627    , 0.7991782E-01,  3375.501    ,  12910.62    ,  13117.00    ,  14.96102    , 0.1140583    , 0.1140583    
         0.750,              ,  0.000000    ,  3.543161    ,  4392.382    ,  0.000000    ,  4392.382    ,  3.543161    ,  4388.839    ,  4392.749    ,  3.910155    , 0.8894954E-01,  4395.925    ,  17303.36    ,  17512.93    ,  18.87118    , 0.1077557    , 0.1077557    
         0.833,              ,  0.000000    ,  2.729183    ,  5799.521    ,  0.000000    ,  5799.521    ,  2.729183    ,  5796.792    ,  5800.877    ,  4.085014    , 0.7040396E-01,  5802.251    ,  23104.24    ,  23315.18    ,  22.95619    , 0.9846029E-01, 0.9846029E-01
         0.917,              ,  0.000000    ,  2.140487    ,  7844.333    ,  0.000000    ,  7844.333    ,  2.140487    ,  7842.193    ,  7848.318    ,  6.125130    , 0.7806220E-01,  7846.474    ,  30952.56    ,  31161.65    ,  29.08132    , 0.9332407E-01, 0.9332407E-01
         1.000,              ,  0.000000    ,  1.701223    ,  10532.45    ,  0.000000    ,  10532.45    ,  1.701223    ,  10530.75    ,  10535.63    ,  4.885438    , 0.4637714E-01,  10534.15    ,  41488.19    ,  41695.80    ,  33.96676    , 0.8146327E-01, 0.8146327E-01
         1.083,              ,  0.000000    ,  1.375590    ,  16511.05    ,  0.000000    ,  16511.05    ,  1.375590    ,  16509.67    ,  16526.84    ,  17.16980    , 0.1039811    ,  16512.42    ,  58015.03    ,  58208.22    ,  51.13657    , 0.8785111E-01, 0.8785111E-01
         1.167,              ,  0.000000    ,  1.140387    ,  25816.52    ,  0.000000    ,  25816.52    ,  1.140387    ,  25815.38    ,  25818.08    ,  2.700625    , 0.1046038E-01,  25817.66    ,  83833.12    ,  84025.89    ,  53.83719    , 0.6407215E-01, 0.6407215E-01
         1.250,              ,  0.000000    , 0.9581407    ,  33107.46    ,  0.000000    ,  33107.46    , 0.9581407    ,  33106.50    ,  33112.96    ,  6.458608    , 0.1950745E-01,  33108.42    ,  116946.1    ,  117134.3    ,  60.29580    , 0.5147578E-01, 0.5147578E-01
         1.333,              ,  0.000000    ,  975.1497    ,  38413.74    ,  0.000000    ,  38413.74    ,  975.1497    ,  37438.59    ,  37441.02    ,  2.429452    , 0.6167863E-02,  39388.89    ,  154387.1    ,  156523.2    ,  62.72525    , 0.4007410E-01, 0.4007410E-01
