"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.1000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,     0.000
         0.083,         233,         0,         0,  2.500000    , 0.8333334E-01,  0.000000    ,  117.1067    ,  43.74767    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -73.35904    , -73.35901    , 0.3053346E-04,  195.9978    ,     0.000
         0.167,         366,         0,         0,  2.071680    , 0.1666667    ,  0.000000    ,  50.05882    ,  270.3374    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  220.2785    ,  220.2785    ,-0.2755225E-04,  416.2763    ,    -0.000
         0.250,         551,         0,         0,  1.293628    , 0.2500000    ,  0.000000    ,  28.39791    ,  659.5868    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  631.1889    ,  631.1888    ,-0.1045167E-03,  1047.465    ,    -0.000
         0.333,         818,         0,         0,  1.019922    , 0.3333333    ,  0.000000    ,  18.23820    ,  1307.814    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1289.576    ,  1289.576    ,-0.4325807E-04,  2337.041    ,    -0.000
         0.417,        1136,         0,         0, 0.8976750    , 0.4166667    ,  0.000000    ,  12.18859    ,  1791.071    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1778.882    ,  1778.882    , 0.3257394E-04,  4115.923    ,     0.000
         0.500,        1486,         0,         0, 0.8307279    , 0.5000000    ,  0.000000    ,  8.504469    ,  2073.463    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  2064.959    ,  2064.958    ,-0.3594235E-03,  6180.882    ,    -0.000
         0.583,        1860,         0,         0, 0.7837057    , 0.5833334    ,  0.000000    ,  6.171100    ,  2553.384    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  2547.212    ,  2547.212    ,-0.5833851E-03,  8728.094    ,    -0.000
         0.667,        2254,         0,         0, 0.7453475    , 0.6666667    ,  0.000000    ,  4.686109    ,  3184.463    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  3179.777    ,  3179.777    , 0.8367626E-03,  11907.87    ,     0.000
         0.750,        2668,         0,         0, 0.7103933    , 0.7500000    ,  0.000000    ,  3.543161    ,  4175.108    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  4171.565    ,  4171.564    ,-0.1360304E-03,  16079.44    ,    -0.000
