"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.083,              ,  0.000000    ,  117.1168    ,  227.5150    ,  0.000000    ,  227.5150    ,  117.1168    ,  110.3982    ,  113.1773    ,  2.779054    , 0.8063837    ,  344.6318    ,  382.5341    ,  344.6318    ,  2.779054    , 0.7264855    , 0.8063837    
         0.167,              ,  0.000000    ,  50.05857    ,  1086.116    ,  0.000000    ,  1086.116    ,  50.05857    ,  1036.057    ,  1042.063    ,  6.006014    , 0.5286173    ,  1136.174    ,  1424.597    ,  1480.806    ,  8.785068    , 0.5932626    , 0.5932626    
         0.250,              ,  0.000000    ,  28.38796    ,  2062.305    ,  0.000000    ,  2062.305    ,  28.38796    ,  2033.917    ,  2035.188    ,  1.270423    , 0.6076564E-01,  2090.693    ,  3459.785    ,  3571.499    ,  10.05549    , 0.2815482    , 0.2815482    
         0.333,              ,  0.000000    ,  18.23538    ,  3078.516    ,  0.000000    ,  3078.516    ,  18.23538    ,  3060.281    ,  3064.257    ,  3.975927    , 0.1283902    ,  3096.752    ,  6524.042    ,  6668.251    ,  14.03142    , 0.2104212    , 0.2104212    
         0.417,              ,  0.000000    ,  12.18820    ,  5093.590    ,  0.000000    ,  5093.590    ,  12.18820    ,  5081.402    ,  5089.389    ,  7.987258    , 0.1564357    ,  5105.778    ,  11613.43    ,  11774.03    ,  22.01868    , 0.1870105    , 0.1870105    
         0.500,              ,  0.000000    ,  8.505018    ,  9075.302    ,  0.000000    ,  9075.302    ,  8.505018    ,  9066.797    ,  9080.132    ,  13.33535    , 0.1468035    ,  9083.807    ,  20693.56    ,  20857.84    ,  35.35403    , 0.1695000    , 0.1695000    
         0.583,              ,  0.000000    ,  6.172405    ,  21532.75    ,  0.000000    ,  21532.75    ,  6.172405    ,  21526.58    ,  21554.42    ,  27.84065    , 0.1292574    ,  21538.92    ,  42247.98    ,  42396.76    ,  63.19467    , 0.1490554    , 0.1490554    
         0.667,              ,  0.000000    ,  4.686150    ,  35763.42    ,  0.000000    ,  35763.42    ,  4.686150    ,  35758.73    ,  35762.31    ,  3.576020    , 0.9997790E-02,  35768.10    ,  78010.29    ,  78164.86    ,  66.77069    , 0.8542290E-01, 0.8542290E-01
         0.750,              ,  0.000000    ,  3.542821    ,  43441.36    ,  0.000000    ,  43441.36    ,  3.542821    ,  43437.82    ,  43439.92    ,  2.101807    , 0.4837869E-02,  43444.90    ,  121450.2    ,  121609.8    ,  68.87250    , 0.5663402E-01, 0.5663402E-01
         0.833,              ,  0.000000    ,  2.729197    ,  46973.95    ,  0.000000    ,  46973.95    ,  2.729197    ,  46971.22    ,  46971.89    , 0.6688405    , 0.1423771E-02,  46976.68    ,  168422.1    ,  168586.4    ,  69.54134    , 0.4124967E-01, 0.4124967E-01
